verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,dir_he,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,cmpl_lex,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,motion_type
212256,BW>[,MT,Isaiah,1,12,TB>W,KJ TB>W L R>WT PNJ MJ BQC Z>T M JDKM RMS XYRJ,KJ TB>W,,no complement,,,,qal,impf,,,,,no complement,,,,,,
1895059,BW>[,1Qisaa,Isaiah,1,12,TB>W,KJ> TB>W L R>WT PNJ MJ BQC ZW>T M JDKM L RMWS XYRJ,,,no complement,0,0,000 0000 0 0000 0000 00 000 0000 0 00000 0 0000 00000 00,qal,impf,,,,,no complement,,,,,,
212269,BW>[,MT,Isaiah,1,13,HBJ>,L> TWSJPW HBJ> MNXT CW> QVRT TW<BH HJ> LJ XDC W CBT QR> MQR> L> >WKL >WN W <YRH,HBJ> MNXT CW>,,no complement,,,,hif,infc,,,,,no complement,,,,,,
1895075,BW>[,1Qisaa,Isaiah,1,13,HBJ>,LW> TWSJPW L HBJ> MNXT CW> QVRT TW<BH HJ> LJ XWDC W CBT QR> MQR> LW> >WKL >WN W <YRTH,,,no complement,0,0,000 000000 0 0000 0000 000 0000 00000 000 000 0000 0 000 000 0000 000 0000 000 0 000000 00,hifil,infc,,,,,no complement,,,,,,
212315,SWR[,MT,Isaiah,1,16,HSJRW,RXYW HZKW HSJRW R< M<LLJKM M NGD <JNJ XDLW HR<,HSJRW R< M<LLJKM M NGD <JNJ,,M NGD <JNJ,0,,,hif,impv,MN,,,,MN NGD/ <JN/,prep,,,det,subs subs,
1895129,SWR[,1Qisaa,Isaiah,1,16,HSJRW,RXYW W HZKW W HSJRW RW< M<LLJKM M NGD <JNJ XDLW HR<,W HSJRW RW< M<LLJKM M NGD <JNJ,,M NGD <JNJ,0,0,0000 0 0000 0 00000 000 00000000 0 000 00000 0000 000 00,hifil,impv,MN,,,,no complement,,,,,,
212333,HLK[,MT,Isaiah,1,18,LKW,LKW N> W NWKXH J>MR JHWH >M JHJW XV>JKM K CNJM K CLG JLBJNW >M J>DJMW K TWL< K YMR JHJW,LKW N>,,no complement,,,,qal,impv,,,,,no complement,,,,,,
1895149,HLK[,1Qisaa,Isaiah,1,18,LKW,LKW N> W NWKXH JW>MR JHWH >M JHJW XV>JKM K CNJ K CLG JLBJNW >M JDWMW K TWL<T K YMR JHJW,,,no complement,0,0,000 00 0 00000 00000 0000 00 0000 0000000 0 000 0 000 000000 00 00000 0 00000 0 000 0000 00,qal,impv,,,,,no complement,,,,,,
212418,BW>[,MT,Isaiah,1,23,JBW>,FRJK SWRRJM W XBRJ GNBJM KLW >HB CXD W RDP CLMNJM JTWM L> JCPVW W RJB >LMNH L> JBW> >LJHM,W RJB >LMNH L> JBW> >LJHM,RJB >LMNH,>LJHM,0,,,qal,impf,>L,,,,>L,prep,,,det,,
1895234,BW>[,1Qisaa,Isaiah,1,23,JBW>,FRJKJ SWRRJM W XBRJ GNBJM KWLM >WHBJ CWXD RWDPJ CLMWNJM J>TWM LW> JCPVW W RJB >LMNH LW> JBW> >LJHM,W RJB >LMNH LW> JBW> >LJHM,RJB >LMNH,>LJHM,0,0,000000 000000 0 0000 00000 00000 00000 0000 00000 0000000 00000 000 00000 0 000 00000 000 0000 000000 00,qal,impf,>L,,,,no complement,,,,,,
