verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,comments,reconstructed_verse
176086,BW>[,MT,1_Kings,1,1,B>,W H MLK DWD ZQN B> B JMJM W JKSHW B BGDJM W L> JXM LW,,qal,perf,B> B JMJM,,B JMJM,B H JWM/,in the days,0,prep,abs,inanim,det,subs,simple,fictive,other,B,,,,,,,
2072601,BW>[,5Q2,1_Kings,1,1,B>,W H MLK DWD ZQN B> B JMJM W JKSHW B BGDJM W L> JXM LW,1 1 000 111 111 11 1 1111 1 11111 1 11111 1 11 111 11,qal,perf,None,None,,,,,,,,,,,,,,,,,,,reconstructed,[W H] MLK [DWD ZQN B> B JMJM W JKSHW B BGDJM W L> JXM LW]
176145,BW>[,MT,1_Kings,1,3,JB>W,W JBQCW N<RH JPH B KL GBWL JFR>L W JMY>W >T >BJCG H CWNMJT W JB>W >TH L MLK,,hif,wayq,W JB>W >TH L MLK,,L MLK,L H MLK/,th the king,0,prep,pers,anim,det,subs,simple,factive,goal,L,,,,,,,
176187,RWY[,MT,1_Kings,1,5,RYJM,W >DNJH BN XGJT MTNF> L >MR >NJ >MLK W J<F LW RKB W PRCJM W XMCJM >JC RYJM L PNJW,,qal,ptca,RYJM L PNJW,,L PNJW,L PNH/,before / in front of him,0,prep,prps,anim,det,prsf,simple,factive,other,L PNH/,,,,,,,
176326,HLK[,MT,1_Kings,1,12,LKJ,W <TH LKJ >J<YK N> <YH W MLVJ >T NPCK W >T NPC BNK CLMH,,qal,impv,LKJ,,no complement,no complement,,,,,,,,,,,,,,,,,,
176339,HLK[,MT,1_Kings,1,13,LKJ,LKJ W B>J >L H MLK DWD W >MRT >LJW H L> >TH >DNJ H MLK NCB<T L >MTK L >MR KJ CLMH BNK JMLK >XRJ W HW> JCB <L KS>J W MDW< MLK >DNJHW,,qal,impv,LKJ,,no complement,no complement,,,,,,,,,,,,,,,,,,
176341,BW>[,MT,1_Kings,1,13,B>J,LKJ W B>J >L H MLK DWD W >MRT >LJW H L> >TH >DNJ H MLK NCB<T L >MTK L >MR KJ CLMH BNK JMLK >XRJ W HW> JCB <L KS>J W MDW< MLK >DNJHW,,qal,impv,W B>J >L H MLK DWD,,>L H MLK DWD,>L H MLK/ DWD==/,to the king David,0,prep,pers,anim,det,subs,complex,factive,goal,>L,,,,,,,
176383,BW>[,MT,1_Kings,1,14,>BW>,HNH <WDK MDBRT CM <M H MLK W >NJ >BW> >XRJK W ML>TJ >T DBRJK,,qal,impf,W >NJ >BW> >XRJK,>NJ,>XRJK,>XR/,after you,0,prep,prps,anim,det,prsf,simple,factive,other,>XR/,,,,,,,
176390,BW>[,MT,1_Kings,1,15,TB>,W TB> BT_CB< >L H MLK H XDRH W H MLK ZQN M>D W >BJCG H CWNMJT MCRT >T H MLK,,qal,wayq,W TB> BT_CB< >L H MLK H XDRH,BT_CB<,>L H MLK,>L H MLK/,to the king,0,prep,pers,anim,det,subs,simple,factive,goal,>L,,,,,,,
176390,BW>[,MT,1_Kings,1,15,TB>,W TB> BT_CB< >L H MLK H XDRH W H MLK ZQN M>D W >BJCG H CWNMJT MCRT >T H MLK,,qal,wayq,W TB> BT_CB< >L H MLK H XDRH,BT_CB<,H XDRH,H XDR/,to the chamber,1,dir-he,place,inanim,det,subs,simple,factive,goal,,,,,,,,
