verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
141586,<LH[,MT,1_Samuel,1,3,<LH,W <LH H >JC H HW> M <JRW M JMJM JMJMH L HCTXWT W L ZBX L JHWH YB>WT B CLH W CM CNJ BNJ <LJ XPNJ W PNXS KHNJM L JHWH,,qal,perf,W <LH H >JC H HW> M <JRW M JMJM JMJMH,H >JC H HW>,M <JRW,MN <JR/,from the city,0,prep,topo,inanim,det,subs,simple,factive,source,MN,,,,,
141672,<LH[,MT,1_Samuel,1,7,<LTH,W KN J<FH CNH B CNH M DJ <LTH B BJT JHWH KN TK<SNH W TBKH W L> T>KL,,qal,infc,M DJ <LTH B BJT JHWH,,B BJT JHWH,B BJT/ JHWH/,to the house of Yahweh,0,prep,topo,inanim,det,subs,complex,factive,goal,B,,,,,
141776,<LH[,MT,1_Samuel,1,11,J<LH,W TDR NDR W T>MR JHWH YB>WT >M R>H TR>H B <NJ >MTK W ZKRTNJ W L> TCKX >T >MTK W NTTH L >MTK ZR< >NCJM W NTTJW L JHWH KL JMJ XJJW W MWRH L> J<LH <L R>CW,,qal,impf,W MWRH L> J<LH <L R>CW,MWRH,<L R>CW,<L R>C/,upon his head,0,prep,bopa,inanim,det,subs,complex,factive,goal,<L,,,,the razor shall not come upon his head?,
1996829,<BR[,4Q51,1_Samuel,1,11,J<BWR,JHWH YB>WT >M R>H TR>H B <NJ >MTK W ZKRTNJ W LW> TCKX >T >MTK W NTTH L >MTK ZR< >NCJM W NTTJHW L PNJK NZJR <D JWM MWTW W JJN W CKR LW> JCTH W MWRH L> J<BWR <L R>CW,1111 11111 11 111 1111 1 111 1110 1 111111 1 111 1111 11 1111 1 1111 1 1111 111 11110 0 000000 0 1111 1111 11 111 1111 1 111 1 111 111 1111 1 0000 00 00000 01 1111,qal,impf,None,None,,,,,,,,,,,,,,,,,reconstructed,[JHWH YB>WT >M R>H TR>H B <NJ >MT]K [W ZKRTNJ W LW> TCKX >T >MTK W NTTH L >MTK ZR< >NCJ]M W NTTJHW L [PNJK NZJR <D JWM MWTW W JJN W CKR LW> JCTH W] MWRH L> J<BWR <[L R>CW]
141818,SWR[,MT,1_Samuel,1,14,HSJRJ,W J>MR >LJH <LJ <D MTJ TCTKRJN HSJRJ >T JJNK M <LJK,,hif,impv,HSJRJ >T JJNK M <LJK,,M <LJK,MN <L,from you (Hannah),0,prep + prep,prps,anim,det,prsf,simple,factive,source,MN,<L,,,,
141869,HLK[,MT,1_Samuel,1,17,LKJ,W J<N <LJ W J>MR LKJ L CLWM W >LHJ JFR>L JTN >T CLTK >CR C>LT M <MW,,qal,impv,LKJ L CLWM,,L CLWM,L CLWM/,in peace,0,prep,abs,inanim,und,subs,simple,fictive,other,L,,,,difficult - adverbial?,
1996873,HLK[,4Q51,1_Samuel,1,17,LKJ,W J<N <LJ W J>MR LKJ L CLWM >LHJ JFR>L JTN LK >T C>LTK >CR C>LT M <MW,1 111 111 1 1110 111 1 1111 1111 11111 111 11 11 11111 111 1111 1 111,qal,impv,None,None,,,,,,,,,,,,,,,,,reconstructed,[W J<N <LJ W J>M]R [LKJ L CLWM >LHJ JFR>L JTN LK >T C>LTK >CR C>LT M <MW]
141890,HLK[,MT,1_Samuel,1,18,TLK,W T>MR TMY> CPXTK XN B <JNJK W TLK H >CH L DRKH W T>KL W PNJH L> HJW LH <WD,,qal,wayq,W TLK H >CH L DRKH,H >CH,L DRKH,L DRK/,(in) her way,0,prep,other,inanim,det,subs,complex,factive,goal/traj,L,,,,,
1996895,HLK[,4Q51,1_Samuel,1,18,TLK,W T>MR TMY> CPXTK XN B <JNJK W TLK H >CH L DRKH W TBW> H LCKTH W T>KL,1 1000 1111 11111 11 1 11111 1 111 1 111 1 1111 1 1111 1 11111 1 1110,qal,wayq,None,None,,,,,,,,,,,,,,,,,reconstructed,[W T]>MR [TMY> CPXTK XN B <JNJK W TLK H >CH L DRKH W TBW> H LCKTH W T>K]L
1996901,BW>[,4Q51,1_Samuel,1,18,TBW>,W T>MR TMY> CPXTK XN B <JNJK W TLK H >CH L DRKH W TBW> H LCKTH W T>KL,1 1000 1111 11111 11 1 11111 1 111 1 111 1 1111 1 1111 1 11111 1 1110,qal,wayq,None,None,,,,,,,,,,,,,,,,,reconstructed,[W T]>MR [TMY> CPXTK XN B <JNJK W TLK H >CH L DRKH W TBW> H LCKTH W T>K]L
