verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
406870,HLK[,MT,2_Chronicles,1,3,JLKW,W JLKW CLMH W KL H QHL <MW L BMH >CR B GB<WN KJ CM HJH >HL MW<D H >LHJM >CR <FH MCH <BD JHWH B MDBR,,qal,wayq,W JLKW CLMH W KL H QHL <MW L BMH,CLMH W KL H QHL <MW,L BMH,L H BMH/,to the high place,0,prep,place,inanim,det,subs,simple,factive,goal,L,,,,,
406940,<LH[,MT,2_Chronicles,1,6,J<L,W J<L CLMH CM <L MZBX H NXCT L PNJ JHWH >CR L >HL MW<D W J<L <LJW <LWT >LP,,hif,wayq,W J<L CLMH CM <L MZBX H NXCT L PNJ JHWH,CLMH,<L MZBX H NXCT,<L MZBX/ H NXCT/,to the bronze altar,0,prep,obj,inanim,det,subs,complex,factive,goal,<L,,,,,
406955,<LH[,MT,2_Chronicles,1,6,J<L,W J<L CLMH CM <L MZBX H NXCT L PNJ JHWH >CR L >HL MW<D W J<L <LJW <LWT >LP,,hif,wayq,W J<L <LJW <LWT >LP,,<LJW,<L,upon it / him,0,prep,prps,inanim,det,prsf,simple,factive,goal,<L,,,,,
407015,JY>[,MT,2_Chronicles,1,10,>Y>H,<TH XKMH W MD< TN LJ W >Y>H L PNJ H <M H ZH W >BW>H KJ MJ JCPV >T <MK H ZH H GDWL,,qal,impf,W >Y>H L PNJ H <M H ZH,,L PNJ H <M H ZH,L PNH/ H <M/ H ZH,before this people,0,prep,pers,anim,det,subs,complex,factive,other,L PNH/,,,,,
407023,BW>[,MT,2_Chronicles,1,10,>BW>H,<TH XKMH W MD< TN LJ W >Y>H L PNJ H <M H ZH W >BW>H KJ MJ JCPV >T <MK H ZH H GDWL,,qal,impf,W >BW>H,,no complement,no complement,,,,,,,,,,,,,,,,
407105,BW>[,MT,2_Chronicles,1,13,JB>,W JB> CLMH L BMH >CR B GB<WN JRWCLM M L PNJ >HL MW<D W JMLK <L JFR>L,,qal,wayq,W JB> CLMH L BMH JRWCLM,CLMH,JRWCLM,JRWCLM/,to Jerusalem,0,vc,topo,inanim,det,nmpr,simple,factive,goal,,,,,,
407143,NWX[,MT,2_Chronicles,1,14,JNJXM,W J>SP CLMH RKB W PRCJM W JHJ LW >LP W >RB< M>WT RKB W CNJM <FR >LP PRCJM W JNJXM B <RJ H RKB W <M H MLK B JRWCLM,,hif,wayq,W JNJXM B <RJ H RKB W <M H MLK B JRWCLM,,B <RJ H RKB W <M H MLK B JRWCLM,B <JR/ H RKB/ W <M H MLK/ B JRWCLM/,in the cities of the chariots and with the king in Jerusalem,0,prep + prep,place,inanim,det,subs,complex,factive,goal,B,B,,,,
407205,<LH[,MT,2_Chronicles,1,17,J<LW,W J<LW W JWYJ>W M MYRJM MRKBH B CC M>WT KSP W SWS B XMCJM W M>H W KN L KL MLKJ H XTJM W MLKJ >RM B JDM JWYJ>W,,hif,wayq,W J<LW,,no complement,no complement,,,,,,,,,,,,,,,,
407233,JY>[,MT,2_Chronicles,1,17,JWYJ>W,W J<LW W JWYJ>W M MYRJM MRKBH B CC M>WT KSP W SWS B XMCJM W M>H W KN L KL MLKJ H XTJM W MLKJ >RM B JDM JWYJ>W,,hif,impf,B JDM JWYJ>W,,no complement,no complement,,,,,,,,,,,,,,,,
407671,BW>[,MT,2_Chronicles,2,15,NBJ>M,W >NXNW NKRT <YJM MN H LBNWN K KL YRKK W NBJ>M LK RPSDWT <L JM JPW W >TH T<LH >TM JRWCLM,,hif,impf,W NBJ>M LK RPSDWT <L JM JPW,,LK,L,to you,0,prep,prps,anim,det,prsf,simple,factive,goal,L,,,,,
407671,BW>[,MT,2_Chronicles,2,15,NBJ>M,W >NXNW NKRT <YJM MN H LBNWN K KL YRKK W NBJ>M LK RPSDWT <L JM JPW W >TH T<LH >TM JRWCLM,,hif,impf,W NBJ>M LK RPSDWT <L JM JPW,,JPW,JPW/,to Joppa,0,vc,topo,inanim,det,nmpr,simple,factive,goal,,,,,,
407679,<LH[,MT,2_Chronicles,2,15,T<LH,W >NXNW NKRT <YJM MN H LBNWN K KL YRKK W NBJ>M LK RPSDWT <L JM JPW W >TH T<LH >TM JRWCLM,,hif,impf,W >TH T<LH >TM JRWCLM,>TH,JRWCLM,JRWCLM/,to Jerusalem,0,vc,topo,inanim,det,nmpr,simple,factive,goal,,,,,,
407849,<LH[,MT,2_Chronicles,3,5,J<L,W >T H BJT H GDWL XPH <Y BRWCJM W JXPHW ZHB VWB W J<L <LJW TMRJM W CRCRWT,,hif,wayq,W J<L <LJW TMRJM W CRCRWT,,<LJW,<L,upon it / him,0,prep,prps,inanim,det,prsf,simple,posture/not motion,other,<L,,,,to make go / to cover something with something,
408033,<LH[,MT,2_Chronicles,3,14,J<L,W J<F >T H PRKT TKLT W >RGMN W KRMJL W BWY W J<L <LJW KRWBJM,,hif,wayq,W J<L <LJW KRWBJM,,<LJW,<L,upon it / him,0,prep,prps,inanim,det,prsf,simple,posture/not motion,other,<L,,,,,
408149,SBB[,MT,2_Chronicles,4,2,JSB,W J<F >T H JM MWYQ <FR B >MH M FPTW >L FPTW <GWL SBJB W XMC B >MH QWMTW W QW CLCJM B >MH JSB >TW SBJB,,qal,impf,W QW CLCJM B >MH JSB >TW SBJB,QW CLCJM B >MH,no complement,no complement,,,,,,,,,,,,,,,,
408159,SBB[,MT,2_Chronicles,4,3,SWBBJM,W DMWT BQRJM TXT LW SBJB SBJB SWBBJM >TW <FR B >MH MQJPJM >T H JM SBJB CNJM VWRJM H BQR JYWQJM B MYQTW,,qal,ptca,SBJB SWBBJM >TW,,no complement,no complement,,,,,,,,,,,,,,,,
408183,PNH[,MT,2_Chronicles,4,4,PNJM,<WMD <L CNJM <FR BQR CLCH PNJM YPWNH W CLWCH PNJM JMH W CLCH PNJM NGBH W CLCH PNJM MZRXH W H JM <LJHM M L M<LH W KL >XRJHM BJTH,,qal,ptca,CLCH PNJM YPWNH,CLCH,YPWNH,YPWN/,towards north,1,dir-he,dir,inanim,det,subs,simple,posture/not motion,goal,,,,,,
408187,PNH[,MT,2_Chronicles,4,4,PNJM,<WMD <L CNJM <FR BQR CLCH PNJM YPWNH W CLWCH PNJM JMH W CLCH PNJM NGBH W CLCH PNJM MZRXH W H JM <LJHM M L M<LH W KL >XRJHM BJTH,,qal,ptca,W CLWCH PNJM JMH,CLWCH,JMH,JM/,to the sea / towards the west,1,dir-he,place,inanim,det,subs,simple,posture/not motion,goal,,,,,,
408191,PNH[,MT,2_Chronicles,4,4,PNJM,<WMD <L CNJM <FR BQR CLCH PNJM YPWNH W CLWCH PNJM JMH W CLCH PNJM NGBH W CLCH PNJM MZRXH W H JM <LJHM M L M<LH W KL >XRJHM BJTH,,qal,ptca,W CLCH PNJM NGBH,CLCH,NGBH,NGB/,towards the south,1,dir-he,dir,inanim,det,subs,simple,posture/not motion,goal,,,,,,
408195,PNH[,MT,2_Chronicles,4,4,PNJM,<WMD <L CNJM <FR BQR CLCH PNJM YPWNH W CLWCH PNJM JMH W CLCH PNJM NGBH W CLCH PNJM MZRXH W H JM <LJHM M L M<LH W KL >XRJHM BJTH,,qal,ptca,W CLCH PNJM MZRXH,CLCH,MZRXH,MZRX/,towards the east,1,dir-he,dir,inanim,det,subs,simple,posture/not motion,goal,,,,,,
408605,BW>[,MT,2_Chronicles,5,1,JB>,W TCLM KL H ML>KH >CR <FH CLMH L BJT JHWH W JB> CLMH >T QDCJ DWJD >BJW W >T H KSP W >T H ZHB W >T KL H KLJM NTN B >YRWT BJT H >LHJM,,hif,wayq,W JB> CLMH >T QDCJ DWJD >BJW,CLMH,no complement,no complement,,,,,,,,,,,,,,,,
408631,QHL[,MT,2_Chronicles,5,2,JQHJL,>Z JQHJL CLMH >T ZQNJ JFR>L W >T KL R>CJ H MVWT NFJ>J H >BWT L BNJ JFR>L >L JRWCLM L H<LWT >T >RWN BRJT JHWH M <JR DWJD HJ> YJWN,,hif,impf,>Z JQHJL CLMH >T ZQNJ JFR>L W >T KL R>CJ H MVWT NFJ>J H >BWT L BNJ JFR>L >L JRWCLM,CLMH,>L JRWCLM,>L JRWCLM/,to Jerusalem,0,prep,topo,inanim,det,nmpr,simple,factive,goal,>L,,,,,
408662,QHL[,MT,2_Chronicles,5,3,JQHLW,W JQHLW >L H MLK KL >JC JFR>L B XG HW> H XDC H CB<J,,nif,wayq,W JQHLW >L H MLK KL >JC JFR>L B XG,KL >JC JFR>L,>L H MLK,>L H MLK/,to the king,0,prep,pers,anim,det,subs,simple,factive,goal,>L,,,,,
408678,BW>[,MT,2_Chronicles,5,4,JB>W,W JB>W KL ZQNJ JFR>L W JF>W H LWJM >T H >RWN,,qal,wayq,W JB>W KL ZQNJ JFR>L,KL ZQNJ JFR>L,no complement,no complement,,,,,,,,,,,,,,,,
408690,<LH[,MT,2_Chronicles,5,5,J<LW,W J<LW >T H >RWN W >T >HL MW<D W >T KL KLJ H QDC >CR B >HL H<LW >TM H KHNJM H LWJM,,hif,wayq,W J<LW >T H >RWN W >T >HL MW<D W >T KL KLJ H QDC,,no complement,no complement,,,,,,,,,,,,,,,,
408708,<LH[,MT,2_Chronicles,5,5,H<LW,W J<LW >T H >RWN W >T >HL MW<D W >T KL KLJ H QDC >CR B >HL H<LW >TM H KHNJM H LWJM,,hif,perf,H<LW >TM H KHNJM H LWJM,H KHNJM H LWJM,no complement,no complement,,,,,,,,,,,,,,,,
408742,BW>[,MT,2_Chronicles,5,7,JBJ>W,W JBJ>W H KHNJM >T >RWN BRJT JHWH >L MQWMW >L DBJR H BJT >L QDC H QDCJM >L TXT KNPJ H KRWBJM,,hif,wayq,W JBJ>W H KHNJM >T >RWN BRJT JHWH >L MQWMW >L DBJR H BJT >L QDC H QDCJM >L TXT KNPJ H KRWBJM,H KHNJM,>L MQWMW >L DBJR H BJT >L QDC H QDCJM >L TXT KNPJ H KRWBJM,>L MQWM/ >L DBJR/ H BJT/ >L QDC/ H QDC/ >L TXT/ KNP/ H KRWB/,"to the place to the inner sanctuary of the house, to the most holy place, under the wings of the cherubim",0,prep,place,inanim,det,subs,complex,factive,goal,>L,>L,>L,>L,,
409000,SBB[,MT,2_Chronicles,6,3,JSB,W JSB H MLK >T PNJW W JBRK >T KL QHL JFR>L W KL QHL JFR>L <WMD,,hif,wayq,W JSB H MLK >T PNJW,H MLK,no complement,no complement,,,,,,,,,,,,,,,,
409261,HLK[,MT,2_Chronicles,6,14,HLKJM,W J>MR JHWH >LHJ JFR>L >JN KMWK >LHJM B CMJM W B >RY CMR H BRJT W H XSD L <BDJK H HLKJM L PNJK B KL LBM,,qal,ptca,H HLKJM L PNJK B KL LBM,,L PNJK,L PNH/,before / in front of you,0,prep,prps,anim,det,prsf,simple,factive,other,L PNH/,,,,,
409324,HLK[,MT,2_Chronicles,6,16,LKT,W <TH JHWH >LHJ JFR>L CMR L <BDK DWJD >BJ >T >CR DBRT LW L >MR L> JKRT LK >JC M L PNJ JWCB <L KS> JFR>L RQ >M JCMRW BNJK >T DRKM L LKT B TWRTJ K >CR HLKT L PNJ,,qal,infc,L LKT B TWRTJ,,B TWRTJ,B TWRH/,in my law / torah,0,prep,abs,inanim,det,subs,complex,fictive,trajectory,B,,,,,
409329,HLK[,MT,2_Chronicles,6,16,HLKT,W <TH JHWH >LHJ JFR>L CMR L <BDK DWJD >BJ >T >CR DBRT LW L >MR L> JKRT LK >JC M L PNJ JWCB <L KS> JFR>L RQ >M JCMRW BNJK >T DRKM L LKT B TWRTJ K >CR HLKT L PNJ,,qal,perf,K >CR HLKT L PNJ,,L PNJ,L PNH/,before / in front of me,0,prep,prps,anim,det,prsf,simple,fictive,other,L PNH/,,,,,
409373,PNH[,MT,2_Chronicles,6,19,PNJT,W PNJT >L TPLT <BDK W >L TXNTW JHWH >LHJ L CM< >L H RNH W >L H TPLH >CR <BDK MTPLL L PNJK,,qal,perf,W PNJT >L TPLT <BDK W >L TXNTW,,>L TPLT <BDK W >L TXNTW,>L TPLH/ <BD/ W >L TXNH/,to the prayer of your servant and his supplication,0,prep,abs,inanim,det,subs,complex,posture/not motion,other,>L,>L,,,,
409470,BW>[,MT,2_Chronicles,6,22,B>,>M JXV> >JC L R<HW W NC> BW >LH L H>LTW W B> >LH L PNJ MZBXK B BJT H ZH,,qal,perf,W B> >LH L PNJ MZBXK B BJT H ZH,>LH,L PNJ MZBXK B BJT H ZH,L PNH/ MZBX/ B H BJT/ H ZH,before your altar in this temple,0,prep,obj,inanim,det,subs,complex,factive,goal,L PNH/,B,,,,
409493,CWB[,MT,2_Chronicles,6,23,HCJB,W >TH TCM< MN H CMJM W <FJT W CPVT >T <BDJK L HCJB L RC< L TT DRKW B R>CW W L HYDJQ YDJQ L TT LW K YDQTW,,hif,infc,L HCJB L RC<,,L RC<,L RC</,upon his head,0,prep,bopa,inanim,det,subs,complex,fictive,goal,L,,,,,
409522,CWB[,MT,2_Chronicles,6,24,CBW,W >M JNGP <MK JFR>L L PNJ >WJB KJ JXV>W LK W CBW W HWDW >T CMK W HTPLLW W HTXNNW L PNJK B BJT H ZH,,qal,perf,W CBW,,no complement,no complement,,,,,,,,,,,,,,,,
409551,CWB[,MT,2_Chronicles,6,25,HCJBWTM,W >TH TCM< MN H CMJM W SLXT L XV>T <MK JFR>L W HCJBWTM >L H >DMH >CR NTTH LHM W L >BTJHM,,hif,perf,W HCJBWTM >L H >DMH,,>L H >DMH,>L H >DMH/,to the ground / land,0,prep,place,inanim,det,subs,simple,factive,goal,>L,,,,,
409609,HLK[,MT,2_Chronicles,6,27,JLKW,W >TH TCM< H CMJM W SLXT L XV>T <BDJK W <MK JFR>L KJ TWRM >L H DRK H VWBH >CR JLKW BH W NTTH MVR <L >RYK >CR NTTH L <MK L NXLH,,qal,impf,>CR JLKW BH,,BH,B,in it / in her,0,prep,prps,inanim,det,prsf,simple,factive,trajectory,B,,,,,
409715,HLK[,MT,2_Chronicles,6,31,LKT,LM<N JJR>WK L LKT B DRKJK KL H JMJM >CR HM XJJM <L PNJ H >DMH >CR NTTH L >BTJNW,,qal,infc,L LKT B DRKJK KL H JMJM,,B DRKJK,B DRK/,in your ways,0,prep,abs,inanim,det,subs,complex,fictive,trajectory,B,,,,,
409761,BW>[,MT,2_Chronicles,6,32,B>W,W GM >L H NKRJ >CR L> M <MK JFR>L HW> W B> M >RY RXWQH LM<N CMK H GDWL W JDK H XZQH W ZRW<K H NVWJH W B>W W HTPLLW >L H BJT H ZH,,qal,perf,W B>W,,no complement,no complement,,,,,,,,,,,,,,,,
409816,JY>[,MT,2_Chronicles,6,34,JY>,KJ JY> <MK L MLXMH <L >WJBJW B DRK >CR TCLXM W HTPLLW >LJK DRK H <JR H Z>T >CR BXRT BH W H BJT >CR BNJTJ L CMK,,qal,impf,KJ JY> <MK L MLXMH <L >WJBJW B DRK,<MK,L MLXMH,L H MLXMH/,to the battle,0,prep,occ,inanim,det,subs,simple,factive,goal,L,,,,,
409816,JY>[,MT,2_Chronicles,6,34,JY>,KJ JY> <MK L MLXMH <L >WJBJW B DRK >CR TCLXM W HTPLLW >LJK DRK H <JR H Z>T >CR BXRT BH W H BJT >CR BNJTJ L CMK,,qal,impf,KJ JY> <MK L MLXMH <L >WJBJW B DRK,<MK,<L >WJBJW,<L >JB[,against his enemies,0,prep,pers,anim,det,subs,complex,factive,goal,<L,,,,,
409885,CWB[,MT,2_Chronicles,6,37,HCJBW,W HCJBW >L LBBM B >RY >CR NCBW CM W CBW W HTXNNW >LJK B >RY CBJM L >MR XV>NW H<WJNW W RC<NW,,hif,perf,W HCJBW >L LBBM B >RY,,>L LBBM,>L LBB/,to their hearts / to their senses,0,prep,abs,inanim,det,subs,complex,fictive,goal,>L,,,,,
409895,CWB[,MT,2_Chronicles,6,37,CBW,W HCJBW >L LBBM B >RY >CR NCBW CM W CBW W HTXNNW >LJK B >RY CBJM L >MR XV>NW H<WJNW W RC<NW,,qal,perf,W CBW,,no complement,no complement,,,,,,,,,,,,,,,,
409909,CWB[,MT,2_Chronicles,6,38,CBW,W CBW >LJK B KL LBM W B KL NPCM B >RY CBJM >CR CBW >TM W HTPLLW DRK >RYM >CR NTTH L >BWTM W H <JR >CR BXRT W L BJT >CR BNJTJ L CMK,,qal,perf,W CBW >LJK B KL LBM W B KL NPCM B >RY CBJM,,>LJK,>L,to you,0,prep,prps,anim,det,prsf,simple,fictive,goal,>L,,,,,
410008,CWB[,MT,2_Chronicles,6,42,TCB,JHWH >LHJM >L TCB PNJ MCJXJK ZKRH L XSDJ DWJD <BDK,,hif,impf,>L TCB PNJ MCJXJK,,no complement,no complement,,,,,,,,,,,,,,,,
410049,BW>[,MT,2_Chronicles,7,2,BW>,W L> JKLW H KHNJM L BW> >L BJT JHWH KJ ML> KBWD JHWH >T BJT JHWH,,qal,infc,L BW> >L BJT JHWH,,>L BJT JHWH,>L BJT/ JHWH/,to the house of YHWH,0,prep,place,inanim,det,subs,complex,factive,goal,>L,,,,,
410066,JRD[,MT,2_Chronicles,7,3,RDT,W KL BNJ JFR>L R>JM B RDT H >C W KBWD JHWH <L H BJT W JKR<W >PJM >RYH <L H RYPH W JCTXWW W HWDWT L JHWH KJ VWB KJ L <WLM XSDW,,qal,infc,B RDT H >C W KBWD JHWH <L H BJT,H >C W KBWD JHWH,<L H BJT,<L H BJT/,upon / to the house,0,prep,place,inanim,det,subs,simple,fictive,goal,<L,,,,,
410243,BW>[,MT,2_Chronicles,7,8,BW>,W J<F CLMH >T H XG B <T H HJ> CB<T JMJM W KL JFR>L <MW QHL GDWL M>D M L BW> XMT <D NXL MYRJM,,qal,infc,M L BW> XMT,,XMT,XMT=/,to Hamath,0,vc,topo,inanim,det,nmpr,simple,posture/not motion,other,,,,,the entrance of Hamath not predicate,
