verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
194775,NPL[,MT,2_Kings,1,2,JPL,W JPL >XZJH B<D H FBKH B <LJTW >CR B CMRWN W JXL W JCLX ML>KJM W J>MR >LHM LKW DRCW B B<L ZBWB >LHJ <QRWN >M >XJH M XLJ ZH,,qal,wayq,W JPL >XZJH B<D H FBKH B <LJTW,>XZJH,B<D H FBKH B <LJTW,B<D/ H FBKH/ B <LJH/,through the lattice of the roof chamber,0,prep,obj,inanim,det,subs,complex,vertical,trajectory,B,,,,,
194793,HLK[,MT,2_Kings,1,2,LKW,W JPL >XZJH B<D H FBKH B <LJTW >CR B CMRWN W JXL W JCLX ML>KJM W J>MR >LHM LKW DRCW B B<L ZBWB >LHJ <QRWN >M >XJH M XLJ ZH,,qal,impv,LKW,,no complement,no complement,,,,,,,,,,,,,,,,
194814,<LH[,MT,2_Kings,1,3,<LH,W ML>K JHWH DBR >L >LJH H TCBJ QWM <LH L QR>T ML>KJ MLK CMRWN W DBR >LHM H M BLJ >JN >LHJM B JFR>L >TM HLKJM L DRC B B<L ZBWB >LHJ <QRWN,,qal,impv,<LH,,no complement,no complement,,,,,,,,,,,,,,,,
194831,HLK[,MT,2_Kings,1,3,HLKJM,W ML>K JHWH DBR >L >LJH H TCBJ QWM <LH L QR>T ML>KJ MLK CMRWN W DBR >LHM H M BLJ >JN >LHJM B JFR>L >TM HLKJM L DRC B B<L ZBWB >LHJ <QRWN,,qal,ptca,>TM HLKJM,>TM,no complement,no complement,,,,,,,,,,,,,,,,
194847,<LH[,MT,2_Kings,1,4,<LJT,W LKN KH >MR JHWH H MVH >CR <LJT CM L> TRD MMNH KJ MWT TMWT W JLK >LJH,,qal,perf,>CR <LJT CM,,CM,CM,there,0,vc,adv,inanim,det,adv,simple,factive,goal,,,,,,
194856,HLK[,MT,2_Kings,1,4,JLK,W LKN KH >MR JHWH H MVH >CR <LJT CM L> TRD MMNH KJ MWT TMWT W JLK >LJH,,qal,wayq,W JLK >LJH,>LJH,no complement,no complement,,,,,,,,,,,,,,,,
194859,CWB[,MT,2_Kings,1,5,JCWBW,W JCWBW H ML>KJM >LJW W J>MR >LJHM MH ZH CBTM,,qal,wayq,W JCWBW H ML>KJM >LJW,H ML>KJM,>LJW,>L,to him / it,0,prep,prps,anim,det,prsf,simple,factive,goal,>L,,,,,
194868,CWB[,MT,2_Kings,1,5,CBTM,W JCWBW H ML>KJM >LJW W J>MR >LJHM MH ZH CBTM,,qal,perf,MH ZH CBTM,,no complement,no complement,,,,,,,,,,,,,,,,
194873,<LH[,MT,2_Kings,1,6,<LH,W J>MRW >LJW >JC <LH L QR>TNW W J>MR >LJNW LKW CWBW >L H MLK >CR CLX >TKM W DBRTM >LJW KH >MR JHWH H M BLJ >JN >LHJM B JFR>L >TH CLX L DRC B B<L ZBWB >LHJ <QRWN LKN H MVH >CR <LJT CM L> TRD MMNH KJ MWT TMWT,,qal,perf,>JC <LH,>JC,no complement,no complement,,,,,,,,,,,,,,,,
194879,HLK[,MT,2_Kings,1,6,LKW,W J>MRW >LJW >JC <LH L QR>TNW W J>MR >LJNW LKW CWBW >L H MLK >CR CLX >TKM W DBRTM >LJW KH >MR JHWH H M BLJ >JN >LHJM B JFR>L >TH CLX L DRC B B<L ZBWB >LHJ <QRWN LKN H MVH >CR <LJT CM L> TRD MMNH KJ MWT TMWT,,qal,impv,LKW,,no complement,no complement,,,,,,,,,,,,,,,,
194880,CWB[,MT,2_Kings,1,6,CWBW,W J>MRW >LJW >JC <LH L QR>TNW W J>MR >LJNW LKW CWBW >L H MLK >CR CLX >TKM W DBRTM >LJW KH >MR JHWH H M BLJ >JN >LHJM B JFR>L >TH CLX L DRC B B<L ZBWB >LHJ <QRWN LKN H MVH >CR <LJT CM L> TRD MMNH KJ MWT TMWT,,qal,impv,CWBW >L H MLK,,>L H MLK,>L H MLK/,to the king,0,prep,pers,anim,det,subs,simple,factive,goal,>L,,,,,
194913,<LH[,MT,2_Kings,1,6,<LJT,W J>MRW >LJW >JC <LH L QR>TNW W J>MR >LJNW LKW CWBW >L H MLK >CR CLX >TKM W DBRTM >LJW KH >MR JHWH H M BLJ >JN >LHJM B JFR>L >TH CLX L DRC B B<L ZBWB >LHJ <QRWN LKN H MVH >CR <LJT CM L> TRD MMNH KJ MWT TMWT,,qal,perf,>CR <LJT CM,,CM,CM,there,0,vc,adv,inanim,det,adv,simple,factive,goal,,,,,,
