verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,comments,reconstructed_verse
160476,CWB[,MT,2_Samuel,1,1,CB,W JHJ >XRJ MWT C>WL W DWD CB M HKWT >T H <MLQ W JCB DWD B YQLG JMJM CNJM,,qal,perf,W DWD CB,DWD,no complement,no complement,,,,,,,,,,,,,,,,,,
160499,BW>[,MT,2_Samuel,1,2,B>,W JHJ B JWM H CLJCJ W HNH >JC B> MN H MXNH M <M C>WL W BGDJW QR<JM W >DMH <L R>CW W JHJ B B>W >L DWD W JPL >RYH W JCTXW,,qal,perf,W HNH >JC B> MN H MXNH M <M C>WL,>JC,MN H MXNH M <M C>WL,MN H MXNH/ MN <M C>WL=/,,0,prep + prep + prep,pers,anim,det,subs,complex,,,MN,MN,<M,,,,min excluded,
160516,BW>[,MT,2_Samuel,1,2,B>W,W JHJ B JWM H CLJCJ W HNH >JC B> MN H MXNH M <M C>WL W BGDJW QR<JM W >DMH <L R>CW W JHJ B B>W >L DWD W JPL >RYH W JCTXW,,qal,infc,B B>W >L DWD,,>L DWD,>L DWD==/,to David,0,prep,pers,anim,det,nmpr,simple,factive,goal,>L,,,,,,,
160520,NPL[,MT,2_Samuel,1,2,JPL,W JHJ B JWM H CLJCJ W HNH >JC B> MN H MXNH M <M C>WL W BGDJW QR<JM W >DMH <L R>CW W JHJ B B>W >L DWD W JPL >RYH W JCTXW,,qal,wayq,W JPL >RYH,,>RYH,>RY/,to the ground ,1,dir-he,place,inanim,det,subs,simple,vertical,goal,,,,,,,,
2002604,NWS[,4Q51,2_Samuel,1,4,NS,H DBR H ZH HGD N> LJ W J>MR >CR NS H <M MN H MLXMH W GM HRBH NPL MN H <M W JMTW W GM C>WL W JHWNTN BNW MTW,1 111 1 11 110 01 11 1 1111 111 11 1 11 11 1 11111 1 11 1111 111 00 0 00 0 1111 1 11 1111 1 111111 111 111,qal,perf,None,None,,,,,,,,,,,,,,,,,,,reconstructed,[H DBR H ZH HG]D N[> LJ W J>MR >CR NS H <M MN H MLXMH W GM HRBH NPL] MN H <M W [JMTW W GM C>WL W JHWNTN BNW MTW]
2002613,NPL[,4Q51,2_Samuel,1,4,NPL,H DBR H ZH HGD N> LJ W J>MR >CR NS H <M MN H MLXMH W GM HRBH NPL MN H <M W JMTW W GM C>WL W JHWNTN BNW MTW,1 111 1 11 110 01 11 1 1111 111 11 1 11 11 1 11111 1 11 1111 111 00 0 00 0 1111 1 11 1111 1 111111 111 111,qal,perf,None,None,,,,,,,,,,,,,,,,,,,reconstructed,[H DBR H ZH HG]D N[> LJ W J>MR >CR NS H <M MN H MLXMH W GM HRBH NPL] MN H <M W [JMTW W GM C>WL W JHWNTN BNW MTW]
160621,PNH[,MT,2_Samuel,1,7,JPN,W JPN >XRJW W JR>NJ W JQR> >LJ W >MR HNNJ,,qal,wayq,W JPN >XRJW,,>XRJW,>XR/,behind him,0,prep,prps,anim,det,prsf,simple,posture/not motion,goal,>XR/,,,,,,,
160669,NPL[,MT,2_Samuel,1,10,NPLW,W ><MD <LJW W >MTTHW KJ JD<TJ KJ L> JXJH >XRJ NPLW W >QX H NZR >CR <L R>CW W >Y<DH >CR <L ZR<W W >BJ>M >L >DNJ HNH,,qal,infc,>XRJ NPLW,,no complement,no complement,,,,,,,,,,,,,,,,,,
160683,BW>[,MT,2_Samuel,1,10,>BJ>M,W ><MD <LJW W >MTTHW KJ JD<TJ KJ L> JXJH >XRJ NPLW W >QX H NZR >CR <L R>CW W >Y<DH >CR <L ZR<W W >BJ>M >L >DNJ HNH,,hif,wayq,W >BJ>M >L >DNJ HNH,,>L >DNJ,>L >DWN/,to my lord,0,prep,pers,anim,det,subs,complex,factive,goal,>L,,,,,,,
160683,BW>[,MT,2_Samuel,1,10,>BJ>M,W ><MD <LJW W >MTTHW KJ JD<TJ KJ L> JXJH >XRJ NPLW W >QX H NZR >CR <L R>CW W >Y<DH >CR <L ZR<W W >BJ>M >L >DNJ HNH,,hif,wayq,W >BJ>M >L >DNJ HNH,,HNH,HNH==,here,0,vc,adv,inanim,det,adv,simple,factive,goal,,,,,,,,
