verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
295449,CWB[,MT,Amos,1,3,>CJBNW,KH >MR JHWH <L CLCH PC<J DMFQ W <L >RB<H L> >CJBNW <L DWCM B XRYWT H BRZL >T H GL<D,,hif,impf,<L CLCH PC<J DMFQ W <L >RB<H L> >CJBNW,,<L CLCH PC<J DMFQ W <L >RB<H,<L CLC/ PC</ DMFQ/ W <L >RB</,for three transgressions of Damascus and for four,0,prep + prep,abs,inanim,det,subs,complex,posture/not motion,other,<L,<L,,,,
2073000,CWB[,5Q4,Amos,1,3,>CJBNW,KH >MR JHWH <L CLCH PC<J DMFQ W <L >RB<H LW> >CJBNW <L DWCM B XRYWT H BRZL >T HRWT H GL<D,11 000 0000 11 1111 1111 1111 1 11 11110 000 111111 11 1111 1 11111 1 1111 11 0001 0 0001,hif,impf,None,None,,,,,,,,,,,,,,,,,reconstructed,[KH] >MR JHWH [<L CLCH PC<J DMFQ W <L >RB<]H LW> [>CJBNW <L DWCM B XRYWT H BRZL >T] HRW[T] H GL<[D]
2043997,CWB[,4Q82,Amos,1,3,>CJBNW,KH >MR JHWH <L CLCH PC<J DMFQ W <L >RB<H L> >CJBNW <L DWCM B XRYWT H BRZL >T H GL<D,11 111 1111 11 1111 1111 1111 1 11 00000 11 111111 11 1111 1 11111 1 1110 01 0 0000,hif,impf,<L CLCH PC<J DMFQ W <L >RB<H L> >CJBNW,,<L CLCH PC<J DMFQ W <L >RB<H,,for three transgressions of Damascus and for four,0,prep + prep,abs,inanim,det,subs,complex,,,<L,<L,,,reconstructed,[KH >MR JHWH <L CLCH PC<J DMFQ W <L] >RB<H [L> >CJBNW <L DWCM B XRYWT H BRZ]L >[T] H GL<D
295484,GLH[,MT,Amos,1,5,GLW,W CBRTJ BRJX DMFQ W HKRTJ JWCB M BQ<T_>WN W TWMK CBV M BJT_<DN W GLW <M >RM QJRH >MR JHWH,,qal,perf,W GLW <M >RM QJRH,<M >RM,QJRH,QJR=/,to Kir,1,dir-he,topo,inanim,det,nmpr,simple,factive,goal,,,,,,
2092066,GLH[,Mur88,Amos,1,5,GLW,>WN W TWMK CBV M BJT <DN W GLW <M >RM QJRH >MR JHWH,000 0 0111 111 1 111 111 1 111 11 111 1111 111 1111,qal,perf,None,None,,,,,,,,,,,,,,,,,reconstructed,>WN W T[WMK CBV M BJT <DN W GLW <M >RM QJRH >MR JHWH]
2044037,GLH[,4Q82,Amos,1,5,GLW,W CBRTJ BRJX DMFQ W HKRTJ JWCB M BQ<T >WN W TWMK CBV M BJT <DN W GLW <M >RM QJRH >MR JHWH,1 00000 0001 1111 1 11111 1111 1 1111 000 0 0000 000 0 001 111 0 111 11 111 1111 111 1110,qal,perf,None,None,,,,,,,,,,,,,,,,,reconstructed,[W] CBRTJ BRJ[X DMFQ W HKRTJ JWCB M BQ<T] >WN W TWMK CBV M BJ[T <DN] W [GLW <M >RM QJRH >MR JHW]H
295501,CWB[,MT,Amos,1,6,>CJBNW,KH >MR JHWH <L CLCH PC<J <ZH W <L >RB<H L> >CJBNW <L HGLWTM GLWT CLMH L HSGJR L >DWM,,hif,impf,<L CLCH PC<J <ZH W <L >RB<H L> >CJBNW,,<L CLCH PC<J <ZH W <L >RB<H,<L CLC/ PC</ <ZH/ W <L >RB</,For three transgressions of Gaza and for four,0,prep + prep,abs,inanim,det,subs,complex,posture/not motion,other,<L,<L,,,,
295503,GLH[,MT,Amos,1,6,HGLWTM,KH >MR JHWH <L CLCH PC<J <ZH W <L >RB<H L> >CJBNW <L HGLWTM GLWT CLMH L HSGJR L >DWM,,hif,infc,<L HGLWTM GLWT CLMH,,no complement,no complement,,,,,,,,,,,,,,,,
2092084,CWB[,Mur88,Amos,1,6,>CJBNW,KH >MR JHWH <L CLCH PC<J <ZH W <L >RB<H L> >CJBNW <L HGLWTM GLWT CLMH L HSGJR L >DWM,00 000 1111 11 1111 1111 111 1 11 11111 11 111111 10 000000 1111 1111 1 11111 1 1111,hif,impf,<L CLCH PC<J <ZH W <L >RB<H L> >CJBNW,,<L CLCH PC<J <ZH W <L >RB<H,,For three transgressions of Gaza and for four,0,prep + prep,abs,inanim,det,subs,complex,,,<L,<L,,,reconstructed,KH >MR [JHWH <L CLCH PC<J <ZH W <L >RB<H L> >CJBNW <]L HGLWTM [GLWT CLMH L HSGJR L >DWM]
2044055,CWB[,4Q82,Amos,1,6,>CJBNW,KH >MR JHWH <L CLCH PC<J <ZH W <L >RB<H LW> >CJBNW <L HGLWTM GLWT CLMH L HSGJR L >D,11 111 1111 11 1111 1111 111 0 01 11111 111 111111 11 111100 1011 0111 1 11111 0 00,hif,impf,<L CLCH PC<J <ZH W <L >RB<H LW> >CJBNW,,<L CLCH PC<J <ZH W <L >RB<H,,For three transgressions of Gaza and for four,0,prep + prep,abs,inanim,det,subs,complex,,,<L,<L,,,reconstructed,[KH >MR JHWH <L CLCH PC<J <ZH] W <[L >RB<H LW> >CJBNW <L HGLW]TM [G]L[WT] C[LMH L HSGJR] L >D
