verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
370087,BW>[,MT,Daniel,1,1,B>,B CNT CLWC L MLKWT JHWJQJM MLK JHWDH B> NBWKDN>YR MLK BBL JRWCLM W JYR <LJH,,qal,perf,B CNT CLWC L MLKWT JHWJQJM MLK JHWDH B> NBWKDN>YR MLK BBL JRWCLM,NBWKDN>YR MLK BBL,JRWCLM,JRWCLM/,to Jerusalem,0,vc,topo,inanim,det,nmpr,simple,factive,goal,,,,,,
370112,BW>[,MT,Daniel,1,2,JBJ>M,W JTN >DNJ B JDW >T JHWJQJM MLK JHWDH W M QYT KLJ BJT H >LHJM W JBJ>M >RY CN<R BJT >LHJW W >T H KLJM HBJ> BJT >WYR >LHJW,,hif,wayq,W JBJ>M >RY CN<R BJT >LHJW,,>RY CN<R BJT >LHJW,>RY/ CN<R/ BJT/ >LHJM/,to the land of Shinar to the house of his god,0,vc,place,inanim,det,subs,complex,factive,goal,,,,,,
370121,BW>[,MT,Daniel,1,2,HBJ>,W JTN >DNJ B JDW >T JHWJQJM MLK JHWDH W M QYT KLJ BJT H >LHJM W JBJ>M >RY CN<R BJT >LHJW W >T H KLJM HBJ> BJT >WYR >LHJW,,hif,perf,W >T H KLJM HBJ> BJT >WYR >LHJW,,BJT >WYR >LHJW,BJT/ >WYR/ >LHJM/,to the house of the treasure of his god,0,vc,place,inanim,det,subs,complex,factive,goal,,,,,,
370470,BW>[,MT,Daniel,1,18,HBJ>M,W L M QYT H JMJM >CR >MR H MLK L HBJ>M W JBJ>M FR H SRJSJM L PNJ NBKDNYR,,hif,infc,L HBJ>M,,no complement,no complement,,,,,,,,,,,,,,,,
370472,BW>[,MT,Daniel,1,18,JBJ>M,W L M QYT H JMJM >CR >MR H MLK L HBJ>M W JBJ>M FR H SRJSJM L PNJ NBKDNYR,,hif,wayq,W JBJ>M FR H SRJSJM L PNJ NBKDNYR,FR H SRJSJM,L PNJ NBKDNYR,L PNH/ NBWKDN>YR/,before/in front of Nebuchadnezzar,0,prep,pers,anim,det,subs,complex,factive,goal,L PNH/,,,,,
2057864,BW>[,4Q112,Daniel,1,18,HBJ>M,W L M QYT H JMJM >CR >MR H MLK L HBJ>M W JBJ>M FR H SRJSJM L PNJ NBWKDNYR,0 0 0 100 1 1111 111 111 1 111 1 11111 1 11111 11 1 111100 0 000 00111111,hif,infc,L HBJ>M,,no complement,no complement,,,,,,,,,,,,,,,,W L M [Q]YT [H JMJM >CR >MR H MLK L HBJ>M W JBJ>M FR H SRJS]JM L PNJ NB[WKDNYR]
2057866,BW>[,4Q112,Daniel,1,18,JBJ>M,W L M QYT H JMJM >CR >MR H MLK L HBJ>M W JBJ>M FR H SRJSJM L PNJ NBWKDNYR,0 0 0 100 1 1111 111 111 1 111 1 11111 1 11111 11 1 111100 0 000 00111111,hif,wayq,[W JBJ>M FR H SRJS]JM L PNJ NB[WKDNYR],[FR H SRJS]JM,L PNJ NB[WKDNYR],L PNH/ NBWKDN>YR/,before/in front of Nebuchadnezzar,0,prep,pers,anim,det,subs,complex,factive,goal,L PNH/,,,,reconstructed?,W L M [Q]YT [H JMJM >CR >MR H MLK L HBJ>M W JBJ>M FR H SRJS]JM L PNJ NB[WKDNYR]
370580,BW>[,MT,Daniel,2,2,JB>W,W J>MR H MLK L QR> L XRVMJM W L >CPJM W L MKCPJM W L KFDJM L HGJD L MLK XLMTJW W JB>W W J<MDW L PNJ H MLK,,qal,wayq,W JB>W,,no complement,no complement,,,,,,,,,,,,,,,,
1929516,BW>[,1Q71,Daniel,2,2,JB>W,KFDJJM L HGJD L MLK XLMTJW W JB>W W J<MDW L PNJ H MLK,000000 0 0000 1 111 111111 1 1111 1 11111 1 111 0 000,qal,wayq,[W JB>W],None,,,,,,,,,,,,,,,,,reconstructed,KFDJJM L HGJD [L MLK XLMTJW W JB>W W J<MDW L PNJ] H MLK
370916,GLH[,MT,Daniel,2,19,GLJ,>DJN L DNJ>L B XZW> DJ LJLJ> RZH GLJ >DJN DNJ>L BRK L >LH CMJ>,,peil,perf,>DJN L DNJ>L B XZW> DJ LJLJ> RZH GLJ,RZH,L DNJ>L,L DNJ>L/,to Daniel,0,prep,pers,anim,det,nmpr,simple,posture/not motion,goal/recipient,L,,,,,
2058079,GLH[,4Q112,Daniel,2,22,GL>,HW> GL> <MJQT > W MSTRT > W JD< MH B XCWK > W NHJR > <MH CR>,000 000 00000 0 0 00000 0 0 000 00 0 0000 0 0 0000 0 111 001,peal,ptca,HW> GL> <MJQT > W MSTRT >,,no complement,no complement,,,,,,,,,,,,,,,,HW> GL> <MJQT > W MSTRT > W JD< MH B XCWK > W NHJR > [<MH] CR[>]
2058246,GLH[,4Q112,Daniel,2,28,GL>,BRM >JTJ >LH B CMJ > GL> RZJN W MHWD< L MLK > NBWKDNYR MH DJ LHW> B >XRJT JWMJ > MLK > L <LMJN XJJ XLMK <L MCKBK DNH HW>,011 1111 111 1 111 1 111 0000 0 00000 0 000 0 00000000 00 00 0000 0 00000 0000 0 011 1 1 11111 111 1111 00 00000 000 000,peal,ptca,None,None,,,,,,,,,,,,,,,,,reconstructed,B[RM >JTJ >LH B CMJ > GL>] RZJN W MHWD< L MLK > NBWKDNYR MH DJ LHW> B >XRJT JWMJ > M[LK > L <LMJN XJJ XLMK] <L MCKBK DNH HW>
371130,SLQ[,MT,Daniel,2,29,SLQW,>NTH MLK> R<JWNK <L MCKBK SLQW MH DJ LHW> >XRJ DNH W GL> RZJ> HWD<K MH DJ LHW>,,peal,perf,R<JWNK <L MCKBK SLQW,R<JWNK <L MCKBK,no complement,no complement,,,,,,,,,,,,,,,,
2058278,SLQ[,4Q112,Daniel,2,29,SLQW,>NT MLK > R<JWNJK <L MCKBK SLQW MH DJ LHW> >XRJ DNH W GL> RZJ > HWD<K MH DJ LHW>,000 000 0 0000000 00 00000 0000 00 00 0111 1111 111 0 000 000 0 00000 00 00 0000,peal,perf,R<JWNJK <L MCKBK SLQW,R<JWNJK <L MCKBK,no complement,no complement,,,,,,,,,,,,,,,,>NT MLK > R<JWNJK <L MCKBK SLQW MH DJ L[HW> >XRJ DNH] W GL> RZJ > HWD<K MH DJ LHW>
2058285,GLH[,4Q112,Daniel,2,29,GL>,>NT MLK > R<JWNJK <L MCKBK SLQW MH DJ LHW> >XRJ DNH W GL> RZJ > HWD<K MH DJ LHW>,000 000 0 0000000 00 00000 0000 00 00 0111 1111 111 0 000 000 0 00000 00 00 0000,peal,ptca,W GL> RZJ > HWD<K MH DJ LHW>,,no complement,no complement,,,,,,,,,,,,,,,,>NT MLK > R<JWNJK <L MCKBK SLQW MH DJ L[HW> >XRJ DNH] W GL> RZJ > HWD<K MH DJ LHW>
