verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
365693,BW>[,MT,Esther,1,11,HBJ>,L HBJ> >T WCTJ H MLKH L PNJ H MLK B KTR MLKWT L HR>WT H <MJM W H FRJM >T JPJH KJ VWBT MR>H HJ>,,hif,infc,L HBJ> >T WCTJ H MLKH L PNJ H MLK B KTR MLKWT,,L PNJ H MLK,L PNH/ H MLK/,before / in front of the king,0,prep,pers,anim,det,subs,simple,factive,goal,L,,,,,
365724,BW>[,MT,Esther,1,12,BW>,W TM>N H MLKH WCTJ L BW> B DBR H MLK >CR B JD H SRJSJM W JQYP H MLK M>D W XMTW B<RH BW,,qal,infc,L BW> B DBR H MLK,,no complement,no complement,,,,,,,,,,,,,,,,
365851,JY>[,MT,Esther,1,17,JY>,KJ JY> DBR H MLKH <L KL H NCJM L HBZWT B<LJHN B <JNJHN B >MRM H MLK >XCWRWC >MR L HBJ> >T WCTJ H MLKH L PNJW W L> B>H,,qal,impf,KJ JY> DBR H MLKH <L KL H NCJM,DBR H MLKH,<L KL H NCJM,<L KL/ H >CH/,to all the women,0,prep,pers,anim,det,subs,complex,fictive,goal,<L,,,,,
365871,BW>[,MT,Esther,1,17,HBJ>,KJ JY> DBR H MLKH <L KL H NCJM L HBZWT B<LJHN B <JNJHN B >MRM H MLK >XCWRWC >MR L HBJ> >T WCTJ H MLKH L PNJW W L> B>H,,hif,infc,L HBJ> >T WCTJ H MLKH L PNJW,,L PNJW,L PNH/,before / in front of him,0,prep,prps,anim,det,prsf,simple,factive,goal,L PNH/,,,,,
365880,BW>[,MT,Esther,1,17,B>H,KJ JY> DBR H MLKH <L KL H NCJM L HBZWT B<LJHN B <JNJHN B >MRM H MLK >XCWRWC >MR L HBJ> >T WCTJ H MLKH L PNJW W L> B>H,,qal,perf,W L> B>H,,no complement,no complement,,,,,,,,,,,,,,,,
365913,JY>[,MT,Esther,1,19,JY>,>M <L H MLK VWB JY> DBR MLKWT M L PNJW W JKTB B DTJ PRS W MDJ W L> J<BWR >CR L> TBW> WCTJ L PNJ H MLK >XCWRWC W MLKWTH JTN H MLK L R<WTH H VWBH MMNH,,qal,impf,JY> DBR MLKWT M L PNJW,DBR MLKWT,M L PNJW,MN L PNH/,,0,prep + prep,,,det,subs,complex,,,MN,L,,,min excluded,
365928,<BR[,MT,Esther,1,19,J<BWR,>M <L H MLK VWB JY> DBR MLKWT M L PNJW W JKTB B DTJ PRS W MDJ W L> J<BWR >CR L> TBW> WCTJ L PNJ H MLK >XCWRWC W MLKWTH JTN H MLK L R<WTH H VWBH MMNH,,qal,impf,W L> J<BWR,,no complement,no complement,,,,,,,,,,,,,,,,
365931,BW>[,MT,Esther,1,19,TBW>,>M <L H MLK VWB JY> DBR MLKWT M L PNJW W JKTB B DTJ PRS W MDJ W L> J<BWR >CR L> TBW> WCTJ L PNJ H MLK >XCWRWC W MLKWTH JTN H MLK L R<WTH H VWBH MMNH,,qal,impf,>CR L> TBW> WCTJ L PNJ H MLK >XCWRWC,WCTJ,L PNJ H MLK >XCWRWC,L PNH/ H MLK/ >XCWRWC/,,0,prep,pers,anim,det,subs,complex,,,L,,,,,
366149,GLH[,MT,Esther,2,6,HGLTH,>CR HGLH M JRWCLJM <M H GLH >CR HGLTH <M JKNJH MLK JHWDH >CR HGLH NBWKDN>YR MLK BBL,,hof,perf,>CR HGLTH <M JKNJH MLK JHWDH,,no complement,no complement,,,,,,,,,,,,,,,,
366155,GLH[,MT,Esther,2,6,HGLH,>CR HGLH M JRWCLJM <M H GLH >CR HGLTH <M JKNJH MLK JHWDH >CR HGLH NBWKDN>YR MLK BBL,,hif,perf,>CR HGLH NBWKDN>YR MLK BBL,NBWKDN>YR MLK BBL,no complement,no complement,,,,,,,,,,,,,,,,
