verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,preposition_1,preposition_2,preposition_3,preposition_4,comments
28771,BW>[,MT,Exodus,1,1,B>JM,W >LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QB >JC W BJTW B>W,,qal,ptca,H B>JM MYRJMH >T J<QB,,MYRJMH,MYRJM/,to Egypt,1,dir_he,topo,inanim,det,nmpr,simple,factive,,,,,
28778,BW>[,MT,Exodus,1,1,B>W,W >LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QB >JC W BJTW B>W,,qal,perf,>JC W BJTW B>W,>JC W BJTW,no complement,no complement,,,,,,,,,,,,,,
1945779,BW>[,4Q13,Exodus,1,1,B>JM,>LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QWB >BJHM >JC W BJTW B>W,1 1 1 1 1 000 0000 000 00000 0 0000 000000 00 00000 00000 000 0 0000 000,qal,ptca,H B>JM MYRJMH >T J<QWB,,MYRJMH,MYRJM/,to Egypt,1,dir_he,topo,inanim,det,nmpr,simple,factive,,,,,
1945787,BW>[,4Q13,Exodus,1,1,B>W,>LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QWB >BJHM >JC W BJTW B>W,1 1 1 1 1 000 0000 000 00000 0 0000 000000 00 00000 00000 000 0 0000 000,qal,perf,>JC W BJTW B>W,>JC W BJTW,no complement,no complement,,,,,,,,,,,,,,
1941985,BW>[,4Q11,Exodus,1,1,B>JM,>LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QB >JC W BJTW B>W,000 0000 000 00000 0 0000 000000 00 0000 000 0 0000 000,qal,ptca,H B>JM MYRJMH >T J<QB,,MYRJMH,MYRJM/,to Egypt,1,dir_he,topo,inanim,det,nmpr,simple,factive,,,,,
1941992,BW>[,4Q11,Exodus,1,1,B>W,>LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QB >JC W BJTW B>W,000 0000 000 00000 0 0000 000000 00 0000 000 0 0000 000,qal,perf,>JC W BJTW B>W,>JC W BJTW,no complement,no complement,,,,,,,,,,,,,,
28798,JY>[,MT,Exodus,1,5,JY>J,W JHJ KL NPC JY>J JRK J<QB CB<JM NPC W JWSP HJH B MYRJM,,qal,ptca,W JHJ KL NPC JY>J JRK J<QB CB<JM NPC,KL NPC JY>J JRK J<QB,no complement,no complement,,,,,,,,,,,,,,JY>[ not predicate
1935630,JY>[,4Q1,Exodus,1,5,JY>J,W JHJ KL NPC JY>J JRK J<QB CB<JM W XMC NPC W JWSP HJH B MYRJM,0 000 00 000 0000 000 0000 00000 0 000 000 0 0000 000 0 00000,qal,ptca,W JHJ KL NPC JY>J JRK J<QB CB<JM W XMC NPC,KL NPC JY>J JRK J<QB,no complement,no complement,,,,,,,,,,,,,,JY>[ not predicate
28881,<LH[,MT,Exodus,1,10,<LH,HBH NTXKMH LW PN JRBH W HJH KJ TQR>NH MLXMH W NWSP GM HW> <L FN>JNW W NLXM BNW W <LH MN H >RY,,qal,perf,W <LH MN H >RY,,MN H >RY,MN H >RY/,from the land,0,prep,topo,inanim,det,subs,simple,factive,MN,,,,
1935721,<LH[,4Q1,Exodus,1,10,<LH,HBH NTXKMH LW PN JRBH W HJH KJ TQR>NH MLXMH W NWSP GM HW> <L FN>JNW W NLXM BNW W <LH MN H >RY,000 000000 00 00 0000 0 000 00 000000 00000 0 0000 00 000 00 000000 0 0000 000 0 000 00 0 000,qal,perf,W <LH MN H >RY,,MN H >RY,MN H >RY/,from the land,0,prep,topo,inanim,det,subs,simple,factive,MN,,,,
29061,BW>[,MT,Exodus,1,19,TBW>,W T>MRN H MJLDT >L PR<H KJ L> K NCJM H MYRJT H <BRJT KJ XJWT HNH B VRM TBW> >LHN H MJLDT W JLDW,,qal,impf,B VRM TBW> >LHN H MJLDT,H MJLDT,>LHN,>L,to them (the Hebrew women),0,prep,pers,anim,det,prsf,simple,factive,>L,,,,
1945925,BW>[,4Q13,Exodus,1,19,TBW>,W TW>MRNH H MJLDWT >L PR<H KJ L> K NCJM H MYRJWT H <BRJWT KJ B VRM TBW> >LJHNH H MJLDT W JLDW,0 0000000 0 000000 00 0000 00 00 0 0000 0 000000 0 000000 00 0 000 0000 000000 0 00000 0 0000,qal,impf,B VRM TBW> >LJHNH H MJLDT,H MJLDT,>LJHNH,>L,to them (the Hebrew women),0,prep,pers,anim,det,prsf,simple,factive,>L,,,,
33790,BW>[,MT,Exodus,10,1,B>,W J>MR JHWH >L MCH B> >L PR<H KJ >NJ HKBDTJ >T LBW W >T LB <BDJW LM<N CTJ >TTJ >LH B QRBW,,qal,impv,B> >L PR<H,,>L PR<H,>L PR<H/,to Pharaoh,0,prep,pers,anim,det,subs,simple,factive,>L,,,,
1953800,BW>[,4Q22,Exodus,10,1,BW>,W J>WMR JHWH >L MCH BW> >L PR<H KJ >NJ HKBDTJ >T LBW W >T LB <BDJW LM<N CTJ >TTJ >LH B QRBW,0 00000 0000 00 000 000 00 0000 00 000 000000 00 000 0 00 00 00000 0000 000 0000 000 0 0000,qal,impv,BW> >L PR<H,,>L PR<H,>L PR<H/,to Pharaoh,0,prep,pers,anim,det,subs,simple,factive,>L,,,,
1942629,BW>[,4Q11,Exodus,10,1,B>,W J>MR JHWH >L MCH B> >L PR<H KJ >NJ HKBDTJ >T LBW W >T LB <BDJW LM<N CTJ >TTJ >LH B QRBW,0 0000 0000 00 000 00 00 0000 00 000 000000 00 000 0 00 00 00000 0000 000 0000 000 0 0000,qal,impv,B> >L PR<H,,>L PR<H,>L PR<H/,to Pharaoh,0,prep,pers,anim,det,subs,simple,factive,>L,,,,
33834,BW>[,MT,Exodus,10,3,JB>,W JB> MCH W >HRN >L PR<H W J>MRW >LJW KH >MR JHWH >LHJ H <BRJM <D MTJ M>NT L <NT M PNJ CLX <MJ W J<BDNJ,,qal,wayq,W JB> MCH W >HRN >L PR<H,MCH W >HRN,>L PR<H,>L PR<H/,to Pharaoh,0,prep,pers,anim,det,subs,simple,factive,>L,,,,
1953899,BW>[,4Q22,Exodus,10,3,JB>,W JB> MCH W >HRN >L PR<H W J>MRW >LJW KH >MR JHWH >LHJ H <BRJM <D MTJ M>NT L <NT M PNJ CLX <MJ W J<BDNJ,0 000 000 0 0000 00 0000 0 00000 0000 00 000 0000 0000 0 00000 00 000 0000 0 000 0 000 000 000 0 000000,qal,wayq,W JB> MCH W >HRN >L PR<H,MCH W >HRN,>L PR<H,>L PR<H/,to Pharaoh,0,prep,pers,anim,det,subs,simple,factive,>L,,,,
1948460,BW>[,4Q14,Exodus,10,3,JB>,W JB> MCH W >HRN B MYR W J>MRW >LJW KH >MR JHWH >LHJ H <BRJM <D MTJ M>NT L <NT M PNJ CLX <MJ W J<BDNJ,0 000 000 0 0000 1 1 0 00011 0 00000 0000 00 000 0000 0000 0 00000 00 000 0000 0 000 0 000 000 000 0 000000,qal,wayq,W JB> MCH W >HRN B MYR,MCH W >HRN,B MYR,B MYRJM/,to Egypt,0,prep,topo,inanim,det,nmpr,simple,factive,,,,,REC
1942672,BW>[,4Q11,Exodus,10,3,JB>,W JB> MCH W >HRN >L PR<H W J>MRW >LJW KH >MR JHWH >LHJ H <BRJM <D MTJ M>NT L <NT M PNJ CLX >T <MJ W J<BDNJ,0 000 000 0 0000 00 0000 0 00000 0000 00 000 0000 0000 0 00000 00 000 0000 0 000 0 000 000 00 000 0 000000,qal,wayq,W JB> MCH W >HRN >L PR<H,MCH W >HRN,>L PR<H,>L PR<H/,to Pharaoh,0,prep,pers,anim,det,subs,simple,factive,,,,,
33869,BW>[,MT,Exodus,10,4,MBJ>,KJ >M M>N >TH L CLX >T <MJ HNNJ MBJ> MXR >RBH B GBLK,,hif,ptca,KJ HNNJ MBJ> MXR >RBH B GBLK,,no complement,no complement,,,,,,,,,,,,,,B GBLK locative in database
33942,PNH[,MT,Exodus,10,6,JPN,W ML>W BTJK W BTJ KL <BDJK W BTJ KL MYRJM >CR L> R>W >BTJK W >BWT >BTJK M JWM HJWTM <L H >DMH <D H JWM H ZH W JPN W JY> M <M PR<H,,qal,wayq,W JPN,,no complement,no complement,,,,,,,,,,,,,,
