verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
1945787_dss,BW>[,4Q13,Exodus,1,1,B>W,>LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QWB >BJHM >JC W BJTW B>W,111 1111 111 11111 1 1111 111111 00 00000 00000 000 1 1111 111,qal,perf,>JC W BJTW B>W,>JC W BJTW,no complement,no complement,,,,,,,,,,,,,,,reconstructed,[>LH CMWT BNJ JFR>L H B>JM MYRJMH] >T J<QWB >BJHM >JC [W BJTW B>W]
1941992_dss,BW>[,4Q11,Exodus,1,1,B>W,>LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QB >JC W BJTW B>W,000 0000 000 00111 1 1111 111000 11 1111 111 0 0000 000,qal,perf,>JC W BJTW B>W,>JC W BJTW,no complement,no complement,,,,,,,,,,,,,,,,>LH CMWT BNJ JF[R>L H B>JM MYR]JMH [>T J<QB >JC] W BJTW B>W
1945925_dss,BW>[,4Q13,Exodus,1,19,TBW>,W TW>MRNH H MJLDWT >L PR<H KJ L> K NCJM H MYRJWT H <BRJWT KJ B VRM TBW> >LJHNH H MJLDT W JLDW,0 0000000 0 000000 00 0000 00 00 0 0000 0 001111 1 111111 11 1 111 0000 000000 0 00000 0 0000,qal,impf,B VRM TBW> >LJHNH H MJLDT,H MJLDT,>LJHNH,>L,to them,0,prep,prps,anim,det,prsf,simple,factive,goal,>L,,,,,W TW>MRNH H MJLDWT >L PR<H KJ L> K NCJM H MY[RJWT H <BRJWT KJ B VRM] TBW> >LJHNH H MJLDT W JLDW
1946313_dss,BW>[,4Q13,Exodus,2,16,TBW>NH,W L KWHN MDJN CB< BNWT RW<WT Y>NW W TBW>NH W TDLJNH W TML>NH >T H RHVJM L HCQWT >T Y>N >BJHN,0 0 0000 0100 000 0000 00010 1111 1 111111 1 111111 1 111111 00 0 00000 0 00000 00 000 00000,qal,wayq,W TBW>NH,,no complement,no complement,,,,,,,,,,,,,,,reconstructed,W L KWHN M[D]JN CB< BNWT RW<[W]T [Y>NW W TBW>NH W TDLJNH W TML>NH] >T H RHVJM L HCQWT >T Y>N >BJHN
1936022_dss,BW>[,4Q1,Exodus,3,9,B>H,W <TH HNH Y<QT BNJ JFR>L B>H >LJ W GM R>JTJ >T H LXY >CR MYRJM LXYJM >TM,0 000 000 0000 000 00000 000 000 0 00 00000 00 0 000 000 00000 00000 000,qal,perf,HNH Y<QT BNJ JFR>L B>H >LJ,Y<QT BNJ JFR>L,>LJ,>L,to me,0,prep,prps,anim,det,prsf,simple,fictive,goal,>L,,,,the cry of the people has come to me,W <TH HNH Y<QT BNJ JFR>L B>H >LJ W GM R>JTJ >T H LXY >CR MYRJM LXYJM >TM
1947020_dss,BW>[,4Q14,Exodus,3,13,B>,W J>MR MCH >L H >LHJM HNH >NKJ B> L BNJ JFR>L W >MRTJ LHM >LHJ >BWTJKM CLXNJ >LJKM W >MRW LJ MH CMW MH >MR >LJHM,1 1111 111 11 1 11111 111 1111 10 0 000 00000 1 11111 111 1111 1111111 11111 11111 1 1111 11 11 111 11 111 11111,qal,ptca,HNH >NKJ B> L BNJ JFR>L,>NKJ,L BNJ JFR>L,>L BN/ JFR>L/,to the sons of Israel,0,prep,gens,anim,det,subs,complex,factive,goal,>L,,,,reconstructed?,[W J>MR MCH >L H >LHJM HNH >NKJ B]> L BNJ JFR>L [W >MRTJ LHM >LHJ >BWTJKM CLXNJ >LJKM W >MRW LJ MH CMW MH >MR >LJHM]
1936110_dss,BW>[,4Q1,Exodus,3,13,B>,W J>MR MCH >L H >LHJM HNH >NKJ B> >L BNJ JFR>L W >MRTJ LHM >LHJ >BWTJKM CLXNJ >LJKM W >MRW LJ MH CMW MH >MR >LHM,0 0000 000 00 0 00000 000 0000 00 00 000 00000 0 00000 000 0000 0001100 00000 00000 0 0000 00 00 000 00 000 0000,qal,ptca,HNH >NKJ B> >L BNJ JFR>L,>NKJ,>L BNJ JFR>L,>L BN/ JFR>L/,to the sons of Israel,0,prep,gens,anim,det,subs,complex,factive,goal,>L,,,,,W J>MR MCH >L H >LHJM HNH >NKJ B> >L BNJ JFR>L W >MRTJ LHM >LHJ >BW[TJ]KM CLXNJ >LJKM W >MRW LJ MH CMW MH >MR >LHM
1936504_dss,BW>[,4Q1,Exodus,5,1,B>W,W >XR B>W MCH W >HRN W J>MRW >L PR<H KH >MR JHWH >LHJ JFR>L CLX >T <MJ W JXGW,1 110 000 000 0 0000 1 11111 11 1111 11 111 1111 1111 11111 111 11 100 0 0000,qal,perf,W >XR B>W MCH W >HRN,MCH W >HRN,no complement,no complement,,,,,,,,,,,,,,,,[W >X]R B>W MCH W >HRN [W J>MRW >L PR<H KH >MR JHWH >LHJ JFR>L CLX >T <]MJ W JXGW
2090513_dss,BW>[,Mur1,Exodus,6,8,HB>TJ,W HB>TJ >TKM >L H >RY >CR NF>TJ >T JDJ L TT >TH L >BRHM L JYXQ W L J<QB W NTTJ >TH LKM MWRCH >NJ JHWH,0 00000 0000 00 0 000 000 00000 00 000 0 00 000 0 00000 0 0000 1 0 1000 0 0000 000 000 00000 000 0000,hif,perf,W HB>TJ >TKM >L H >RY,,>L H >RY,>L H >RY/,to the land,0,prep,place,inanim,det,subs,simple,factive,goal,>L,,,,,W HB>TJ >TKM >L H >RY >CR NF>TJ >T JDJ L TT >TH L >BRHM L JYXQ [W] L [J]<QB W NTTJ >TH LKM MWRCH >NJ JHWH
1936889_dss,BW>[,4Q1,Exodus,6,8,HB>TJ,W HB>TJ >TKM >L H >RY >CR NCB<TJ L TT >TH L >BRHM L JYXQ W L J<QB W NTTJ >TH LKM L MWRCH >NJ JHWH,0 00000 0000 00 0 000 000 000001 1 11 111 1 11111 1 1111 1 1 1111 0 0000 000 000 0 00000 111 1111,hif,perf,W HB>TJ >TKM >L H >RY,,>L H >RY,>L H >RY/,to the land,0,prep,place,inanim,det,subs,simple,factive,goal,>L,,,,,W HB>TJ >TKM >L H >RY >CR NCB<T[J L TT >TH L >BRHM L JYXQ W L J<QB] W NTTJ >TH LKM L MWRCH [>NJ JHWH]
