verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,comments,reconstructed_verse
264898,SBB[,MT,Ezekiel,1,9,JSBW,XBRT >CH >L >XWTH KNPJHM L> JSBW B LKTN >JC >L <BR PNJW JLKW,,nif,impf,L> JSBW,,no complement,no complement,,,,,,,,,,,,,,,,,,
264900,HLK[,MT,Ezekiel,1,9,LKTN,XBRT >CH >L >XWTH KNPJHM L> JSBW B LKTN >JC >L <BR PNJW JLKW,,qal,infc,B LKTN,,no complement,no complement,,,,,,,,,,,,,,,,,,
264905,HLK[,MT,Ezekiel,1,9,JLKW,XBRT >CH >L >XWTH KNPJHM L> JSBW B LKTN >JC >L <BR PNJW JLKW,,qal,impf,JLKW,,no complement,no complement,,,,,,,,,,,,,,,,,,
2081818,HLK[,11Q4,Ezekiel,1,9,LKTM,XBRT >CH >L >XWTH KNPJHM L> JSBW B LKTM >JC >L <BR PNJW JLKW,1111 111 11 11111 111111 11 1000 0 0011 111 11 111 1111 1111,qal,infc,None,None,,,,,,,,,,,,,,,,,,,reconstructed,[XBRT >CH >L >XWTH KNPJHM L> J]SBW B LK[TM >JC >L <BR PNJW JLKW]
2081823,HLK[,11Q4,Ezekiel,1,9,JLKW,XBRT >CH >L >XWTH KNPJHM L> JSBW B LKTM >JC >L <BR PNJW JLKW,1111 111 11 11111 111111 11 1000 0 0011 111 11 111 1111 1111,qal,impf,None,None,,,,,,,,,,,,,,,,,,,reconstructed,[XBRT >CH >L >XWTH KNPJHM L> J]SBW B LK[TM >JC >L <BR PNJW JLKW]
264955,HLK[,MT,Ezekiel,1,12,JLKW,W >JC >L <BR PNJW JLKW >L >CR JHJH CMH H RWX L LKT JLKW L> JSBW B LKTN,,qal,impf,W JLKW,,no complement,no complement,,,,,,,,,,,,,,,,,,
264963,HLK[,MT,Ezekiel,1,12,LKT,W >JC >L <BR PNJW JLKW >L >CR JHJH CMH H RWX L LKT JLKW L> JSBW B LKTN,,qal,infc,L LKT,,no complement,no complement,,,,,,,,,,,,,,,,,,
264964,HLK[,MT,Ezekiel,1,12,JLKW,W >JC >L <BR PNJW JLKW >L >CR JHJH CMH H RWX L LKT JLKW L> JSBW B LKTN,,qal,impf,JLKW,,no complement,no complement,,,,,,,,,,,,,,,,,,
264966,SBB[,MT,Ezekiel,1,12,JSBW,W >JC >L <BR PNJW JLKW >L >CR JHJH CMH H RWX L LKT JLKW L> JSBW B LKTN,,nif,impf,L> JSBW,,no complement,no complement,,,,,,,,,,,,,,,,,,
264968,HLK[,MT,Ezekiel,1,12,LKTN,W >JC >L <BR PNJW JLKW >L >CR JHJH CMH H RWX L LKT JLKW L> JSBW B LKTN,,qal,infc,B LKTN,,no complement,no complement,,,,,,,,,,,,,,,,,,
2036247,HLK[,4Q74,Ezekiel,1,12,JLKW,W >JC >L <BR PNJW JLKW >L >CR JHJH CMH H RWX L LKT JLKW L> JSBW B LKTN,0 000 00 001 1111 1111 11 111 1111 011 1 000 0 111 1111 11 1111 1 1111,qal,impf,None,None,,,,,,,,,,,,,,,,,,,reconstructed,W >JC >L <B[R PNJW JLKW >L >CR JHJH] C[MH H] RWX L [LKT JLKW L> JSBW B LKTN]
2036255,HLK[,4Q74,Ezekiel,1,12,LKT,W >JC >L <BR PNJW JLKW >L >CR JHJH CMH H RWX L LKT JLKW L> JSBW B LKTN,0 000 00 001 1111 1111 11 111 1111 011 1 000 0 111 1111 11 1111 1 1111,qal,infc,None,None,,,,,,,,,,,,,,,,,,,reconstructed,W >JC >L <B[R PNJW JLKW >L >CR JHJH] C[MH H] RWX L [LKT JLKW L> JSBW B LKTN]
2036256,HLK[,4Q74,Ezekiel,1,12,JLKW,W >JC >L <BR PNJW JLKW >L >CR JHJH CMH H RWX L LKT JLKW L> JSBW B LKTN,0 000 00 001 1111 1111 11 111 1111 011 1 000 0 111 1111 11 1111 1 1111,qal,impf,None,None,,,,,,,,,,,,,,,,,,,reconstructed,W >JC >L <B[R PNJW JLKW >L >CR JHJH] C[MH H] RWX L [LKT JLKW L> JSBW B LKTN]
2036260,HLK[,4Q74,Ezekiel,1,12,LKTN,W >JC >L <BR PNJW JLKW >L >CR JHJH CMH H RWX L LKT JLKW L> JSBW B LKTN,0 000 00 001 1111 1111 11 111 1111 011 1 000 0 111 1111 11 1111 1 1111,qal,infc,None,None,,,,,,,,,,,,,,,,,,,reconstructed,W >JC >L <B[R PNJW JLKW >L >CR JHJH] C[MH H] RWX L [LKT JLKW L> JSBW B LKTN]
264983,HLK[,MT,Ezekiel,1,13,MTHLKT,W DMWT H XJWT MR>JHM K GXLJ >C B<RWT K MR>H H LPDJM HJ> MTHLKT BJN H XJWT W NGH L >C W MN H >C JWY> BRQ,,hit,ptca,HJ> MTHLKT BJN H XJWT,HJ>,BJN H XJWT,BJN/ H XJH/,among the living creatures,0,prep,other,anim,det,subs,complex,fictive,location,BJN/,,,,,,,
2036276,HLK[,4Q74,Ezekiel,1,13,MTHLKT,W DMWT H XJWT MR>JHM K GXLJ >C B<RWT K MR>H H LPJDJM HJ> MTHLKT BJN H XJWT W NGH L >C W MN H >C JY> BRQ,0 0000 0 0000 000111 1 1111 11 11111 0 0000 0 000000 000 001111 111 0 0000 0 000 0 00 0 00 0 00 000 111,hit,ptca,,,,,,,,,,,,,,,,,,,,,reconstructed,W DMWT H XJWT MR>[JHM K GXLJ >C B<RWT] K MR>H H LPJDJM HJ> MT[HLKT BJN] H XJWT W NGH L >C W MN H >C JY> [BRQ]
2036288,JY>[,4Q74,Ezekiel,1,13,JY>,W DMWT H XJWT MR>JHM K GXLJ >C B<RWT K MR>H H LPJDJM HJ> MTHLKT BJN H XJWT W NGH L >C W MN H >C JY> BRQ,0 0000 0 0000 000111 1 1111 11 11111 0 0000 0 000000 000 001111 111 0 0000 0 000 0 00 0 00 0 00 000 111,qal,perf,W MN H >C JY> [BRQ],None,,,,,,,,,,,,,,,,,,,min excluded,W DMWT H XJWT MR>[JHM K GXLJ >C B<RWT] K MR>H H LPJDJM HJ> MT[HLKT BJN] H XJWT W NGH L >C W MN H >C JY> [BRQ]
265003,CWB[,MT,Ezekiel,1,14,CWB,W H XJWT RYW> W CWB K MR>H H BZQ,,qal,infa,W CWB,,no complement,no complement,,,,,,,,,,,,,,,,,,
265055,HLK[,MT,Ezekiel,1,17,LKTM,<L >RB<T RB<JHN B LKTM JLKW L> JSBW B LKTN,,qal,infc,B LKTM,,no complement,no complement,,,,,,,,,,,,,,,,,,
265056,HLK[,MT,Ezekiel,1,17,JLKW,<L >RB<T RB<JHN B LKTM JLKW L> JSBW B LKTN,,qal,impf,<L >RB<T RB<JHN JLKW,,<L >RB<T RB<JHN,<L >RB</ RB<=/,to the four sides,0,prep,dir,inanim,det,subs,complex,factive,goal,<L,,,,,,,
265058,SBB[,MT,Ezekiel,1,17,JSBW,<L >RB<T RB<JHN B LKTM JLKW L> JSBW B LKTN,,nif,impf,L> JSBW,,no complement,no complement,,,,,,,,,,,,,,,,,,
265060,HLK[,MT,Ezekiel,1,17,LKTN,<L >RB<T RB<JHN B LKTM JLKW L> JSBW B LKTN,,qal,infc,B LKTN,,no complement,no complement,,,,,,,,,,,,,,,,,,
2036326,HLK[,4Q74,Ezekiel,1,17,LKTM,<L >RB<T RB<JHN B LKTM JLKW L> JSBW B LKTN,11 10000 111111 1 1111 1111 11 1111 1 1111,qal,infc,None,None,,,,,,,,,,,,,,,,,,,reconstructed,[<L >]RB<T [RB<JHN B LKTM JLKW L> JSBW B LKTN]
2036327,HLK[,4Q74,Ezekiel,1,17,JLKW,<L >RB<T RB<JHN B LKTM JLKW L> JSBW B LKTN,11 10000 111111 1 1111 1111 11 1111 1 1111,qal,impf,None,None,,,,,,,,,,,,,,,,,,,reconstructed,[<L >]RB<T [RB<JHN B LKTM JLKW L> JSBW B LKTN]
2036331,HLK[,4Q74,Ezekiel,1,17,LKTN,<L >RB<T RB<JHN B LKTM JLKW L> JSBW B LKTN,11 10000 111111 1 1111 1111 11 1111 1 1111,qal,infc,None,None,,,,,,,,,,,,,,,,,,,reconstructed,[<L >]RB<T [RB<JHN B LKTM JLKW L> JSBW B LKTN]
265078,HLK[,MT,Ezekiel,1,19,LKT,W B LKT H XJWT JLKW H >WPNJM >YLM W B HNF> H XJWT M <L H >RY JNF>W H >WPNJM,,qal,infc,W B LKT H XJWT,H XJWT,no complement,no complement,,,,,,,,,,,,,,,,,,
265081,HLK[,MT,Ezekiel,1,19,JLKW,W B LKT H XJWT JLKW H >WPNJM >YLM W B HNF> H XJWT M <L H >RY JNF>W H >WPNJM,,qal,impf,JLKW H >WPNJM >YLM,H >WPNJM,no complement,no complement,,,,,,,,,,,,,,,,,,
2036351,HLK[,4Q74,Ezekiel,1,19,LKT,W B LKT H XJWT JLKW H >WPNJM >YLM W B HNF> H XJWT M <L H >RY JNF>W H >WPNJM,1 1 111 1 1111 1110 1 111111 1111 1 1 1111 1 1111 1 11 1 111 11111 1 111111,qal,infc,None,None,,,,,,,,,,,,,,,,,,,reconstructed,[W B LKT H XJWT JLK]W [H >WPNJM >YLM W B HNF> H XJWT M <L H >RY JNF>W H >WPNJM]
2036354,HLK[,4Q74,Ezekiel,1,19,JLKW,W B LKT H XJWT JLKW H >WPNJM >YLM W B HNF> H XJWT M <L H >RY JNF>W H >WPNJM,1 1 111 1 1111 1110 1 111111 1111 1 1 1111 1 1111 1 11 1 111 11111 1 111111,qal,impf,None,None,,,,,,,,,,,,,,,,,,,reconstructed,[W B LKT H XJWT JLK]W [H >WPNJM >YLM W B HNF> H XJWT M <L H >RY JNF>W H >WPNJM]
265104,HLK[,MT,Ezekiel,1,20,LKT,<L >CR JHJH CM H RWX L LKT JLKW CMH H RWX L LKT W H >WPNJM JNF>W L <MTM KJ RWX H XJH B >WPNJM,,qal,infc,L LKT,,no complement,no complement,,,,,,,,,,,,,,,,,,
265105,HLK[,MT,Ezekiel,1,20,JLKW,<L >CR JHJH CM H RWX L LKT JLKW CMH H RWX L LKT W H >WPNJM JNF>W L <MTM KJ RWX H XJH B >WPNJM,,qal,impf,JLKW,,no complement,no complement,,,,,,,,,,,,,,,,,,
265110,HLK[,MT,Ezekiel,1,20,LKT,<L >CR JHJH CM H RWX L LKT JLKW CMH H RWX L LKT W H >WPNJM JNF>W L <MTM KJ RWX H XJH B >WPNJM,,qal,infc,L LKT,,no complement,no complement,,,,,,,,,,,,,,,,,,
265125,HLK[,MT,Ezekiel,1,21,LKTM,B LKTM JLKW W B <MDM J<MDW W B HNF>M M <L H >RY JNF>W H >WPNJM L <MTM KJ RWX H XJH B >WPNJM,,qal,infc,B LKTM,,no complement,no complement,,,,,,,,,,,,,,,,,,
265126,HLK[,MT,Ezekiel,1,21,JLKW,B LKTM JLKW W B <MDM J<MDW W B HNF>M M <L H >RY JNF>W H >WPNJM L <MTM KJ RWX H XJH B >WPNJM,,qal,impf,JLKW,,no complement,no complement,,,,,,,,,,,,,,,,,,
2036383,HLK[,4Q74,Ezekiel,1,21,LKTM,B LKTM JLKW W B <MDM J<MDW W B HNF>M M <L H >RY JNF>W H >WPNJM L <MTM KJ RWX H XJH B >WPNJM,1 1111 1111 1 0 0000 00000 0 0 11111 1 11 1 111 11100 0 000000 0 0000 11 111 1 111 1 000000,qal,infc,None,None,,,,,,,,,,,,,,,,,,,reconstructed,[B LKTM JLKW W] B <MDM J<MDW W B [HNF>M M <L H >RY JNF]>W H >WPNJM L <MTM [KJ RWX H XJH B] >WPNJM
2036384,HLK[,4Q74,Ezekiel,1,21,JLKW,B LKTM JLKW W B <MDM J<MDW W B HNF>M M <L H >RY JNF>W H >WPNJM L <MTM KJ RWX H XJH B >WPNJM,1 1111 1111 1 0 0000 00000 0 0 11111 1 11 1 111 11100 0 000000 0 0000 11 111 1 111 1 000000,qal,impf,None,None,,,,,,,,,,,,,,,,,,,reconstructed,[B LKTM JLKW W] B <MDM J<MDW W B [HNF>M M <L H >RY JNF]>W H >WPNJM L <MTM [KJ RWX H XJH B] >WPNJM
265206,HLK[,MT,Ezekiel,1,24,LKTM,W >CM< >T QWL KNPJHM K QWL MJM RBJM K QWL CDJ B LKTM QWL HMLH K QWL MXNH B <MDM TRPJNH KNPJHN,,qal,infc,B LKTM,,no complement,no complement,,,,,,,,,,,,,,,,,,
265317,NPL[,MT,Ezekiel,1,28,>PL,K MR>H H QCT >CR JHJH B <NN B JWM H GCM KN MR>H H NGH SBJB HW> MR>H DMWT KBWD JHWH W >R>H W >PL <L PNJ W >CM< QWL MDBR,,qal,wayq,W >PL <L PNJ,,<L PNJ,<L PNH/,on my face,0,prep,bopa,inanim,det,subs,complex,vertical,location,<L,,,,,,,
265336,BW>[,MT,Ezekiel,2,2,TB>,W TB> BJ RWX K >CR DBR >LJ W T<MDNJ <L RGLJ W >CM< >T MDBR >LJ,,qal,wayq,W TB> BJ RWX,RWX,BJ,B,through / in me,0,prep,prps,inanim,det,prsf,simple,fictive,goal,B,,,,,,,
265539,HLK[,MT,Ezekiel,3,1,LK,W J>MR >LJ BN >DM >T >CR TMY> >KWL >KWL >T H MGLH H Z>T W LK DBR >L BJT JFR>L,,qal,impv,W LK,,no complement,no complement,,,,,,,,,,,,,,,,,,
265589,HLK[,MT,Ezekiel,3,4,LK,W J>MR >LJ BN >DM LK B> >L BJT JFR>L W DBRT B DBRJ >LJHM,,qal,impv,LK,,no complement,no complement,,,,,,,,,,,,,,,,,,
265590,BW>[,MT,Ezekiel,3,4,B>,W J>MR >LJ BN >DM LK B> >L BJT JFR>L W DBRT B DBRJ >LJHM,,qal,impv,B> >L BJT JFR>L,,>L BJT JFR>L,>L BJT/ JFR>L/,to the house of Israel,0,prep,place,inanim,det,subs,complex,factive,goal,>L,,,,,,,
265710,HLK[,MT,Ezekiel,3,11,LK,W LK B> >L H GWLH >L BNJ <MK W DBRT >LJHM W >MRT >LJHM KH >MR >DNJ JHWH >M JCM<W W >M JXDLW,,qal,impv,W LK,,no complement,no complement,,,,,,,,,,,,,,,,,,
265711,BW>[,MT,Ezekiel,3,11,B>,W LK B> >L H GWLH >L BNJ <MK W DBRT >LJHM W >MRT >LJHM KH >MR >DNJ JHWH >M JCM<W W >M JXDLW,,qal,impv,B> >L H GWLH >L BNJ <MK,,>L H GWLH >L BNJ <MK,>L H GWLH/ >L BN/ <M/,"to the exiles, to the sons of your people",0,prep,gens,anim,det,subs,complex,factive,goal,>L,>L,,,,,,
265772,HLK[,MT,Ezekiel,3,14,>LK,W RWX NF>TNJ W TQXNJ W >LK MR B XMT RWXJ W JD JHWH <LJ XZQH,,qal,wayq,W >LK MR B XMT RWXJ,,no complement,no complement,,,,,,,,,,,,,,,,,,
265783,BW>[,MT,Ezekiel,3,15,>BW>,W >BW> >L H GWLH TL_>BJB H JCBJM >L NHR KBR W >CR HMH JWCBJM CM W >CB CM CB<T JMJM MCMJM B TWKM,,qal,wayq,W >BW> >L H GWLH TL_>BJB,,>L H GWLH,>L H GWLH/,to the exiles,0,prep,gens,anim,det,subs,simple,factive,goal,>L,,,,,,,
265783,BW>[,MT,Ezekiel,3,15,>BW>,W >BW> >L H GWLH TL_>BJB H JCBJM >L NHR KBR W >CR HMH JWCBJM CM W >CB CM CB<T JMJM MCMJM B TWKM,,qal,wayq,W >BW> >L H GWLH TL_>BJB,,TL_>BJB,TL_>BJB/,to Tel Abib,0,vc,topo,inanim,det,nmpr,simple,factive,goal,,,,,,,,
265874,CWB[,MT,Ezekiel,3,19,CB,W >TH KJ HZHRT RC< W L> CB M RC<W W M DRKW H RC<H HW> B <WNW JMWT W >TH >T NPCK HYLT,,qal,perf,W L> CB M RC<W W M DRKW H RC<H,,M RC<W W M DRKW H RC<H,MN RC<=/ W MN DRK/ H RC</,,0,prep + prep,,,det,subs,complex,,,MN,MN,,,,,min excluded,
265956,JY>[,MT,Ezekiel,3,22,Y>,W THJ <LJ CM JD JHWH W J>MR >LJ QWM Y> >L H BQ<H W CM >DBR >WTK,,qal,impv,Y> >L H BQ<H,,>L H BQ<H,>L H BQ<H/,to the plain,0,prep,place,inanim,det,subs,simple,factive,goal,>L,,,,,,,
265967,JY>[,MT,Ezekiel,3,23,>Y>,W >QWM W >Y> >L H BQ<H W HNH CM KBWD JHWH <MD K KBWD >CR R>JTJ <L NHR KBR W >PL <L PNJ,,qal,wayq,W >Y> >L H BQ<H,,>L H BQ<H,>L H BQ<H/,to the plain,0,prep,place,inanim,det,subs,simple,factive,goal,>L,,,,,,,
265986,NPL[,MT,Ezekiel,3,23,>PL,W >QWM W >Y> >L H BQ<H W HNH CM KBWD JHWH <MD K KBWD >CR R>JTJ <L NHR KBR W >PL <L PNJ,,qal,wayq,W >PL <L PNJ,,<L PNJ,<L PNH/,on my face,0,prep,bopa,inanim,det,subs,complex,vertical,location,<L,,,,,,,
265990,BW>[,MT,Ezekiel,3,24,TB>,W TB> BJ RWX W T<MDNJ <L RGLJ W JDBR >TJ W J>MR >LJ B> HSGR B TWK BJTK,,qal,wayq,W TB> BJ RWX,RWX,BJ,B,through / in me,0,prep,prps,inanim,det,prsf,simple,fictive,goal,B,,,,,,,
266003,BW>[,MT,Ezekiel,3,24,B>,W TB> BJ RWX W T<MDNJ <L RGLJ W JDBR >TJ W J>MR >LJ B> HSGR B TWK BJTK,,qal,impv,B>,,no complement,no complement,,,,,,,,,,,,,,,,,,
266021,JY>[,MT,Ezekiel,3,25,TY>,W >TH BN >DM HNH NTNW <LJK <BWTJM W >SRWK BHM W L> TY> B TWKM,,qal,impf,W L> TY> B TWKM,,B TWKM,B TWK/,into their midst,0,prep,place,inanim,det,subs,complex,factive,goal,B,,,,,,,
266362,BW>[,MT,Ezekiel,4,14,B>,W >MR >HH >DNJ JHWH HNH NPCJ L> MVM>H W NBLH W VRPH L> >KLTJ M N<WRJ W <D <TH W L> B> B PJ BFR PGWL,,qal,perf,W L> B> B PJ BFR PGWL,BFR PGWL,B PJ,B PH/,in my mouth,0,prep,bopa,inanim,det,subs,complex,factive,goal,B,,,,,,,
266441,<BR[,MT,Ezekiel,5,1,H<BRT,W >TH BN >DM QX LK XRB XDH T<R H GLBJM TQXNH LK W H<BRT <L R>CK W <L ZQNK W LQXT LK M>ZNJ MCQL W XLQTM,,hif,perf,W H<BRT <L R>CK W <L ZQNK,,<L R>CK,<L R>C/,on / upon your head,0,prep,bopa,inanim,det,subs,complex,factive,goal,<L,,,,,,,
266441,<BR[,MT,Ezekiel,5,1,H<BRT,W >TH BN >DM QX LK XRB XDH T<R H GLBJM TQXNH LK W H<BRT <L R>CK W <L ZQNK W LQXT LK M>ZNJ MCQL W XLQTM,,hif,perf,W H<BRT <L R>CK W <L ZQNK,,<L ZQNK,<L ZQN=/,on / upon your chin,0,prep,bopa,inanim,det,subs,complex,factive,goal,<L,,,,,,,
1927777,<BR[,1Q9,Ezekiel,5,1,H<BRT,W >TH BN >DM QX LK XRB XDH T<R H GLBJM TQXNH LK W H<BRT <L R>CK W <L ZQNK W LQXT LK M>ZNJ MCQL W XLQTM,1 111 11 111 11 11 111 111 111 1 11111 11111 11 1 11111 11 1110 0 00 1111 1 0111 01 11111 1111 1 11111,hif,perf,W H<BRT <L R>CK W <L ZQNK,,<L R>CK W <L ZQNK,,,0,,,,,,,,,<L,<L,,,,,reconstructed,[W >TH BN >DM QX LK XRB XDH T<R H GLBJM TQXNH LK W H<BRT <L R>C]K W <L [ZQNK W] L[QXT] L[K M>ZNJ MCQL W XLQTM]
266519,JY>[,MT,Ezekiel,5,4,TY>,W MHM <WD TQX W HCLKT >WTM >L TWK H >C W FRPT >TM B >C MMNW TY> >C >L KL BJT JFR>L,,qal,impf,MMNW TY> >C >L KL BJT JFR>L,>C,>L KL BJT JFR>L,>L KL/ BJT/ JFR>L/,to all the houses of Israel,0,prep,place,inanim,det,subs,complex,factive,goal,>L,,,,,,,
266563,HLK[,MT,Ezekiel,5,6,HLKW,W TMR >T MCPVJ L RC<H MN H GWJM W >T XQWTJ MN H >RYWT >CR SBJBWTJH KJ B MCPVJ M>SW W XQWTJ L> HLKW BHM,,qal,perf,L> HLKW BHM,,BHM,B,in them,0,prep,prps,inanim,det,prsf,simple,fictive,trajectory,B,,,,,,my statutes / decrees she has not walked in them,
266580,HLK[,MT,Ezekiel,5,7,HLKTM,LKN KH >MR >DNJ JHWH J<N HMNKM MN H GWJM >CR SBJBWTJKM B XQWTJ L> HLKTM W >T MCPVJ L> <FJTM W K MCPVJ H GWJM >CR SBJBWTJKM L> <FJTM,,qal,perf,B XQWTJ L> HLKTM,,B XQWTJ,B XQH/,in my decrees,0,prep,abs,inanim,det,subs,complex,fictive,trajectory,B,,,,,,you have not walked in my decrees,
266702,NPL[,MT,Ezekiel,5,12,JPLW,CLCTJK B DBR JMWTW W B R<B JKLW B TWKK W H CLCJT B XRB JPLW SBJBWTJK W H CLJCJT L KL RWX >ZRH W XRB >RJQ >XRJHM,,qal,impf,W H CLCJT B XRB JPLW SBJBWTJK,H CLCJT,no complement,no complement,,,,,,,,,,,,,,,,,,
