verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
378174,<BR[,MT,Ezra,1,1,J<BR,W B CNT >XT L KWRC MLK PRS L KLWT DBR JHWH M PJ JRMJH H<JR JHWH >T RWX KRC MLK PRS W J<BR QWL B KL MLKWTW W GM B MKTB L >MR,,hif,wayq,W J<BR QWL B KL MLKWTW,,no complement,no complement,,,,,,,,,,,,,,,,
378222,<LH[,MT,Ezra,1,3,J<L,MJ BKM M KL <MW JHJ >LHJW <MW W J<L L JRWCLM >CR B JHWDH W JBN >T BJT JHWH >LHJ JFR>L HW> H >LHJM >CR B JRWCLM,,qal,impf,W J<L L JRWCLM,,L JRWCLM,L JRWCLM/,to Jerusalem,0,prep,topo,inanim,det,nmpr,simple,factive,goal,L,,,,,
378300,<LH[,MT,Ezra,1,5,<LWT,W JQWMW R>CJ H >BWT L JHWDH W BNJMN W H KHNJM W H LWJM L KL H<JR H >LHJM >T RWXW L <LWT L BNWT >T BJT JHWH >CR B JRWCLM,,qal,infc,L <LWT,,no complement,no complement,,,,,,,,,,,,,,,,
378341,JY>[,MT,Ezra,1,7,HWYJ>,W H MLK KWRC HWYJ> >T KLJ BJT JHWH >CR HWYJ> NBWKDNYR M JRWCLM W JTNM B BJT >LHJW,,hif,perf,W H MLK KWRC HWYJ> >T KLJ BJT JHWH,H MLK KWRC,no complement,no complement,,,,,,,,,,,,,,,,
378357,JY>[,MT,Ezra,1,8,JWYJ>M,W JWYJ>M KWRC MLK PRS <L JD MTRDT H GZBR W JSPRM L CCBYR H NFJ> L JHWDH,,hif,wayq,W JWYJ>M KWRC MLK PRS <L JD MTRDT H GZBR,KWRC MLK PRS,no complement,no complement,,,,,,,,,,,,,,,,
378416,<LH[,MT,Ezra,1,11,H<LH,KL KLJM L ZHB W L KSP XMCT >LPJM W >RB< M>WT H KL H<LH CCBYR <M H<LWT H GWLH M BBL L JRWCLM,,hif,perf,H KL H<LH CCBYR,CCBYR,no complement,no complement,,,,,,,,,,,,,,,,
378419,<LH[,MT,Ezra,1,11,H<LWT,KL KLJM L ZHB W L KSP XMCT >LPJM W >RB< M>WT H KL H<LH CCBYR <M H<LWT H GWLH M BBL L JRWCLM,,nif,infc,<M H<LWT H GWLH M BBL L JRWCLM,H GWLH,L JRWCLM,L JRWCLM/,to Jerusalem,0,prep,topo,inanim,det,nmpr,simple,factive,goal,L,,,,,
378438,GLH[,MT,Ezra,2,1,HGLH,W >LH BNJ H MDJNH H <LJM M CBJ H GWLH >CR HGLH NBWKDNYWR MLK BBL L BBL W JCWBW L JRWCLM W JHWDH >JC L <JRW,,hif,perf,>CR HGLH NBWKDNYWR MLK BBL L BBL,NBWKDNYWR MLK BBL,L BBL,L BBL/,to Babylon,0,prep,topo,inanim,det,nmpr,simple,factive,goal,L,,,,,
378445,CWB[,MT,Ezra,2,1,JCWBW,W >LH BNJ H MDJNH H <LJM M CBJ H GWLH >CR HGLH NBWKDNYWR MLK BBL L BBL W JCWBW L JRWCLM W JHWDH >JC L <JRW,,qal,wayq,W JCWBW L JRWCLM W JHWDH,,L JRWCLM W JHWDH,L JRWCLM/ W JHWDH/,to Jerusalem and Judah,0,prep,topo,inanim,det,nmpr,complex,factive,goal,L,,,,,
378454,BW>[,MT,Ezra,2,2,B>W,>CR B>W <M ZRBBL JCW< NXMJH FRJH R<LJH MRDKJ BLCN MSPR BGWJ RXWM B<NH MSPR >NCJ <M JFR>L,,qal,perf,>CR B>W <M ZRBBL JCW< NXMJH FRJH R<LJH MRDKJ BLCN MSPR BGWJ RXWM B<NH,,no complement,no complement,,,,,,,,,,,,,,,,
