verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
205,JY>[,MT,Genesis,1,12,TWY>,W TWY> H >RY DC> <FB MZRJ< ZR< L MJNHW W <Y <FH PRJ >CR ZR<W BW L MJNHW W JR> >LHJM KJ VWB,,hif,wayq,W TWY> H >RY DC> <FB W <Y,H >RY,no complement,no complement,,,,,,,,,,,,,,,,
371,<WP[,MT,Genesis,1,20,J<WPP,W J>MR >LHJM JCRYW H MJM CRY NPC XJH W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM,,piel,impf,W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM,<WP,<L H >RY <L PNJ RQJ< H CMJM,<L H >RY/ <L PNH/ RQJ</ H CMJM/,over the earth accross the firmament of the heavens,0,prep + prep,topo,inanim,det,subs,complex,factive,location,<L,<L,,,,
1940615,<WP[,4Q7,Genesis,1,20,J<WPP,W J>MR >LHJM JCRYW H MJM CRY NPC XJH W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM,1 1111 10111 11111 0 000 000 000 000 0 011 11111 11 1 111 11 111 1111 1 1111,polel,impf,W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM,<WP,<L H >RY <L PNJ RQJ< H CMJM,,over the earth accross the firmament of the heavens,0,prep + prep,topo,inanim,det,subs,complex,,,<L,<L,,,reconstructed,[W J>MR >]L[HJM JCRYW] H MJM CRY NPC XJH W <[WP J<WPP <L H >RY <L PNJ RQJ< H CMJM]
1939027,<WP[,4Q4,Genesis,1,20,J<WPP,W J>MR >LHJM JCRYW H MJM CRY NPC XJH W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM,0 0000 00000 01100 0 000 000 111 111 1 111 11111 10 0 000 00 000 0000 0 0000,polel,impf,[W <WP J<WPP <]L H >RY <L PNJ RQJ< H CMJM,<WP,<L H >RY <L PNJ RQJ< H CMJM,,over the earth accross the firmament of the heavens,0,prep + prep,topo,inanim,det,subs,complex,,,<L,<L,,,reconstructed,W J>MR >LHJM J[CR]YW H MJM CRY [NPC XJH W <WP J<WPP <]L H >RY <L PNJ RQJ< H CMJM
1938117,<WP[,4Q2,Genesis,1,20,J<WPP,W J>MR >LHJM JCRYW H MJM CRY NPC XJH W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM,0 0000 00000 00000 0 000 000 000 000 0 000 00000 00 0 000 00 000 0000 0 0000,polel,impf,W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM,<WP,<L H >RY <L PNJ RQJ< H CMJM,,over the earth accross the firmament of the heavens,0,prep + prep,topo,inanim,det,subs,complex,factive,source,<L,<L,,,,W J>MR >LHJM JCRYW H MJM CRY NPC XJH W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM
1889904,<WP[,1Q1,Genesis,1,20,J<WPP,W J>MR >LHJM JCRWYW H MJM CRY NPC XJH W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM,1 1111 11111 110000 0 000 001 111 111 1 111 11111 11 1 111 11 111 1111 1 1111,polel,impf,W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM,<WP,<L H >RY <L PNJ RQJ< H CMJM,,over the earth accross the firmament of the heavens,0,prep + prep,topo,inanim,det,subs,complex,,,<L,<L,,,reconstructed,[W J>MR >LHJM JC]RWYW H MJM CR[Y NPC XJH W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM]
449,JY>[,MT,Genesis,1,24,TWY>,W J>MR >LHJM TWY> H >RY NPC XJH L MJNH BHMH W RMF W XJTW >RY L MJNH W JHJ KN,,hif,impf,TWY> H >RY NPC XJH L MJNH,H >RY,no complement,no complement,,,,,,,,,,,,,,,,
888,SBB[,MT,Genesis,2,11,SBB,CM H >XD PJCWN HW> H SBB >T KL >RY H XWJLH >CR CM H ZHB,,qal,ptca,H SBB >T KL >RY H XWJLH,,no complement,no complement,,,,,,,,,,,,,,,,
921,SBB[,MT,Genesis,2,13,SWBB,W CM H NHR H CNJ GJXWN HW> H SWBB >T KL >RY KWC,,qal,ptca,H SWBB >T KL >RY KWC,,no complement,no complement,,,,,,,,,,,,,,,,
935,HLK[,MT,Genesis,2,14,HLK,W CM H NHR H CLJCJ XDQL HW> H HLK QDMT >CWR W H NHR H RBJ<J HW> PRT,,qal,ptca,H HLK QDMT >CWR,,QDMT >CWR,QDMH/ >CWR/,(along) the east side of Assyria,0,vc,topo,inanim,det,subs,complex,fictive,trajectory,,,,,,
1938320,HLK[,4Q2,Genesis,2,14,HLK,H CLJCJ XDQL HW> H HLK QDMT >CWR W H NHR H RBJ<J HW> PRT,0 00000 0000 000 0 000 0111 1111 1 1 111 1 11111 111 111,qal,ptca,None,None,,,,,,,,,,,,,,,,,reconstructed,H CLJCJ XDQL HW> H HLK Q[DMT >CWR W H NHR H RBJ<J HW> PRT]
953,NWX[,MT,Genesis,2,15,JNXHW,W JQX JHWH >LHJM >T H >DM W JNXHW B GN <DN L <BDH W L CMRH,,hif,wayq,W JNXHW B GN <DN,,B GN <DN,B GN/ <DN=/,in the garden of Eden,0,prep,topo,inanim,det,subs,complex,factive,location,B,,,,,
1938339,NWX[,4Q2,Genesis,2,15,JNXHW,W JQX JHWH >LHJM >T H >DM W JNXHW B GN <DN L <BDH W L CMRH,0 000 0000 00000 00 0 000 1 11100 0 00 000 0 0001 1 0 0000,hif,wayq,[W JNX]HW B GN <DN,,B GN <DN,B GN/ <DN=/,in the garden of Eden,0,prep,topo,inanim,det,subs,complex,factive,location,B,,,,reconstructed?,W JQX JHWH >LHJM >T H >DM [W JNX]HW B GN <DN L <BD[H W] L CMRH
1030,BW>[,MT,Genesis,2,19,JB>,W JYR JHWH >LHJM MN H >DMH KL XJT H FDH W >T KL <WP H CMJM W JB> >L H >DM L R>WT MH JQR> LW W KL >CR JQR> LW H >DM NPC XJH HW> CMW,,hif,wayq,W JB> >L H >DM,,>L H >DM,>L H >DM/,to the man,0,prep,pers,anim,det,subs,simple,factive,goal,>L,,,,,
1938420,BW>[,4Q2,Genesis,2,19,JB>,W JYR JHWH >LHJM MN H >DMH KL XJT H FDH W >T KL <WP H CMJM W JB> >L H >DM L R>WT MH JQR> LW W KL >CR JQR> LW H >DM NPC XJH HW> CMW,0 000 0000 00000 00 0 0011 11 111 1 111 1 11 11 111 1 0011 1 111 00 0 000 0 1111 11 1111 11 1 11 111 1111 11 1 111 111 111 111 111,hif,wayq,W JB> >L H >DM,,>L H >DM,,to the man,0,prep,pers,anim,det,subs,simple,,,>L,,,,reconstructed,W JYR JHWH >LHJM MN H >D[MH KL XJT H FDH W >T KL <WP H] CM[JM W JB>] >L H >DM L [R>WT MH JQR> LW W KL >CR JQR> LW H >DM NPC XJH HW> CMW]
1079,NPL[,MT,Genesis,2,21,JPL,W JPL JHWH >LHJM TRDMH <L H >DM W JJCN W JQX >XT M YL<TJW W JSGR BFR TXTNH,,hif,wayq,W JPL JHWH >LHJM TRDMH <L H >DM,JHWH >LHJM,<L H >DM,<L H >DM/,upon the man,0,prep,pers,anim,det,subs,simple,fictive,goal/recipient,<L,,,,god put a deep sleep upon the man,
