verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
2037795,BW>[,4Q77,Haggai,1,2,B>,KH >MR JHWH YB>WT L >MR H <M H ZH >MRW L> <T B>,11 000 0000 00111 1 111 1 11 1 11 1111 11 11 11,qal,infc,None,None,,,,,,,,,,,,,,,,,,[KH] >MR JHWH YB[>WT L >MR H <M H ZH >MRW L> <T B>]
304219,BW>[,MT,Haggai,1,6,HB>,ZR<TM HRBH W HB> M<V >KWL W >JN L FB<H CTW W >JN L CKRH LBWC W >JN L XM LW W H MFTKR MFTKR >L YRWR NQWB,,hif,infa,W HB> M<V,,no complement,no complement,,,,,,,,,,,,,,,,
304252,<LH[,MT,Haggai,1,8,<LW,<LW H HR W HB>TM <Y W BNW H BJT W >RYH BW W >KBD >MR JHWH,,qal,impv,<LW H HR,,H HR,H HR/,,0,vc,,,det,subs,simple,,,,,,,,
304256,BW>[,MT,Haggai,1,8,HB>TM,<LW H HR W HB>TM <Y W BNW H BJT W >RYH BW W >KBD >MR JHWH,,hif,perf,W HB>TM <Y,,no complement,no complement,,,,,,,,,,,,,,,,
2098992,<LH[,Mur88,Haggai,1,8,<LW,<LW H HR W HB>TM <Y W BNW H BJT W >RYH BW W >KBD >MR JHWH,111 1 11 0 00001 00 0 000 0 000 0 0110 00 0 0111 111 1111,qal,impv,<LW H HR,,H HR,,,0,,,,,,,,,,,,,,[<LW H HR] W HB>T[M] <Y W BNW H BJT W >[RY]H BW W >[KBD >MR JHWH]
304269,PNH[,MT,Haggai,1,9,PNH,PNH >L HRBH W HNH L M<V W HB>TM H BJT W NPXTJ BW J<N MH N>M JHWH YB>WT J<N BJTJ >CR HW> XRB W >TM RYJM >JC L BJTW,,qal,infa,PNH,,no complement,no complement,,,,,,,,,,,,,,,,
304277,BW>[,MT,Haggai,1,9,HB>TM,PNH >L HRBH W HNH L M<V W HB>TM H BJT W NPXTJ BW J<N MH N>M JHWH YB>WT J<N BJTJ >CR HW> XRB W >TM RYJM >JC L BJTW,,hif,perf,W HB>TM H BJT,,H BJT,H BJT/,,0,vc,,,det,subs,simple,,,,,,,,
2099018,BW>[,Mur88,Haggai,1,9,HB>TM,PNH >L HRBH W HNH L M<V W HB>TM H BJT W NPXTJ BW J<N MH N>M JHWH YB>WT J<N BJTJ >CR HW> XRB W >TM RYJM >JC L BJTW,111 00 0000 0 000 0 001 1 11000 0 111 1 11111 11 111 11 100 0000 00000 011 1100 000 111 111 1 111 1111 110 0 0100,hif,perf,W HB>TM H BJT,,H BJT,,,0,,,,,,,,,,,,,,[PNH] >L HRBH W HNH L M<[V W HB]>TM H [BJT W NPXTJ BW J<N MH N]>M JHWH YB>WT J[<N BJ]TJ >CR [HW> XRB W >TM RYJM >J]C L B[J]TW
304336,JY>[,MT,Haggai,1,11,TWYJ>,W >QR> XRB <L H >RY W <L H HRJM W <L H DGN W <L H TJRWC W <L H JYHR W <L >CR TWYJ> H >DMH W <L H >DM W <L H BHMH W <L KL JGJ< KPJM,,hif,impf,<L >CR TWYJ> H >DMH,H >DMH,no complement,no complement,,,,,,,,,,,,,,,,
2099079,JY>[,Mur88,Haggai,1,11,TWYJ>,W >QR> XRB <L H >RY W <L H HRJM W <L H DGN W <L H TJRWC W <L H JYHR W <L >CR TWYJ> H >DMH,0 0110 000 11 1 111 1 11 1 1111 1 11 1 111 1 11 1 11111 1 10 1 1111 1 11 111 11111 1 1111,hif,impf,None,None,,,,,,,,,,,,,,,,,,W >[QR]> XRB [<L H >RY W <L H HRJM W <L H DGN W <L H TJRWC W <]L [H JYHR W <L >CR TWYJ> H >DMH]
