verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
290956,HLK[,MT,Hosea,1,2,LK,TXLT DBR JHWH B HWC< W J>MR JHWH >L HWC< LK QX LK >CT ZNWNJM W JLDJ ZNWNJM KJ ZNH TZNH H >RY M >XRJ JHWH,,qal,impv,LK,,no complement,no complement,,,,,,,,,,,,,,,,
290973,HLK[,MT,Hosea,1,3,JLK,W JLK W JQX >T GMR BT DBLJM W THR W TLD LW BN,,qal,wayq,W JLK,,no complement,no complement,,,,,,,,,,,,,,,,
2040411,SWR[,4Q79,Hosea,2,4,TSR,RJBW B >MKM RJBW KJ H> LW >CTJ W >NKJ L> >JCH W TSR ZNWNJH M BJN PNJH W N>PWPJH M BJN CDJH,1111 1 1111 1111 00 00 00 0111 1 1111 11 1111 1 111 000000 0 001 1111 1 1111111 1 111 1111,hif,impf,None,None,,,,,,,,,,,,,,,,,reconstructed,[RJBW B >MKM RJBW] KJ H> LW >[CTJ W >NKJ L> >JCH W TSR] ZNWNJH M BJ[N PNJH W N>PWPJH M BJN CDJH]
291218,HLK[,MT,Hosea,2,7,>LKH,KJ ZNTH >MM HBJCH HWRTM KJ >MRH >LKH >XRJ M>HBJ NTNJ LXMJ W MJMJ YMRJ W PCTJ CMNJ W CQWJJ,,qal,impf,>LKH >XRJ M>HBJ NTNJ LXMJ W MJMJ YMRJ W PCTJ CMNJ W CQWJJ,,>XRJ M>HBJ NTNJ LXMJ W MJMJ YMRJ W PCTJ CMNJ W CQWJJ,>XR/ >HB[ NTN[ LXM/ W MJM/ YMR/ W PCT/ CMN/ W CQWJ/,"after my lovers that give me my bread and my water, my wool and my flax, my oil and my drink",0,prep,pers,anim,det,subs,complex,factive,other,>XR/,,,,,
291262,HLK[,MT,Hosea,2,9,>LKH,W RDPH >T M>HBJH W L> TFJG >TM W BQCTM W L> TMY> W >MRH >LKH W >CWBH >L >JCJ H R>CWN KJ VWB LJ >Z M <TH,,qal,impf,>LKH,,no complement,no complement,,,,,,,,,,,,,,,,
291264,CWB[,MT,Hosea,2,9,>CWBH,W RDPH >T M>HBJH W L> TFJG >TM W BQCTM W L> TMY> W >MRH >LKH W >CWBH >L >JCJ H R>CWN KJ VWB LJ >Z M <TH,,qal,impf,W >CWBH >L >JCJ H R>CWN,,>L >JCJ H R>CWN,>L >JC/ H R>CWN/,to my first husband,0,prep,pers,anim,det,subs,complex,factive,goal,>L,,,,,
291302,CWB[,MT,Hosea,2,11,>CWB,LKN >CWB W LQXTJ DGNJ B <TW W TJRWCJ B MW<DW W HYLTJ YMRJ W PCTJ L KSWT >T <RWTH,,qal,impf,LKN >CWB,,no complement,no complement,,,,,,,,,,,,,,,,
291323,GLH[,MT,Hosea,2,12,>GLH,W <TH >GLH >T NBLTH L <JNJ M>HBJH W >JC L> JYJLNH M JDJ,,piel,impf,>GLH >T NBLTH L <JNJ M>HBJH,,no complement,no complement,,,,,,,,,,,,,,,,
291385,HLK[,MT,Hosea,2,15,TLK,W PQDTJ <LJH >T JMJ H B<LJM >CR TQVJR LHM W T<D NZMH W XLJTH W TLK >XRJ M>HBJH W >TJ CKXH N>M JHWH,,qal,wayq,W TLK >XRJ M>HBJH,,>XRJ M>HBJH,>XR/ >HB[,after the ones loving her,0,prep,pers,anim,det,ptcl,simple,factive,other,>XR/,,,,,
2041899,HLK[,4Q82,Hosea,2,15,TLK,W PQDTJ <LJH >T JMJ H B<LJM >CR TQVJR LHM W T<D NZMH W XLJTH W TLK >XRJ M>HBJH W >WTJ CKXH N>M JHWH,1 11111 1111 11 111 1 11111 111 11111 111 1 111 1100 0 00000 0 011 1111 111111 1 1111 1111 111 1111,qal,wayq,W TLK >XRJ M>HBJH,,>XRJ M>HBJH,>XR/ >HB[,after the ones loving her,0,prep,pers,anim,det,ptcl,simple,factive,other,>XR/,,,,reconstructed,[W PQDTJ <LJH >T JMJ H B<LJM >CR TQVJR LHM W T<D NZ]MH W XLJTH W T[LK >XRJ M>HBJH W >WTJ CKXH N>M JHWH]
2037917,HLK[,4Q78,Hosea,2,15,TLK,W PQDTJ <LJH >T JMJ H B<LJM >CR TQVJR LHM W T<D NZMH W XLJTH W TLK >XRJ M>HBJH W >TJ CKXH N>M JHWH,1 11111 0000 00 000 0 00001 111 11111 111 1 111 0000 1 11111 1 111 1111 111111 1 111 1111 111 1111,qal,wayq,W TLK >XRJ M>HBJH,,>XRJ M>HBJH,>XR/ >HB[,after the ones loving her,0,prep,pers,anim,det,ptcl,simple,factive,other,>XR/,,,,reconstructed,[W PQDTJ] <LJH >T JMJ H B<LJ[M >CR TQVJR LHM W T<D] NZMH [W XLJTH W TLK >XRJ M>HBJH W >TJ CKXH N>M JHWH]
291398,HLK[,MT,Hosea,2,16,HLKTJH,LKN HNH >NKJ MPTJH W HLKTJH H MDBR W DBRTJ <L LBH,,hif,perf,W HLKTJH H MDBR,,H MDBR,H MDBR/,in the wilderness,0,vc,place,inanim,det,subs,simple,factive,goal,,,,,,
2041914,HLK[,4Q82,Hosea,2,16,HLKTJH,L KN HNH >NWKJ MPTJH W HLKTJH H MDBR W DBRTJ <L LBH,0 00 000 00000 00011 1 111111 1 1111 1 11111 11 111,hif,perf,None,None,,H MDBR/,in the wilderness,0,vc,place,inanim,det,subs,simple,factive,goal,,,,,reconstructed,L KN HNH >NWKJ MPT[JH W HLKTJH H MDBR W DBRTJ <L LBH]
2041968,SWR[,4Q82,Hosea,2,19,HSRTJ,W HSRTJ >T CMWT H B<LJM M PJH W L> JZKRW <WD B CMM,1 11111 11 1111 0 00000 1 111 1 11 11111 111 1 111,hif,perf,None,None,,,in the wilderness,,vc,place,inanim,det,subs,simple,,,,,,,reconstructed,[W HSRTJ >T CMWT] H B<LJM [M PJH W L> JZKRW <WD B CMM]
291592,HLK[,MT,Hosea,3,1,LK,W J>MR JHWH >LJ <WD LK >HB >CH >HBT R< W MN>PT K >HBT JHWH >T BNJ JFR>L W HM PNJM >L >LHJM >XRJM W >HBJ >CJCJ <NBJM,,qal,impv,<WD LK,,no complement,no complement,,,,,,,,,,,,,,,,
2042075,PNH[,4Q82,Hosea,3,1,PNJM,W J>WMR JHWH >LJ <WD LK >HB >CH >HBT R< W MN>PT K >HBT JHWH >T BNJ JFR>L W HM PNJM >L >LHJM >XRJM W >HBJ >CJCJ <NBJM,0 01111 1111 111 111 11 111 111 1111 11 1 11111 1 1111 1111 01 011 11111 1 11 1111 11 11111 11111 1 1111 11111 11111,qal,ptca,W HM PNJM >L >LHJM >XRJM,HM,>L >LHJM >XRJM,,,0,,,,,,,,,>L,,,,reconstructed,W J[>WMR JHWH >LJ <WD LK >HB >CH >HBT R< W MN>PT K >HBT JHWH] >[T] B[NJ JFR>L W HM PNJM >L >LHJM >XRJM W >HBJ >CJCJ <NBJM]
291669,CWB[,MT,Hosea,3,5,JCBW,>XR JCBW BNJ JFR>L W BQCW >T JHWH >LHJHM W >T DWD MLKM W PXDW >L JHWH W >L VWBW B >XRJT H JMJM,,qal,impf,>XR JCBW BNJ JFR>L,BNJ JFR>L,no complement,no complement,,,,,,,,,,,,,,,,
2042140,CWB[,4Q82,Hosea,3,5,JCBW,>XR JCBW W BQCW >T JHWH >LWHJHM W >T DWJD MLKM W >L VWBW B >XRJT H JMJM,000 1001 1 1111 11 1111 1111100 0 00 0000 0001 1 11 1111 1 11111 1 1000,qal,impf,None,None,,,,,,,,,,,,,,,,,reconstructed,>XR [J]CB[W W BQCW >T JHWH >LWHJ]HM W >T DWJD MLK[M W >L VWBW B >XRJT H J]MJM
291839,CWB[,MT,Hosea,4,9,>CJB,W HJH K <M K KHN W PQDTJ <LJW DRKJW W M<LLJW >CJB LW,,hif,impf,W M<LLJW >CJB LW,,LW,L,to him,0,prep,prps,anim,det,prsf,simple,posture/not motion,goal/recipient,L,,,,,
2038098,CWB[,4Q78,Hosea,4,9,>CJB,W HJH K <M K KWHN W PQDTJ <LJW DRKJW W M<LLJW >CJB LW,1 111 1 11 1 1100 0 00000 1111 11111 1 111111 1111 11,hif,impf,None,None,,,,,,,,,,,,,,,,,reconstructed,[W HJH K <M K KW]HN W PQDTJ [<LJW DRKJW W M<LLJW >CJB LW]
291874,T<H[,MT,Hosea,4,12,HT<H,<MJ B <YW JC>L W MQLW JGJD LW KJ RWX ZNWNJM HT<H W JZNW M TXT >LHJHM,,hif,perf,KJ RWX ZNWNJM HT<H,RWX ZNWNJM,no complement,no complement,,,,,,,,,,,,,,,,
2042224,T<H[,4Q82,Hosea,4,12,HT<H,W MQLW JGJD LW KJ RWX ZNWNJM HT<H W JZNW M TXT >LHJHM,1 1111 1111 11 11 111 111111 1111 1 1111 1 111 111111,hif,perf,None,None,,,,,,,,,,,,,,,,,reconstructed,[W MQLW JGJD LW KJ RWX ZNWNJM HT<H W JZNW M TXT >LHJHM]
291942,BW>[,MT,Hosea,4,15,TB>W,>M ZNH >TH JFR>L >L J>CM JHWDH W >L TB>W H GLGL W >L T<LW BJT_>WN W >L TCB<W XJ JHWH,,qal,impf,W >L TB>W H GLGL,,H GLGL,H GLGL===/,Gilgal,0,vc,topo,inanim,det,nmpr,simple,factive,goal,,,,,,
291947,<LH[,MT,Hosea,4,15,T<LW,>M ZNH >TH JFR>L >L J>CM JHWDH W >L TB>W H GLGL W >L T<LW BJT_>WN W >L TCB<W XJ JHWH,,qal,impf,W >L T<LW BJT_>WN,,BJT_>WN,BJT_>WN/,to Beth Aven,0,vc,topo,inanim,det,nmpr,simple,factive,goal,,,,,,
2038207,BW>[,4Q78,Hosea,4,15,TBW>W,>M ZNH >TH JFR>L >L J>CM JHWDH W >L TBW>W H GLGL >L T<LW BJT >WN W >L TCB<W XJ JHWH,11 111 111 11111 11 1000 00001 1 11 11111 1 1110 00 1111 111 111 1 11 11111 11 1111,qal,impf,None,None,,,,,,,,,,,,,,,,,reconstructed,[>M ZNH >TH JFR>L >L J]>CM JHWD[H W >L TBW>W H GLG]L >L [T<LW BJT >WN W >L TCB<W XJ JHWH]
2038211,<LH[,4Q78,Hosea,4,15,T<LW,>M ZNH >TH JFR>L >L J>CM JHWDH W >L TBW>W H GLGL >L T<LW BJT >WN W >L TCB<W XJ JHWH,11 111 111 11111 11 1000 00001 1 11 11111 1 1110 00 1111 111 111 1 11 11111 11 1111,qal,impf,None,None,,,,,,,,,,,,,,,,,reconstructed,[>M ZNH >TH JFR>L >L J]>CM JHWD[H W >L TBW>W H GLG]L >L [T<LW BJT >WN W >L TCB<W XJ JHWH]
291971,NWX[,MT,Hosea,4,17,HNX,XBWR <YBJM >PRJM HNX LW,,hif,impv,HNX LW,,LW,L,to him,0,prep,prps,anim,det,prsf,simple,posture/not motion,other,L,,,,,
2038237,NWX[,4Q78,Hosea,4,17,HNX,XBWR <YBJM >PRJM HNX LW,1111 11111 11111 111 11,hif,impv,HNX LW,,LW,L,to him,0,prep,prps,anim,det,prsf,simple,posture/not motion,other,L,,,,reconstructed,[XBWR <YBJM >PRJM HNX LW]
291973,SWR[,MT,Hosea,4,18,SR,SR SB>M HZNH HZNW >HBW HBW QLWN MGNJH,,qal,perf,SR SB>M,SB>M,no complement,no complement,,,,,,,,,,,,,,,,
