verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
235056,GLH[,MT,Jeremiah,1,3,GLWT,W JHJ B JMJ JHWJQJM BN J>CJHW MLK JHWDH <D TM <CTJ <FRH CNH L YDQJHW BN J>CJHW MLK JHWDH <D GLWT JRWCLM B XDC H XMJCJ,,qal,infc,<D GLWT JRWCLM B XDC H XMJCJ,JRWCLM,no complement,no complement,,,,,,,,,,,,,,,,
235080,JY>[,MT,Jeremiah,1,5,TY>,B VRM >YWRK B BVN JD<TJK W B VRM TY> M RXM HQDCTJK NBJ> L GWJM NTTJK,,qal,impf,W B VRM TY> M RXM,,M RXM,MN RXM/,,0,prep,,,det,subs,simple,,,MN,,,,min excluded,
235114,HLK[,MT,Jeremiah,1,7,TLK,W J>MR JHWH >LJ >L T>MR N<R >NKJ KJ <L KL >CR >CLXK TLK W >T KL >CR >YWK TDBR,,qal,impf,KJ <L KL TLK,,<L KL,<L KL/,to all,0,prep,pers,anim,det,subs,simple,factive,goal,<L,,,,,
235257,BW>[,MT,Jeremiah,1,15,B>W,KJ HNNJ QR> L KL MCPXWT MMLKWT YPWNH N>M JHWH W B>W W NTNW >JC KS>W PTX C<RJ JRWCLM W <L KL XWMTJH SBJB W <L KL <RJ JHWDH,,qal,perf,W B>W,,no complement,no complement,,,,,,,,,,,,,,,,
239980,Y<D[,MT,Jeremiah,10,5,JY<DW,K TMR MQCH HMH W L> JDBRW NFW> JNFW> KJ L> JY<DW >L TJR>W MHM KJ L> JR<W W GM HJVJB >JN >WTM,,qal,impf,KJ L> JY<DW,,no complement,no complement,,,,,,,,,,,,,,,,
2032619,Y<D[,4Q71,Jeremiah,10,5,JY<DW,K TMR MQCH HMH W L> JDBRW NFW> JNFW> KJ L> JY<DW >L TJR>W MHM KJ L> JR<W W GM HJVJB >JN >WTM,1 111 1111 111 1 11 11111 1111 11111 11 11 11111 11 11111 111 11 11 1111 1 11 11111 111 1111,qal,impf,None,None,,,,,,,,,,,,,,,,,reconstructed,[K TMR MQCH HMH W L> JDBRW NFW> JNFW> KJ L> JY<DW >L TJR>W MHM KJ L> JR<W W GM HJVJB >JN >WTM]
240039,BW>[,MT,Jeremiah,10,9,JWB>,KSP MRQ< M TRCJC JWB> W ZHB M >WPZ M<FH XRC W JDJ YWRP TKLT W >RGMN LBWCM M<FH XKMJM KLM,,hof,impf,KSP MRQ< M TRCJC JWB>,KSP MRQ<,M TRCJC,MN TRCJC=/,,0,prep,topo,inanim,det,nmpr,simple,,,MN,,,,min excluded,
2032599,BW>[,4Q71,Jeremiah,10,9,JWB>,KSP MRQ< M TRCJC JWB> W ZHB M >WPZ W JDJ YWRP M<FH XKMJM KLM TKLT W >RGMN LBWCM,111 1111 1 11111 1111 1 111 1 1111 1 111 1111 1111 11111 111 0000 0 00000 11111,hof,impf,None,None,,,,,,,,,,,,,,,,,reconstructed,[KSP MRQ< M TRCJC JWB> W ZHB M >WPZ W JDJ YWRP M<FH XKMJM KLM] TKLT W >RGMN [LBWCM]
240117,<LH[,MT,Jeremiah,10,13,J<LH,L QWL TTW HMWN MJM B CMJM W J<LH NF>JM M QYH >RY BRQJM L MVR <FH W JWY> RWX M >YRTJW,,hif,wayq,W J<LH NF>JM M QYH >RY,,M QYH >RY,MN QYH=/ H >RY/,,0,prep,,,det,subs,complex,,,MN,,,,min excluded,
240129,JY>[,MT,Jeremiah,10,13,JWY>,L QWL TTW HMWN MJM B CMJM W J<LH NF>JM M QYH >RY BRQJM L MVR <FH W JWY> RWX M >YRTJW,,hif,wayq,W JWY> RWX M >YRTJW,,M >YRTJW,MN >WYR/,,0,prep,,,det,subs,simple,,,MN,,,,min excluded,
2033134,<LH[,4Q72,Jeremiah,10,13,J<LH,HMWN MJM B CMJM W J<LH NF>JM M QYH >RY BRQJM L MVR <FH,1111 111 1 1111 0 0000 00000 1 111 111 11110 0 000 000,hif,wayq,None,None,,,,,,,,,,,,,,,,,reconstructed,[HMWN MJM B CMJM] W J<LH NF>JM [M QYH >RY BRQJ]M L MVR <FH
2032679,<LH[,4Q71,Jeremiah,10,13,J<LH,L QWL TTW HMWN MJM B CMJM W J<LH NF>JM M QYH >RY BRQJM L MVR <FH W JWY> RWX M >YRTJW,1 111 111 1111 111 1 1111 1 1111 11111 1 100 000 00000 1 111 111 1 1111 111 1 111111,hif,wayq,None,None,,,,,,,,,,,,,,,,,reconstructed,[L QWL TTW HMWN MJM B CMJM W J<LH NF>JM M Q]YH >RY BRQJM [L MVR <FH W JWY> RWX M >YRTJW]
2032689,JY>[,4Q71,Jeremiah,10,13,JWY>,L QWL TTW HMWN MJM B CMJM W J<LH NF>JM M QYH >RY BRQJM L MVR <FH W JWY> RWX M >YRTJW,1 111 111 1111 111 1 1111 1 1111 11111 1 100 000 00000 1 111 111 1 1111 111 1 111111,hif,wayq,None,None,,,,,,,,,,,,,,,,,reconstructed,[L QWL TTW HMWN MJM B CMJM W J<LH NF>JM M Q]YH >RY BRQJM [L MVR <FH W JWY> RWX M >YRTJW]
2030654,<LH[,4Q70,Jeremiah,10,13,J<LH,L QWL TTW HMWN MJM B CMJM W J<LH NF>JM M QYH >RY BRQJM L MVR <FH W JWY> RWX M >YRTJW,0 001 001 1111 111 1 1111 1 1111 11111 1 111 111 11111 1 111 111 1 0000 000 1 111111,hif,wayq,None,None,,,,,,,,,,,,,,,,,reconstructed,L QW[L] TT[W HMWN MJM B CMJM W J<LH NF>JM M QYH >RY BRQJM L MVR <FH W] JWY> RWX [M >YRTJW]
2030664,JY>[,4Q70,Jeremiah,10,13,JWY>,L QWL TTW HMWN MJM B CMJM W J<LH NF>JM M QYH >RY BRQJM L MVR <FH W JWY> RWX M >YRTJW,0 001 001 1111 111 1 1111 1 1111 11111 1 111 111 11111 1 111 111 1 0000 000 1 111111,hif,wayq,None,None,,,,,,,,,,,,,,,,,reconstructed,L QW[L] TT[W HMWN MJM B CMJM W J<LH NF>JM M QYH >RY BRQJM L MVR <FH W] JWY> RWX [M >YRTJW]
240224,JY>[,MT,Jeremiah,10,20,JY>NJ,>HLJ CDD W KL MJTRJ NTQW BNJ JY>NJ W >JNM >JN NVH <WD >HLJ W MQJM JRJ<WTJ,,qal,perf,BNJ JY>NJ,BNJ,no complement,no complement,,,,,,,,,,,,,,,,
240254,BW>[,MT,Jeremiah,10,22,B>H,QWL CMW<H HNH B>H W R<C GDWL M >RY YPWN L FWM >T <RJ JHWDH CMMH M<WN TNJM,,qal,ptca,HNH B>H,,no complement,no complement,,,,,,,,,,,,,,,,
240280,HLK[,MT,Jeremiah,10,23,HLK,JD<TJ JHWH KJ L> L >DM DRKW L> L >JC HLK W HKJN >T Y<DW,,qal,ptca,HLK,,no complement,no complement,,,,,,,,,,,,,,,,
2030698,HLK[,4Q70,Jeremiah,10,23,HLK,JD<TJ JHWH KJ L> L >DM DRKW L> L >JC HLK W HKJN >T Y<DW,11111 1111 11 11 1 111 1111 11 1 111 000 0 0000 01 1111,qal,ptca,HLK,,no complement,no complement,,,,,,,,,,,,,,,,[JD<TJ JHWH KJ L> L >DM DRKW L> L >JC] HLK W HKJN >[T Y<DW]
240376,JY>[,MT,Jeremiah,11,4,HWYJ>J,>CR YWJTJ >T >BWTJKM B JWM HWYJ>J >WTM M >RY MYRJM M KWR H BRZL L >MR CM<W B QWLJ W <FJTM >WTM K KL >CR >YWH >TKM W HJJTM LJ L <M W >NKJ >HJH LKM L >LHJM,,hif,infc,HWYJ>J >WTM M >RY MYRJM M KWR H BRZL,,M >RY MYRJM M KWR H BRZL,MN >RY/ MYRJM/ MN KWR/ H BRZL/,,0,prep + prep,topo,inanim,det,subs,complex,,,MN,MN,,,min excluded,
