verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
336091,HLK[,MT,Job,1,4,HLKW,W HLKW BNJW W <FW MCTH BJT >JC JWMW W CLXW W QR>W L CLCT >XJTJHM L >KL W L CTWT <MHM,,qal,perf,W HLKW BNJW,BNJW,no complement,no complement,,,,,,,,,,,,,,,,
336130,<LH[,MT,Job,1,5,H<LH,W JHJ KJ HQJPW JMJ H MCTH W JCLX >JWB W JQDCM W HCKJM B BQR W H<LH <LWT MSPR KLM KJ >MR >JWB >WLJ XV>W BNJ W BRKW >LHJM B LBBM KKH J<FH >JWB KL H JMJM,,hif,perf,W H<LH <LWT MSPR KLM,,no complement,no complement,,,,,,,,,,,,,,,,
336156,BW>[,MT,Job,1,6,JB>W,W JHJ H JWM W JB>W BNJ H >LHJM L HTJYB <L JHWH W JBW> GM H FVN B TWKM,,qal,wayq,W JB>W BNJ H >LHJM,BNJ H >LHJM,no complement,no complement,,,,,,,,,,,,,,,,
336165,BW>[,MT,Job,1,6,JBW>,W JHJ H JWM W JB>W BNJ H >LHJM L HTJYB <L JHWH W JBW> GM H FVN B TWKM,,qal,wayq,W JBW> GM H FVN B TWKM,GM H FVN,no complement,no complement,,,,,,,,,,,,,,,,
336195,HLK[,MT,Job,1,7,HTHLK,W J>MR JHWH >L H FVN M >JN TB> W J<N H FVN >T JHWH W J>MR M CWV B >RY W M HTHLK BH,,hit,infc,W M HTHLK BH,,BH,B,in it / in her,0,prep,prps,inanim,det,prsf,simple,factive,location,B,,,,,
336296,JY>[,MT,Job,1,12,JY>,W J>MR JHWH >L H FVN HNH KL >CR LW B JDK RQ >LJW >L TCLX JDK W JY> H FVN M <M PNJ JHWH,,qal,wayq,W JY> H FVN M <M PNJ JHWH,H FVN,M <M PNJ JHWH,MN <M PNH/ JHWH/,,0,prep + prep,pers,anim,det,subs,complex,,,MN,<M,,,min excluded,
336322,BW>[,MT,Job,1,14,B>,W ML>K B> >L >JWB W J>MR H BQR HJW XRCWT W H >TNWT R<WT <L JDJHM,,qal,perf,W ML>K B> >L >JWB,ML>K,>L >JWB,>L >JWB/,to Job,0,prep,pers,anim,det,nmpr,simple,factive,goal,>L,,,,,
336338,NPL[,MT,Job,1,15,TPL,W TPL CB> W TQXM W >T H N<RJM HKW L PJ XRB W >MLVH RQ >NJ L BDJ L HGJD LK,,qal,wayq,W TPL CB>,CB>,no complement,no complement,,,,,,,,,,,,,,,,
336466,NPL[,MT,Job,1,19,JPL,W HNH RWX GDWLH B>H M <BR H MDBR W JG< B >RB< PNWT H BJT W JPL <L H N<RJM W JMWTW W >MLVH RQ >NJ L BDJ L HGJD LK,,qal,wayq,W JPL <L H N<RJM,,<L H N<RJM,<L H N<R/,on the young ones,0,prep,pers,anim,det,subs,simple,vertical,goal,<L,,,,,
336493,NPL[,MT,Job,1,20,JPL,W JQM >JWB W JQR< >T M<LW W JGZ >T R>CW W JPL >RYH W JCTXW,,qal,wayq,W JPL >RYH,,>RYH,>RY/,to the ground ,1,dir-he,place,inanim,det,subs,simple,vertical,goal,,,,,,
336506,CWB[,MT,Job,1,21,>CWB,W J>MR <RM JYTJ M BVN >MJ W <RM >CWB CMH JHWH NTN W JHWH LQX JHJ CM JHWH MBRK,,qal,impf,W <RM >CWB CMH,,CMH,CM,there,1,dir-he,adv,inanim,det,adv,simple,factive,goal,,,,,,
336534,BW>[,MT,Job,2,1,JB>W,W JHJ H JWM W JB>W BNJ H >LHJM L HTJYB <L JHWH W JBW> GM H FVN B TKM L HTJYB <L JHWH,,qal,wayq,W JB>W BNJ H >LHJM,BNJ H >LHJM,no complement,no complement,,,,,,,,,,,,,,,,
336543,BW>[,MT,Job,2,1,JBW>,W JHJ H JWM W JB>W BNJ H >LHJM L HTJYB <L JHWH W JBW> GM H FVN B TKM L HTJYB <L JHWH,,qal,wayq,W JBW> GM H FVN B TKM,GM H FVN,no complement,no complement,,,,,,,,,,,,,,,,
336578,HLK[,MT,Job,2,2,HTHLK,W J>MR JHWH >L H FVN >J M ZH TB> W J<N H FVN >T JHWH W J>MR M CV B >RY W M HTHLK BH,,hit,infc,W M HTHLK BH,,BH,B,in it / in her,0,prep,prps,inanim,det,prsf,simple,factive,location,B,,,,,
336669,JY>[,MT,Job,2,7,JY>,W JY> H FVN M >T PNJ JHWH W JK >T >JWB B CXJN R< M KP RGLW <D QDQDW,,qal,wayq,W JY> H FVN M >T PNJ JHWH,H FVN,M >T PNJ JHWH,MN >T== PNH/ JHWH/,,0,prep + prep,pers,anim,det,subs,complex,,,MN,>T==,,,min excluded,
336759,BW>[,MT,Job,2,11,B>H,W JCM<W CLCT R<J >JWB >T KL H R<H H Z>T H B>H <LJW W JB>W >JC M MQMW >LJPZ H TJMNJ W BLDD H CWXJ W YWPR H N<MTJ W JW<DW JXDW L BW> L NWD LW W L NXMW,,qal,perf,H B>H <LJW,,<LJW,<L,upon it / him,0,prep,prps,anim,det,prsf,simple,fictive,goal,<L,,,,,
336762,BW>[,MT,Job,2,11,JB>W,W JCM<W CLCT R<J >JWB >T KL H R<H H Z>T H B>H <LJW W JB>W >JC M MQMW >LJPZ H TJMNJ W BLDD H CWXJ W YWPR H N<MTJ W JW<DW JXDW L BW> L NWD LW W L NXMW,,qal,wayq,W JB>W,,no complement,no complement,,,,,,,,,,,,,,,,
336781,BW>[,MT,Job,2,11,BW>,W JCM<W CLCT R<J >JWB >T KL H R<H H Z>T H B>H <LJW W JB>W >JC M MQMW >LJPZ H TJMNJ W BLDD H CWXJ W YWPR H N<MTJ W JW<DW JXDW L BW> L NWD LW W L NXMW,,qal,infc,L BW>,,no complement,no complement,,,,,,,,,,,,,,,,
336902,BW>[,MT,Job,3,6,JB>,H LJLH H HW> JQXHW >PL >L JXD B JMJ CNH B MSPR JRXJM >L JB>,,qal,impf,B MSPR JRXJM >L JB>,,B MSPR JRXJM,B MSPR/ JRX/,in a number of months,0,prep,abs,inanim,und,subs,complex,fictive,goal,B,,,,,
336911,BW>[,MT,Job,3,7,TB>,HNH H LJLH H HW> JHJ GLMWD >L TB> RNNH BW,,qal,impf,>L TB> RNNH BW,RNNH,BW,B,in/on it/him,0,prep,prps,inanim,det,prsf,simple,fictive,goal,B,,,,,
336970,NWX[,MT,Job,3,13,JNWX,KJ <TH CKBTJ W >CQWV JCNTJ >Z JNWX LJ,,qal,impf,>Z JNWX LJ,,LJ,L,to me,0,prep,prps,anim,det,prsf,simple,posture/not motion,goal/recipient,L,,,,,
337007,NWX[,MT,Job,3,17,JNWXW,CM RC<JM XDLW RGZ W CM JNWXW JGJ<J KX,,qal,impf,W CM JNWXW JGJ<J KX,JGJ<J KX,no complement,no complement,,,,,,,,,,,,,,,,
337070,BW>[,MT,Job,3,24,TB>,KJ L PNJ LXMJ >NXTJ TB> W JTKW K MJM C>GTJ,,qal,impf,KJ L PNJ LXMJ >NXTJ TB>,>NXTJ,L PNJ LXMJ,L PNH/ LXM/,before my bread,0,prep,other,inanim,det,subs,complex,fictive,other,L PNH/,,,,,
337072,NTK[,MT,Job,3,24,JTKW,KJ L PNJ LXMJ >NXTJ TB> W JTKW K MJM C>GTJ,,qal,wayq,W JTKW K MJM C>GTJ,C>GTJ,no complement,no complement,,,,,,,,,,,,,,,,
337081,>TH[,MT,Job,3,25,J>TJNJ,KJ PXD PXDTJ W J>TJNJ W >CR JGRTJ JB> LJ,,qal,wayq,W J>TJNJ,,no complement,no complement,,,,,,,,,,,,,,,,
337085,BW>[,MT,Job,3,25,JB>,KJ PXD PXDTJ W J>TJNJ W >CR JGRTJ JB> LJ,,qal,impf,W JB> LJ,,LJ,L,to me,0,prep,prps,anim,det,prsf,simple,fictive,goal,L,,,,,
337094,NWX[,MT,Job,3,26,NXTJ,L> CLWTJ W L> CQVTJ W L> NXTJ W JB> RGZ,,qal,perf,W L> NXTJ,,no complement,no complement,,,,,,,,,,,,,,,,
337096,BW>[,MT,Job,3,26,JB>,L> CLWTJ W L> CQVTJ W L> NXTJ W JB> RGZ,,qal,wayq,W JB> RGZ,RGZ,no complement,no complement,,,,,,,,,,,,,,,,
337132,BW>[,MT,Job,4,5,TBW>,KJ <TH TBW> >LJK W TL> TG< <DJK W TBHL,,qal,impf,KJ <TH TBW> >LJK,,>LJK,>L,to you,0,prep,prps,anim,det,prsf,simple,fictive,goal,>L,,,,,
337209,NPL[,MT,Job,4,13,NPL,B F<PJM M XZJNWT LJLH B NPL TRDMH <L >NCJM,,qal,infc,B NPL TRDMH <L >NCJM,TRDMH,<L >NCJM,<L >JC/,upon/on men,0,prep,pers,anim,und,subs,simple,vertical,goal,<L,,,,,
337225,XLP[,MT,Job,4,15,JXLP,W RWX <L PNJ JXLP TSMR F<RT BFRJ,,qal,impf,W RWX <L PNJ JXLP,RWX,<L PNJ,<L PNH/,on my face,0,prep,bopa,inanim,det,subs,complex,fictive,location,<L,,,,,
337289,NS<[,MT,Job,4,21,NS<,H L> NS< JTRM BM JMWTW W L> B XKMH,,nif,perf,H L> NS< JTRM BM,JTRM,no complement,no complement,,,,,,,,,,,,,,,,
337307,PNH[,MT,Job,5,1,TPNH,QR> N> H JC <WNK W >L MJ M QDCJM TPNH,,qal,impf,W >L MJ M QDCJM TPNH,,>L MJ M QDCJM,>L MJ MN QDWC/,to whom amongst the holy ones,0,prep,ppin,anim,und,ppin,complex,posture/not motion,goal,>L,,,,,
337371,<WP[,MT,Job,5,7,<WP,KJ >DM L <ML JWLD W BNJ RCP JGBJHW <WP,,qal,infc,<WP,,no complement,no complement,,,,,,,,,,,,,,,,
337427,MHR[,MT,Job,5,13,NMHRH,LKD XKMJM B <RMM W <YT NPTLJM NMHRH,,nif,perf,W <YT NPTLJM NMHRH,<YT NPTLJM,no complement,no complement,,,,,,,,,,,,,,,,
337458,QPY[,MT,Job,5,16,QPYH,W THJ L DL TQWH W <LTH QPYH PJH,,qal,perf,W <LTH QPYH PJH,<LTH,no complement,no complement,,,,,,,,,,,,,,,,
