verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,reconstructed_verse,spatial_arg_type
294146,<LH[,MT,Joel,1,6,<LH,KJ GWJ <LH <L >RYJ <YWM W >JN MSPR CNJW CNJ >RJH W MTL<WT LBJ> LW,KJ GWJ <LH <L >RYJ,GWJ,<L >RYJ,<L >RY/,,0.0,prep,,,det,subs,complex,,,qal,perf,,,<L,,,,,,,,
294249,BW>[,MT,Joel,1,13,B>W,XGRW W SPDW H KHNJM HJLJLW MCRTJ MZBX B>W LJNW B FQJM MCRTJ >LHJ KJ NMN< M BJT >LHJKM MNXH W NSK,B>W,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,,,
2043428,BW>[,4Q82,Joel,1,13,B>W,XGRW W SPDW H KHNJM HJLJLW MCRTJ MZBX B>W LJNW B FQJM MCRTJ >LHJ KJ NMN< M BJT >LWHJKM MNXH W NSK,None,None,,,,,,,,,,,0.0,1111 1 1111 1 11111 111111 00000 0111 000 0011 1 1111 11111 1111 11 1100 0 000 0100000 0000 0 011,qal,impv,,,,,,,,,,[XGRW W SPDW H KHNJM HJLJLW] MCRTJ M[ZBX] B>W LJ[NW B FQJM MCRTJ >LHJ KJ NM]N< M BJT >[L]WHJKM MNXH W N[SK],
2038606,BW>[,4Q78,Joel,1,13,BW>W,XGRW W SPDW H KWHNJM HJLJLW MCRTJ MZBX BW>W LJNW B FQJM MCRTJ >LHJ KJ NMN< M BJT >LHJKM MNXH W NSK,None,None,,,,,,,,,,,0.0,1111 1 1111 1 111110 000100 10000 0001 0111 1111 1 1111 11111 1111 11 1111 1 111 111111 1111 1 111,qal,impv,,,,,,,,,,[XGRW W SPDW H KWHNJ]M HJL[J]LW [M]CRTJ MZB[X] B[W>W LJNW B FQJM MCRTJ >LHJ KJ NMN< M BJT >LHJKM MNXH W NSK],
294294,BW>[,MT,Joel,1,15,JBW>,>HH L JWM KJ QRWB JWM JHWH W K CD M CDJ JBW>,W K CD M CDJ JBW>,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,,,
2038652,BW>[,4Q78,Joel,1,15,JBW>,>HH L JWM KJ QRWB JWM JHWH W K CD M CDJ JBW>,None,None,,,,,,,,,,,0.0,111 0 000 00 0000 000 1111 1 1 11 1 111 1111,qal,impf,,,,,,,,,,[>HH] L JWM KJ QRWB JWM [JHWH W K CD M CDJ JBW>],
294449,RWY[,MT,Joel,2,4,JRWYWN,K MR>H SWSJM MR>HW W K PRCJM KN JRWYWN,W K PRCJM KN JRWYWN,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,,,
294479,RWY[,MT,Joel,2,7,JRYWN,K GBWRJM JRYWN K >NCJ MLXMH J<LW XWMH W >JC B DRKJW JLKWN W L> J<BVWN >RXWTM,K GBWRJM JRYWN,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,,,
294483,<LH[,MT,Joel,2,7,J<LW,K GBWRJM JRYWN K >NCJ MLXMH J<LW XWMH W >JC B DRKJW JLKWN W L> J<BVWN >RXWTM,K >NCJ MLXMH J<LW XWMH,,XWMH,XWMH/,,0.0,vc,,,und,subs,simple,,,qal,impf,,,,,,,,,,,
294489,HLK[,MT,Joel,2,7,JLKWN,K GBWRJM JRYWN K >NCJ MLXMH J<LW XWMH W >JC B DRKJW JLKWN W L> J<BVWN >RXWTM,W JLKWN,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,,,
2043558,<LH[,4Q82,Joel,2,7,J<LW,K GBWRJM JRWYWN K >NCJ MLXMH J<LW XWMH W >JC B DRKJW JLKWN W L> J<BVWN >RXWTM,K >NCJ MLXMH J<LW XWMH,,XWMH,,,0.0,,,,,,,0.0,1 100000 100010 0 0011 10000 0001 1111 1 111 1 11111 11111 1 11 011111 000000,qal,impf,,,,,,,,,,[K G]BWRJM [J]RWY[W]N K >N[CJ M]LXMH J<L[W XWMH W >JC B DRKJW JLKWN W L>] J[<BVWN] >RXWTM,
294502,HLK[,MT,Joel,2,8,JLKWN,W >JC >XJW L> JDXQWN GBR B MSLTW JLKWN W B<D H CLX JPLW L> JBY<W,GBR B MSLTW JLKWN,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,,,
294507,NPL[,MT,Joel,2,8,JPLW,W >JC >XJW L> JDXQWN GBR B MSLTW JLKWN W B<D H CLX JPLW L> JBY<W,W B<D H CLX JPLW,,B<D H CLX,B<D/ H CLX/,,0.0,vc,,,det,subs,complex,,,qal,impf,,,,,,,,,,,
2043579,HLK[,4Q82,Joel,2,8,JLKWN,W >JC W >XJW L> JDXQWN GBR B MSLTW JLKWN W B<D H CLX JPLW,None,None,,,,,,,,,,,0.0,0 110 0 0010 11 111111 111 1 11111 11111 1 111 1 111 0000,qal,impf,,,,,,,,,,W [>J]C W >X[J]W [L> JDXQWN GBR B MSLTW JLKWN W B<D H CLX] JPLW,
2043584,NPL[,4Q82,Joel,2,8,JPLW,W >JC W >XJW L> JDXQWN GBR B MSLTW JLKWN W B<D H CLX JPLW,None,None,,,,,,,,,,,0.0,0 110 0 0010 11 111111 111 1 11111 11111 1 111 1 111 0000,qal,impf,,,,,,,,,,W [>J]C W >X[J]W [L> JDXQWN GBR B MSLTW JLKWN W B<D H CLX] JPLW,
2038767,HLK[,4Q78,Joel,2,8,JLKWN,W >JC >XJW L> JDXQWN GBR B MSLTW JLKWN B<D H CLX JPLW L> JBY<W,None,None,,,,,,,,,,,0.0,1 111 1111 11 111111 111 1 11111 11111 000 0 011 1111 11 11111,qal,impf,,,,,,,,,,[W >JC >XJW L> JDXQWN GBR B MSLTW JLKWN] B<D H C[LX JPLW L> JBY<W],
