verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,reconstructed_verse,spatial_arg_type
298569,HLK[,MT,Jonah,1,2,LK,QWM LK >L NJNWH H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,LK >L NJNWH H <JR H GDWLH,,>L NJNWH H <JR H GDWLH,>L NJNWH/ H <JR/ H GDWL/,,0.0,prep,topo,inanim,det,nmpr,complex,,,qal,impv,,,>L,,,,,,,,
298580,<LH[,MT,Jonah,1,2,<LTH,QWM LK >L NJNWH H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,KJ <LTH R<TM L PNJ,R<TM,L PNJ,L PNH/,,0.0,prep,,,det,subs,complex,,,qal,perf,,,L,,,,,,,,
2093572,HLK[,Mur88,Jonah,1,2,LK,QWM LK >L NJNWH H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,LK >L NJNWH H <JR H GDWLH,,>L NJNWH H <JR H GDWLH,,,0.0,,,,,,,0.0,111 11 11 11111 1 111 0 11001 1 100 0000 00 0000 0000 0 000,qal,impv,,,>L,,,,,,,[QWM LK >L NJNWH H <JR] H [GD]WL[H W Q]R> <LJH KJ <LTH R<TM L PNJ,
2093583,<LH[,Mur88,Jonah,1,2,<LTH,QWM LK >L NJNWH H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,KJ <LTH R<TM L PNJ,R<TM,L PNJ,,,0.0,,,,,,,0.0,111 11 11 11111 1 111 0 11001 1 100 0000 00 0000 0000 0 000,qal,perf,,,L,,,,,,,[QWM LK >L NJNWH H <JR] H [GD]WL[H W Q]R> <LJH KJ <LTH R<TM L PNJ,
2045732,HLK[,4Q82,Jonah,1,2,LK,QWM LK >L NJNWH H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,LK >L NJNWH H <JR H GDWLH,,>L NJNWH H <JR H GDWLH,,,0.0,,,,,,,0.0,111 11 11 11111 1 111 1 00000 1 100 0000 00 0000 0001 0 111,qal,impv,,,>L,,,,,,,[QWM LK >L NJNWH H <JR H] GDWLH [W Q]R> <LJH KJ <LTH R<T[M] L [PNJ],
2045743,<LH[,4Q82,Jonah,1,2,<LTH,QWM LK >L NJNWH H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,KJ <LTH R<TM L PNJ,R<TM,L PNJ,,,0.0,,,,,,,0.0,111 11 11 11111 1 111 1 00000 1 100 0000 00 0000 0001 0 111,qal,perf,,,L,,,,,,,[QWM LK >L NJNWH H <JR H] GDWLH [W Q]R> <LJH KJ <LTH R<T[M] L [PNJ],
2037271,HLK[,4Q76,Jonah,1,2,LK,QWM LK >L NJNW> H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,LK >L NJNW> H <JR H GDWLH,,>L NJNW> H <JR H GDWLH,,,0.0,,,,,,,0.0,111 11 11 11100 0 000 0 00101 1 111 1111 11 1111 1000 0 000,qal,impv,,,>L,,,,,,,[QWM LK >L NJN]W> H <JR H GD[W]L[H W QR> <LJH KJ <LTH R]<TM L PNJ,
2037282,<LH[,4Q76,Jonah,1,2,<LTH,QWM LK >L NJNW> H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,KJ <LTH R<TM L PNJ,R<TM,L PNJ,,,0.0,,,,,,,0.0,111 11 11 11100 0 000 0 00101 1 111 1111 11 1111 1000 0 000,qal,perf,,,L,,,,,,,[QWM LK >L NJN]W> H <JR H GD[W]L[H W QR> <LJH KJ <LTH R]<TM L PNJ,
298588,BRX[,MT,Jonah,1,3,BRX,W JQM JWNH L BRX TRCJCH M L PNJ JHWH W JRD JPW W JMY> >NJH B>H TRCJC W JTN FKRH W JRD BH L BW> <MHM TRCJCH M L PNJ JHWH,L BRX TRCJCH M L PNJ JHWH,,TRCJCH,TRCJC=/,,1.0,dir-he,topo,inanim,,nmpr,simple,,,qal,infc,,,,,,,,,,,
298595,JRD[,MT,Jonah,1,3,JRD,W JQM JWNH L BRX TRCJCH M L PNJ JHWH W JRD JPW W JMY> >NJH B>H TRCJC W JTN FKRH W JRD BH L BW> <MHM TRCJCH M L PNJ JHWH,W JRD JPW,,JPW,JPW/,,0.0,vc,topo,inanim,det,nmpr,simple,,,qal,wayq,,,,,,,,,,,
