verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
298569,HLK[,MT,Jonah,1,2,LK,QWM LK >L NJNWH H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,,qal,impv,LK >L NJNWH H <JR H GDWLH,,>L NJNWH H <JR H GDWLH,>L NJNWH/ H <JR/ H GDWL/,to Nineveh the great city,0,prep,topo,inanim,det,nmpr,complex,factive,goal,>L,,,,,
298580,<LH[,MT,Jonah,1,2,<LTH,QWM LK >L NJNWH H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,,qal,perf,KJ <LTH R<TM L PNJ,R<TM,L PNJ,L PNH/,before / in front of me,0,prep,prps,anim,det,prsf,simple,fictive,other,L PNH/,,,,,
2093572,HLK[,Mur88,Jonah,1,2,LK,QWM LK >L NJNWH H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,111 11 11 11111 1 111 0 11001 1 100 0000 00 0000 0000 0 000,qal,impv,LK >L NJNWH H <JR H GDWLH,,>L NJNWH H <JR H GDWLH,>L NJNWH/ H <JR/ H GDWL/,to Nineveh the great city,0,prep,topo,inanim,det,nmpr,complex,factive,goal,>L,,,,reconstructed,[QWM LK >L NJNWH H <JR] H [GD]WL[H W Q]R> <LJH KJ <LTH R<TM L PNJ
2093583,<LH[,Mur88,Jonah,1,2,<LTH,QWM LK >L NJNWH H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,111 11 11 11111 1 111 0 11001 1 100 0000 00 0000 0000 0 000,qal,perf,KJ <LTH R<TM L PNJ,R<TM,L PNJ,L PNH/,before / in front of me,0,prep,prps,anim,det,prsf,simple,fictive,other,L PNH/,,,,,[QWM LK >L NJNWH H <JR] H [GD]WL[H W Q]R> <LJH KJ <LTH R<TM L PNJ
2045732,HLK[,4Q82,Jonah,1,2,LK,QWM LK >L NJNWH H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,111 11 11 11111 1 111 1 00000 1 100 0000 00 0000 0001 0 111,qal,impv,LK >L NJNWH H <JR H GDWLH,,>L NJNWH H <JR H GDWLH,>L NJNWH/ H <JR/ H GDWL/,to Nineveh the great city,0,prep,topo,inanim,det,nmpr,complex,factive,goal,>L,,,,reconstructed,[QWM LK >L NJNWH H <JR H] GDWLH [W Q]R> <LJH KJ <LTH R<T[M] L [PNJ]
2045743,<LH[,4Q82,Jonah,1,2,<LTH,QWM LK >L NJNWH H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,111 11 11 11111 1 111 1 00000 1 100 0000 00 0000 0001 0 111,qal,perf,KJ <LTH R<T[M] L [PNJ],R<T[M],L [PNJ],L PNH/,before / in front of me,0,prep,prps,anim,det,prsf,simple,fictive,other,L PNH/,,,,reconstructed?,[QWM LK >L NJNWH H <JR H] GDWLH [W Q]R> <LJH KJ <LTH R<T[M] L [PNJ]
2037271,HLK[,4Q76,Jonah,1,2,LK,QWM LK >L NJNW> H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,111 11 11 11100 0 000 0 00101 1 111 1111 11 1111 1000 0 000,qal,impv,LK >L NJNW> H <JR H GDWLH,,>L NJNW> H <JR H GDWLH,>L NJNWH/ H <JR/ H GDWL/,to Nineveh the great city,0,prep,topo,inanim,det,nmpr,complex,factive,goal,>L,,,,reconstructed,[QWM LK >L NJN]W> H <JR H GD[W]L[H W QR> <LJH KJ <LTH R]<TM L PNJ
2037282,<LH[,4Q76,Jonah,1,2,<LTH,QWM LK >L NJNW> H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,111 11 11 11100 0 000 0 00101 1 111 1111 11 1111 1000 0 000,qal,perf,[KJ <LTH R]<TM L PNJ,[R]<TM,L PNJ,L PNH/,before / in front of me,0,prep,prps,anim,det,prsf,simple,fictive,other,L PNH/,,,,,[QWM LK >L NJN]W> H <JR H GD[W]L[H W QR> <LJH KJ <LTH R]<TM L PNJ
298588,BRX[,MT,Jonah,1,3,BRX,W JQM JWNH L BRX TRCJCH M L PNJ JHWH W JRD JPW W JMY> >NJH B>H TRCJC W JTN FKRH W JRD BH L BW> <MHM TRCJCH M L PNJ JHWH,,qal,infc,L BRX TRCJCH M L PNJ JHWH,,TRCJCH,TRCJC=/,to Tarshish,1,dir-he,topo,inanim,det,nmpr,simple,factive,goal,,,,,,
298595,JRD[,MT,Jonah,1,3,JRD,W JQM JWNH L BRX TRCJCH M L PNJ JHWH W JRD JPW W JMY> >NJH B>H TRCJC W JTN FKRH W JRD BH L BW> <MHM TRCJCH M L PNJ JHWH,,qal,wayq,W JRD JPW,,JPW,JPW/,to Joppa,0,vc,topo,inanim,det,nmpr,simple,factive,goal,,,,,,
298606,JRD[,MT,Jonah,1,3,JRD,W JQM JWNH L BRX TRCJCH M L PNJ JHWH W JRD JPW W JMY> >NJH B>H TRCJC W JTN FKRH W JRD BH L BW> <MHM TRCJCH M L PNJ JHWH,,qal,wayq,W JRD BH,,BH,B,in it / in her,0,prep,prps,inanim,det,prsf,simple,factive,goal,B,,,,,
298609,BW>[,MT,Jonah,1,3,BW>,W JQM JWNH L BRX TRCJCH M L PNJ JHWH W JRD JPW W JMY> >NJH B>H TRCJC W JTN FKRH W JRD BH L BW> <MHM TRCJCH M L PNJ JHWH,,qal,infc,L BW> <MHM TRCJCH M L PNJ JHWH,,TRCJCH,TRCJC=/,to Tarshish,1,dir-he,topo,inanim,det,nmpr,simple,factive,goal,,,,,,
2093592,BRX[,Mur88,Jonah,1,3,BRX,W JQM JWNH L BRX TRCJCH M L PNJ JHWH W JRD JPW W JMY> >NJH B>H TRCJC W JTN FKRH W JRD BH L BW> <MHM TRCJCH M L PNJ JHWH,1 111 1111 1 111 000001 1 0 000 1000 0 000 000 0 0011 0000 111 11111 0 000 0000 1 111 11 0 100 0000 000000 0 0 000 1000,qal,infc,[L BRX] TRCJC[H M] L PNJ [J]HWH,,TRCJC[H],TRCJC=/,to Tarshish,1,dir-he,topo,inanim,det,nmpr,simple,factive,goal,,,,,reconstructed,[W JQM JWNH L BRX] TRCJC[H M] L PNJ [J]HWH W JRD JPW W JM[Y>] >NJH [B>H TRCJC] W JTN FKRH [W JRD BH] L [B]W> <MHM TRCJCH M L PNJ [J]HWH
