verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
112952,<BR[,MT,Joshua,1,2,<BR,MCH <BDJ MT W <TH QWM <BR >T H JRDN H ZH >TH W KL H <M H ZH >L H >RY >CR >NKJ NTN LHM L BNJ JFR>L,,qal,impv,<BR >T H JRDN H ZH >TH W KL H <M H ZH >L H >RY,>TH W KL H <M H ZH,>L H >RY,>L H >RY/,to the land,0,prep,topo,inanim,det,subs,simple,factive,goal,>L,,,,,
113089,HLK[,MT,Joshua,1,7,TLK,RQ XZQ W >MY M>D L CMR L <FWT K KL H TWRH >CR YWK MCH <BDJ >L TSWR MMNW JMJN W FM>WL LM<N TFKJL B KL >CR TLK,,qal,impf,>CR TLK,,no complement,no complement,,,,,,,,,,,,,,,,
113140,HLK[,MT,Joshua,1,9,TLK,H LW> YWJTJK XZQ W >MY >L T<RY W >L TXT KJ <MK JHWH >LHJK B KL >CR TLK,,qal,impf,>CR TLK,,no complement,no complement,,,,,,,,,,,,,,,,
113150,<BR[,MT,Joshua,1,11,<BRW,<BRW B QRB H MXNH W YWW >T H <M L >MR HKJNW LKM YJDH KJ B <WD CLCT JMJM >TM <BRJM >T H JRDN H ZH L BW> L RCT >T H >RY >CR JHWH >LHJKM NTN LKM L RCTH,,qal,impv,<BRW B QRB H MXNH,,B QRB H MXNH,B QRB/ H MXNH/,in the midst of the encampment,0,prep,place,inanim,det,subs,complex,factive,trajectory,B,,,,,
113171,<BR[,MT,Joshua,1,11,<BRJM,<BRW B QRB H MXNH W YWW >T H <M L >MR HKJNW LKM YJDH KJ B <WD CLCT JMJM >TM <BRJM >T H JRDN H ZH L BW> L RCT >T H >RY >CR JHWH >LHJKM NTN LKM L RCTH,,qal,ptca,KJ B <WD CLCT JMJM >TM <BRJM >T H JRDN H ZH,>TM,no complement,no complement,,,,,,,,,,,,,,,,
113178,BW>[,MT,Joshua,1,11,BW>,<BRW B QRB H MXNH W YWW >T H <M L >MR HKJNW LKM YJDH KJ B <WD CLCT JMJM >TM <BRJM >T H JRDN H ZH L BW> L RCT >T H >RY >CR JHWH >LHJKM NTN LKM L RCTH,,qal,infc,L BW>,,no complement,no complement,,,,,,,,,,,,,,,,
2107537,<BR[,Xjoshua,Joshua,1,11,<BRW,<BRW B QRB H MXNH W YWW >T H <M L >MR HKJNW LKM YJDH KJ B <WD CLCT JMJM >TM <BRJM >T H JRDN H ZH L BW> L RCT >T H >RY >CR JHWH >LHJKM NTN LKM L RCTH,1111 1 100 1 1000 1 111 11 1 11 1 101 00000 100 0111 00 0 000 0111 1111 101 00001 10 0 0000 0 00 1 100 0 100 00 0 000 000 0000 000001 001 000 0 0000,qal,impv,[<BRW B Q]RB [H M]XNH,None,,,,,,,,,,,,,,,,,reconstructed,[<BRW B Q]RB [H M]XNH [W YWW >T H <M L >]M[R] HKJNW [L]KM Y[JDH] KJ B <WD C[LCT JMJM >]T[M] <BRJ[M >]T H JRDN H ZH [L B]W> L [R]CT >T H >RY >CR JHWH >LHJK[M] NT[N] LKM L RCTH
2107558,<BR[,Xjoshua,Joshua,1,11,<BRJM,<BRW B QRB H MXNH W YWW >T H <M L >MR HKJNW LKM YJDH KJ B <WD CLCT JMJM >TM <BRJM >T H JRDN H ZH L BW> L RCT >T H >RY >CR JHWH >LHJKM NTN LKM L RCTH,1111 1 100 1 1000 1 111 11 1 11 1 101 00000 100 0111 00 0 000 0111 1111 101 00001 10 0 0000 0 00 1 100 0 100 00 0 000 000 0000 000001 001 000 0 0000,qal,ptca,KJ B <WD C[LCT JMJM >]T[M] <BRJ[M >]T H JRDN H ZH,[>]T[M],no complement,no complement,,,,,,,,,,,,,,,,[<BRW B Q]RB [H M]XNH [W YWW >T H <M L >]M[R] HKJNW [L]KM Y[JDH] KJ B <WD C[LCT JMJM >]T[M] <BRJ[M >]T H JRDN H ZH [L B]W> L [R]CT >T H >RY >CR JHWH >LHJK[M] NT[N] LKM L RCTH
113223,NWX[,MT,Joshua,1,13,MNJX,ZKWR >T H DBR >CR YWH >TKM MCH <BD JHWH L >MR JHWH >LHJKM MNJX LKM W NTN LKM >T H >RY H Z>T,,hif,ptca,JHWH >LHJKM MNJX LKM,JHWH >LHJKM,LKM,L,upon / for you,0,prep,prps,anim,det,prsf,simple,posture/not motion,goal/recipient,L,,,,,
113251,<BR[,MT,Joshua,1,14,T<BRW,NCJKM VPKM W MQNJKM JCBW B >RY >CR NTN LKM MCH B <BR H JRDN W >TM T<BRW XMCJM L PNJ >XJKM KL GBWRJ H XJL W <ZRTM >WTM,,qal,impf,W >TM T<BRW XMCJM L PNJ >XJKM KL GBWRJ H XJL,>TM,L PNJ >XJKM KL GBWRJ H XJL,L PNH/ >X/ KL/ GBWR/ H XJL/,before / in front of your brothers all your strong army,0,prep,pers,anim,det,subs,complex,factive,other,L PNH/,,,,,
113265,NWX[,MT,Joshua,1,15,JNJX,<D >CR JNJX JHWH L >XJKM KKM W JRCW GM HMH >T H >RY >CR JHWH >LHJKM NTN LHM W CBTM L >RY JRCTKM W JRCTM >WTH >CR NTN LKM MCH <BD JHWH B <BR H JRDN MZRX H CMC,,hif,impf,<D >CR JNJX JHWH L >XJKM KKM,JHWH,L >XJKM,L >X/,to your brothers,0,prep,pers,anim,det,subs,complex,posture/not motion,goal/recipient,L,,,,,
113283,CWB[,MT,Joshua,1,15,CBTM,<D >CR JNJX JHWH L >XJKM KKM W JRCW GM HMH >T H >RY >CR JHWH >LHJKM NTN LHM W CBTM L >RY JRCTKM W JRCTM >WTH >CR NTN LKM MCH <BD JHWH B <BR H JRDN MZRX H CMC,,qal,perf,W CBTM L >RY JRCTKM,,L >RY JRCTKM,L >RY/ JRCH/,to the land of your inheritance,0,prep,place,inanim,det,subs,complex,factive,goal,L,,,,,
113318,HLK[,MT,Joshua,1,16,NLK,W J<NW >T JHWC< L >MR KL >CR YWJTNW N<FH W >L KL >CR TCLXNW NLK,,qal,impf,W >L KL NLK,,>L KL,>L KL/,to wherever (you send us),0,prep,place,inanim,und,subs,simple,factive,goal,>L,,,,,
113372,HLK[,MT,Joshua,2,1,LKW,W JCLX JHWC< BN NWN MN H CVJM CNJM >NCJM MRGLJM XRC L >MR LKW R>W >T H >RY W >T JRJXW W JLKW W JB>W BJT >CH ZWNH W CMH RXB W JCKBW CMH,,qal,impv,LKW,,no complement,no complement,,,,,,,,,,,,,,,,
113381,HLK[,MT,Joshua,2,1,JLKW,W JCLX JHWC< BN NWN MN H CVJM CNJM >NCJM MRGLJM XRC L >MR LKW R>W >T H >RY W >T JRJXW W JLKW W JB>W BJT >CH ZWNH W CMH RXB W JCKBW CMH,,qal,wayq,W JLKW,,no complement,no complement,,,,,,,,,,,,,,,,
113383,BW>[,MT,Joshua,2,1,JB>W,W JCLX JHWC< BN NWN MN H CVJM CNJM >NCJM MRGLJM XRC L >MR LKW R>W >T H >RY W >T JRJXW W JLKW W JB>W BJT >CH ZWNH W CMH RXB W JCKBW CMH,,qal,wayq,W JB>W BJT >CH ZWNH,,BJT >CH ZWNH,BJT/ >CH/ ZNH[,to the house of a prostitute,0,vc,place,inanim,det,subs,complex,factive,goal,,,,,,
113402,BW>[,MT,Joshua,2,2,B>W,W J>MR L MLK JRJXW L >MR HNH >NCJM B>W HNH H LJLH M BNJ JFR>L L XPR >T H >RY,,qal,perf,>NCJM B>W HNH H LJLH M BNJ JFR>L,>NCJM M BNJ JFR>L,no complement,no complement,,,,,,,,,,,,,,,,
113422,JY>[,MT,Joshua,2,3,HWYJ>J,W JCLX MLK JRJXW >L RXB L >MR HWYJ>J H >NCJM H B>JM >LJK >CR B>W L BJTK KJ L XPR >T KL H >RY B>W,,hif,impv,HWYJ>J H >NCJM,,no complement,no complement,,,,,,,,,,,,,,,,
113426,BW>[,MT,Joshua,2,3,B>JM,W JCLX MLK JRJXW >L RXB L >MR HWYJ>J H >NCJM H B>JM >LJK >CR B>W L BJTK KJ L XPR >T KL H >RY B>W,,qal,ptca,H B>JM >LJK,,>LJK,>L,to you,0,prep,prps,anim,det,prsf,simple,factive,goal,>L,,,,,
113429,BW>[,MT,Joshua,2,3,B>W,W JCLX MLK JRJXW >L RXB L >MR HWYJ>J H >NCJM H B>JM >LJK >CR B>W L BJTK KJ L XPR >T KL H >RY B>W,,qal,perf,>CR B>W L BJTK,,L BJTK,L BJT/,to your house,0,prep,place,inanim,det,subs,complex,factive,goal,L,,,,,
113439,BW>[,MT,Joshua,2,3,B>W,W JCLX MLK JRJXW >L RXB L >MR HWYJ>J H >NCJM H B>JM >LJK >CR B>W L BJTK KJ L XPR >T KL H >RY B>W,,qal,perf,KJ B>W,,no complement,no complement,,,,,,,,,,,,,,,,
113453,BW>[,MT,Joshua,2,4,B>W,W TQX H >CH >T CNJ H >NCJM W TYPNW W T>MR KN B>W >LJ H >NCJM W L> JD<TJ M >JN HMH,,qal,perf,KN B>W >LJ H >NCJM,H >NCJM,>LJ,>L,to me,0,prep,prps,anim,det,prsf,simple,factive,goal,>L,,,,,
2107601,BW>[,Xjoshua,Joshua,2,4,B>W,>T CNJ H >NCJM W TYPNW W T>MR KN B>W >LJ H >NCJM W L> JD<TJ M >JN HMH,00 011 1 11111 1 11111 1 1111 11 111 111 0 00000 1 11 11111 1 111 111,qal,perf,None,None,,,,,,,,,,,,,,,,,reconstructed,>T C[NJ H >NCJM W TYPNW W T>MR KN B>W >LJ] H >NCJM [W L> JD<TJ M >JN HMH]
113475,JY>[,MT,Joshua,2,5,JY>W,W JHJ H C<R L SGWR B XCK W H >NCJM JY>W L> JD<TJ >NH HLKW H >NCJM RDPW MHR >XRJHM KJ TFJGWM,,qal,perf,W H >NCJM JY>W,H >NCJM,no complement,no complement,,,,,,,,,,,,,,,,
113479,HLK[,MT,Joshua,2,5,HLKW,W JHJ H C<R L SGWR B XCK W H >NCJM JY>W L> JD<TJ >NH HLKW H >NCJM RDPW MHR >XRJHM KJ TFJGWM,,qal,perf,>NH HLKW H >NCJM,H >NCJM,no complement,no complement,,,,,,,,,,,,,,,,
113483,MHR[,MT,Joshua,2,5,MHR,W JHJ H C<R L SGWR B XCK W H >NCJM JY>W L> JD<TJ >NH HLKW H >NCJM RDPW MHR >XRJHM KJ TFJGWM,,piel,infa,RDPW MHR >XRJHM,,>XRJHM,>XR/,after them,0,prep,prps,anim,det,prsf,simple,factive,other,>XR/,,,,,
2107623,JY>[,Xjoshua,Joshua,2,5,JY>W,W JHJ H C<R L SGWR B XCK W H >NCJM JY>W L> JD<TJ >NH,1 111 1 111 1 1101 1 111 1 1 11111 1111 11 11111 111,qal,perf,None,None,,,,,,,,,,,,,,,,,reconstructed,[W JHJ H C<R L SG]W[R B XCK W H >NCJM JY>W L> JD<TJ >NH]
113489,<LH[,MT,Joshua,2,6,H<LTM,W HJ> H<LTM H GGH W TVMNM B PCTJ H <Y H <RKWT LH <L H GG,,hif,perf,W HJ> H<LTM H GGH,HJ>,H GGH,H GG/,to the roof,1,dir-he,place,inanim,det,subs,simple,factive,goal,,,,,,
113522,JY>[,MT,Joshua,2,7,JY>W,W H >NCJM RDPW >XRJHM DRK H JRDN <L H M<BRWT W H C<R SGRW >XRJ K >CR JY>W H RDPJM >XRJHM,,qal,perf,>XRJ K >CR JY>W,,no complement,no complement,,,,,,,,,,,,,,,,
113532,<LH[,MT,Joshua,2,8,<LTH,W HMH VRM JCKBWN W HJ> <LTH <LJHM <L H GG,,qal,perf,W HJ> <LTH <LJHM <L H GG,HJ>,<LJHM,<L,upon / on them,0,prep,prps,anim,det,prsf,simple,factive,goal,<L,,,,,
113552,NPL[,MT,Joshua,2,9,NPLH,W T>MR >L H >NCJM JD<TJ KJ NTN JHWH LKM >T H >RY W KJ NPLH >JMTKM <LJNW W KJ NMGW KL JCBJ H >RY M PNJKM,,qal,perf,W KJ NPLH >JMTKM <LJNW,>JMTKM,<LJNW,<L,to us,0,prep,prps,anim,det,prsf,simple,vertical,goal,<L,,,,"the terror has fallen upon us, fictive vertical ",
113710,JRD[,MT,Joshua,2,15,TWRDM,W TWRDM B XBL B<D H XLWN KJ BJTH B QJR H XWMH W B XWMH HJ> JWCBT,,hif,wayq,W TWRDM B XBL B<D H XLWN,,B<D H XLWN,B<D/ H XLWN/,through the window,0,prep,obj,inanim,det,subs,simple,factive,trajectory,B<D/,,,,,
113734,HLK[,MT,Joshua,2,16,LKW,W T>MR LHM H HRH LKW PN JPG<W BKM H RDPJM W NXBTM CMH CLCT JMJM <D CWB H RDPJM W >XR TLKW L DRKKM,,qal,impv,H HRH LKW,,H HRH,H HR/,to the mountain,1,dir-he,place,inanim,det,subs,simple,factive,goal,,,,,,
113746,CWB[,MT,Joshua,2,16,CWB,W T>MR LHM H HRH LKW PN JPG<W BKM H RDPJM W NXBTM CMH CLCT JMJM <D CWB H RDPJM W >XR TLKW L DRKKM,,qal,infa,<D CWB H RDPJM,H RDPJM,no complement,no complement,,,,,,,,,,,,,,,,
113751,HLK[,MT,Joshua,2,16,TLKW,W T>MR LHM H HRH LKW PN JPG<W BKM H RDPJM W NXBTM CMH CLCT JMJM <D CWB H RDPJM W >XR TLKW L DRKKM,,qal,impf,W >XR TLKW L DRKKM,,L DRKKM,L DRK/,to / by your way,0,prep,place,inanim,det,subs,complex,factive,trajectory,L,,,,,
113769,BW>[,MT,Joshua,2,18,B>JM,HNH >NXNW B>JM B >RY >T TQWT XWV H CNJ H ZH TQCRJ B XLWN >CR HWRDTNW BW W >T >BJK W >T >MK W >T >XJK W >T KL BJT >BJK T>SPJ >LJK H BJTH,,qal,ptca,HNH >NXNW B>JM B >RY,>NXNW,B >RY,B H >RY/,through / in a land,0,prep,place,inanim,und,subs,simple,factive,goal,B,,,,,
113785,JRD[,MT,Joshua,2,18,HWRDTNW,HNH >NXNW B>JM B >RY >T TQWT XWV H CNJ H ZH TQCRJ B XLWN >CR HWRDTNW BW W >T >BJK W >T >MK W >T >XJK W >T KL BJT >BJK T>SPJ >LJK H BJTH,,hif,perf,>CR HWRDTNW BW,,BW,B,in/on it/him,0,prep,prps,inanim,det,prsf,simple,factive,trajectory,B,,,,,
113809,JY>[,MT,Joshua,2,19,JY>,W HJH KL >CR JY> M DLTJ BJTK H XWYH DMW B R>CW W >NXNW NQJM W KL >CR JHJH >TK B BJT DMW B R>CNW >M JD THJH BW,,qal,impf,>CR JY> M DLTJ BJTK H XWYH,,H XWYH,H XWY/,to the outside,1,dir-he,topo,inanim,det,subs,simple,factive,goal,,,,,,
113858,HLK[,MT,Joshua,2,21,JLKW,W T>MR K DBRJKM KN HW> W TCLXM W JLKW W TQCR >T TQWT H CNJ B XLWN,,qal,wayq,W JLKW,,no complement,no complement,,,,,,,,,,,,,,,,
113869,HLK[,MT,Joshua,2,22,JLKW,W JLKW W JB>W H HRH W JCBW CM CLCT JMJM <D CBW H RDPJM W JBQCW H RDPJM B KL H DRK W L> MY>W,,qal,wayq,W JLKW,,no complement,no complement,,,,,,,,,,,,,,,,
113871,BW>[,MT,Joshua,2,22,JB>W,W JLKW W JB>W H HRH W JCBW CM CLCT JMJM <D CBW H RDPJM W JBQCW H RDPJM B KL H DRK W L> MY>W,,qal,wayq,W JB>W H HRH,,H HRH,H HR/,to the mountain,1,dir-he,place,inanim,det,subs,simple,factive,goal,,,,,,
113880,CWB[,MT,Joshua,2,22,CBW,W JLKW W JB>W H HRH W JCBW CM CLCT JMJM <D CBW H RDPJM W JBQCW H RDPJM B KL H DRK W L> MY>W,,qal,perf,<D CBW H RDPJM,H RDPJM,no complement,no complement,,,,,,,,,,,,,,,,
113895,CWB[,MT,Joshua,2,23,JCBW,W JCBW CNJ H >NCJM W JRDW M H HR W J<BRW W JB>W >L JHWC< BN NWN W JSPRW LW >T KL H MY>WT >WTM,,qal,wayq,W JCBW CNJ H >NCJM,CNJ H >NCJM,no complement,no complement,,,,,,,,,,,,,,,,
113905,<BR[,MT,Joshua,2,23,J<BRW,W JCBW CNJ H >NCJM W JRDW M H HR W J<BRW W JB>W >L JHWC< BN NWN W JSPRW LW >T KL H MY>WT >WTM,,qal,wayq,W J<BRW,,no complement,no complement,,,,,,,,,,,,,,,,
