verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
127468,<LH[,MT,Judges,1,1,J<LH,W JHJ >XRJ MWT JHWC< W JC>LW BNJ JFR>L B JHWH L >MR MJ J<LH LNW >L H KN<NJ B TXLH L HLXM BW,,qal,impf,MJ J<LH LNW >L H KN<NJ B TXLH,MJ,>L H KN<NJ,>L H KN<NJ/,to / against the Canaanite,0,prep,pers,anim,det,subs,simple,factive,goal,>L,,,,,
127483,<LH[,MT,Judges,1,2,J<LH,W J>MR JHWH JHWDH J<LH HNH NTTJ >T H >RY B JDW,,qal,impf,JHWDH J<LH,JHWDH,no complement,no complement,,,,,,,,,,,,,,,,
127497,<LH[,MT,Judges,1,3,<LH,W J>MR JHWDH L CM<WN >XJW <LH >TJ B GWRLJ W NLXMH B KN<NJ W HLKTJ GM >NJ >TK B GWRLK W JLK >TW CM<WN,,qal,impv,<LH >TJ B GWRLJ,,B GWRLJ,B GWRL/,to my lot,0,prep,place,inanim,det,subs,complex,factive,goal,B,,,,,
127507,HLK[,MT,Judges,1,3,HLKTJ,W J>MR JHWDH L CM<WN >XJW <LH >TJ B GWRLJ W NLXMH B KN<NJ W HLKTJ GM >NJ >TK B GWRLK W JLK >TW CM<WN,,qal,perf,W HLKTJ GM >NJ >TK B GWRLK,GM >NJ,B GWRLK,B GWRL/,to your lot,0,prep,place,inanim,det,subs,complex,factive,goal,B,,,,,
127514,HLK[,MT,Judges,1,3,JLK,W J>MR JHWDH L CM<WN >XJW <LH >TJ B GWRLJ W NLXMH B KN<NJ W HLKTJ GM >NJ >TK B GWRLK W JLK >TW CM<WN,,qal,wayq,W JLK >TW CM<WN,CM<WN,no complement,no complement,,,,,,,,,,,,,,,,
127518,<LH[,MT,Judges,1,4,J<L,W J<L JHWDH W JTN JHWH >T H KN<NJ W H PRZJ B JDM W JKWM B BZQ <FRT >LPJM >JC,,qal,wayq,W J<L JHWDH,JHWDH,no complement,no complement,,,,,,,,,,,,,,,,
127557,NWS[,MT,Judges,1,6,JNS,W JNS >DNJ_BZQ W JRDPW >XRJW W J>XZW >TW W JQYYW >T BHNWT JDJW W RGLJW,,qal,wayq,W JNS >DNJ_BZQ,>DNJ_BZQ,no complement,no complement,,,,,,,,,,,,,,,,
127594,BW>[,MT,Judges,1,7,JBJ>HW,W J>MR >DNJ_BZQ CB<JM MLKJM BHNWT JDJHM W RGLJHM MQYYJM HJW MLQVJM TXT CLXNJ K >CR <FJTJ KN CLM LJ >LHJM W JBJ>HW JRWCLM W JMT CM,,hif,wayq,W JBJ>HW JRWCLM,,JRWCLM,JRWCLM/,to Jerusalem,0,vc,topo,inanim,det,nmpr,simple,factive,goal,,,,,,
127623,JRD[,MT,Judges,1,9,JRDW,W >XR JRDW BNJ JHWDH L HLXM B KN<NJ JWCB H HR W H NGB W H CPLH,,qal,perf,W >XR JRDW BNJ JHWDH,BNJ JHWDH,no complement,no complement,,,,,,,,,,,,,,,,
127641,HLK[,MT,Judges,1,10,JLK,W JLK JHWDH >L H KN<NJ H JWCB B XBRWN W CM XBRWN L PNJM QRJT_>RB< W JKW >T CCJ W >T >XJMN W >T TLMJ,,qal,wayq,W JLK JHWDH >L H KN<NJ,JHWDH,>L H KN<NJ,>L H KN<NJ/,to / against the Canaanite,0,prep,pers,anim,det,subs,simple,factive,goal,>L,,,,,
2107629,HLK[,Xjudges,Judges,1,10,JLK,W JLK JHWDH >L H KN<NJ H JCB B XBRWN W CM XBRWN L PNJM QRJT >RB< W JKW >T CCJ W >T >XJMN W >T TLMJ,1 111 11111 01 1 11111 0 111 1 11111 1 11 10000 0 0000 0010 0101 1 111 11 100 0 00 00000 0 00 0000,qal,wayq,None,None,,,,,,,,,,,,,,,,,reconstructed,[W JLK JHWDH] >[L H KN<NJ] H [JCB B XBRWN W CM X]BRWN L PNJM QR[J]T >[R]B[< W JKW >T C]CJ W >T >XJMN W >T TLMJ
127667,HLK[,MT,Judges,1,11,JLK,W JLK M CM >L JWCBJ DBJR W CM DBJR L PNJM QRJT_SPR,,qal,wayq,W JLK M CM >L JWCBJ DBJR,,>L JWCBJ DBJR,>L JCB[ DBR=====/,to / against the inhabitants of Debir,0,prep,pers,anim,det,nmpr,complex,factive,goal,>L,,,,,
2107657,HLK[,Xjudges,Judges,1,11,JLK,W JLK M CM >L JCBJ DBJR W CM DBJR L PNJM QRJT SPR,1 000 1 11 11 0000 0000 0 00 0000 0 0000 0111 111,qal,wayq,[W] JLK [M CM >L] JCBJ DBJR,None,,,,,,,,,,,,,,,,,reconstructed,[W] JLK [M CM >L] JCBJ DBJR W CM DBJR L PNJM Q[RJT SPR]
127717,BW>[,MT,Judges,1,14,BW>H,W JHJ B BW>H W TSJTHW L C>WL M >T >BJH H FDH W TYNX M <L H XMWR W J>MR LH KLB MH LK,,qal,infc,B BW>H,,no complement,no complement,,,,,,,,,,,,,,,,
127771,<LH[,MT,Judges,1,16,<LW,W BNJ QJNJ XTN MCH <LW M <JR H TMRJM >T BNJ JHWDH MDBR JHWDH >CR B NGB <RD W JLK W JCB >T H <M,,qal,perf,W BNJ QJNJ XTN MCH <LW M <JR H TMRJM >T BNJ JHWDH MDBR JHWDH,BNJ QJNJ XTN MCH,MDBR JHWDH,MDBR/ JHWDH/,to the wilderness of Judah,0,vc,place,inanim,det,subs,complex,factive,goal,,,,,,
127786,HLK[,MT,Judges,1,16,JLK,W BNJ QJNJ XTN MCH <LW M <JR H TMRJM >T BNJ JHWDH MDBR JHWDH >CR B NGB <RD W JLK W JCB >T H <M,,qal,wayq,W JLK,,no complement,no complement,,,,,,,,,,,,,,,,
127793,HLK[,MT,Judges,1,17,JLK,W JLK JHWDH >T CM<WN >XJW W JKW >T H KN<NJ JWCB YPT W JXRJMW >WTH W JQR> >T CM H <JR XRMH,,qal,wayq,W JLK JHWDH >T CM<WN >XJW,JHWDH,no complement,no complement,,,,,,,,,,,,,,,,
127901,<LH[,MT,Judges,1,22,J<LW,W J<LW BJT JWSP GM HM BJT_>L W JHWH <MM,,qal,wayq,W J<LW BJT JWSP GM HM BJT_>L,BJT JWSP GM HM,BJT_>L,BJT_>L/,to Bethel,0,vc,topo,inanim,det,nmpr,simple,factive,goal,,,,,,
127969,HLK[,MT,Judges,1,26,JLK,W JLK H >JC >RY H XTJM W JBN <JR W JQR> CMH LWZ HW> CMH <D H JWM H ZH,,qal,wayq,W JLK H >JC >RY H XTJM,H >JC,>RY H XTJM,>RY/ H XTJ/,to the land of the Hittites,0,vc,place,inanim,det,subs,complex,factive,goal,,,,,,
128171,JRD[,MT,Judges,1,34,RDT,W JLXYW H >MRJ >T BNJ DN H HRH KJ L> NTNW L RDT L <MQ,,qal,infc,L RDT L <MQ,,L <MQ,L H <MQ/,to the valley,0,prep,place,inanim,det,subs,simple,factive,goal,L,,,,,
128209,<LH[,MT,Judges,2,1,J<L,W J<L ML>K JHWH MN H GLGL >L H BKJM W J>MR ><LH >TKM M MYRJM W >BJ> >TKM >L H >RY >CR NCB<TJ L >BTJKM W >MR L> >PR BRJTJ >TKM L <WLM,,qal,wayq,W J<L ML>K JHWH MN H GLGL >L H BKJM,ML>K JHWH,>L H BKJM,>L H BKJM/,to Bochim,0,prep,topo,inanim,det,nmpr,simple,factive,goal,>L,,,,,
128225,BW>[,MT,Judges,2,1,>BJ>,W J<L ML>K JHWH MN H GLGL >L H BKJM W J>MR ><LH >TKM M MYRJM W >BJ> >TKM >L H >RY >CR NCB<TJ L >BTJKM W >MR L> >PR BRJTJ >TKM L <WLM,,hif,wayq,W >BJ> >TKM >L H >RY,,>L H >RY,>L H >RY/,to the land,0,prep,topo,inanim,det,subs,simple,factive,goal,>L,,,,,
128325,HLK[,MT,Judges,2,6,JLKW,W JCLX JHWC< >T H <M W JLKW BNJ JFR>L >JC L NXLTW L RCT >T H >RY,,qal,wayq,W JLKW BNJ JFR>L,BNJ JFR>L,no complement,no complement,,,,,,,,,,,,,,,,
128515,JY>[,MT,Judges,2,15,JY>W,B KL >CR JY>W JD JHWH HJTH BM L R<H K >CR DBR JHWH W K >CR NCB< JHWH LHM W JYR LHM M>D,,qal,perf,>CR JY>W,,no complement,no complement,,,,,,,,,,,,,,,,
128565,HLK[,MT,Judges,2,17,HLKW,W GM >L CPVJHM L> CM<W KJ ZNW >XRJ >LHJM >XRJM W JCTXWW LHM SRW MHR MN H DRK >CR HLKW >BWTM L CM< MYWT JHWH L> <FW KN,,qal,perf,>CR HLKW >BWTM,>BWTM,no complement,no complement,,,,,,,,,,,,,,,,
128611,CWB[,MT,Judges,2,19,JCBW,W HJH B MWT H CWPV JCBW W HCXJTW M >BWTM L LKT >XRJ >LHJM >XRJM L <BDM W L HCTXWT LHM L> HPJLW M M<LLJHM W M DRKM H QCH,,qal,impf,JCBW,,no complement,no complement,,,,,,,,,,,,,,,,
128617,HLK[,MT,Judges,2,19,LKT,W HJH B MWT H CWPV JCBW W HCXJTW M >BWTM L LKT >XRJ >LHJM >XRJM L <BDM W L HCTXWT LHM L> HPJLW M M<LLJHM W M DRKM H QCH,,qal,infc,L LKT >XRJ >LHJM >XRJM,,>XRJ >LHJM >XRJM,>XR/ >LHJM/ >XR=/,after other gods,0,prep,pers,anim,det,subs,complex,fictive,other,>XR/,,,,,
128646,<BR[,MT,Judges,2,20,<BRW,W JXR >P JHWH B JFR>L W J>MR J<N >CR <BRW H GWJ H ZH >T BRJTJ >CR YWJTJ >T >BWTM W L> CM<W L QWLJ,,qal,perf,J<N >CR <BRW H GWJ H ZH >T BRJTJ,H GWJ H ZH,no complement,no complement,,,,,,,,,,,,,,,,
128691,HLK[,MT,Judges,2,22,LKT,LM<N NSWT BM >T JFR>L H CMRJM HM >T DRK JHWH L LKT BM K >CR CMRW >BWTM >M L>,,qal,infc,L LKT BM,,BM,B,in / on them,0,prep,prps,inanim,det,prsf,simple,fictive,trajectory,B,,,,,
128700,NWX[,MT,Judges,2,23,JNX,W JNX JHWH >T H GWJM H >LH L BLTJ HWRJCM MHR W L> NTNM B JD JHWC<,,hif,wayq,W JNX JHWH >T H GWJM H >LH,JHWH,no complement,no complement,,,,,,,,,,,,,,,,
128710,MHR[,MT,Judges,2,23,MHR,W JNX JHWH >T H GWJM H >LH L BLTJ HWRJCM MHR W L> NTNM B JD JHWC<,,piel,infa,L BLTJ HWRJCM MHR,,no complement,no complement,,,,,,,,,,,,,,,,
128722,NWX[,MT,Judges,3,1,HNJX,W >LH H GWJM >CR HNJX JHWH L NSWT BM >T JFR>L >T KL >CR L> JD<W >T KL MLXMWT KN<N,,hif,perf,>CR HNJX JHWH,JHWH,no complement,no complement,,,,,,,,,,,,,,,,
