verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
363557,GLH[,MT,Lamentations,1,3,GLTH,GLTH JHWDH M <NJ W M RB <BDH HJ> JCBH B GWJM L> MY>H MNWX KL RDPJH HFJGWH BJN H MYRJM,,qal,perf,GLTH JHWDH M <NJ W M RB <BDH,JHWDH,no complement,no complement,,,,,,,,,,,,,,,,
2057480,GLH[,4Q111,Lamentations,1,3,GLTH,GLTH JHWDH M <NJ W M RWB <BWDH HJ>H JCBH B GWJM LW> MY>H MNWX KWL RDPJH HFJGWH BJN H MYRJM,0000 11111 1 111 1 1 111 11111 1110 0100 0 0111 111 1111 1111 111 11111 111111 000 1 11111,qal,perf,GLTH [JHWDH M <NJ W M RWB <BWDH],[JHWDH],no complement,no complement,,,,,,,,,,,,,,,,GLTH [JHWDH M <NJ W M RWB <BWDH HJ>]H J[C]BH B G[WJM LW> MY>H MNWX KWL RDPJH HFJGWH] BJN [H MYRJM]
363610,HLK[,MT,Lamentations,1,5,HLKW,HJW YRJH L R>C >JBJH CLW KJ JHWH HWGH <L RB PC<JH <WLLJH HLKW CBJ L PNJ YR,,qal,perf,<WLLJH HLKW CBJ L PNJ YR,<WLLJH,CBJ,CBJ/,,0,vc,,,und,subs,simple,,,,,,,,
2057534,HLK[,4Q111,Lamentations,1,5,HLKW,HJW YRJH L R>WC >JBJH CLW KJ> JHWH HWGH <L RWB PC<JH <WLLJH HLKW CBJ L PNJ YRJH,111 1100 0 0000 11111 111 111 1111 1111 11 110 00011 111111 1111 111 1 111 1111,qal,perf,<WLLJH HLKW CBJ L PNJ YRJH,<WLLJH,CBJ,,,0,,,,,,,,,,,,,,[HJW YR]JH L R>WC [>JBJH CLW KJ> JHWH HWGH <L RW]B PC<[JH <WLLJH HLKW CBJ L PNJ YRJH]
363630,HLK[,MT,Lamentations,1,6,JLKW,W JY> MN BT YJWN KL HDRH HJW FRJH K >JLJM L> MY>W MR<H W JLKW B L> KX L PNJ RWDP,,qal,wayq,W JLKW B L> KX L PNJ RWDP,,L PNJ RWDP,L PNH/ RDP[,,0,prep,,,und,subs,complex,,,L,,,,,
2057541,JY>[,4Q111,Lamentations,1,6,JY>,W JY> M BT YJWN KWL HDRH HJW FRJH K >JLJM LW> LW> MY> W MR<H W JLKW BLJ KWX L PNJ RWDP,1 110 0 00 1111 111 1111 100 0000 0 00000 000 000 000 0 0000 1 0000 000 000 0 000 0000,qal,wayq,None,None,,,,,,,,,,,,,,,,,,[W JY]> M BT [YJWN KWL HDRH H]JW FRJH K >JLJM LW> LW> MY> W MR<H [W] JLKW BLJ KWX L PNJ RWDP
2057557,HLK[,4Q111,Lamentations,1,6,JLKW,W JY> M BT YJWN KWL HDRH HJW FRJH K >JLJM LW> LW> MY> W MR<H W JLKW BLJ KWX L PNJ RWDP,1 110 0 00 1111 111 1111 100 0000 0 00000 000 000 000 0 0000 1 0000 000 000 0 000 0000,qal,wayq,None,None,,,,,,,,,,,,,,,,,,[W JY]> M BT [YJWN KWL HDRH H]JW FRJH K >JLJM LW> LW> MY> W MR<H [W] JLKW BLJ KWX L PNJ RWDP
363651,NPL[,MT,Lamentations,1,7,NPL,ZKRH JRWCLM JMJ <NJH W MRWDJH KL MXMDJH >CR HJW M JMJ QDM B NPL <MH B JD YR W >JN <WZR LH R>WH YRJM FXQW <L MCBTH,,qal,infc,B NPL <MH B JD YR,<MH,B JD YR,B JD/ YR=/,,0,prep,,,und,subs,complex,,,B,,,,,
2057574,NPL[,4Q111,Lamentations,1,7,NPL,ZKWRH JHWH KWL MK>WBNW >CR HJW M JMJ QDM B NPL <MH B JD YR W >JN <WZR YRJH FXQW <L KWL MCBRJH,00000 0000 110 0000000 000 000 0 000 000 0 000 110 0 00 00 0 000 0000 0000 0000 00 110 000000,qal,infc,None,None,,,,,,,,,,,,,,,,,,ZKWRH JHWH [KW]L MK>WBNW >CR HJW M JMJ QDM B NPL [<M]H B JD YR W >JN <WZR YRJH FXQW <L [KW]L MCBRJH
363683,CWB[,MT,Lamentations,1,8,TCB,XV> XV>H JRWCLM <L KN L NJDH HJTH KL MKBDJH HZJLWH KJ R>W <RWTH GM HJ> N>NXH W TCB >XWR,,qal,wayq,W TCB >XWR,,>XWR,>XWR/,,0,vc,,,und,subs,simple,,,,,,,,
2057606,CWB[,4Q111,Lamentations,1,8,TCB,XVW> XV>H JRWCLJM <L KN L NWD HJTH KWL MKBDJH HZJLW KJ> R>W <RWTH GM HJ>H N>NXH W TCB >XWR,0000 0000 0000000 00 11 0 000 0000 110 111000 00000 000 000 10000 00 1111 11111 1 111 0000,qal,wayq,None,None,,,,,,,,,,,,,,,,,,XVW> XV>H JRWCLJM <L [KN] L NWD HJTH [KW]L [MKB]DJH HZJLW KJ> R>W [<]RWTH GM [HJ>H N>NXH W TCB] >XWR
