verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
52535,QRB[,MT,Leviticus,1,2,JQRJB,DBR >L BNJ JFR>L W >MRT >LHM >DM KJ JQRJB MKM QRBN L JHWH MN H BHMH MN H BQR W MN H Y>N TQRJBW >T QRBNKM,,hif,impf,KJ JQRJB MKM QRBN L JHWH,,L JHWH,L JHWH/,to Yahweh,0,prep,pers,anim,det,nmpr,simple,factive,goal,L,,,,,
1969253,QRB[,4Q25,Leviticus,1,2,JQRJB,DBR >L BNJ JFR>L W >MRT >LHM >DM KJ JQRJB MKM QRBN L JHWH MN H BHMH MN H BQR W MN H Y>N TQRJBW >T QRBNKM,000 00 000 00000 0 0000 1111 111 11 11111 111 1111 1 1111 11 0 0000 00 0 000 0 00 1 000 111111 11 111111,hif,impf,None,None,,,,,,,,,,,,,,,,,reconstructed,DBR >L BNJ JFR>L W >MRT [>LHM >DM KJ JQRJB MKM QRBN L JHWH MN] H BHMH MN H BQR W MN [H] Y>N [TQRJBW >T QRBNKM]
1969268,QRB[,4Q25,Leviticus,1,2,TQRJBW,DBR >L BNJ JFR>L W >MRT >LHM >DM KJ JQRJB MKM QRBN L JHWH MN H BHMH MN H BQR W MN H Y>N TQRJBW >T QRBNKM,000 00 000 00000 0 0000 1111 111 11 11111 111 1111 1 1111 11 0 0000 00 0 000 0 00 1 000 111111 11 111111,hif,impf,None,None,,,,,,,,,,,,,,,,,reconstructed,DBR >L BNJ JFR>L W >MRT [>LHM >DM KJ JQRJB MKM QRBN L JHWH MN] H BHMH MN H BQR W MN [H] Y>N [TQRJBW >T QRBNKM]
52561,QRB[,MT,Leviticus,1,3,JQRJBNW,>M <LH QRBNW MN H BQR ZKR TMJM JQRJBNW >L PTX >HL MW<D JQRJB >TW L RYNW L PNJ JHWH,,hif,impf,JQRJBNW,,no complement,no complement,,,,,,,,,,,,,,,,
52566,QRB[,MT,Leviticus,1,3,JQRJB,>M <LH QRBNW MN H BQR ZKR TMJM JQRJBNW >L PTX >HL MW<D JQRJB >TW L RYNW L PNJ JHWH,,hif,impf,>L PTX >HL MW<D JQRJB >TW L RYNW L PNJ JHWH,,>L PTX >HL MW<D,>L PTX/ >HL/ MW<D/,to the entrance of the tent of meeting,0,prep,place,inanim,det,subs,complex,factive,goal,>L,,,,,
1969280,QRB[,4Q25,Leviticus,1,3,JQRJBNW,>M <LH QRBNW MN H BQR ZKR TMM JQRJBNW >L PTX >HL MW<D JQRJB >TW L RYNW L PNJ JHWH,11 111 11111 00 0 000 000 000 0000000 11 111 111 1111 11111 111 1 1111 0 100 1111,hif,impf,None,None,,,,,,,,,,,,,,,,,reconstructed,[>M <LH QRBNW] MN H BQR ZKR TMM JQRJBNW [>L PTX >HL MW<D JQRJB >TW L RYNW] L [P]NJ [JHWH]
1969285,QRB[,4Q25,Leviticus,1,3,JQRJB,>M <LH QRBNW MN H BQR ZKR TMM JQRJBNW >L PTX >HL MW<D JQRJB >TW L RYNW L PNJ JHWH,11 111 11111 00 0 000 000 000 0000000 11 111 111 1111 11111 111 1 1111 0 100 1111,hif,impf,None,None,,,,,,,,,,,,,,,,,reconstructed,[>M <LH QRBNW] MN H BQR ZKR TMM JQRJBNW [>L PTX >HL MW<D JQRJB >TW L RYNW] L [P]NJ [JHWH]
52596,QRB[,MT,Leviticus,1,5,HQRJBW,W CXV >T BN H BQR L PNJ JHWH W HQRJBW BNJ >HRN H KHNJM >T H DM W ZRQW >T H DM <L H MZBX SBJB >CR PTX >HL MW<D,,hif,perf,W HQRJBW BNJ >HRN H KHNJM >T H DM,BNJ >HRN H KHNJM,no complement,no complement,,,,,,,,,,,,,,,,
52710,QRB[,MT,Leviticus,1,10,JQRJBNW,W >M MN H Y>N QRBNW MN H KFBJM >W MN H <ZJM L <LH ZKR TMJM JQRJBNW,,hif,impf,JQRJBNW,,no complement,no complement,,,,,,,,,,,,,,,,
52772,QRB[,MT,Leviticus,1,13,HQRJB,W H QRB W H KR<JM JRXY B MJM W HQRJB H KHN >T H KL W HQVJR H MZBXH <LH HW> >CH RJX NJXX L JHWH,,hif,perf,W HQRJB H KHN >T H KL,H KHN,no complement,no complement,,,,,,,,,,,,,,,,
