verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,reconstructed_verse,spatial_arg_type
309515,CWB[,MT,Malachi,1,4,NCWB,KJ T>MR >DWM RCCNW W NCWB W NBNH XRBWT KH >MR JHWH YB>WT HMH JBNW W >NJ >HRWS W QR>W LHM GBWL RC<H W H <M >CR Z<M JHWH <D <WLM,W NCWB,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,,,
309605,NGC[,MT,Malachi,1,8,TGCWN,W KJ TGCWN <WR L ZBX >JN R< W KJ TGJCW PSX W XLH >JN R< HQRJBHW N> L PXTK H JRYK >W H JF> PNJK >MR JHWH YB>WT,KJ TGCWN <WR,,no complement,no complement,,,,,,,,,,,hif,impf,,,,,,,,,,,
309613,NGC[,MT,Malachi,1,8,TGJCW,W KJ TGCWN <WR L ZBX >JN R< W KJ TGJCW PSX W XLH >JN R< HQRJBHW N> L PXTK H JRYK >W H JF> PNJK >MR JHWH YB>WT,KJ TGJCW PSX W XLH,,no complement,no complement,,,,,,,,,,,hif,impf,,,,,,,,,,,
309619,QRB[,MT,Malachi,1,8,HQRJBHW,W KJ TGCWN <WR L ZBX >JN R< W KJ TGJCW PSX W XLH >JN R< HQRJBHW N> L PXTK H JRYK >W H JF> PNJK >MR JHWH YB>WT,HQRJBHW N> L PXTK,,L PXTK,L PXH/,,0.0,prep,,,det,subs,complex,,,hif,impv,,,L,,,,,,,,
309733,BW>[,MT,Malachi,1,13,HB>TM,W >MRTM HNH M TL>H W HPXTM >WTW >MR JHWH YB>WT W HB>TM GZWL W >T H PSX W >T H XWLH W HB>TM >T H MNXH H >RYH >WTH M JDKM >MR JHWH,W HB>TM GZWL W >T H PSX W >T H XWLH,,no complement,no complement,,,,,,,,,,,hif,perf,,,,,,,,,,,
309744,BW>[,MT,Malachi,1,13,HB>TM,W >MRTM HNH M TL>H W HPXTM >WTW >MR JHWH YB>WT W HB>TM GZWL W >T H PSX W >T H XWLH W HB>TM >T H MNXH H >RYH >WTH M JDKM >MR JHWH,W HB>TM >T H MNXH,,no complement,no complement,,,,,,,,,,,hif,perf,,,,,,,,,,,
309898,HLK[,MT,Malachi,2,6,HLK,TWRT >MT HJTH B PJHW W <WLH L> NMY> B FPTJW B CLWM W B MJCWR HLK >TJ W RBJM HCJB M <WN,B CLWM W B MJCWR HLK >TJ,,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,,,
2036607,NGC[,4Q76,Malachi,2,12,MGJC,JKRT JHWH L >JC >CR J<FNH <D W <NH M >HLJ J<QWB W MGJC MNXH L JHWH YB>WT,None,None,,,,,,,,,,,0.0,1111 1111 1 111 111 11000 00 0 000 0 0001 00000 1 1111 1111 1 1100 00000,hif,ptca,,,,,,,,,,[JKRT JHWH L >JC >CR J<]FNH <D W <NH M >HL[J] J<QWB [W MGJC MNXH L JH]WH YB>WT,
310039,PNH[,MT,Malachi,2,13,PNWT,W Z>T CNJT T<FW KSWT DM<H >T MZBX JHWH BKJ W >NQH M >JN <WD PNWT >L H MNXH W L QXT RYWN M JDKM,M >JN <WD PNWT >L H MNXH,,>L H MNXH,>L H MNXH/,,0.0,prep,,,det,subs,simple,,,qal,infc,,,>L,,,,,,,,
2036629,PNH[,4Q76,Malachi,2,13,PNWT,W Z>T CNJT T<FW KSWT DM<H >T MZBX JHWH W BKJ W >NQH M >WN <WD PNWT >L H MNXH W L QXT RYWN M JDKM,None,None,,,,,,,,,,,0.0,0 000 0000 1000 0000 1111 11 1100 0000 0 000 0 0000 0 000 000 0000 11 1 1111 1 1 111 1111 1 1000,qal,infc,,,,,,,,,,W Z>T CNJT [T]<FW KSWT [DM<H >T MZ]BX JHWH W BKJ W >NQH M >WN <WD PNWT [>L H MNXH W L QXT RYWN M J]DKM,
