verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
309515,CWB[,MT,Malachi,1,4,NCWB,KJ T>MR >DWM RCCNW W NCWB W NBNH XRBWT KH >MR JHWH YB>WT HMH JBNW W >NJ >HRWS W QR>W LHM GBWL RC<H W H <M >CR Z<M JHWH <D <WLM,,qal,impf,W NCWB,,no complement,no complement,,,,,,,,,,,,,,,,
309605,NGC[,MT,Malachi,1,8,TGCWN,W KJ TGCWN <WR L ZBX >JN R< W KJ TGJCW PSX W XLH >JN R< HQRJBHW N> L PXTK H JRYK >W H JF> PNJK >MR JHWH YB>WT,,hif,impf,KJ TGCWN <WR,,no complement,no complement,,,,,,,,,,,,,,,,
309613,NGC[,MT,Malachi,1,8,TGJCW,W KJ TGCWN <WR L ZBX >JN R< W KJ TGJCW PSX W XLH >JN R< HQRJBHW N> L PXTK H JRYK >W H JF> PNJK >MR JHWH YB>WT,,hif,impf,KJ TGJCW PSX W XLH,,no complement,no complement,,,,,,,,,,,,,,,,
309619,QRB[,MT,Malachi,1,8,HQRJBHW,W KJ TGCWN <WR L ZBX >JN R< W KJ TGJCW PSX W XLH >JN R< HQRJBHW N> L PXTK H JRYK >W H JF> PNJK >MR JHWH YB>WT,,hif,impv,HQRJBHW N> L PXTK,,L PXTK,L PXH/,,0,prep,,,det,subs,complex,,,L,,,,,
309733,BW>[,MT,Malachi,1,13,HB>TM,W >MRTM HNH M TL>H W HPXTM >WTW >MR JHWH YB>WT W HB>TM GZWL W >T H PSX W >T H XWLH W HB>TM >T H MNXH H >RYH >WTH M JDKM >MR JHWH,,hif,perf,W HB>TM GZWL W >T H PSX W >T H XWLH,,no complement,no complement,,,,,,,,,,,,,,,,
309744,BW>[,MT,Malachi,1,13,HB>TM,W >MRTM HNH M TL>H W HPXTM >WTW >MR JHWH YB>WT W HB>TM GZWL W >T H PSX W >T H XWLH W HB>TM >T H MNXH H >RYH >WTH M JDKM >MR JHWH,,hif,perf,W HB>TM >T H MNXH,,no complement,no complement,,,,,,,,,,,,,,,,
309898,HLK[,MT,Malachi,2,6,HLK,TWRT >MT HJTH B PJHW W <WLH L> NMY> B FPTJW B CLWM W B MJCWR HLK >TJ W RBJM HCJB M <WN,,qal,perf,B CLWM W B MJCWR HLK >TJ,,no complement,no complement,,,,,,,,,,,,,,,,
2036607,NGC[,4Q76,Malachi,2,12,MGJC,JKRT JHWH L >JC >CR J<FNH <D W <NH M >HLJ J<QWB W MGJC MNXH L JHWH YB>WT,1111 1111 1 111 111 11000 00 0 000 0 0001 00000 1 1111 1111 1 1100 00000,hif,ptca,None,None,,,,,,,,,,,,,,,,,,[JKRT JHWH L >JC >CR J<]FNH <D W <NH M >HL[J] J<QWB [W MGJC MNXH L JH]WH YB>WT
310039,PNH[,MT,Malachi,2,13,PNWT,W Z>T CNJT T<FW KSWT DM<H >T MZBX JHWH BKJ W >NQH M >JN <WD PNWT >L H MNXH W L QXT RYWN M JDKM,,qal,infc,M >JN <WD PNWT >L H MNXH,,>L H MNXH,>L H MNXH/,,0,prep,,,det,subs,simple,,,>L,,,,,
2036629,PNH[,4Q76,Malachi,2,13,PNWT,W Z>T CNJT T<FW KSWT DM<H >T MZBX JHWH W BKJ W >NQH M >WN <WD PNWT >L H MNXH W L QXT RYWN M JDKM,0 000 0000 1000 0000 1111 11 1100 0000 0 000 0 0000 0 000 000 0000 11 1 1111 1 1 111 1111 1 1000,qal,infc,None,None,,,,,,,,,,,,,,,,,,W Z>T CNJT [T]<FW KSWT [DM<H >T MZ]BX JHWH W BKJ W >NQH M >WN <WD PNWT [>L H MNXH W L QXT RYWN M J]DKM
310150,PNH[,MT,Malachi,3,1,PNH,HNNJ CLX ML>KJ W PNH DRK L PNJ W PT>M JBW> >L HJKLW H >DWN >CR >TM MBQCJM W ML>K H BRJT >CR >TM XPYJM HNH B> >MR JHWH YB>WT,,piel,perf,W PNH DRK L PNJ,,no complement,no complement,,,,,,,,,,,,,,,,
310156,BW>[,MT,Malachi,3,1,JBW>,HNNJ CLX ML>KJ W PNH DRK L PNJ W PT>M JBW> >L HJKLW H >DWN >CR >TM MBQCJM W ML>K H BRJT >CR >TM XPYJM HNH B> >MR JHWH YB>WT,,qal,impf,W PT>M JBW> >L HJKLW H >DWN,H >DWN,>L HJKLW,>L HJKL/,,0,prep,,,det,subs,complex,,,>L,,,,,
2036745,PNH[,4Q76,Malachi,3,1,PNH,L KN HNNJ CWLX ML>KJ W PNH DRK L PNJ W PT>M JB>W >L HJKLW H >DWN >CR >TM MBQCJM W ML>K H BRJT >CR >TM XPYJM HNW B> >MR JHWH YB>WT,0 00 0111 0000 00111 1 111 000 0 000 0 0000 0000 00 00111 1 1100 000 000 000000 0 0000 0 0111 111 100 00000 000 00 000 0000 00111,piel,perf,None,None,,,,,,,,,,,,,,,,,,L KN H[NNJ] CWLX ML[>KJ W PNH] DRK L PNJ W PT>M JB>W >L HJ[KLW H >D]WN >CR >TM MBQCJM W ML>K H B[RJT >CR >]TM XPYJM HNW B> >MR JHWH YB[>WT]
2036751,BW>[,4Q76,Malachi,3,1,JB>W,L KN HNNJ CWLX ML>KJ W PNH DRK L PNJ W PT>M JB>W >L HJKLW H >DWN >CR >TM MBQCJM W ML>K H BRJT >CR >TM XPYJM HNW B> >MR JHWH YB>WT,0 00 0111 0000 00111 1 111 000 0 000 0 0000 0000 00 00111 1 1100 000 000 000000 0 0000 0 0111 111 100 00000 000 00 000 0000 00111,qal,impf,None,None,,,,,,,,,,,,,,,,,,L KN H[NNJ] CWLX ML[>KJ W PNH] DRK L PNJ W PT>M JB>W >L HJ[KLW H >D]WN >CR >TM MBQCJM W ML>K H B[RJT >CR >]TM XPYJM HNW B> >MR JHWH YB[>WT]
