verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
299589,JRD[,MT,Micah,1,3,JRD,KJ HNH JHWH JY> M MQWMW W JRD W DRK <L BMWTJ >RY,,qal,perf,W JRD,,no complement,no complement,,,,,,,,,,,,,,,,
299657,GLH[,MT,Micah,1,6,>GLH,W FMTJ CMRWN L <J H FDH L MV<J KRM W HGRTJ L GJ >BNJH W JSDJH >GLH,,piel,impf,W JSDJH >GLH,,no complement,no complement,,,,,,,,,,,,,,,,
2094703,GLH[,Mur88,Micah,1,6,>GLH,W FMTJ CMRWN L <J H FDH L MV<J KRM W HGRTJ L GJ >BNJH W JSDJH >GLH,0 0000 00000 0 00 0 000 0 0000 110 0 00000 0 00 00000 0 00000 0000,piel,impf,W JSDJH >GLH,,no complement,no complement,,,,,,,,,,,,,,,,W FMTJ CMRWN L <J H FDH L MV<J [KR]M W HGRTJ L GJ >BNJH W JSDJH >GLH
299683,CWB[,MT,Micah,1,7,JCWBW,W KL PSJLJH JKTW W KL >TNNJH JFRPW B >C W KL <YBJH >FJM CMMH KJ M >TNN ZWNH QBYH W <D >TNN ZWNH JCWBW,,qal,impf,W <D >TNN ZWNH JCWBW,,<D >TNN ZWNH,<D >TNN/ ZNH[,to a pay of a harlot,0,prep,other,inanim,det,subs,complex,posture/not motion,other,<D,,,,,
2094729,CWB[,Mur88,Micah,1,7,JCWBW,W KL PSJLJH JKTW W KL >TNNJH JFRPW B >C W KL <YBJH >FJM CMMH KJ M >TNN ZWNH QBYH W <D >TNN ZWNH JCWBW,0 00 000000 0001 0 00 000000 01100 0 00 0 00 00000 0000 0000 00 0 0000 0000 0000 0 00 0010 1111 11000,qal,impf,W <D >T[N]N [ZWNH JC]WBW,,<D >T[N]N [ZWNH],<D >TNN/ ZNH[,to a pay of a harlot,0,prep,other,inanim,det,subs,complex,posture/not motion,other,<D,,,,,W KL PSJLJH JKT[W] W KL >TNNJH J[FR]PW B >C W KL <YBJH >FJM CMMH KJ M >TNN ZWNH QBYH W <D >T[N]N [ZWNH JC]WBW
2046309,CWB[,4Q82,Micah,1,7,JCWBW,W KL PSJLJH JKTW W KL >TNNJH JFRPW B >C W KL <YBJH >FJM CMMH KJ M >TNN ZWNH QBYH W <D >TNN ZWNH JCWBW,0 00 000011 1111 1 11 111111 11111 1 11 1 11 11111 1111 1111 11 1 1111 0000 1111 1 11 1111 1111 11111,qal,impf,None,None,,,,,,,,,,,,,,,,,reconstructed,W KL PSJL[JH JKTW W KL >TNNJH JFRPW B >C W KL <YBJH >FJM CMMH KJ M >TNN] ZWNH [QBYH W <D >TNN ZWNH JCWBW]
299689,HLK[,MT,Micah,1,8,>JLKH,<L Z>T >SPDH W >JLJLH >JLKH CJLL W <RWM ><FH MSPD K TNJM W >BL K BNWT J<NH,,qal,impf,>JLKH CJLL W <RWM,,no complement,no complement,,,,,,,,,,,,,,,,
2094736,HLK[,Mur88,Micah,1,8,>JLKH,<L Z>T >SPDH W >JLJLH >JLKH CJLL W <RWM ><FH MSPD K TNJM W >BL K BNWT J<NH,00 000 00000 0 000000 00000 0000 0 0000 0011 1111 0 0000 0 000 0 1100 0000,qal,impf, >JLKH CJLL W <RWM,,no complement,no complement,,,,,,,,,,,,,,,,<L Z>T >SPDH W >JLJLH >JLKH CJLL W <RWM ><[FH MSPD] K TNJM W >BL K [BN]WT J<NH
299707,BW>[,MT,Micah,1,9,B>H,KJ >NWCH MKWTJH KJ B>H <D JHWDH NG< <D C<R <MJ <D JRWCLM,,qal,perf,KJ B>H <D JHWDH,,<D JHWDH,<D JHWDH/,to Judah,0,prep,place,inanim,det,nmpr,simple,fictive,goal,<D,,,,,
2094754,BW>[,Mur88,Micah,1,9,B>H,KJ >NWCH MKWTJH KJ B>H <D JHWDH NG< <D C<R <MJ <D JRWCLM,00 00000 111111 11 110 00 00111 000 00 000 000 00 000000,qal,perf,[KJ B>]H <D JH[WDH],,<D JH[WDH],<D JHWDH/,to Judah,0,prep,place,inanim,det,nmpr,simple,fictive,goal,<D,,,,reconstructed?,KJ >NWCH [MKWTJH KJ B>]H <D JH[WDH] NG< <D C<R <MJ <D JRWCLM
