verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,reconstructed_verse,spatial_arg_type
301535,NTK[,MT,Nahum,1,6,NTKH,L PNJ Z<MW MJ J<MWD W MJ JQWM B XRWN >PW XMTW NTKH K >C W H YRJM NTYW MMNW,XMTW NTKH K >C,XMTW,no complement,no complement,,,,,,,,,,,nif,perf,,,,,,,,,,,
2096561,NTK[,Mur88,Nahum,1,6,NTKH,L PNJ Z<MW MJ J<MD W MJ JQWM B XRWN >PW XMTW NTKH K >C W H YRJM NTYW MMNW,None,None,,,,,,,,,,,0.0,0 000 0001 01 0000 1 00 1000 0 0000 111 1111 0000 0 00 1 0 0000 1001 1000,nif,perf,,,,,,,,,,L PNJ Z<M[W] M[J] J<MD [W] MJ [J]QWM B XRWN [>PW XMTW] NTKH K >C [W] H YRJM [N]TY[W M]MNW,
2096579,XSH[,Mur88,Nahum,1,7,XSJ,VWB JHWH L M<WZ B JWM YRH W JD< XSJ BW,XSJ BW,,BW,,,0.0,,,,,,,0.0,000 1000 1 1111 1 111 111 1 000 000 01,qal,ptca,,,B,,,,,,,VWB [J]HWH [L M<WZ B JWM YRH W] JD< XSJ B[W],
2046607,XSH[,4Q82,Nahum,1,7,XWSJ,L M<WZ B JWM YRH W JWD< XWSJ BW,None,None,,,,,,,,,,,0.0,1 1111 1 111 111 1 1110 0000 01,qal,ptca,,,,,,,,,,[L M<WZ B JWM YRH W JWD]< XWSJ B[W],
301610,<BR[,MT,Nahum,1,12,<BR,KH >MR JHWH >M CLMJM W KN RBJM W KN NGZW W <BR W <NTK L> ><NK <WD,W <BR,,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,,,
301663,<BR[,MT,Nahum,2,1,<BWR,HNH <L H HRJM RGLJ MBFR MCMJ< CLWM XGJ JHWDH XGJK CLMJ NDRJK KJ L> JWSJP <WD L <BWR BK BLJ<L KLH NKRT,L <BWR BK,,BK,B,,0.0,prep,prsf,,det,prsf,simple,,,qal,infc,,,B,,,,,,,,
2096697,<BR[,Mur88,Nahum,2,1,<BWR,HNH <L H HRJM RGLJ MBFR MCMJ< CLWM XGJ JHWDH XGJK CLMJ NDRJK KJ L> JWSJP <WD L <BWR BK BLJ<L KLH NKRT,L <BWR BK,,BK,,,0.0,,,,,,,0.0,111 00 0 0000 0011 1111 11111 1111 111 11111 0000 1111 11100 00 01 11111 111 1 1111 11 11111 001 1100,qal,infc,,,B,,,,,,,[HNH] <L H HRJM RG[LJ MBFR MCMJ< CLWM XGJ JHWDH] XGJK [CLMJ NDR]JK KJ L[> JWSJP <WD L <BWR BK BLJ<L] KL[H NK]RT,
301668,<LH[,MT,Nahum,2,2,<LH,<LH MPJY <L PNJK NYWR MYRH YPH DRK XZQ MTNJM >MY KX M>D,<LH MPJY <L PNJK,MPJY,<L PNJK,<L PNH/,,0.0,prep,,,det,subs,complex,,,qal,perf,,,<L,,,,,,,,
2096703,<LH[,Mur88,Nahum,2,2,<LH,<LH MPJY <L PNJK NYWR MYRH YPH DRK XZQ MTNJM >MY KX M>D,<LH MPJY <L PNJK,MPJY,<L PNJK,,,0.0,,,,,,,0.0,111 1111 11 1111 1111 1111 111 111 000 10000 000 11 111,qal,perf,,,<L,,,,,,,[<LH MPJY <L PNJK NYWR MYRH YPH DRK] XZQ [M]TNJM >MY [KX M>D],
301682,CWB[,MT,Nahum,2,3,CB,KJ CB JHWH >T G>WN J<QB K G>WN JFR>L KJ BQQWM BQQJM W ZMRJHM CXTW,KJ CB JHWH >T G>WN J<QB K G>WN JFR>L,JHWH,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,,,
