verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
383438,BW>[,MT,Nehemiah,1,2,JB>,W JB> XNNJ >XD M >XJ HW> W >NCJM M JHWDH W >C>LM <L H JHWDJM H PLJVH >CR NC>RW MN H CBJ W <L JRWCLM,,qal,wayq,W JB> XNNJ >XD M >XJ,XNNJ >XD M >XJ,no complement,no complement,,,,,,,,,,,,,,,,
383627,CWB[,MT,Nehemiah,1,9,CBTM,W CBTM >LJ W CMRTM MYWTJ W <FJTM >TM >M JHJH NDXKM B QYH H CMJM M CM >QBYM W HBW>TJM >L H MQWM >CR BXRTJ L CKN >T CMJ CM,,qal,perf,W CBTM >LJ,,>LJ,>L,to me,0,prep,prps,anim,det,prsf,simple,fictive,goal,>L,,,,,
383646,BW>[,MT,Nehemiah,1,9,HBW>TJM,W CBTM >LJ W CMRTM MYWTJ W <FJTM >TM >M JHJH NDXKM B QYH H CMJM M CM >QBYM W HBW>TJM >L H MQWM >CR BXRTJ L CKN >T CMJ CM,,hif,perf,W HBW>TJM >L H MQWM,,>L H MQWM,>L H MQWM/,to the place,0,prep,place,inanim,det,subs,simple,factive,goal,>L,,,,,
383853,CWB[,MT,Nehemiah,2,6,TCWB,W J>MR LJ H MLK W H CGL JWCBT >YLW <D MTJ JHJH MHLKK W MTJ TCWB W JJVB L PNJ H MLK W JCLXNJ W >TNH LW ZMN,,qal,impf,W MTJ TCWB,,no complement,no complement,,,,,,,,,,,,,,,,
383885,<BR[,MT,Nehemiah,2,7,J<BJRWNJ,W >WMR L MLK >M <L H MLK VWB >GRWT JTNW LJ <L PXWWT <BR H NHR >CR J<BJRWNJ <D >CR >BW> >L JHWDH,,hif,impf,>CR J<BJRWNJ,,no complement,no complement,,,,,,,,,,,,,,,,
383888,BW>[,MT,Nehemiah,2,7,>BW>,W >WMR L MLK >M <L H MLK VWB >GRWT JTNW LJ <L PXWWT <BR H NHR >CR J<BJRWNJ <D >CR >BW> >L JHWDH,,qal,impf,<D >CR >BW> >L JHWDH,,>L JHWDH,>L JHWDH/,to Judah,0,prep,topo,inanim,det,nmpr,simple,factive,goal,>L,,,,,
383926,BW>[,MT,Nehemiah,2,8,>BW>,W >GRT >L >SP CMR H PRDS >CR L MLK >CR JTN LJ <YJM L QRWT >T C<RJ H BJRH >CR L BJT W L XWMT H <JR W L BJT >CR >BW> >LJW W JTN LJ H MLK K JD >LHJ H VWBH <LJ,,qal,impf,>CR >BW> >LJW,,>LJW,>L,to him / it,0,prep,prps,inanim,det,prsf,simple,factive,goal,>L,,,,,
383940,BW>[,MT,Nehemiah,2,9,>BW>,W >BW> >L PXWWT <BR H NHR W >TNH LHM >T >GRWT H MLK W JCLX <MJ H MLK FRJ XJL W PRCJM,,qal,wayq,W >BW> >L PXWWT <BR H NHR,,>L PXWWT <BR H NHR,>L PXH/ <BR/ H NHR/,to the governors across the river,0,prep,pers,anim,det,subs,complex,factive,goal,>L,,,,,
383979,BW>[,MT,Nehemiah,2,10,B>,W JCM< SNBLV H XRNJ W VWBJH H <BD H <MNJ W JR< LHM R<H GDLH >CR B> >DM L BQC VWBH L BNJ JFR>L,,qal,perf,>CR B> >DM,>DM,no complement,no complement,,,,,,,,,,,,,,,,
383988,BW>[,MT,Nehemiah,2,11,>BW>,W >BW> >L JRWCLM W >HJ CM JMJM CLCH,,qal,wayq,W >BW> >L JRWCLM,,>L JRWCLM,>L JRWCLM/,to Jerusalem,0,prep,topo,inanim,det,nmpr,simple,factive,goal,>L,,,,,
384031,JY>[,MT,Nehemiah,2,13,>Y>H,W >Y>H B C<R H GJ> LJLH W >L PNJ <JN_HTNJN W >L C<R H >CPT W >HJ FBR B XWMT JRWCLM >CR HM PRWYJM W C<RJH >KLW B >C,,qal,wayq,W >Y>H B C<R H GJ> LJLH,,B C<R H GJ>,B C<R/ H GJ>/,in / through the gate of the valley,0,prep,place,inanim,det,subs,complex,factive,trajectory,B,,,,,
384062,<BR[,MT,Nehemiah,2,14,><BR,W ><BR >L C<R H <JN W >L BRKT H MLK W >JN MQWM L BHMH L <BR TXTJ,,qal,wayq,W ><BR >L C<R H <JN W >L BRKT H MLK,,>L C<R H <JN W >L BRKT H MLK,>L C<R/ H <JN/ W >L BRKH=/ H MLK/,"to the gate of the fountain, and to pool of the king",0,prep + prep,place,inanim,det,subs,complex,factive,goal,>L,>L,,,,
384079,<BR[,MT,Nehemiah,2,14,<BR,W ><BR >L C<R H <JN W >L BRKT H MLK W >JN MQWM L BHMH L <BR TXTJ,,qal,infc,L <BR TXTJ,,no complement,no complement,,,,,,,,,,,,,,,,
384095,CWB[,MT,Nehemiah,2,15,>CWB,W >HJ <LH B NXL LJLH W >HJ FBR B XWMH W >CWB W >BW> B C<R H GJ> W >CWB,,qal,wayq,W >CWB,,no complement,no complement,,,,,,,,,,,,,,,,
384097,BW>[,MT,Nehemiah,2,15,>BW>,W >HJ <LH B NXL LJLH W >HJ FBR B XWMH W >CWB W >BW> B C<R H GJ> W >CWB,,qal,wayq,W >BW> B C<R H GJ>,,B C<R H GJ>,B C<R/ H GJ>/,in / through the gate of the valley,0,prep,place,inanim,det,subs,complex,factive,trajectory,B,,,,,
