verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,comments,reconstructed_verse
1963460,JY>[,4Q23,Numbers,1,1,Y>TM,W JDBR JHWH >L MCH B MDBR SJNJ B >HL MW<D B >XD L XDC H CNJ B CNH H CNJT L Y>TM M >RY MYRJM L >MR,1 1111 1111 11 111 1 1111 1111 1 111 1111 1 111 1 111 1 111 1 111 1 1111 0 0000 0 000 11111 1 111,qal,infc,None,None,,,,,,,,,,,,,,,,,,,min excluded,[W JDBR JHWH >L MCH B MDBR SJNJ B >HL MW<D B >XD L XDC H CNJ B CNH H CNJT] L Y>TM M >RY [MYRJM L >MR]
69668,JY>[,MT,Numbers,1,3,JY>,M BN <FRJM CNH W M<LH KL JY> YB> B JFR>L TPQDW >TM L YB>TM >TH W >HRN,,qal,ptca,JY> YB> B JFR>L,,no complement,no complement,,,,,,,,,,,,,,,,,,
69794,QHL[,MT,Numbers,1,18,HQHJLW,W >T KL H <DH HQHJLW B >XD L XDC H CNJ W JTJLDW <L MCPXTM L BJT >BTM B MSPR CMWT M BN <FRJM CNH W M<LH L GLGLTM,,hif,perf,W >T KL H <DH HQHJLW B >XD L XDC H CNJ,,no complement,no complement,,,,,,,,,,,,,,,,,,
69857,JY>[,MT,Numbers,1,20,JY>,W JHJW BNJ R>WBN BKR JFR>L TWLDTM L MCPXTM L BJT >BTM B MSPR CMWT L GLGLTM KL ZKR M BN <FRJM CNH W M<LH KL JY> YB>,,qal,ptca,W JHJW BNJ R>WBN BKR JFR>L TWLDTM L MCPXTM L BJT >BTM B MSPR CMWT L GLGLTM KL ZKR M BN <FRJM CNH W M<LH KL JY> YB>,BNJ R>WBN BKR JFR>L TWLDTM L MCPXTM L BJT >BTM B MSPR CMWT L GLGLTM KL ZKR M BN <FRJM CNH W M<LH KL JY> YB>,no complement,no complement,,,,,,,,,,,,,,,,,,
69894,JY>[,MT,Numbers,1,22,JY>,L BNJ CM<WN TWLDTM L MCPXTM L BJT >BTM PQDJW B MSPR CMWT L GLGLTM KL ZKR M BN <FRJM CNH W M<LH KL JY> YB>,,qal,ptca,TWLDTM L MCPXTM L BJT >BTM PQDJW B MSPR CMWT L GLGLTM KL ZKR M BN <FRJM CNH W M<LH KL JY> YB>,TWLDTM L MCPXTM L BJT >BTM PQDJW B MSPR CMWT L GLGLTM KL ZKR M BN <FRJM CNH W M<LH KL JY> YB>,no complement,no complement,,,,,,,,,,,,,,,,,,
69926,JY>[,MT,Numbers,1,24,JY>,L BNJ GD TWLDTM L MCPXTM L BJT >BTM B MSPR CMWT M BN <FRJM CNH W M<LH KL JY> YB>,,qal,ptca,TWLDTM L MCPXTM L BJT >BTM B MSPR CMWT M BN <FRJM CNH W M<LH KL JY> YB>,TWLDTM L MCPXTM L BJT >BTM B MSPR CMWT M BN <FRJM CNH W M<LH KL JY> YB>,no complement,no complement,,,,,,,,,,,,,,,,,,
69960,JY>[,MT,Numbers,1,26,JY>,L BNJ JHWDH TWLDTM L MCPXTM L BJT >BTM B MSPR CMT M BN <FRJM CNH W M<LH KL JY> YB>,,qal,ptca,TWLDTM L MCPXTM L BJT >BTM B MSPR CMT M BN <FRJM CNH W M<LH KL JY> YB>,TWLDTM L MCPXTM L BJT >BTM B MSPR CMT M BN <FRJM CNH W M<LH KL JY> YB>,no complement,no complement,,,,,,,,,,,,,,,,,,
69992,JY>[,MT,Numbers,1,28,JY>,L BNJ JFFKR TWLDTM L MCPXTM L BJT >BTM B MSPR CMT M BN <FRJM CNH W M<LH KL JY> YB>,,qal,ptca,TWLDTM L MCPXTM L BJT >BTM B MSPR CMT M BN <FRJM CNH W M<LH KL JY> YB>,TWLDTM L MCPXTM L BJT >BTM B MSPR CMT M BN <FRJM CNH W M<LH KL JY> YB>,no complement,no complement,,,,,,,,,,,,,,,,,,
70024,JY>[,MT,Numbers,1,30,JY>,L BNJ ZBWLN TWLDTM L MCPXTM L BJT >BTM B MSPR CMT M BN <FRJM CNH W M<LH KL JY> YB>,,qal,ptca,TWLDTM L MCPXTM L BJT >BTM B MSPR CMT M BN <FRJM CNH W M<LH KL JY> YB>,TWLDTM L MCPXTM L BJT >BTM B MSPR CMT M BN <FRJM CNH W M<LH KL JY> YB>,no complement,no complement,,,,,,,,,,,,,,,,,,
70059,JY>[,MT,Numbers,1,32,JY>,L BNJ JWSP L BNJ >PRJM TWLDTM L MCPXTM L BJT >BTM B MSPR CMT M BN <FRJM CNH W M<LH KL JY> YB>,,qal,ptca,TWLDTM L MCPXTM L BJT >BTM B MSPR CMT M BN <FRJM CNH W M<LH KL JY> YB>,TWLDTM L MCPXTM L BJT >BTM B MSPR CMT M BN <FRJM CNH W M<LH KL JY> YB>,no complement,no complement,,,,,,,,,,,,,,,,,,
