verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
347025,HLK[,MT,Proverbs,1,11,LKH,>M J>MRW LKH >TNW N>RBH L DM NYPNH L NQJ XNM,,qal,impv,LKH >TNW,,>TNW,>T==,with us,0,prep,prps,anim,det,prsf,simple,factive,other,>T==,,,,,
347051,NPL[,MT,Proverbs,1,14,TPJL,GWRLK TPJL B TWKNW KJS >XD JHJH L KLNW,,hif,impf,GWRLK TPJL B TWKNW,,B TWKNW,B TWK/,in ou midst/among us,0,prep,pers,anim,det,subs,complex,vertical,goal,B,,,,,
347061,HLK[,MT,Proverbs,1,15,TLK,BNJ >L TLK B DRK >TM MN< RGLK M NTJBTM,,qal,impf,>L TLK B DRK >TM,,B DRK,B DRK/,along the road,0,prep,place,inanim,det,subs,simple,factive,trajectory,B,,,,,
347074,RWY[,MT,Proverbs,1,16,JRWYW,KJ RGLJHM L R< JRWYW W JMHRW L CPK DM,,qal,impf,KJ RGLJHM L R< JRWYW,RGLJHM,L R<,L H R</,towards the evil,0,prep,abs,inanim,det,subs,simple,factive,goal,L,,,,,
347076,MHR[,MT,Proverbs,1,16,JMHRW,KJ RGLJHM L R< JRWYW W JMHRW L CPK DM,,piel,impf,W JMHRW,,no complement,no complement,,,,,,,,,,,,,,,,
347143,CWB[,MT,Proverbs,1,23,TCWBW,TCWBW L TWKXTJ HNH >BJ<H LKM RWXJ >WDJ<H DBRJ >TKM,,qal,impf,TCWBW L TWKXTJ,,L TWKXTJ,L TWKXT/,to my rebuke,0,prep,abs,inanim,det,subs,complex,posture/not motion,other,L,,,,,
347177,BW>[,MT,Proverbs,1,26,B>,GM >NJ B >JDKM >FXQ >L<G B B> PXDKM,,qal,infc,B B> PXDKM,PXDKM,no complement,no complement,,,,,,,,,,,,,,,,
347180,BW>[,MT,Proverbs,1,27,B>,B B> K C>WH PXDKM W >JDKM K SWPH J>TH B B> <LJKM YRH W YWQH,,qal,infc,B B> K C>WH PXDKM,PXDKM,no complement,no complement,,,,,,,,,,,,,,,,
347188,>TH[,MT,Proverbs,1,27,J>TH,B B> K C>WH PXDKM W >JDKM K SWPH J>TH B B> <LJKM YRH W YWQH,,qal,impf,W >JDKM K SWPH J>TH,>JDKM,no complement,no complement,,,,,,,,,,,,,,,,
347190,BW>[,MT,Proverbs,1,27,B>,B B> K C>WH PXDKM W >JDKM K SWPH J>TH B B> <LJKM YRH W YWQH,,qal,infc,B B> <LJKM YRH W YWQH,YRH W YWQH,<LJKM,<L,to / against you,0,prep,prps,anim,det,prsf,simple,fictive,goal,<L,,,,,
