verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,comments,reconstructed_verse
310658,HLK[,MT,Psalms,1,1,HLK,>CRJ H >JC >CR L> HLK B <YT RC<JM W B DRK XV>JM L> <MD W B MWCB LYJM L> JCB,,qal,perf,>CR L> HLK B <YT RC<JM,,B <YT RC<JM,B <YH/ RC</,in the counsel of the wicked,0,prep,abs,inanim,det,subs,complex,fictive,trajectory,B,,,,,,,
310854,XSH[,MT,Psalms,2,12,XWSJ,NCQW BR PN J>NP W T>BDW DRK KJ JB<R K M<V >PW >CRJ KL XWSJ BW,,qal,ptca,XWSJ BW,,BW,B,in / on it,0,prep,prps,anim,det,prsf,simple,fictive,goal,B,,,,,,those who seek refuge in him,
311104,BW>[,MT,Psalms,5,8,>BW>,W >NJ B RB XSDK >BW> BJTK >CTXWH >L HJKL QDCK B JR>TK,,qal,impf,W >NJ B RB XSDK >BW> BJTK,>NJ,BJTK,BJT/,in your house,0,vc,,inanim,det,subs,complex,factive,goal,,,,,,,,
311136,NPL[,MT,Psalms,5,11,JPLW,H>CJMM >LHJM JPLW M M<YWTJHM B RB PC<JHM HDJXMW KJ MRW BK,,qal,impf,JPLW M M<YWTJHM,,no complement,no complement,,,,,,,,,,,,,,,,,,
311149,XSH[,MT,Psalms,5,12,XWSJ,W JFMXW KL XWSJ BK L <WLM JRNNW W TSK <LJMW W J<LYW BK >HBJ CMK,,qal,ptca,XWSJ BK,,BK,B,in / through you,0,prep,prps,anim,det,prsf,simple,fictive,goal,B,,,,,,all who seek refuge in you,
2054155,XSH[,4Q98b,Psalms,5,12,XSJ,W JFMXW KL XSJ BKH L <WLM JRNNW W TSKH <LJMW W J<LYW BKH >HBJ CMKH,1 11111 00 000 000 0 1111 11111 1 1111 11111 1 11111 111 1111 1111,qal,ptca,XSJ BKH,,BKH,B,in / through you,0,prep,prps,anim,det,prsf,simple,fictive,goal,B,,,,,,all who seek refuge in you,[W JFMXW] KL XSJ BKH L [<WLM JRNNW W TSKH <LJMW W J<LYW BKH >HBJ CMKH]
2046935,XSH[,4Q83,Psalms,5,12,XSJ,W JFMXW KWL XSJ BKH L <WLM JRNNW W TSK <LJMW W J<LYW BKH >HBJ CMKH,1 11111 111 000 000 0 0000 00011 1 111 11111 1 11111 111 1111 1111,qal,ptca,XSJ BKH,,BKH,B,in / through you,0,prep,prps,anim,det,prsf,simple,fictive,goal,B,,,,,,all who seek refuge in you,[W JFMXW KWL] XSJ BKH L <WLM JRN[NW W TSK <LJMW W J<LYW BKH >HBJ CMKH]
311212,CWB[,MT,Psalms,6,5,CWBH,CWBH JHWH XLYH NPCJ HWCJ<NJ LM<N XSDK,,qal,impv,CWBH,,no complement,no complement,,,,,,,,,,,,,,,,,,
311272,CWB[,MT,Psalms,6,11,JCBW,JBCW W JBHLW M>D KL >JBJ JCBW JBCW RG<,,qal,impf,JCBW,,no complement,no complement,,,,,,,,,,,,,,,,,,
311290,XSH[,MT,Psalms,7,2,XSJTJ,JHWH >LHJ BK XSJTJ HWCJ<NJ M KL RDPJ W HYJLNJ,,qal,perf,BK XSJTJ,,BK,B,in / through you,0,prep,prps,anim,det,prsf,simple,fictive,goal,B,,,,,,,
