verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
355810,HLK[,MT,Ruth,1,1,JLK,W JHJ B JMJ CPV H CPVJM W JHJ R<B B >RY W JLK >JC M BJT_LXM JHWDH L GWR B FDJ MW>B HW> W >CTW W CNJ BNJW,,qal,wayq,W JLK >JC M BJT_LXM JHWDH HW> W >CTW W CNJ BNJW,>JC M BJT_LXM JHWDH HW> W >CTW W CNJ BNJW,no complement,no complement,,,,,,,,,,,,,,,,
2055691,HLK[,4Q104,Ruth,1,1,JLK,W JHJ B JMJ CPV H CPVJM W JHJ R<B B >RY W JLK >JC M BJT LXM JHWDH L GWR B FDH MW>B HW> W >CTW W CNJ BNJW,0 000 0 000 000 0 00000 0 000 000 0 000 0 000 000 0 111 111 00000 0 000 0 000 0000 000 0 0000 0 000 0000,qal,wayq,W JLK >JC M BJT LXM JHWDH HW> W >CTW W CNJ BNJW,>JC M BJT LXM JHWDH HW> W >CTW W CNJ BNJW,no complement,no complement,,,,,,,,,,,,,,,,W JHJ B JMJ CPV H CPVJM W JHJ R<B B >RY W JLK >JC M [BJT LXM] JHWDH L GWR B FDH MW>B HW> W >CTW W CNJ BNJW
355847,BW>[,MT,Ruth,1,2,JB>W,W CM H >JC >LJMLK W CM >CTW N<MJ W CM CNJ BNJW MXLWN W KLJWN >PRTJM M BJT_LXM JHWDH W JB>W FDJ MW>B W JHJW CM,,qal,wayq,W JB>W FDJ MW>B,,FDJ MW>B,FDH/ MW>B/,to the fields of Moab,0,vc,place,inanim,det,subs,complex,factive,goal,,,,,,
2055962,BW>[,4Q105,Ruth,1,2,JB>W,CM H >JC >LJMLK W CM >CTW N<MJ W CM CNJ BNJW MXLWN W KLJWN >PRTJM M BJT LXM JHWDH W JB>W FDJ MW>B W JHJW CM,01 1 111 111111 1 11 1111 1111 1 11 111 1111 11111 1 11111 111111 0 000 001 11111 1 1111 000 1111 1 1111 11,qal,wayq,None,None,,FDH/ MW>B/,to the fields of Moab,,vc,place,inanim,det,subs,complex,factive,goal,,,,,reconstructed,C[M H >JC >LJMLK W CM >CTW N<MJ W CM CNJ BNJW MXLWN W KLJWN >PRTJM] M BJT LX[M JHWDH W JB>W] FDJ [MW>B W JHJW CM]
2055731,BW>[,4Q104,Ruth,1,2,JB>W,W CM H >JC >LJMLK W CM >CTW N<MJ W CM CNJ BNJW MXLWN W KLJWN >PRTJM M BJT LXM JHWDH W JB>W FDH MW>B W JCBW CM,0 00 0 001 111111 0 00 0000 0000 0 00 000 0000 00000 0 00000 000000 0 111 111 11100 0 0000 000 0000 0 0000 00,qal,wayq,W JB>W FDH MW>B,,FDH MW>B,FDH/ MW>B/,to the fields of Moab,0,vc,place,inanim,det,subs,complex,factive,goal,,,,,,W CM H >J[C >LJMLK] W CM >CTW N<MJ W CM CNJ BNJW MXLWN W KLJWN >PRTJM M [BJT LXM JHW]DH W JB>W FDH MW>B W JCBW CM
355938,HLK[,MT,Ruth,1,7,TLKNH,W TY> MN H MQWM >CR HJTH CMH W CTJ KLTJH <MH W TLKNH B DRK L CWB >L >RY JHWDH,,qal,wayq,W TLKNH B DRK,,B DRK,B H DRK/,along the road,0,prep,place,inanim,det,subs,simple,factive,trajectory,B,,,,,
355943,CWB[,MT,Ruth,1,7,CWB,W TY> MN H MQWM >CR HJTH CMH W CTJ KLTJH <MH W TLKNH B DRK L CWB >L >RY JHWDH,,qal,infc,L CWB >L >RY JHWDH,,>L >RY JHWDH,>L >RY/ JHWDH/,to the land of Judah,0,prep,place,inanim,det,subs,complex,factive,goal,>L,,,,,
2055815,JY>[,4Q104,Ruth,1,7,TY>,W TY> MN H MQWM >CR HJTH CMH W CTJ KLWTJH <MH W TLKNH B DRK L CWB >L >RY JHWDH,1 111 11 1 1111 111 1111 111 1 100 000000 000 1 11111 1 111 1 111 11 111 11111,qal,wayq,None,None,,,,,,,,,,,,,,,,,reconstructed,[W TY> MN H MQWM >CR HJTH CMH W C]TJ KLWTJH <MH [W TLKNH B DRK L CWB >L >RY JHWDH]
2055827,HLK[,4Q104,Ruth,1,7,TLKNH,W TY> MN H MQWM >CR HJTH CMH W CTJ KLWTJH <MH W TLKNH B DRK L CWB >L >RY JHWDH,1 111 11 1 1111 111 1111 111 1 100 000000 000 1 11111 1 111 1 111 11 111 11111,qal,wayq,W TLKNH B DRK,,B DRK,B H DRK/,along the road,0,prep,place,inanim,det,subs,simple,factive,trajectory,B,,,,reconstructed,[W TY> MN H MQWM >CR HJTH CMH W C]TJ KLWTJH <MH [W TLKNH B DRK L CWB >L >RY JHWDH]
2055831,CWB[,4Q104,Ruth,1,7,CWB,W TY> MN H MQWM >CR HJTH CMH W CTJ KLWTJH <MH W TLKNH B DRK L CWB >L >RY JHWDH,1 111 11 1 1111 111 1111 111 1 100 000000 000 1 11111 1 111 1 111 11 111 11111,qal,infc,None,None,,,,,,,,,,,,,,,,,reconstructed,[W TY> MN H MQWM >CR HJTH CMH W C]TJ KLWTJH <MH [W TLKNH B DRK L CWB >L >RY JHWDH]
