verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
357626,RWY[,MT,Song_of_songs,1,4,NRWYH,MCKNJ >XRJK NRWYH HBJ>NJ H MLK XDRJW NGJLH W NFMXH BK NZKJRH DDJK M JJN MJCRJM >HBWK,,qal,impf,>XRJK NRWYH,,>XRJK,>XR/,after you,0,prep,prps,anim,det,prsf,simple,fictive,other,>XR/,,,,,
357627,BW>[,MT,Song_of_songs,1,4,HBJ>NJ,MCKNJ >XRJK NRWYH HBJ>NJ H MLK XDRJW NGJLH W NFMXH BK NZKJRH DDJK M JJN MJCRJM >HBWK,,hif,perf,HBJ>NJ H MLK XDRJW,H MLK,XDRJW,XDR/,to his chambers,0,vc,place,inanim,det,subs,complex,factive,goal,,,,,,
2075193,RWY[,6Q6,Song_of_songs,1,4,NRWYH,MCKNJ >XRJK NRWYH HBJ>NJ H MLK XDRJW NFMXH W NGJLH BK NZKJRH DDJK M JJN MJCRJM >HWBJM,00000 11111 11110 000011 1 110 00000 00000 1 11111 11 111111 0000 1 111 000000 000000,qal,impf,None,None,,,,,,,,,,,,,,,,,reconstructed,MCKNJ [>XRJK NRWY]H HBJ>[NJ H ML]K XDRJW NFMXH [W NGJLH BK NZKJRH] DDJK [M JJN] MJCRJM >HWBJM
2075194,BW>[,6Q6,Song_of_songs,1,4,HBJ>NJ,MCKNJ >XRJK NRWYH HBJ>NJ H MLK XDRJW NFMXH W NGJLH BK NZKJRH DDJK M JJN MJCRJM >HWBJM,00000 11111 11110 000011 1 110 00000 00000 1 11111 11 111111 0000 1 111 000000 000000,hif,perf,HBJ>[NJ H ML]K XDRJW,[H ML]K,XDRJW,XDR/,to his chambers,0,vc,place,inanim,det,subs,complex,factive,goal,,,,,,MCKNJ [>XRJK NRWY]H HBJ>[NJ H ML]K XDRJW NFMXH [W NGJLH BK NZKJRH] DDJK [M JJN] MJCRJM >HWBJM
357705,JY>[,MT,Song_of_songs,1,8,Y>J,>M L> TD<J LK H JPH B NCJM Y>J LK B <QBJ H Y>N W R<J >T GDJTJK <L MCKNWT H R<JM,,qal,impv,Y>J LK B <QBJ H Y>N,,B <QBJ H Y>N,B <QB=/ H Y>N/,in the tracks of the flock,0,prep,other,inanim,det,subs,complex,factive,trajectory,B,,,,,
357826,BW>[,MT,Song_of_songs,2,4,HBJ>NJ,HBJ>NJ >L BJT H JJN W DGLW <LJ >HBH,,hif,perf,HBJ>NJ >L BJT H JJN,,>L BJT H JJN,>L BJT/ H JJN/,to the house of wine,0,prep,place,inanim,det,subs,complex,factive,goal,>L,,,,,
357921,HLK[,MT,Song_of_songs,2,10,LKJ,<NH DWDJ W >MR LJ QWMJ LK R<JTJ JPTJ W LKJ LK,,qal,impv,W LKJ LK,,no complement,no complement,,,,,,,,,,,,,,,,
357927,<BR[,MT,Song_of_songs,2,11,<BR,KJ HNH H STW <BR H GCM XLP HLK LW,,qal,perf,KJ HNH H STW <BR,H STW,no complement,no complement,,,,,,,,,,,,,,,,
357930,XLP[,MT,Song_of_songs,2,11,XLP,KJ HNH H STW <BR H GCM XLP HLK LW,,qal,perf,H GCM XLP,H GCM,no complement,no complement,,,,,,,,,,,,,,,,
357931,HLK[,MT,Song_of_songs,2,11,HLK,KJ HNH H STW <BR H GCM XLP HLK LW,,qal,perf,HLK LW,,no complement,no complement,,,,,,,,,,,,,,,,
357965,HLK[,MT,Song_of_songs,2,13,LKJ,H T>NH XNVH PGJH W H GPNJM SMDR NTNW RJX QWMJ LKJ R<JTJ JPTJ W LKJ LK,,qal,impv,W LKJ LK,,no complement,no complement,,,,,,,,,,,,,,,,
2056514,HLK[,4Q107,Song_of_songs,2,13,LKJ,HNH H TN>H XNVH PGJH W H GPNJM SMDR NTNW RJX QWMJ LK R<JTJ JPTJ W LKJ LK,000 0 0000 0000 1111 1 1 11111 1000 0000 000 0000 00 00000 1111 1 111 11,qal,impv,None,None,,no complement,,,,,,,,,,,,,,,reconstructed,HNH H TN>H XNVH [PGJH W H GPNJM S]MDR NTNW RJX QWMJ LK R<JTJ [JPTJ W LKJ LK]
358014,NWS[,MT,Song_of_songs,2,17,NSW,<D C JPWX H JWM W NSW H YLLJM SB DMH LK DWDJ L YBJ >W L <PR H >JLJM <L HRJ BTR,,qal,perf,W NSW H YLLJM,H YLLJM,no complement,no complement,,,,,,,,,,,,,,,,
358017,SBB[,MT,Song_of_songs,2,17,SB,<D C JPWX H JWM W NSW H YLLJM SB DMH LK DWDJ L YBJ >W L <PR H >JLJM <L HRJ BTR,,qal,impv,SB,,no complement,no complement,,,,,,,,,,,,,,,,
2056565,NWS[,4Q107,Song_of_songs,2,17,NSW,<D C JPWX H JWM W NSW H VLLJM SWB DMH LK DWDJ L YBJ <L HRRJ BTR,11 1 1111 1 110 0 000 0 00000 000 111 11 1111 1 111 00 0000 000,qal,perf,W NSW H VLLJM,H VLLJM,no complement,no complement,,,,,,,,,,,,,,,,[<D C JPWX H JW]M W NSW H VLLJM SWB [DMH LK DWDJ L YBJ] <L HRRJ BTR
2056568,SBB[,4Q107,Song_of_songs,2,17,SWB,<D C JPWX H JWM W NSW H VLLJM SWB DMH LK DWDJ L YBJ <L HRRJ BTR,11 1 1111 1 110 0 000 0 00000 000 111 11 1111 1 111 00 0000 000,qal,impv,SWB,,no complement,no complement,,,,,,,,,,,,,,,,[<D C JPWX H JW]M W NSW H VLLJM SWB [DMH LK DWDJ L YBJ] <L HRRJ BTR
