verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
305030,CWB[,MT,Zechariah,1,3,CWBW,W >MRT >LHM KH >MR JHWH YB>WT CWBW >LJ N>M JHWH YB>WT W >CWB >LJKM >MR JHWH YB>WT,,qal,impv,CWBW >LJ,,>LJ,>L,to me,0,prep,prps,anim,det,prsf,simple,fictive,goal,>L,,,,,
305036,CWB[,MT,Zechariah,1,3,>CWB,W >MRT >LHM KH >MR JHWH YB>WT CWBW >LJ N>M JHWH YB>WT W >CWB >LJKM >MR JHWH YB>WT,,qal,impf,W >CWB >LJKM,,>LJKM,>L,to you,0,prep,prps,anim,det,prsf,simple,fictive,goal,>L,,,,,
2099712,CWB[,Mur88,Zechariah,1,3,CWBW,W >MRT >LHM KH >MR JHWH YB>WT CWBW >LJ N>M JHWH YB>WT W >CWB >LJKM >MR JHWH YB>WT,1 1111 1000 00 000 0011 11111 1111 111 100 0000 01111 1 1111 11111 111 1111 10000,qal,impv,None,None,,,,,,,,,,,,,,,,,reconstructed,[W >MRT >]LHM KH >MR JH[WH YB>WT CWBW >LJ N]>M JHWH Y[B>WT W >CWB >LJKM >MR JHWH Y]B>WT
2099718,CWB[,Mur88,Zechariah,1,3,>CWB,W >MRT >LHM KH >MR JHWH YB>WT CWBW >LJ N>M JHWH YB>WT W >CWB >LJKM >MR JHWH YB>WT,1 1111 1000 00 000 0011 11111 1111 111 100 0000 01111 1 1111 11111 111 1111 10000,qal,impf,None,None,,,,,,,,,,,,,,,,,reconstructed,[W >MRT >]LHM KH >MR JH[WH YB>WT CWBW >LJ N]>M JHWH Y[B>WT W >CWB >LJKM >MR JHWH Y]B>WT
2040516,CWB[,4Q80,Zechariah,1,4,CWBW,H R>CNJM L >MR KH >MR JHWH YB>WT CWBW N> M DRKJKM H R<JM W M<LJLJKM H R<JM W LW> CM<W W LW> HQCJBW >LJ N>M JHWH,1 111111 1 111 11 111 1100 00000 1111 11 1 111111 1 1111 1 11111111 0 0000 0 000 0000 0 000 000001 111 111 1111,qal,impv,None,None,,,,,,,,,,,,,,,,,reconstructed,[H R>CNJM L >MR KH >MR JH]WH YB>WT [CWBW N> M DRKJKM H R<JM W M<LJLJKM] H R<JM W LW> CM<W W LW> HQCJB[W >LJ N>M JHWH]
305102,CWB[,MT,Zechariah,1,6,JCWBW,>K DBRJ W XQJ >CR YWJTJ >T <BDJ H NBJ>JM H LW> HFJGW >BTJKM W JCWBW W J>MRW K >CR ZMM JHWH YB>WT L <FWT LNW K DRKJNW W K M<LLJNW KN <FH >TNW,,qal,wayq,W JCWBW,,no complement,no complement,,,,,,,,,,,,,,,,
2040564,CWB[,4Q80,Zechariah,1,6,JCWBW,W XQJ >CR YWJTJ >T <BDJ H NBJ>JM H LW> HFJGW W JCWBW W J>MRW K >CR ZMM JHWH YB>WT L <FWT K DRKJNW W K M<LLJNW KN <FH >TNW,1 111 111 11111 11 1111 0 000000 0 000 00111 1 11111 1 11111 1 111 111 1111 11001 0 1110 0 000011 1 1 1111111 11 111 1111,qal,wayq,None,None,,,,,,,,,,,,,,,,,reconstructed,[W XQJ >CR YWJTJ >T <BDJ] H NBJ>JM H LW> HF[JGW W JCWBW W J>MRW K >CR ZMM JHWH YB]>W[T] L [<FW]T K DRKJ[NW W K M<LLJNW KN <FH >TNW]
305212,HLK[,MT,Zechariah,1,10,HTHLK,W J<N H >JC H <MD BJN H HDSJM W J>MR >LH >CR CLX JHWH L HTHLK B >RY,,hit,infc,L HTHLK B >RY,,B >RY,B H >RY/,through / in a land,0,prep,place,inanim,und,subs,simple,factive,trajectory,B,,,,,
2040621,HLK[,4Q80,Zechariah,1,10,HTHLK,W J<N H >JC H <MD BJN H HDSJM W JWMR >LH >CR CLX JHWH L HTHLK B >RY,1 111 1 111 1 111 111 1 11111 0 0001 111 111 111 1111 1 11111 1 111,hit,infc,None,None,,,,,,,,,,,,,,,,,reconstructed,[W J<N H >JC H <MD BJN H HDSJM] W JWM[R >LH >CR CLX JHWH L HTHLK B >RY]
305228,HLK[,MT,Zechariah,1,11,HTHLKNW,W J<NW >T ML>K JHWH H <MD BJN H HDSJM W J>MRW HTHLKNW B >RY W HNH KL H >RY JCBT W CQVT,,hit,perf,HTHLKNW B >RY,,B >RY,B H >RY/,through / in a land,0,prep,place,inanim,und,subs,simple,factive,trajectory,B,,,,,
305323,CWB[,MT,Zechariah,1,16,CBTJ,LKN KH >MR JHWH CBTJ L JRWCLM B RXMJM BJTJ JBNH BH N>M JHWH YB>WT W QWH JNVH <L JRWCLM,,qal,perf,CBTJ L JRWCLM B RXMJM,,L JRWCLM,L JRWCLM/,to Jerusalem,0,prep,topo,inanim,det,nmpr,simple,factive,goal,L,,,,,
305427,BW>[,MT,Zechariah,2,4,JB>W,W >MR MH >LH B>JM L <FWT W J>MR L >MR >LH H QRNWT >CR ZRW >T JHWDH K PJ >JC L> NF> R>CW W JB>W >LH L HXRJD >TM L JDWT >T QRNWT H GWJM H NF>JM QRN >L >RY JHWDH L ZRWTH,,qal,wayq,W JB>W >LH,>LH,no complement,no complement,,,,,,,,,,,,,,,,
305497,RWY[,MT,Zechariah,2,8,RY,W J>MR >LW RY DBR >L H N<R H LZ L >MR PRZWT TCB JRWCLM M RB >DM W BHMH B TWKH,,qal,impv,RY,,no complement,no complement,,,,,,,,,,,,,,,,
305732,SWR[,MT,Zechariah,3,4,HSJRW,W J<N W J>MR >L H <MDJM L PNJW L >MR HSJRW H BGDJM H Y>JM M <LJW W J>MR >LJW R>H H<BRTJ M <LJK <WNK W HLBC >TK MXLYWT,,hif,impv,HSJRW H BGDJM H Y>JM M <LJW,,M <LJW,MN <L,,0,prep + prep,,,det,,simple,,,MN,<L,,,min excluded,
305743,<BR[,MT,Zechariah,3,4,H<BRTJ,W J<N W J>MR >L H <MDJM L PNJW L >MR HSJRW H BGDJM H Y>JM M <LJW W J>MR >LJW R>H H<BRTJ M <LJK <WNK W HLBC >TK MXLYWT,,hif,perf,H<BRTJ M <LJK <WNK,,M <LJK,MN <L,,0,prep + prep,,,det,,simple,,,MN,<L,,,min excluded,
2040789,SWR[,4Q80,Zechariah,3,4,HSJRW,W J<N W J>MR >L H <WMDJM L PNJW L >MR HSJRW H BGDJM H Y>JM M <LJW W J>MR >LJW R>H H<BRTJ M <LJK <WNK W HLBC >TK MXLYWT,1 111 1 1111 11 0 000111 1 1111 1 111 11111 1 11111 1 1111 1 1111 1 1111 1111 111 100000 0 0011 1111 1 1111 111 111111,hif,impv,HSJRW H BGDJM H Y>JM M <LJW,,M <LJW,,,0,,,,,,,,,MN,<L,,,reconstructed,[W J<N W J>MR >L] H <WM[DJM L PNJW L >MR HSJRW H BGDJM H Y>JM M <LJW W J>MR >LJW R>H H]<BRTJ M <L[JK <WNK W HLBC >TK MXLYWT]
2040800,<BR[,4Q80,Zechariah,3,4,H<BRTJ,W J<N W J>MR >L H <WMDJM L PNJW L >MR HSJRW H BGDJM H Y>JM M <LJW W J>MR >LJW R>H H<BRTJ M <LJK <WNK W HLBC >TK MXLYWT,1 111 1 1111 11 0 000111 1 1111 1 111 11111 1 11111 1 1111 1 1111 1 1111 1111 111 100000 0 0011 1111 1 1111 111 111111,hif,perf,H<BRTJ M <LJK <WNK,,M <LJK,,,0,,,,,,,,,MN,<L,,,min excluded,[W J<N W J>MR >L] H <WM[DJM L PNJW L >MR HSJRW H BGDJM H Y>JM M <LJW W J>MR >LJW R>H H]<BRTJ M <L[JK <WNK W HLBC >TK MXLYWT]
305788,HLK[,MT,Zechariah,3,7,TLK,KH >MR JHWH YB>WT >M B DRKJ TLK W >M >T MCMRTJ TCMR W GM >TH TDJN >T BJTJ W GM TCMR >T XYRJ W NTTJ LK MHLKJM BJN H <MDJM H >LH,,qal,impf,>M B DRKJ TLK,,B DRKJ,B DRK/,in my ways,0,prep,place,inanim,det,subs,complex,fictive,trajectory,B,,,,,
2040848,HLK[,4Q80,Zechariah,3,7,TLK,KH >MR JHWH YB>WT >M B DRKJ TLK W >M >T MCMRTJ TCMR W GM >TH TDJN >T BJTJ W GM TCMR >T XYRJ W NTTJ LK MHLKJM BJN H <MDJM H >LH,11 111 1111 11111 11 1 1111 000 1 11 11 111111 1111 1 11 111 1111 11 1111 1 11 1111 11 0011 1 1111 11 111111 111 1 11111 1 111,qal,impf,>M B DRKJ TLK,,B DRKJ,,in my ways,0,prep,place,inanim,det,subs,complex,,,B,,,,reconstructed,[KH >MR JHWH YB>WT >M B DRKJ] TLK [W >M >T MCMRTJ TCMR W GM >TH TDJN >T BJTJ W GM TCMR >T] XY[RJ W NTTJ LK MHLKJM BJN H <MDJM H >LH]
305859,MWC[,MT,Zechariah,3,9,MCTJ,KJ HNH H >BN >CR NTTJ L PNJ JHWC< <L >BN >XT CB<H <JNJM HNNJ MPTX PTXH N>M JHWH YB>WT W MCTJ >T <WN H >RY H HJ> B JWM >XD,,qal,perf,W MCTJ >T <WN H >RY H HJ> B JWM >XD,,no complement,no complement,,,,,,,,,,,,,,,,
2040921,MWC[,4Q80,Zechariah,3,9,MCJTJ,KJ HNH H >BN >CR NTTJ L PNJ JHCW< <L >BN >XT CB<H <JNJM HNNJ MPTX PTXH N>M JHWH YB>WT W MCJTJ >T KWL <WN H >RY H HJ> B JWM >XD,11 111 1 111 111 1111 1 111 00000 11 000 111 1111 11111 1111 1100 1111 111 1111 11111 0 00000 10 000 111 1 111 1 111 1 111 100,qal,perf,W MCJTJ [>]T KWL [<WN H >RY H HJ> B JWM >]XD,None,,,,,,,,,,,,,,,,,reconstructed,[KJ HNH H >BN >CR NTTJ L PNJ] JHCW< [<L] >BN [>XT CB<H <JNJM HNNJ MP]TX [PTXH N>M JHWH YB>WT] W MCJTJ [>]T KWL [<WN H >RY H HJ> B JWM >]XD
305889,CWB[,MT,Zechariah,4,1,JCB,W JCB H ML>K H DBR BJ W J<JRNJ K >JC >CR J<WR M CNTW,,qal,wayq,W JCB H ML>K,H ML>K,no complement,no complement,,,,,,,,,,,,,,,,
306022,JY>[,MT,Zechariah,4,7,HWYJ>,MJ >TH HR H GDWL L PNJ ZRBBL L MJCR W HWYJ> >T H >BN H R>CH TC>WT XN XN LH,,hif,perf,W HWYJ> >T H >BN H R>CH TC>WT,,no complement,no complement,,,,,,,,,,,,,,,,
306155,CWB[,MT,Zechariah,5,1,>CWB,W >CWB W >F> <JNJ W >R>H W HNH MGLH <PH,,qal,wayq,W >CWB,,no complement,no complement,,,,,,,,,,,,,,,,
306217,JY>[,MT,Zechariah,5,4,HWY>TJH,HWY>TJH N>M JHWH YB>WT W B>H >L BJT H GNB W >L BJT H NCB< B CMJ L CQR W LNH B TWK BJTW W KLTW W >T <YJW W >T >BNJW,,hif,perf,HWY>TJH,,no complement,no complement,,,,,,,,,,,,,,,,
306222,BW>[,MT,Zechariah,5,4,B>H,HWY>TJH N>M JHWH YB>WT W B>H >L BJT H GNB W >L BJT H NCB< B CMJ L CQR W LNH B TWK BJTW W KLTW W >T <YJW W >T >BNJW,,qal,perf,W B>H >L BJT H GNB W >L BJT,,>L BJT H GNB W >L BJT,>L BJT/ H GNB/ W >L BJT/,in the house of the thief and in the house,0,prep + prep,place,inanim,det,subs,complex,fictive,goal,>L,>L,,,,
306251,JY>[,MT,Zechariah,5,5,JY>,W JY> H ML>K H DBR BJ W J>MR >LJ F> N> <JNJK W R>H MH H JWY>T H Z>T,,qal,wayq,W JY> H ML>K,H ML>K,no complement,no complement,,,,,,,,,,,,,,,,
2041042,JY>[,4Q80,Zechariah,5,9,JWY>WT,W >F>H <JNJ W >R>H W HNH CTJM NCJM JWY>WT W RWX B KNPJHM W LHNH KNPJM K KNPJ H XSJDH W TF>NH >T H >JPH BJN H >RY W BJN H CMJM,1 1100 0000 1 1100 0 000 1111 1111 111111 1 111 1 111111 1 1111 10000 0 0000 0 01111 1 11111 11 1 1111 111 1 111 1 111 1 1111,qal,ptca,None,None,,,,,,,,,,,,,,,,,reconstructed,[W >F]>H <JNJ [W >R]>H W HNH [CTJM NCJM JWY>WT W RWX B KNPJHM W LHNH K]NPJM K KNPJ H X[SJDH W TF>NH >T H >JPH BJN H >RY W BJN H CMJM]
306384,NWX[,MT,Zechariah,5,11,HNJXH,W J>MR >LJ L BNWT LH BJT B >RY CN<R W HWKN W HNJXH CM <L MKNTH,,hof,perf,W HNJXH CM <L MKNTH,,<L MKNTH,<L MKWNH/,on its foundation,0,prep,place,inanim,det,subs,complex,factive,location,<L,,,,,
2041095,NWX[,4Q80,Zechariah,5,11,HNJXH,W J>MR >LJ L BNWT LH BJT B >RY CN<R W HWKN W HNJXH CM <L MKWNTH,1 1111 100 0 0000 00 111 1 111 1111 1 1111 1 11111 11 11 111100,hof,perf,W HNJXH CM <L MKWNTH,,<L MKWNTH,,,0,,,,,,,,,<L,,,,reconstructed,[W J>MR >]LJ L BNWT LH [BJT B >RY CN<R W HWKN W HNJXH CM <L MKWN]TH
306389,CWB[,MT,Zechariah,6,1,>CB,W >CB W >F> <JNJ W >R>H W HNH >RB< MRKBWT JY>WT M BJN CNJ H HRJM W H HRJM HRJ NXCT,,qal,wayq,W >CB,,no complement,no complement,,,,,,,,,,,,,,,,
2041101,CWB[,4Q80,Zechariah,6,1,>CB,W >CB W >F> <JNJ W >R>H W HNH >RB< MRKBWT JY>WT M BJN CNJ H HRJM W H HRJM HRJ NXWC,1 111 1 111 1111 1 1111 1 111 1111 111111 11111 1 111 111 1 1111 1 1 1111 111 1110,qal,wayq,None,None,,,,,,,,,,,,,,,,,reconstructed,[W >CB W >F> <JNJ W >R>H W HNH >RB< MRKBWT JY>WT M BJN CNJ H HRJM W H HRJM HRJ NXW]C
2041111,JY>[,4Q80,Zechariah,6,1,JY>WT,W >CB W >F> <JNJ W >R>H W HNH >RB< MRKBWT JY>WT M BJN CNJ H HRJM W H HRJM HRJ NXWC,1 111 1 111 1111 1 1111 1 111 1111 111111 11111 1 111 111 1 1111 1 1 1111 111 1110,qal,ptca,None,None,,,,,,,,,,,,,,,,,reconstructed,[W >CB W >F> <JNJ W >R>H W HNH >RB< MRKBWT JY>WT M BJN CNJ H HRJM W H HRJM HRJ NXW]C
2041179,JY>[,4Q80,Zechariah,6,5,JWY>WT,W J<N H ML>K W JWMR >LJ >LH >RB< RXWT H CMJM JWY>WT >DWN KWL H >RY,0 000 0 0000 0 0001 111 111 1111 1111 1 1111 111111 0000 000 0 001,qal,ptca,None,None,,,,,,,,,,,,,,,,,reconstructed,W J<N H ML>K W JWM[R >LJ >LH >RB< RXWT H CMJM JWY>WT] >DWN KWL H >R[Y]
306488,JY>[,MT,Zechariah,6,6,JY>W,>CR BH H SWSJM H CXRJM JY>JM >L >RY YPWN W H LBNJM JY>W >L >XRJHM W H BRDJM JY>W >L >RY H TJMN,,qal,perf,W H LBNJM JY>W >L >XRJHM,H LBNJM,>L >XRJHM,>L >XR/,to behind them,0,prep,prps,anim,det,subs,simple,factive,other,>L,>XR/,,,,
306494,JY>[,MT,Zechariah,6,6,JY>W,>CR BH H SWSJM H CXRJM JY>JM >L >RY YPWN W H LBNJM JY>W >L >XRJHM W H BRDJM JY>W >L >RY H TJMN,,qal,perf,W H BRDJM JY>W >L >RY H TJMN,H BRDJM,>L >RY H TJMN,>L >RY/ H TJMN/,to the country of the south,0,prep,place,inanim,det,subs,complex,factive,goal,>L,,,,,
306502,JY>[,MT,Zechariah,6,7,JY>W,W H >MYJM JY>W W JBQCW L LKT L HTHLK B >RY W J>MR LKW HTHLKW B >RY W TTHLKNH B >RY,,qal,perf,W H >MYJM JY>W,H >MYJM,no complement,no complement,,,,,,,,,,,,,,,,
