verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,reconstructed_verse,spatial_arg_type
303368,QRB[,MT,Zephaniah,1,14,QRWB,QRWB JWM JHWH H GDWL QRWB W MHR M>D QWL JWM JHWH MR YRX CM GBWR,QRWB,,no complement,no complement,,,,,,,,,,,qal,infa,,,,,,,,,,,
303370,MHR[,MT,Zephaniah,1,14,MHR,QRWB JWM JHWH H GDWL QRWB W MHR M>D QWL JWM JHWH MR YRX CM GBWR,W MHR M>D,,no complement,no complement,,,,,,,,,,,piel,infa,,,,,,,,,,,
303422,HLK[,MT,Zephaniah,1,17,HLKW,W HYRTJ L >DM W HLKW K <WRJM KJ L JHWH XV>W W CPK DMM K <PR W LXMM K GLLJM,W HLKW K <WRJM,,K <WRJM,K H <WR/,,0.0,prep,,,det,,simple,,,qal,perf,,,K,,,,,,,,
2098156,HLK[,Mur88,Zephaniah,1,17,HLKW,W HYRTJ L >DM W HLKW K <WRJM KJ L JHWH XV>W W CPK DMM K <PR W LXMM K GLLJM,None,None,,,,,,,,,,,0.0,1 11100 0 000 0 0000 0 11111 11 1 1011 0011 1 111 111 1 111 1 0000 0 00010,qal,perf,,,,,,,,,,[W HYR]TJ L >DM W HLKW K [<WRJM KJ L J]H[WH] XV[>W W CPK DMM K <PR W] LXMM K GLL[J]M,
303484,<BR[,MT,Zephaniah,2,2,<BR,B VRM LDT XQ K MY <BR JWM B VRM L> JBW> <LJKM XRWN >P JHWH B VRM L> JBW> <LJKM JWM >P JHWH,K MY <BR JWM,JWM,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,,,
303489,BW>[,MT,Zephaniah,2,2,JBW>,B VRM LDT XQ K MY <BR JWM B VRM L> JBW> <LJKM XRWN >P JHWH B VRM L> JBW> <LJKM JWM >P JHWH,B VRM L> JBW> <LJKM XRWN >P JHWH,XRWN >P JHWH,<LJKM,<L,,0.0,prep,prsf,,det,prsf,simple,,,qal,impf,,,<L,,,,,,,,
303497,BW>[,MT,Zephaniah,2,2,JBW>,B VRM LDT XQ K MY <BR JWM B VRM L> JBW> <LJKM XRWN >P JHWH B VRM L> JBW> <LJKM JWM >P JHWH,B VRM L> JBW> <LJKM JWM >P JHWH,JWM >P JHWH,<LJKM,<L,,0.0,prep,prsf,,det,prsf,simple,,,qal,impf,,,<L,,,,,,,,
2098223,BW>[,Mur88,Zephaniah,2,2,JBW>,B VRM LDT XQ K MY <BR JWM B VRM L> JBW> <LJKM XRWN >P JHWH B VRM L> JBW> <LJKM JWM >P JHWH,None,None,,,,,,,,,,,0.0,1 111 111 11 0 00 000 100 1 111 00 0000 00100 0000 00 0000 0 000 11 0000 11111 000 00 0111,qal,impf,,,,,,,,,,[B VRM LDT XQ] K MY <BR [J]WM [B VRM] L> JBW> <L[J]KM XRWN >P JHWH B VRM [L>] JBW> [<LJKM] JWM >P J[HWH],
2098231,BW>[,Mur88,Zephaniah,2,2,JBW>,B VRM LDT XQ K MY <BR JWM B VRM L> JBW> <LJKM XRWN >P JHWH B VRM L> JBW> <LJKM JWM >P JHWH,None,None,,,,,,,,,,,0.0,1 111 111 11 0 00 000 100 1 111 00 0000 00100 0000 00 0000 0 000 11 0000 11111 000 00 0111,qal,impf,,,,,,,,,,[B VRM LDT XQ] K MY <BR [J]WM [B VRM] L> JBW> <L[J]KM XRWN >P JHWH B VRM [L>] JBW> [<LJKM] JWM >P J[HWH],
2098490,<BR[,Mur88,Zephaniah,2,15,<WBR,Z>T H <JR H <LJZH H JWCBT L BVX H >MRH B LBBH >NJ W >PSJ <WD >JK HJTH L CMH MRBY L XJH KL <WBR <LJH JCRQ JNJ< JDW,None,None,,,,,,,,,,,0.0,111 1 111 1 00110 1 11111 1 111 0 0000 0 0000 000 0 0100 000 111 1111 0 000 1111 1 111 00 0000 0000 0000 0000 000,qal,ptca,,,,,,,,,,[Z>T H <JR H] <L[JZ]H [H JWCBT L BVX] H >MRH B LBBH >NJ W >[P]SJ <WD [>JK HJTH] L CMH [MRBY L XJH] KL <WBR <LJH JCRQ JNJ< JDW,
