verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,comments,reconstructed_verse,Study_Edition
206,GLL,1QH,1QH,3,9,HTGWLLTJ,KJ B NDH HTGWLLTJ W M SWD RMH Y>TJ W L> NLWJTJ KJ L K >TH H YDQH W L CM K H BRKH L <WLM,,hit,perf,KJ B NDH HTGWLLTJ,,B NDH,B NDH,in impurity,0,prep,other,inanim,und,subs,simple,fictive,location,B,,,,,,,,p148 col 4 19
354,NPL,1QH,1QH,4,1,HTNPL,MZMWR L MFKJL L HTNPL L PNJ >L M<FJ >L W L HBJN PWT>JM J <WLM T W L HBJN >NWC B BFR W SWD RWXJ HTHLKW,,hit,infc,L HTNPL L PNJ >L,,L PNJ >L,L PNH >L==,,0,prep,,,und,subs,complex,,,L,,,,,,reconstructed,,p150 col 5 1
376,HLK,1QH,1QH,4,1,HTHLKW,MZMWR L MFKJL L HTNPL L PNJ >L M<FJ >L W L HBJN PWT>JM J <WLM T W L HBJN >NWC B BFR W SWD RWXJ HTHLKW,,hit,perf,HTHLKW,,no complement,no complement,,,,,,,,,,,,,,,,,,,
447,GLH,1QH,1QH,4,4,GLJTH,>TH HW>L QDWCJM W B RZJ PL> K HWD< BWR KBWD K W B <WMQ M <JN BJNT K L> >TH GLJTH DRKJ >MT W M<FJ R< XWKMH W >WLT YDQ,,qal,perf,>TH GLJTH DRKJ >MT W M<FJ R< XWKMH W >WLT,>TH,no complement,no complement,,,,,,,,,,,,,,,,,,,
709,CWB,1QH,1QH,4,19,JCWB,KJ W DBR K L> JCWB >XWR,,qal,impf,W DBR K L> JCWB >XWR,DBR K,>XWR,>XWR,backwards,0,vc,direction,inanim,und,adv,simple,fictive,trajectory,,,,,,,,,p150 col 5 24
732,CWB,1QH,1QH,4,21,JCWB,W DBR K L> JCWB >XWR,,qal,impf,W DBR K L> JCWB >XWR,DBR K,>XWR,>XWR,backwards,0,vc,direction,inanim,und,adv,simple,fictive,trajectory,,,,,,,,,p150 col 5 25
885,NPL,1QH,1QH,4,30,TPJL,KJ L PJ RWXWT TPJL M BJN VWB L RC< W TKN TM P<WLT M,,hif,impf,KJ L PJ RWXWT TPJL M BJN VWB L RC<,,BJN VWB,BJN VWB,,0,vc,,,und,subs,complex,,,,,,,,,reconstructed,,p152 col 6 11
885,NPL,1QH,1QH,4,30,TPJL,KJ L PJ RWXWT TPJL M BJN VWB L RC< W TKN TM P<WLT M,,hif,impf,KJ L PJ RWXWT TPJL M BJN VWB L RC<,,L RC<,L RC<,to evil/guilt (between good and evil) ,0,prep,abstract,inanim,und,subs,simple,posture/not motion,other,L,,,,,,reconstructed,,p152 col 6 12
915,NGC,1QH,1QH,4,32,TGJCN,W KN TGJCN W L BJNT K,,hif,impf,W KN TGJCN W L BJNT K,,L BJNT K,L BJNH K,to your intelligence / understanding,0,prep,abstract,inanim,det,subs,complex,fictive,goal,L,,,,,,,,p152 col 6 13
967,GLH,1QH,1QH,4,37,NGLTH,W NGLTH YDQT K L <JNJ KWL M<FJ K,,nif,perf,W NGLTH YDQT K L <JNJ KWL M<FJ K,YDQT K,L <JNJ KWL M<FJ K,L <JN KL M<FH K,to the eyes of all your creatures,0,prep,body part,inanim,det,subs,complex,posture/not motion,other,L,,,,,,,,p152 col 6 16
