verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
359325,BW>[,MT,Ecclesiastes,1,5,B>,W ZRX H CMC W B> H CMC W >L MQWMW CW>P ZWRX HW> CM,,qal,perf,W B> H CMC,H CMC,no complement,no complement,,,,,,,,,,,,,,,,
359375,HLK[,MT,Ecclesiastes,1,7,LKT,KL H NXLJM HLKJM >L H JM W H JM >JNNW ML> >L MQWM C H NXLJM HLKJM CM HM CBJM L LKT,,qal,infc,L LKT,,no complement,no complement,,,,,,,,,,,,,,,,
2057266,HLK[,4Q110,Ecclesiastes,1,7,LKT,L LKT,1 111,qal,infc,None,None,,,,,,,,,,,,,,,,,reconstructed,[L LKT]
359583,HLK[,MT,Ecclesiastes,2,1,LKH,>MRTJ >NJ B LBJ LKH N> >NSKH B FMXH W R>H B VWB W HNH GM HW> HBL,,qal,impv,LKH N>,,no complement,no complement,,,,,,,,,,,,,,,,
359770,PNH[,MT,Ecclesiastes,2,11,PNJTJ,W PNJTJ >NJ B KL M<FJ C <FW JDJ W B <ML C <MLTJ L <FWT W HNH H KL HBL W R<WT RWX W >JN JTRWN TXT H CMC,,qal,perf,W PNJTJ >NJ B KL M<FJ,>NJ,B KL M<FJ,B KL/ M<FH/,in/to all my works,0,prep,occ,inanim,det,subs,complex,posture/not motion,goal,B,,,,,
359801,PNH[,MT,Ecclesiastes,2,12,PNJTJ,W PNJTJ >NJ L R>WT XKMH W HWLLWT W SKLWT KJ MH H >DM C JBW> >XRJ H MLK >T >CR KBR <FWHW,,qal,perf,W PNJTJ >NJ,>NJ,no complement,no complement,,,,,,,,,,,,,,,,
359815,BW>[,MT,Ecclesiastes,2,12,JBW>,W PNJTJ >NJ L R>WT XKMH W HWLLWT W SKLWT KJ MH H >DM C JBW> >XRJ H MLK >T >CR KBR <FWHW,,qal,impf,C JBW> >XRJ H MLK,,>XRJ H MLK,>XR/ H MLK/,after the king,0,prep,pers,anim,det,subs,complex,posture/not motion,other,>XR/,,,,,
359954,NWX[,MT,Ecclesiastes,2,18,>NJXNW,W FN>TJ >NJ >T KL <MLJ C >NJ <ML TXT H CMC C >NJXNW L >DM C JHJH >XRJ,,hif,impf,C >NJXNW L >DM,,L >DM,L H >DM/,to a man,0,prep,pers,anim,und,subs,simple,posture/not motion,goal/recipient,L,,,,,
359986,SBB[,MT,Ecclesiastes,2,20,SBWTJ,W SBWTJ >NJ L J>C >T LBJ <L KL H <ML C <MLTJ TXT H CMC,,qal,perf,W SBWTJ >NJ,>NJ,no complement,no complement,,,,,,,,,,,,,,,,
360499,CWB[,MT,Ecclesiastes,3,20,CB,H KL HWLK >L MQWM >XD H KL HJH MN H <PR W H KL CB >L H <PR,,qal,perf,W H KL CB >L H <PR,H KL,>L H <PR,>L H <PR/,to the dust,0,prep,other,inanim,det,subs,simple,fictive,goal,>L,,,,,
360543,BW>[,MT,Ecclesiastes,3,22,JBJ>NW,W R>JTJ KJ >JN VWB M >CR JFMX H >DM B M<FJW KJ HW> XLQW KJ MJ JBJ>NW L R>WT B MH C JHJH >XRJW,,hif,impf,KJ MJ JBJ>NW,MJ,no complement,no complement,,,,,,,,,,,,,,,,
360552,CWB[,MT,Ecclesiastes,4,1,CBTJ,W CBTJ >NJ W >R>H >T KL H <CQJM >CR N<FJM TXT H CMC W HNH DM<T H <CQJM W >JN LHM MNXM W M JD <CQJHM KX W >JN LHM MNXM,,qal,perf,W CBTJ >NJ,>NJ,no complement,no complement,,,,,,,,,,,,,,,,
360666,CWB[,MT,Ecclesiastes,4,7,CBTJ,W CBTJ >NJ W >R>H HBL TXT H CMC,,qal,perf,W CBTJ >NJ,>NJ,no complement,no complement,,,,,,,,,,,,,,,,
360729,NPL[,MT,Ecclesiastes,4,10,JPLW,KJ >M JPLW H >XD JQJM >T XBRW W >J LW H >XD C JPWL W >JN CNJ L HQJMW,,qal,impf,>M JPLW,,no complement,no complement,,,,,,,,,,,,,,,,
360741,NPL[,MT,Ecclesiastes,4,10,JPWL,KJ >M JPLW H >XD JQJM >T XBRW W >J LW H >XD C JPWL W >JN CNJ L HQJMW,,qal,impf,C JPWL,,no complement,no complement,,,,,,,,,,,,,,,,
360854,HLK[,MT,Ecclesiastes,4,17,TLK,CMR RGLJK K >CR TLK >L BJT H >LHJM W QRWB L CM< M TT H KSJLJM ZBX KJ >JNM JWD<JM L <FWT R<,,qal,impf,K >CR TLK >L BJT H >LHJM,,>L BJT H >LHJM,>L BJT/ H >LHJM/,to the house of the god,0,prep,place,inanim,det,subs,complex,factive,goal,>L,,,,,
360860,QRB[,MT,Ecclesiastes,4,17,QRWB,CMR RGLJK K >CR TLK >L BJT H >LHJM W QRWB L CM< M TT H KSJLJM ZBX KJ >JNM JWD<JM L <FWT R<,,qal,infa,W QRWB,,no complement,no complement,,,,,,,,,,,,,,,,
360881,MHR[,MT,Ecclesiastes,5,1,JMHR,>L TBHL <L PJK W LBK >L JMHR L HWYJ> DBR L PNJ H >LHJM KJ H >LHJM B CMJM W >TH <L H >RY <L KN JHJW DBRJK M<VJM,,piel,impf,W LBK >L JMHR,LBK,no complement,no complement,,,,,,,,,,,,,,,,
360883,JY>[,MT,Ecclesiastes,5,1,HWYJ>,>L TBHL <L PJK W LBK >L JMHR L HWYJ> DBR L PNJ H >LHJM KJ H >LHJM B CMJM W >TH <L H >RY <L KN JHJW DBRJK M<VJM,,hif,infc,L HWYJ> DBR L PNJ H >LHJM,,L PNJ H >LHJM,L PNH/ H >LHJM/,before the god,0,prep,pers,anim,det,subs,simple,posture/not motion,location,L,,,,,
360906,BW>[,MT,Ecclesiastes,5,2,B>,KJ B> H XLWM B RB <NJN W QWL KSJL B RB DBRJM,,qal,perf,KJ B> H XLWM B RB <NJN,H XLWM,B RB <NJN,B RB=/ <NJN/,in (with) a lot of occupation,0,prep,occ,inanim,und,subs,complex,fictive,other,B,,,,,
361117,CWB[,MT,Ecclesiastes,5,14,JCWB,K >CR JY> M BVN >MW <RWM JCWB L LKT K C B> W M>WMH L> JF> B <MLW C JLK B JDW,,qal,impf,<RWM JCWB,,no complement,no complement,,,,,,,,,,,,,,,,
361119,HLK[,MT,Ecclesiastes,5,14,LKT,K >CR JY> M BVN >MW <RWM JCWB L LKT K C B> W M>WMH L> JF> B <MLW C JLK B JDW,,qal,infc,L LKT,,no complement,no complement,,,,,,,,,,,,,,,,
361122,BW>[,MT,Ecclesiastes,5,14,B>,K >CR JY> M BVN >MW <RWM JCWB L LKT K C B> W M>WMH L> JF> B <MLW C JLK B JDW,,qal,perf,K C B>,,no complement,no complement,,,,,,,,,,,,,,,,
361130,HLK[,MT,Ecclesiastes,5,14,JLK,K >CR JY> M BVN >MW <RWM JCWB L LKT K C B> W M>WMH L> JF> B <MLW C JLK B JDW,,hif,impf,C JLK B JDW,,B JDW,B JD/,to his hand,0,prep,bopa,inanim,det,subs,complex,factive,goal,B,,,,,
2056893,JY>[,4Q109,Ecclesiastes,5,14,JY>,KJ> JY> M BVN >MW <RWM JCWB L LKT K C B> W M>WMH L> JF> B <MLW C JLK B JDW,000 111 1 111 111 1111 1111 1 111 0 0 00 1 11111 11 111 1 1111 1 111 1 100,qal,perf,None,None,,,,,,,,,,,,,,,,,reconstructed,KJ> [JY> M BVN >MW <RWM JCWB L LKT] K C B> [W M>WMH L> JF> B <MLW C JLK B J]DW
2056898,CWB[,4Q109,Ecclesiastes,5,14,JCWB,KJ> JY> M BVN >MW <RWM JCWB L LKT K C B> W M>WMH L> JF> B <MLW C JLK B JDW,000 111 1 111 111 1111 1111 1 111 0 0 00 1 11111 11 111 1 1111 1 111 1 100,qal,impf,None,None,,,,,,,,,,,,,,,,,reconstructed,KJ> [JY> M BVN >MW <RWM JCWB L LKT] K C B> [W M>WMH L> JF> B <MLW C JLK B J]DW
2056900,HLK[,4Q109,Ecclesiastes,5,14,LKT,KJ> JY> M BVN >MW <RWM JCWB L LKT K C B> W M>WMH L> JF> B <MLW C JLK B JDW,000 111 1 111 111 1111 1111 1 111 0 0 00 1 11111 11 111 1 1111 1 111 1 100,qal,infc,None,None,,,,,,,,,,,,,,,,,reconstructed,KJ> [JY> M BVN >MW <RWM JCWB L LKT] K C B> [W M>WMH L> JF> B <MLW C JLK B J]DW
2056903,BW>[,4Q109,Ecclesiastes,5,14,B>,KJ> JY> M BVN >MW <RWM JCWB L LKT K C B> W M>WMH L> JF> B <MLW C JLK B JDW,000 111 1 111 111 1111 1111 1 111 0 0 00 1 11111 11 111 1 1111 1 111 1 100,qal,perf,K C B>,,no complement,no complement,,,,,,,,,,,,,,,,KJ> [JY> M BVN >MW <RWM JCWB L LKT] K C B> [W M>WMH L> JF> B <MLW C JLK B J]DW
2056911,HLK[,4Q109,Ecclesiastes,5,14,JLK,KJ> JY> M BVN >MW <RWM JCWB L LKT K C B> W M>WMH L> JF> B <MLW C JLK B JDW,000 111 1 111 111 1111 1111 1 111 0 0 00 1 11111 11 111 1 1111 1 111 1 100,hif,impf,None,None,,,,,,,,,,,,,,,,,reconstructed,KJ> [JY> M BVN >MW <RWM JCWB L LKT] K C B> [W M>WMH L> JF> B <MLW C JLK B J]DW
361141,BW>[,MT,Ecclesiastes,5,15,B>,W GM ZH R<H XWLH KL <MT C B> KN JLK W MH JTRWN LW C J<ML L RWX,,qal,perf,C B>,,no complement,no complement,,,,,,,,,,,,,,,,
361143,HLK[,MT,Ecclesiastes,5,15,JLK,W GM ZH R<H XWLH KL <MT C B> KN JLK W MH JTRWN LW C J<ML L RWX,,qal,impf,KN JLK,,no complement,no complement,,,,,,,,,,,,,,,,
2056922,BW>[,4Q109,Ecclesiastes,5,15,B>,GM ZH R<H XWLH KWL <MT C B> KN JLK W MH JTRWN LW C J<ML L RWX,00 00 111 1111 111 111 1 11 11 111 0 00 00000 00 1 1111 1 111,qal,perf,None,None,,,,,,,,,,,,,,,,,reconstructed,GM ZH [R<H XWLH KWL <MT C B> KN JLK] W MH JTRWN LW [C J<ML L RWX]
2056924,HLK[,4Q109,Ecclesiastes,5,15,JLK,GM ZH R<H XWLH KWL <MT C B> KN JLK W MH JTRWN LW C J<ML L RWX,00 00 111 1111 111 111 1 11 11 111 0 00 00000 00 1 1111 1 111,qal,impf,None,None,,,,,,,,,,,,,,,,,reconstructed,GM ZH [R<H XWLH KWL <MT C B> KN JLK] W MH JTRWN LW [C J<ML L RWX]
361334,BW>[,MT,Ecclesiastes,6,4,B>,KJ B HBL B> W B XCK JLK W B XCK CMW JKSH,,qal,perf,KJ B HBL B>,,B HBL,B H HBL/,in the vapor / in vanity,0,prep,other,inanim,det,subs,simple,fictive,other,B,,,,,
361339,HLK[,MT,Ecclesiastes,6,4,JLK,KJ B HBL B> W B XCK JLK W B XCK CMW JKSH,,qal,impf,W B XCK JLK,,B XCK,B H XCK/,in the darkness,0,prep,phen,inanim,det,subs,simple,factive,other,B,,,,,
2057004,HLK[,4Q109,Ecclesiastes,6,4,HLK,KJ B HBL BH W B XWCK HLK W B XWCK CMW CMW JKSH,00 0 000 00 0 0 0000 000 0 0 0000 000 000 0000,qal,perf,W B XWCK HLK,,B XWCK,B H XCK/,in the darkness,0,prep,phen,inanim,det,subs,simple,factive,other,B,,,,,KJ B HBL BH W B XWCK HLK W B XWCK CMW CMW JKSH
2057043,HLK[,4Q109,Ecclesiastes,6,6,HWLK,W >M LW> XJH >LP CNJM P<MJM W VWBH LW> R>H H LW> >L MQWM >XD H KWL HWLK,0 00 000 000 000 0000 00000 0 0000 000 000 0 000 00 0000 000 0 000 0000,qal,ptca,None,None,,,,,,,,,,,,,,,,,not predicate,W >M LW> XJH >LP CNJM P<MJM W VWBH LW> R>H H LW> >L MQWM >XD H KWL HWLK
361403,HLK[,MT,Ecclesiastes,6,8,HLK,KJ MH JWTR L XKM MN H KSJL MH L <NJ JWD< L HLK NGD H XJJM,,qal,infc,L HLK NGD H XJJM,,NGD H XJJM,NGD/ H XJ/,before the living ones,0,prep,pers,anim,det,subs,simple,factive,other,NGD/,,,,,
361411,HLK[,MT,Ecclesiastes,6,9,HLK,VWB MR>H <JNJM M HLK NPC GM ZH HBL W R<WT RWX,,qal,infc,M HLK NPC,NPC,no complement,no complement,,,,,,,,,,,,,,,,
361496,HLK[,MT,Ecclesiastes,7,2,LKT,VWB L LKT >L BJT >BL M LKT >L BJT MCTH B >CR HW> SWP KL H >DM W H XJ JTN >L LBW,,qal,infc,L LKT >L BJT >BL,,>L BJT >BL,>L BJT/ >BL==/,to a house of mourning,0,prep,place,inanim,und,subs,complex,factive,goal,>L,,,,,
361501,HLK[,MT,Ecclesiastes,7,2,LKT,VWB L LKT >L BJT >BL M LKT >L BJT MCTH B >CR HW> SWP KL H >DM W H XJ JTN >L LBW,,qal,infc,M LKT >L BJT MCTH,,>L BJT MCTH,>L BJT/ MCTH/,to a house of feasting,0,prep,place,inanim,und,subs,complex,factive,goal,>L,,,,,
2057112,HLK[,4Q109,Ecclesiastes,7,2,LKT,VWB L LKT >L BJT >BL M LKT >L BJT FMXH B >CR HW>H KWL SWP H >DM W H XJ JT L LBW,000 0 000 00 000 111 1 111 11 111 1000 1 111 1000 000 000 1 111 1 1 11 11 0 000,qal,infc,L LKT >L BJT [>BL],,>L BJT [>BL],>L BJT/ >BL==/,to a house of mourning,0,prep,place,inanim,und,subs,complex,factive,goal,,,,,reconstructed,VWB L LKT >L BJT [>BL M LKT >L BJT F]MXH [B >CR H]W>H KWL SWP [H >DM W H XJ JT] L LBW
2057117,HLK[,4Q109,Ecclesiastes,7,2,LKT,VWB L LKT >L BJT >BL M LKT >L BJT FMXH B >CR HW>H KWL SWP H >DM W H XJ JT L LBW,000 0 000 00 000 111 1 111 11 111 1000 1 111 1000 000 000 1 111 1 1 11 11 0 000,qal,infc,None,None,,,,,,,,,,,,,,,,,reconstructed,VWB L LKT >L BJT [>BL M LKT >L BJT F]MXH [B >CR H]W>H KWL SWP [H >DM W H XJ JT] L LBW
361597,NWX[,MT,Ecclesiastes,7,9,JNWX,>L TBHL B RWXK L K<WS KJ K<S B XJQ KSJLJM JNWX,,qal,impf,KJ K<S B XJQ KSJLJM JNWX,K<S,B XJQ KSJLJM,B XJQ/ KSJL/,in the bosom of fools,0,prep,bopa,inanim,det,subs,complex,posture/not motion,location,B,,,,,
2057222,NWX[,4Q109,Ecclesiastes,7,9,JNWX,>L TBHL B RWXK L K<WS KJ K<S B XJQ KSJLJM JNWX,11 1111 0 0001 1 1111 11 111 1 111 111111 1111,qal,impf,KJ K<S B XJQ KSJLJM JNWX,K<S,B XJQ KSJLJM,B XJQ/ KSJL/,in the bosom of fools,0,prep,bopa,inanim,det,subs,complex,posture/not motion,location,B,,,,reconstructed,[>L TBHL] B RWX[K L K<WS KJ K<S B XJQ KSJLJM JNWX]
361742,JY>[,MT,Ecclesiastes,7,18,JY>,VWB >CR T>XZ B ZH W GM M ZH >L TNX >T JDK KJ JR> >LHJM JY> >T KLM,,qal,impf,KJ JR> >LHJM JY> >T KLM,JR> >LHJM,no complement,no complement,,,,,,,,,,,,,,,,
361820,SBB[,MT,Ecclesiastes,7,25,SBWTJ,SBWTJ >NJ W LBJ L D<T W L TWR W BQC XKMH W XCBWN W L D<T RC< KSL W H SKLWT HWLLWT,,qal,perf,SBWTJ >NJ W LBJ,>NJ W LBJ,no complement,no complement,,,,,,,,,,,,,,,,
362074,BW>[,MT,Ecclesiastes,8,10,B>W,W B KN R>JTJ RC<JM QBRJM W B>W W M MQWM QDWC JHLKW W JCTKXW B <JR >CR KN <FW GM ZH HBL,,qal,perf,W B>W,,no complement,no complement,,,,,,,,,,,,,,,,
362488,HLK[,MT,Ecclesiastes,9,7,LK,LK >KL B FMXH LXMK W CTH B LB VWB JJNK KJ KBR RYH H >LHJM >T M<FJK,,qal,impv,LK,,no complement,no complement,,,,,,,,,,,,,,,,
362576,CWB[,MT,Ecclesiastes,9,11,CBTJ,CBTJ W R>H TXT H CMC KJ L> L QLJM H MRWY W L> L GBWRJM H MLXMH W GM L> L XKMJM LXM W GM L> L NBNJM <CR W GM L> L JD<JM XN KJ <T W PG< JQRH >T KLM,,qal,perf,CBTJ,,no complement,no complement,,,,,,,,,,,,,,,,
362659,NPL[,MT,Ecclesiastes,9,12,TPWL,KJ GM L> JD< H >DM >T <TW K DGJM C N>XZJM B MYWDH R<H W K YPRJM H >XZWT B PX KHM JWQCJM BNJ H >DM L <T R<H K C TPWL <LJHM PT>M,,qal,impf,K C TPWL <LJHM PT>M,,<LJHM,<L,upon / on them,0,prep,prps,anim,det,prsf,simple,vertical,goal,<L,,,,,
362680,BW>[,MT,Ecclesiastes,9,14,B>,<JR QVNH W >NCJM BH M<V W B> >LJH MLK GDWL W SBB >TH W BNH <LJH MYWDJM GDLJM,,qal,perf,W B> >LJH MLK GDWL,MLK GDWL,>LJH,>L,to her,0,prep,prps,inanim,det,prsf,simple,factive,goal,>L,,,,,
362685,SBB[,MT,Ecclesiastes,9,14,SBB,<JR QVNH W >NCJM BH M<V W B> >LJH MLK GDWL W SBB >TH W BNH <LJH MYWDJM GDLJM,,qal,perf,W SBB >TH,,no complement,no complement,,,,,,,,,,,,,,,,
362799,<LH[,MT,Ecclesiastes,10,4,T<LH,>M RWX H MWCL T<LH <LJK MQWMK >L TNX KJ MRP> JNJX XV>JM GDWLJM,,qal,impf,>M RWX H MWCL T<LH <LJK,RWX H MWCL,<LJK,<L,upon you,0,prep,prps,anim,det,prsf,simple,fictive,goal,<L,,,,,
362803,NWX[,MT,Ecclesiastes,10,4,TNX,>M RWX H MWCL T<LH <LJK MQWMK >L TNX KJ MRP> JNJX XV>JM GDWLJM,,hif,impf,MQWMK >L TNX,,no complement,no complement,,,,,,,,,,,,,,,,
362806,NWX[,MT,Ecclesiastes,10,4,JNJX,>M RWX H MWCL T<LH <LJK MQWMK >L TNX KJ MRP> JNJX XV>JM GDWLJM,,hif,impf,KJ MRP> JNJX XV>JM GDWLJM,MRP>,no complement,no complement,,,,,,,,,,,,,,,,
362852,NPL[,MT,Ecclesiastes,10,8,JPWL,XPR GWMY BW JPWL W PRY GDR JCKNW NXC,,qal,impf,BW JPWL,,BW,B,in/on it/him,0,prep,prps,inanim,det,prsf,simple,vertical,goal,B,,,,,
362941,HLK[,MT,Ecclesiastes,10,15,LKT,<ML H KSJLJM TJG<NW >CR L> JD< L LKT >L <JR,,qal,infc,L LKT >L <JR,,>L <JR,>L <JR/,to a city,0,prep,place,inanim,und,subs,simple,factive,goal,>L,,,,,
363019,HLK[,MT,Ecclesiastes,10,20,JWLJK,GM B MD<K MLK >L TQLL W B XDRJ MCKBK >L TQLL <CJR KJ <WP H CMJM JWLJK >T H QWL W B<L HKNPJM JGJD DBR,,hif,impf,KJ <WP H CMJM JWLJK >T H QWL,<WP H CMJM,no complement,no complement,,,,,,,,,,,,,,,,
363068,NPL[,MT,Ecclesiastes,11,3,JPWL,>M JML>W H <BJM GCM <L H >RY JRJQW W >M JPWL <Y B DRWM W >M B YPWN MQWM C JPWL H <Y CM JHW>,,qal,impf,W >M JPWL <Y B DRWM,<Y,B DRWM,B H DRWM/,to the south,0,prep,dir,inanim,det,subs,simple,vertical,goal,B,,,,,
363080,NPL[,MT,Ecclesiastes,11,3,JPWL,>M JML>W H <BJM GCM <L H >RY JRJQW W >M JPWL <Y B DRWM W >M B YPWN MQWM C JPWL H <Y CM JHW>,,qal,impf,C JPWL H <Y,H <Y,no complement,no complement,,,,,,,,,,,,,,,,
363133,NWX[,MT,Ecclesiastes,11,6,TNX,B BQR ZR< >T ZR<K W L <RB >L TNX JDK KJ >JNK JWD< >J ZH JKCR H ZH >W ZH W >M CNJHM K >XD VWBJM,,hif,impf,W L <RB >L TNX JDK,,no complement,no complement,,,,,,,,,,,,,,,,
363186,BW>[,MT,Ecclesiastes,11,8,B>,KJ >M CNJM HRBH JXJH H >DM B KLM JFMX W JZKR >T JMJ H XCK KJ HRBH JHJW KL C B> HBL,,qal,perf,C B>,,no complement,no complement,,,,,,,,,,,,,,,,
