verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
302228,JY>[,MT,Habakkuk,1,4,JY>,<L KN TPWG TWRH W L> JY> L NYX MCPV KJ RC< MKTJR >T H YDJQ <L KN JY> MCPV M<QL,,qal,impf,W L> JY> L NYX MCPV,MCPV,no complement,no complement,,,,,,,,,,,,,,,,
302240,JY>[,MT,Habakkuk,1,4,JY>,<L KN TPWG TWRH W L> JY> L NYX MCPV KJ RC< MKTJR >T H YDJQ <L KN JY> MCPV M<QL,,qal,impf,<L KN JY> MCPV M<QL,MCPV,no complement,no complement,,,,,,,,,,,,,,,,
2097259,JY>[,Mur88,Habakkuk,1,4,JY>,<L KN TPWG TWRH W L> JY> L NYX MCPV KJ RC< MKTJR >T H YDJQ <L KN JY> MCPV M<QL,11 11 1111 1000 1 00 110 1 111 0000 00 000 11000 00 0 0111 11 11 111 1111 0000,qal,impf,None,None,,,,,,,,,,,,,,,,,reconstructed,[<L KN TPWG T]WRH [W] L> [JY]> [L NYX] MCPV KJ RC< [MK]TJR >T H Y[DJQ <L KN JY> MCPV] M<QL
2097271,JY>[,Mur88,Habakkuk,1,4,JY>,<L KN TPWG TWRH W L> JY> L NYX MCPV KJ RC< MKTJR >T H YDJQ <L KN JY> MCPV M<QL,11 11 1111 1000 1 00 110 1 111 0000 00 000 11000 00 0 0111 11 11 111 1111 0000,qal,impf,None,None,,,,,,,,,,,,,,,,,reconstructed,[<L KN TPWG T]WRH [W] L> [JY]> [L NYX] MCPV KJ RC< [MK]TJR >T H Y[DJQ <L KN JY> MCPV] M<QL
2097305,MHR[,Mur88,Habakkuk,1,6,NMHR,KJ HNNJ MQJM >T H KFDJM H GWJ H MR W H NMHR H HWLK L MRXBJ >RY L RCT MCKNWT L> LW,00 0000 0000 00 0 00000 1 111 0 00 1 1 1111 1 1111 1 11111 111 0 000 000000 00 00,nif,ptca,None,None,,,,,,,,,,,,,,,,,reconstructed,KJ HNNJ MQJM >T H KFDJM [H GWJ] H MR [W H NMHR H HWLK L MRXBJ >RY] L RCT MCKNWT L> LW
2097307,HLK[,Mur88,Habakkuk,1,6,HWLK,KJ HNNJ MQJM >T H KFDJM H GWJ H MR W H NMHR H HWLK L MRXBJ >RY L RCT MCKNWT L> LW,00 0000 0000 00 0 00000 1 111 0 00 1 1 1111 1 1111 1 11111 111 0 000 000000 00 00,qal,ptca,None,None,,,,,,,,,,,,,,,,,reconstructed,KJ HNNJ MQJM >T H KFDJM [H GWJ] H MR [W H NMHR H HWLK L MRXBJ >RY] L RCT MCKNWT L> LW
302311,<WP[,MT,Habakkuk,1,8,J<PW,W QLW M NMRJM SWSJW W XDW M Z>BJ <RB W PCW PRCJW W PRCJW M RXWQ JB>W J<PW K NCR XC L >KWL,,qal,impf,J<PW K NCR,,no complement,no complement,,,,,,,,,,,,,,,,
302320,BW>[,MT,Habakkuk,1,9,JBW>,KLH L XMS JBW> MGMT PNJHM QDJMH W J>SP K XWL CBJ,,qal,impf,KLH L XMS JBW>,KLH,no complement,no complement,,,,,,,,,,,,,,,,
2097355,BW>[,Mur88,Habakkuk,1,9,JBW>,KLH L XMS JBW> MGMT PNJHM QDJMH W J>SP K XWL CBJ,000 0 110 0001 0000 11111 11110 0 0000 0 000 000,qal,impf,KLH L [XM]S JBW[>],KLH,no complement,no complement,,,,,,,,,,,,,,,,KLH L [XM]S JBW[>] MGMT [PNJHM QDJM]H W J>SP K XWL CBJ
302351,XLP[,MT,Habakkuk,1,11,XLP,>Z XLP RWX W J<BR W >CM ZW KXW L >LHW,,qal,perf,>Z XLP RWX,,no complement,no complement,,,,,,,,,,,,,,,,
