verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
11088,JY>,1QM,1QM,1,6,JY>,W B QY W JY> B XMH GDWLH L HLXM B MLKJ H YPWN W >P W L HCMJD W L HKRJT >T QRN,,qal,impf,W B QY W JY> B XMH GDWLH,,B XMH GDWLH,B XMH/ GDWL/,in a great anger,0,prep,other,inanim,und,subs,complex,factive,other,B,,,,DSS SE 112 col1 4,
17046,HLK,1QS,1QS,1,6,LKT,W LW> L LKT <WD B CRJRWT LB >CMH W <JNJ ZNWT L <FWT KWL R<,,qal,infc,L LKT <WD B CRJRWT LB >CMH W <JNJ ZNWT,,,,,,,,,,,,,,,,,,,
17061,BW>,1QS,1QS,1,7,HBJ,W L HBJ >T KWL H NDBJM L <FWT XWQJ >L B BRJT XSD,,hif,infc,W L HBJ >T KWL,,,,,,,,,,,,,,,,,,,
17080,HLK,1QS,1QS,1,8,HTHLK,L HWXD B <YT >L W L HTHLK L PNJ W TMJM KWL H NGLWT L MW<DJ T<WDWT M,,hit,infc,W L HTHLK L PNJ W TMJM KWL,,L PNJ W,,,0,,,,,,,,,L,,,,,
11136,NPL,1QM,1QM,1,9,NPL,W NPL >CWR W >JN <WZR L W,,qal,perf,W NPL >CWR,>CWR,,,,,,,,,,,,,,,,,,
11144,SWR,1QM,1QM,1,10,SRH,W SRH MMCLT KTJJM L HKNJ< RC<H L >JN C>RJT,,qal,perf,W SRH MMCLT KTJJM,MMCLT KTJJM,,,,,,,,,,,,,,,,,,
17125,BW>,1QS,1QS,1,10,JBJ>W,W KWL H NDBJM L >MT W JBJ>W KWL D<T M W KWX M W HWN M B JXD >L L BRR D<T M B >MT XWQJ >L W KWX M L TKN K TM DRKJ W W KWL HWN M K <YT YDQ W,,hif,impf,W KWL JBJ>W KWL D<T M W KWX M W HWN M B JXD >L,KWL,B JXD >L,,,0,,,,,,,,,B,,,,,
11168,HLK,1QM,1QM,1,12,HLWK,W BNJ YDQ J>JRW L KWL QYWWT TBL HLWK W >WR <D TWM KWL MW<DJ XWCK,,qal,infc,HLWK,,,,,,,,,,,,,,,,,,,
17200,HLK,1QS,1QS,1,12,LKT,W LW> L SWR M XWQJ >MT W L LKT JMJN W FM>WL,,qal,infc,L LKT JMJN W FM>WL,,JMJN W FM>WL,,,0,,,,,,,,,,,,,,
11204,NPL,1QM,1QM,1,14,NPWL,W B JWM NPWL B W KTJJM QRB W NXCJR XZQ L PNJ >L JFR>L KJ> HW>H JWM J<WD L W M >Z L MLXMT KLH L BNJ XWCK,,qal,infc,NPWL B W KTJJM,KTJJM,B W,,,0,,,,,,,,,B,,,,,
11232,QRB,1QM,1QM,1,15,JTQRBW,B W JTQRBW L NXCJR GDWL <DT >LJM W QHLT >NCJM,,hit,impf,B W JTQRBW L NXCJR GDWL <DT >LJM W QHLT >NCJM,<DT >LJM W QHLT >NCJM,,,,,,,,,,,,,,,,,,
17212,<BR,1QS,1QS,2,1,J<BWRW,W KWL H B>JM B SRK H JXD J<BWRW B BRJT L PNJ >L L <FWT K KWL >CR YWH W LW> L CWB M >XR W M KWL PXD W >JMH W MYRP NHJJM B MMCLT BLJ<L,,qal,impf,W KWL J<BWRW B BRJT L PNJ >L,KWL,B BRJT,,,0,,,,,,,,,B,,,,,
17245,<BR,1QS,1QS,2,2,<WBR,W B <WBR M B BRJT JHJW H KWHNJM W H LWJJM MBRKJM >T >L JCW<WT W >T KWL M<FJ >MT W,,qal,infc,B <WBR M B BRJT,M,B BRJT,,,0,,,,,,,,,B,,,,,
17340,HLK,1QS,1QS,2,6,LKT,W KWL H <WBRJM B BRJT MWDJM >XRJ HM L >MWR N<WJNW PC<NW XV>NW HRC<NW >NW W >BWTJ NW M L PNJ NW B LKT NW QRJ B XWQJ >MT W YDJQ >L >CR <FH MCPV W B NW W B >BWTJ NW,,qal,infc,B LKT NW QRJ B XWQJ >MT W YDJQ >L,NW,B XWQJ >MT W YDJQ >L,,,0,,,,,,,,,B,,,,,
11561,JY>,1QM,1QM,2,11,Y>T,M KWL CBVJ JFR>L JXLWYW L HM >NCJ XJL L Y>T L YB> K PJ T<WDWT H MLXMH CNH B CNH,,qal,infc,L Y>T,,,,,,,,,,,,,,,,,,,
