verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,dir_he,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4
1895059,BW>[,1Qisaa,Isaiah,1,12,TB>W,KJ> TB>W L R>WT PNJ MJ BQC ZW>T M JDKM L RMWS XYRJ,,,,,0,0000000000000000000000000000000000000000000,qal,impf,,,,
1895075,BW>[,1Qisaa,Isaiah,1,13,HBJ>,LW> TWSJPW L HBJ> MNXT CW> QVRT TW<BH HJ> LJ XWDC W CBT QR> MQR> LW> >WKL >WN W <YRTH,,,,,0,0000000000000000000000000000000000000000000000000000000000000000000000,hifil,infc,,,,
212315,SWR[,MT,Isaiah,1,16,HSJRW,RXYW HZKW HSJRW R< M<LLJKM M NGD <JNJ XDLW HR<,HSJRW R< M<LLJKM M NGD <JNJ,,M NGD <JNJ,,,,hif,impv,MN,,,
1895129,SWR[,1Qisaa,Isaiah,1,16,HSJRW,RXYW W HZKW W HSJRW RW< M<LLJKM M NGD <JNJ XDLW HR<,W HSJRW RW< M<LLJKM M NGD <JNJ,,M NGD <JNJ,0,0,,hifil,impv,M,,,
1895149,HLK[,1Qisaa,Isaiah,1,18,LKW,LKW N> W NWKXH JW>MR JHWH >M JHJW XV>JKM K CNJ K CLG JLBJNW >M JDWMW K TWL<T K YMR JHJW,,,,,0,0000000000000000000000000000000000000000000000000000000000000000000000,qal,impv,,,,
212418,BW>[,MT,Isaiah,1,23,JBW>,FRJK SWRRJM W XBRJ GNBJM KLW >HB CXD W RDP CLMNJM JTWM L> JCPVW W RJB >LMNH L> JBW> >LJHM,W RJB >LMNH L> JBW> >LJHM,RJB >LMNH,>LJHM,,,,qal,impf,>L,,,
1895234,BW>[,1Qisaa,Isaiah,1,23,JBW>,FRJKJ SWRRJM W XBRJ GNBJM KWLM >WHBJ CWXD RWDPJ CLMWNJM J>TWM LW> JCPVW W RJB >LMNH LW> JBW> >LJHM,W RJB >LMNH LW> JBW> >LJHM,RJB >LMNH,>LJHM,0,0,,qal,impf,>LJHM,,,
212437,CWB[,MT,Isaiah,1,25,>CJBH,W >CJBH JDJ <LJK W >YRP K BR SJGJK W >SJRH KL BDJLJK,W >CJBH JDJ <LJK,,<LJK,,,,hif,impf,<L,,,
1895257,CWB[,1Qisaa,Isaiah,1,25,HCJB,W HCJB JDJ <LJK W >YRP K BR SWGJK W >SJR KWL BDJLJK,W HCJB JDJ <LJK,,<LJK,0,0,,hifil,perf,<LJK,,,
1895266,SWR[,1Qisaa,Isaiah,1,25,>SJR,W HCJB JDJ <LJK W >YRP K BR SWGJK W >SJR KWL BDJLJK,,,,,0,000000000000000000000000000000000000000000000,hifil,impf,,,,
1895271,CWB[,1Qisaa,Isaiah,1,26,>CJBH,W >CJBH CWPVJK K B R>JCWNH W J<YJK K B TXLH >XRJ KN JQR>W LK <JR H YDQ QRJH N>MNH,,,,,0,0000000000000000000000000000000000000000000000000000000000000000000,hifil,impf,,,,
212564,NHR[,MT,Isaiah,2,2,NHRW,W HJH B >XRJT H JMJM NKWN JHJH HR BJT JHWH B R>C H HRJM W NF> M GB<WT W NHRW >LJW KL H GWJM,W NHRW >LJW KL H GWJM,KL H GWJM,>LJW,,,,qal,perf,>L,,,
1895388,NHR[,1Qisaa,Isaiah,2,2,NHRW,W HJH B >XRJT H JMJM NKWN JHJH HR BJT JHWH B R>C HRJM W NF> M GB<WT W NHRW <LWHJ KWL H GW>JM,,,,,0,000000000000000000000000000000000000000000000000000000000000000000000000,qal,perf,,,,
212577,<LH[,MT,Isaiah,2,3,N<LH,W HLKW <MJM RBJM W >MRW LKW W N<LH >L HR JHWH >L BJT >LHJ J<QB W JRNW M DRKJW W NLKH B >RXTJW KJ M YJWN TY> TWRH W DBR JHWH M JRWCLM,W N<LH >L HR JHWH >L BJT >LHJ J<QB,,>L HR JHWH >L BJT >LHJ J<QB,,,,qal,impf,>L,>L,,
212590,HLK[,MT,Isaiah,2,3,NLKH,W HLKW <MJM RBJM W >MRW LKW W N<LH >L HR JHWH >L BJT >LHJ J<QB W JRNW M DRKJW W NLKH B >RXTJW KJ M YJWN TY> TWRH W DBR JHWH M JRWCLM,W NLKH B >RXTJW,,B >RXTJW,,,,qal,impf,B,,,
212596,JY>[,MT,Isaiah,2,3,TY>,W HLKW <MJM RBJM W >MRW LKW W N<LH >L HR JHWH >L BJT >LHJ J<QB W JRNW M DRKJW W NLKH B >RXTJW KJ M YJWN TY> TWRH W DBR JHWH M JRWCLM,KJ M YJWN TY> TWRH,TWRH,M YJWN,,,,qal,impf,MN,,,
