verb_id,lex,scroll,book,chapter,verse,g_cons,hebrew,g_cons_verse,stem,tense,subject,subj_heb,complement,cmpl_heb
212256,BW>[,MT,Isaiah,1,12,TB>W,תָבֹ֔אוּ ,KJ TB>W L R>WT PNJ MJ BQC Z>T M JDKM RMS XYRJ,qal,impf,,,[],
1895059,BW>[,1Qisaa,Isaiah,1,12,TB>W,תבאו ,KJ> TB>W L R>WT PNJ MJ BQC ZW>T M JDKM L RMWS XYRJ,qal,impf,,,[],
212269,BW>[,MT,Isaiah,1,13,HBJ>,הָבִיא֙ ,L> TWSJPW HBJ> MNXT CW> QVRT TW<BH HJ> LJ XDC W CBT QR> MQR> L> >WKL >WN W <YRH,hif,infc,,,[],
1895075,BW>[,1Qisaa,Isaiah,1,13,HBJ>,הביא ,LW> TWSJPW L HBJ> MNXT CW> QVRT TW<BH HJ> LJ XWDC W CBT QR> MQR> LW> >WKL >WN W <YRTH,hifil,infc,,,[],
212315,SWR[,MT,Isaiah,1,16,HSJRW,הָסִ֛ירוּ ,RXYW HZKW HSJRW R< M<LLJKM M NGD <JNJ XDLW HR<,hif,impv,,,M NGD <JNJ,מִנֶּ֣גֶד עֵינָ֑י 
1895129,SWR[,1Qisaa,Isaiah,1,16,HSJRW,הסירו ,RXYW W HZKW W HSJRW RW< M<LLJKM M NGD <JNJ XDLW HR<,hifil,impv,,,[],
212333,HLK[,MT,Isaiah,1,18,LKW,לְכוּ־,LKW N> W NWKXH J>MR JHWH >M JHJW XV>JKM K CNJM K CLG JLBJNW >M J>DJMW K TWL< K YMR JHJW,qal,impv,,,[],
1895149,HLK[,1Qisaa,Isaiah,1,18,LKW,לכו ,LKW N> W NWKXH JW>MR JHWH >M JHJW XV>JKM K CNJ K CLG JLBJNW >M JDWMW K TWL<T K YMR JHJW,qal,impv,,,[],
212105,PC<[,MT,Isaiah,1,2,PC<W,פָּ֥שְׁעוּ ,CM<W CMJM W H>ZJNJ >RY KJ JHWH DBR BNJM GDLTJ W RWMMTJ W HM PC<W BJ,qal,perf,HM,הֵ֖ם ,BJ,בִֽי׃ 
1894895,PC<[,1Qisaa,Isaiah,1,2,PC<W,פשעו ,CM<W CMJM W H>ZJNJ H >RY KJ> JHWH DBR BNJM GDLTJ W RWMMTJ W HMH PC<W BJ,qal,perf,,,[],
212418,BW>[,MT,Isaiah,1,23,JBW>,יָבֹ֥וא ,FRJK SWRRJM W XBRJ GNBJM KLW >HB CXD W RDP CLMNJM JTWM L> JCPVW W RJB >LMNH L> JBW> >LJHM,qal,impf,RJB >LMNH,רִ֥יב אַלְמָנָ֖ה ,>LJHM,אֲלֵיהֶֽם׃ פ 
1895234,BW>[,1Qisaa,Isaiah,1,23,JBW>,יבוא ,FRJKJ SWRRJM W XBRJ GNBJM KWLM >WHBJ CWXD RWDPJ CLMWNJM J>TWM LW> JCPVW W RJB >LMNH LW> JBW> >LJHM,qal,impf,,,[],
212437,CWB[,MT,Isaiah,1,25,>CJBH,אָשִׁ֤יבָה ,W >CJBH JDJ <LJK W >YRP K BR SJGJK W >SJRH KL BDJLJK,hif,impf,,,<LJK,עָלַ֔יִךְ 
1895257,CWB[,1Qisaa,Isaiah,1,25,HCJB,השיב ,W HCJB JDJ <LJK W >YRP K BR SWGJK W >SJR KWL BDJLJK,hifil,perf,,,[],
212447,SWR[,MT,Isaiah,1,25,>SJRH,אָסִ֖ירָה ,W >CJBH JDJ <LJK W >YRP K BR SJGJK W >SJRH KL BDJLJK,hif,impf,,,[],
1895266,SWR[,1Qisaa,Isaiah,1,25,>SJR,אסיר ,W HCJB JDJ <LJK W >YRP K BR SWGJK W >SJR KWL BDJLJK,hifil,impf,,,[],
212451,CWB[,MT,Isaiah,1,26,>CJBH,אָשִׁ֤יבָה ,W >CJBH CPVJK K B R>CNH W J<YJK K B TXLH >XRJ KN JQR> LK <JR H YDQ QRJH N>MNH,hif,impf,,,[],
1895271,CWB[,1Qisaa,Isaiah,1,26,>CJBH,אשיבה ,W >CJBH CWPVJK K B R>JCWNH W J<YJK K B TXLH >XRJ KN JQR>W LK <JR H YDQ QRJH N>MNH,hifil,impf,,,[],
212477,CWB[,MT,Isaiah,1,27,CBJH,שָׁבֶ֖יהָ ,YJWN B MCPV TPDH W CBJH B YDQH,qal,ptca,CBJH,שָׁבֶ֖יהָ ,[],
1895296,CWB[,1Qisaa,Isaiah,1,27,CBJH,שבי׳ה ,YJWN B MCPV TPDH W CBJH B YDQH,qal,ptca,,,[],
212482,PC<[,MT,Isaiah,1,28,PC<JM,פֹּשְׁעִ֛ים ,W CBR PC<JM W XV>JM JXDW W <ZBJ JHWH JKLW,qal,ptca,PC<JM W XV>JM,פֹּשְׁעִ֛ים וְחַטָּאִ֖ים ,[],
1895302,PC<[,1Qisaa,Isaiah,1,28,PWC<JM,פושעים ,W CBR PWC<JM W XV>JM JXDW W <WZBJ JHWH JKLW,qal,ptca,,,[],
