,verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,dir_he,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4
0,212256,BW>[,MT,Isaiah,1,12,TB>W,KJ TB>W L R>WT PNJ MJ BQC Z>T M JDKM RMS XYRJ,KJ TB>W,,,,,,qal,impf,,,,
1,1895059,BW>[,1Qisaa,Isaiah,1,12,TB>W,KJ> TB>W L R>WT PNJ MJ BQC ZW>T M JDKM L RMWS XYRJ,KJ> TB>W,,,,0,,qal,impf,,,,
2,212269,BW>[,MT,Isaiah,1,13,HBJ>,L> TWSJPW HBJ> MNXT CW> QVRT TW<BH HJ> LJ XDC W CBT QR> MQR> L> >WKL >WN W <YRH,HBJ> MNXT CW>,,,,,,hif,infc,,,,
3,1895075,BW>[,1Qisaa,Isaiah,1,13,HBJ>,LW> TWSJPW L HBJ> MNXT CW> QVRT TW<BH HJ> LJ XWDC W CBT QR> MQR> LW> >WKL >WN W <YRTH,L HBJ> MNXT CW>,,,,0,,hifil,infc,,,,
4,212315,SWR[,MT,Isaiah,1,16,HSJRW,RXYW HZKW HSJRW R< M<LLJKM M NGD <JNJ XDLW HR<,HSJRW R< M<LLJKM M NGD <JNJ,,M NGD <JNJ,0,,,hif,impv,M,,,
5,1895129,SWR[,1Qisaa,Isaiah,1,16,HSJRW,RXYW W HZKW W HSJRW RW< M<LLJKM M NGD <JNJ XDLW HR<,W HSJRW RW< M<LLJKM M NGD <JNJ,,,,0,,hifil,impv,,,,
6,212333,HLK[,MT,Isaiah,1,18,LKW,LKW N> W NWKXH J>MR JHWH >M JHJW XV>JKM K CNJM K CLG JLBJNW >M J>DJMW K TWL< K YMR JHJW,LKW N>,,,,,,qal,impv,,,,
7,1895149,HLK[,1Qisaa,Isaiah,1,18,LKW,LKW N> W NWKXH JW>MR JHWH >M JHJW XV>JKM K CNJ K CLG JLBJNW >M JDWMW K TWL<T K YMR JHJW,LKW N>,,,,0,,qal,impv,,,,
8,212105,PC<[,MT,Isaiah,1,2,PC<W,CM<W CMJM W H>ZJNJ >RY KJ JHWH DBR BNJM GDLTJ W RWMMTJ W HM PC<W BJ,W HM PC<W BJ,HM,BJ,0,,,qal,perf,BJ,,,
9,1894895,PC<[,1Qisaa,Isaiah,1,2,PC<W,CM<W CMJM W H>ZJNJ H >RY KJ> JHWH DBR BNJM GDLTJ W RWMMTJ W HMH PC<W BJ,W HMH PC<W BJ,,,,0,,qal,perf,,,,
10,212418,BW>[,MT,Isaiah,1,23,JBW>,FRJK SWRRJM W XBRJ GNBJM KLW >HB CXD W RDP CLMNJM JTWM L> JCPVW W RJB >LMNH L> JBW> >LJHM,W RJB >LMNH L> JBW> >LJHM,RJB >LMNH,>LJHM,0,,,qal,impf,>LJHM,,,
11,1895234,BW>[,1Qisaa,Isaiah,1,23,JBW>,FRJKJ SWRRJM W XBRJ GNBJM KWLM >WHBJ CWXD RWDPJ CLMWNJM J>TWM LW> JCPVW W RJB >LMNH LW> JBW> >LJHM,W RJB >LMNH LW> JBW> >LJHM,,,,0,,qal,impf,,,,
12,212437,CWB[,MT,Isaiah,1,25,>CJBH,W >CJBH JDJ <LJK W >YRP K BR SJGJK W >SJRH KL BDJLJK,W >CJBH JDJ <LJK,,<LJK,0,,,hif,impf,<LJK,,,
13,212447,SWR[,MT,Isaiah,1,25,>SJRH,W >CJBH JDJ <LJK W >YRP K BR SJGJK W >SJRH KL BDJLJK,W >SJRH KL BDJLJK,,,,,,hif,impf,,,,
14,1895257,CWB[,1Qisaa,Isaiah,1,25,HCJB,W HCJB JDJ <LJK W >YRP K BR SWGJK W >SJR KWL BDJLJK,W HCJB JDJ <LJK,,,,0,,hifil,perf,,,,
15,1895266,SWR[,1Qisaa,Isaiah,1,25,>SJR,W HCJB JDJ <LJK W >YRP K BR SWGJK W >SJR KWL BDJLJK,W >SJR KWL BDJLJK,,,,0,,hifil,impf,,,,
16,212451,CWB[,MT,Isaiah,1,26,>CJBH,W >CJBH CPVJK K B R>CNH W J<YJK K B TXLH >XRJ KN JQR> LK <JR H YDQ QRJH N>MNH,W >CJBH CPVJK K B R>CNH,,,,,,hif,impf,,,,
17,1895271,CWB[,1Qisaa,Isaiah,1,26,>CJBH,W >CJBH CWPVJK K B R>JCWNH W J<YJK K B TXLH >XRJ KN JQR>W LK <JR H YDQ QRJH N>MNH,W >CJBH CWPVJK K B R>JCWNH,,,,0,,hifil,impf,,,,
18,212477,CWB[,MT,Isaiah,1,27,CBJH,YJWN B MCPV TPDH W CBJH B YDQH,W CBJH B YDQH,CBJH,,,,,qal,ptca,,,,
19,1895296,CWB[,1Qisaa,Isaiah,1,27,CBJH,YJWN B MCPV TPDH W CBJH B YDQH,W CBJH B YDQH,,,,0,,qal,ptca,,,,
20,212482,PC<[,MT,Isaiah,1,28,PC<JM,W CBR PC<JM W XV>JM JXDW W <ZBJ JHWH JKLW,W CBR PC<JM W XV>JM JXDW,PC<JM W XV>JM,,,,,qal,ptca,,,,
21,1895302,PC<[,1Qisaa,Isaiah,1,28,PWC<JM,W CBR PWC<JM W XV>JM JXDW W <WZBJ JHWH JKLW,W CBR PWC<JM W XV>JM JXDW,,,,0,,qal,ptca,,,,
