book_nr,book_name,chapter_nr,chapter_genre,verse_nr,verse_genre,verse_language
1,Genesis,1,prose,1,prose,Hebrew
1,Genesis,1,prose,2,prose,Hebrew
1,Genesis,1,prose,3,prose,Hebrew
1,Genesis,1,prose,4,prose,Hebrew
1,Genesis,1,prose,5,prose,Hebrew
1,Genesis,1,prose,6,prose,Hebrew
1,Genesis,1,prose,7,prose,Hebrew
1,Genesis,1,prose,8,prose,Hebrew
1,Genesis,1,prose,9,prose,Hebrew
1,Genesis,1,prose,10,prose,Hebrew
1,Genesis,1,prose,11,prose,Hebrew
1,Genesis,1,prose,12,prose,Hebrew
1,Genesis,1,prose,13,prose,Hebrew
1,Genesis,1,prose,14,prose,Hebrew
1,Genesis,1,prose,15,prose,Hebrew
1,Genesis,1,prose,16,prose,Hebrew
1,Genesis,1,prose,17,prose,Hebrew
1,Genesis,1,prose,18,prose,Hebrew
1,Genesis,1,prose,19,prose,Hebrew
1,Genesis,1,prose,20,prose,Hebrew
1,Genesis,1,prose,21,prose,Hebrew
1,Genesis,1,prose,22,prose,Hebrew
1,Genesis,1,prose,23,prose,Hebrew
1,Genesis,1,prose,24,prose,Hebrew
1,Genesis,1,prose,25,prose,Hebrew
1,Genesis,1,prose,26,prose,Hebrew
1,Genesis,1,prose,27,prose,Hebrew
1,Genesis,1,prose,28,prose,Hebrew
1,Genesis,1,prose,29,prose,Hebrew
1,Genesis,1,prose,30,prose,Hebrew
1,Genesis,1,prose,31,prose,Hebrew
1,Genesis,2,prose,1,prose,Hebrew
1,Genesis,2,prose,2,prose,Hebrew
1,Genesis,2,prose,3,prose,Hebrew
1,Genesis,2,prose,4,prose,Hebrew
1,Genesis,2,prose,5,prose,Hebrew
1,Genesis,2,prose,6,prose,Hebrew
1,Genesis,2,prose,7,prose,Hebrew
1,Genesis,2,prose,8,prose,Hebrew
1,Genesis,2,prose,9,prose,Hebrew
1,Genesis,2,prose,10,prose,Hebrew
1,Genesis,2,prose,11,prose,Hebrew
1,Genesis,2,prose,12,prose,Hebrew
1,Genesis,2,prose,13,prose,Hebrew
1,Genesis,2,prose,14,prose,Hebrew
1,Genesis,2,prose,15,prose,Hebrew
1,Genesis,2,prose,16,prose,Hebrew
1,Genesis,2,prose,17,prose,Hebrew
1,Genesis,2,prose,18,prose,Hebrew
1,Genesis,2,prose,19,prose,Hebrew
1,Genesis,2,prose,20,prose,Hebrew
1,Genesis,2,prose,21,prose,Hebrew
1,Genesis,2,prose,22,prose,Hebrew
1,Genesis,2,prose,23,prose,Hebrew
1,Genesis,2,prose,24,prose,Hebrew
1,Genesis,2,prose,25,prose,Hebrew
1,Genesis,3,prose,1,prose,Hebrew
1,Genesis,3,prose,2,prose,Hebrew
1,Genesis,3,prose,3,prose,Hebrew
1,Genesis,3,prose,4,prose,Hebrew
1,Genesis,3,prose,5,prose,Hebrew
1,Genesis,3,prose,6,prose,Hebrew
1,Genesis,3,prose,7,prose,Hebrew
1,Genesis,3,prose,8,prose,Hebrew
1,Genesis,3,prose,9,prose,Hebrew
1,Genesis,3,prose,10,prose,Hebrew
1,Genesis,3,prose,11,prose,Hebrew
1,Genesis,3,prose,12,prose,Hebrew
1,Genesis,3,prose,13,prose,Hebrew
1,Genesis,3,prose,14,prose,Hebrew
1,Genesis,3,prose,15,prose,Hebrew
1,Genesis,3,prose,16,prose,Hebrew
1,Genesis,3,prose,17,prose,Hebrew
1,Genesis,3,prose,18,prose,Hebrew
1,Genesis,3,prose,19,prose,Hebrew
1,Genesis,3,prose,20,prose,Hebrew
1,Genesis,3,prose,21,prose,Hebrew
1,Genesis,3,prose,22,prose,Hebrew
1,Genesis,3,prose,23,prose,Hebrew
1,Genesis,3,prose,24,prose,Hebrew
1,Genesis,4,mixed,1,prose,Hebrew
1,Genesis,4,mixed,2,prose,Hebrew
1,Genesis,4,mixed,3,prose,Hebrew
1,Genesis,4,mixed,4,prose,Hebrew
1,Genesis,4,mixed,5,prose,Hebrew
1,Genesis,4,mixed,6,prose,Hebrew
1,Genesis,4,mixed,7,prose,Hebrew
1,Genesis,4,mixed,8,prose,Hebrew
1,Genesis,4,mixed,9,prose,Hebrew
1,Genesis,4,mixed,10,prose,Hebrew
1,Genesis,4,mixed,11,prose,Hebrew
1,Genesis,4,mixed,12,prose,Hebrew
1,Genesis,4,mixed,13,prose,Hebrew
1,Genesis,4,mixed,14,prose,Hebrew
1,Genesis,4,mixed,15,prose,Hebrew
1,Genesis,4,mixed,16,prose,Hebrew
1,Genesis,4,mixed,17,list,Hebrew
1,Genesis,4,mixed,18,list,Hebrew
1,Genesis,4,mixed,19,list,Hebrew
1,Genesis,4,mixed,20,list,Hebrew
1,Genesis,4,mixed,21,list,Hebrew
1,Genesis,4,mixed,22,list,Hebrew
1,Genesis,4,mixed,23,list,Hebrew
1,Genesis,4,mixed,24,prose,Hebrew
1,Genesis,4,mixed,25,prose,Hebrew
1,Genesis,4,mixed,26,prose,Hebrew
1,Genesis,5,list,1,list,Hebrew
1,Genesis,5,list,2,list,Hebrew
1,Genesis,5,list,3,list,Hebrew
1,Genesis,5,list,4,list,Hebrew
1,Genesis,5,list,5,list,Hebrew
1,Genesis,5,list,6,list,Hebrew
1,Genesis,5,list,7,list,Hebrew
1,Genesis,5,list,8,list,Hebrew
1,Genesis,5,list,9,list,Hebrew
1,Genesis,5,list,10,list,Hebrew
1,Genesis,5,list,11,list,Hebrew
1,Genesis,5,list,12,list,Hebrew
1,Genesis,5,list,13,list,Hebrew
1,Genesis,5,list,14,list,Hebrew
1,Genesis,5,list,15,list,Hebrew
1,Genesis,5,list,16,list,Hebrew
1,Genesis,5,list,17,list,Hebrew
1,Genesis,5,list,18,list,Hebrew
1,Genesis,5,list,19,list,Hebrew
1,Genesis,5,list,20,list,Hebrew
1,Genesis,5,list,21,list,Hebrew
1,Genesis,5,list,22,list,Hebrew
1,Genesis,5,list,23,list,Hebrew
1,Genesis,5,list,24,list,Hebrew
1,Genesis,5,list,25,list,Hebrew
1,Genesis,5,list,26,list,Hebrew
1,Genesis,5,list,27,list,Hebrew
1,Genesis,5,list,28,list,Hebrew
1,Genesis,5,list,29,list,Hebrew
1,Genesis,5,list,30,list,Hebrew
1,Genesis,5,list,31,list,Hebrew
1,Genesis,5,list,32,list,Hebrew
1,Genesis,6,prose,1,prose,Hebrew
1,Genesis,6,prose,2,prose,Hebrew
1,Genesis,6,prose,3,prose,Hebrew
1,Genesis,6,prose,4,prose,Hebrew
1,Genesis,6,prose,5,prose,Hebrew
1,Genesis,6,prose,6,prose,Hebrew
1,Genesis,6,prose,7,prose,Hebrew
1,Genesis,6,prose,8,prose,Hebrew
1,Genesis,6,prose,9,prose,Hebrew
1,Genesis,6,prose,10,prose,Hebrew
1,Genesis,6,prose,11,prose,Hebrew
1,Genesis,6,prose,12,prose,Hebrew
1,Genesis,6,prose,13,prose,Hebrew
1,Genesis,6,prose,14,prose,Hebrew
1,Genesis,6,prose,15,prose,Hebrew
1,Genesis,6,prose,16,prose,Hebrew
1,Genesis,6,prose,17,prose,Hebrew
1,Genesis,6,prose,18,prose,Hebrew
1,Genesis,6,prose,19,prose,Hebrew
1,Genesis,6,prose,20,prose,Hebrew
1,Genesis,6,prose,21,prose,Hebrew
1,Genesis,6,prose,22,prose,Hebrew
1,Genesis,7,prose,1,prose,Hebrew
1,Genesis,7,prose,2,prose,Hebrew
1,Genesis,7,prose,3,prose,Hebrew
1,Genesis,7,prose,4,prose,Hebrew
1,Genesis,7,prose,5,prose,Hebrew
1,Genesis,7,prose,6,prose,Hebrew
1,Genesis,7,prose,7,prose,Hebrew
1,Genesis,7,prose,8,prose,Hebrew
1,Genesis,7,prose,9,prose,Hebrew
1,Genesis,7,prose,10,prose,Hebrew
1,Genesis,7,prose,11,prose,Hebrew
1,Genesis,7,prose,12,prose,Hebrew
1,Genesis,7,prose,13,prose,Hebrew
1,Genesis,7,prose,14,prose,Hebrew
1,Genesis,7,prose,15,prose,Hebrew
1,Genesis,7,prose,16,prose,Hebrew
1,Genesis,7,prose,17,prose,Hebrew
1,Genesis,7,prose,18,prose,Hebrew
1,Genesis,7,prose,19,prose,Hebrew
1,Genesis,7,prose,20,prose,Hebrew
1,Genesis,7,prose,21,prose,Hebrew
1,Genesis,7,prose,22,prose,Hebrew
1,Genesis,7,prose,23,prose,Hebrew
1,Genesis,7,prose,24,prose,Hebrew
