verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
2081244,SWR[,11Q1,11Q1,fa+b,1,no_g_cons,,None,None,,,,,,,,,,0,1 00000 000 1,hif,unknown,,,,,,,
1890249,BW>[,1Q1,1Q1,f14,1,no_g_cons,,None,None,,,,,,,,,,0,1 0 0000 1,qal,wayq,,,,,,,
1890250,BW>[,1Q1,1Q1,f14,1,no_g_cons,,None,None,,,,,,,,,,0,1 0 0000 1,,,,,,,,,
1890251,BW>[,1Q1,1Q1,f14,2,no_g_cons,,None,None,,,,,,,,,,0,1 10 00 1,,,,,,,,,
1929321,HWH[,1Q13,1Q13,f48,1,no_g_cons,,None,None,,,,,,,,,,0,1 0001 1,,,,,,,,,
1929322,HWH[,1Q13,1Q13,f48,1,no_g_cons,,None,None,,,,,,,,,,0,1 0001 1,,,,,,,,,
1929324,HWH[,1Q13,1Q13,f49,1,no_g_cons,,None,None,,,,,,,,,,0,1 00000 00 1,,,,,,,,,
1891887,PNH[,1Q4,1Q4,f16,1,no_g_cons,,None,None,,,,,,,,,,0,1 010 0 000 1,,,,,,,,,
1891951,BW>[,1Q4,1Q4,f25,1,no_g_cons,,None,None,,,,,,,,,,0,1 1 0 000 1,qal,infc,,,,,,,
1891952,BW>[,1Q4,1Q4,f25,1,no_g_cons,,None,None,,,,,,,,,,0,1 1 0 000 1,,,,,,,,,
1891953,BW>[,1Q4,1Q4,f25,2,no_g_cons,,None,None,,,,,,,,,,0,1 10 1 1,,,,,,,,,
1891954,BW>[,1Q4,1Q4,f25,2,no_g_cons,,None,None,,,,,,,,,,0,1 10 1 1,,,,,,,,,
1891955,BW>[,1Q4,1Q4,f25,2,no_g_cons,,None,None,,,,,,,,,,0,1 10 1 1,,,,,,,,,
1891956,BW>[,1Q4,1Q4,f25,2,no_g_cons,,None,None,,,,,,,,,,0,1 10 1 1,,,,,,,,,
1891958,BW>[,1Q4,1Q4,f27,1,no_g_cons,,None,None,,,,,,,,,,0,1 1 0 00 1,,,,,,,,,
1891959,BW>[,1Q4,1Q4,f27,1,no_g_cons,,None,None,,,,,,,,,,0,1 1 0 00 1,,,,,,,,,
1893785,BW>[,1Q5,1Q5,f37,1,no_g_cons,,None,None,,,,,,,,,,0,1 000 1 1,qal,infc,,,,,,,
1893786,BW>[,1Q5,1Q5,f37,1,no_g_cons,,None,None,,,,,,,,,,0,1 000 1 1,,,,,,,,,
1893787,BW>[,1Q5,1Q5,f37,1,no_g_cons,,None,None,,,,,,,,,,0,1 000 1 1,,,,,,,,,
1893788,BW>[,1Q5,1Q5,f37,2,no_g_cons,,None,None,,,,,,,,,,0,1 0 0 1,,,,,,,,,
1894421,<BR[,1Q6,1Q6,f20,2,no_g_cons,,None,None,,,,,,,,,,0,1 0 00000 1,qal,wayq,,,,,,,
1894422,<BR[,1Q6,1Q6,f20,2,no_g_cons,,None,None,,,,,,,,,,0,1 0 00000 1,,,,,,,,,
1894424,<BR[,1Q6,1Q6,f21,1,no_g_cons,,None,None,,,,,,,,,,0,1 0 0000 0 1,,,,,,,,,
391367,JY>[,MT,1_Chronicles,1,12,JY>W,W >T PTRSJM W >T KSLXJM >CR JY>W M CM PLCTJM W >T KPTRJM,>CR JY>W M CM PLCTJM,PLCTJM,M CM,MN CM,0.0,prep,,,det,,simple,,,qal,perf,MN,,,,,,
392084,BW>[,MT,1_Chronicles,2,21,B>,W >XR B> XYRWN >L BT MKJR >BJ GL<D W HW> LQXH W HW> BN CCJM CNH W TLD LW >T FGWB,W >XR B> XYRWN >L BT MKJR >BJ GL<D,XYRWN,>L BT MKJR >BJ GL<D,>L BT/ MKJR/ >B/ GL<D/,0.0,prep,"pers,gens topo",inanim,det,subs,complex,,,qal,perf,>L,,,,,,
392509,JY>[,MT,1_Chronicles,2,53,JY>W,W MCPXWT QRJT_J<RJM H JTRJ W H PWTJ W H CMTJ W H MCR<J M >LH JY>W H YR<TJ W H >CT>LJ,M >LH JY>W H YR<TJ W H >CT>LJ,H YR<TJ W H >CT>LJ,M >LH,MN >LH,0.0,prep,,,det,,simple,,,qal,perf,MN,,,,,,
392539,BW>[,MT,1_Chronicles,2,55,B>JM,W MCPXWT SPRJM JCBW J<BY TR<TJM CM<TJM FWKTJM HMH H QJNJM H B>JM M XMT >BJ BJT RKB,H B>JM M XMT >BJ BJT RKB,,M XMT >BJ BJT RKB,MN XMT===/ >B/ BJT/ RKB==/,0.0,prep,pers pers,anim anim,det,nmpr,complex,,,qal,ptca,MN,,,,,,
392967,BW>[,MT,1_Chronicles,4,10,JB>,W JQR> J<BY L >LHJ JFR>L L >MR >M BRK TBRKNJ W HRBJT >T GBWLJ W HJTH JDK <MJ W <FJT M R<H L BLTJ <YBJ W JB> >LHJM >T >CR C>L,W JB> >LHJM,>LHJM,no complement,no complement,,,,,,,,,,hif,wayq,,,,,,,
