verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
1889904,<WP[,1Q1,Genesis,1,20,J<WPP,W J>MR >LHJM JCRWYW H MJM CRY NPC XJH W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM,W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM,<WP,<L H >RY <L PNJ RQJ< H CMJM,,0,0,0 0000 00000 000000 0 000 000 000 000 0 000 00000 00 0 000 00 000 0000 0 0000,polel,impf,<L,<L,,,,,
1890016,HLK[,1Q1,Genesis,3,14,TLK,W J>MR JHWH >LHJM >L H NXC KJ <FJT Z>T >RWR >TH M KWL H BHMH W M KWL XJT H FDH <L GXNK TLK W <PR T>KL KWL JMJ XJJK,<L GXNK TLK,,<L GXNK,,0,0,0 0000 0000 00000 00 0 000 00 0000 000 0000 000 0 000 0 0000 0 0 000 000 0 000 00 0000 000 0 000 0000 000 000 0000,qal,impf,<L,,,,,,
1890027,HLK[,1Q1,Genesis,22,13,JLK,B QRNJW W JLK >BRHM W JQX >T H >JL W J<LHW L <LH TXT BNW,None,None,,,,0,0 00000 0 000 00000 0 000 00 0 000 0 00000 0 000 000 000,qal,wayq,,,,,,,
1890035,<LH[,1Q1,Genesis,22,13,J<LHW,B QRNJW W JLK >BRHM W JQX >T H >JL W J<LHW L <LH TXT BNW,None,None,,,,0,0 00000 0 000 00000 0 000 00 0 000 0 00000 0 000 000 000,hif,wayq,,,,,,,
1890114,BW>[,1Q1,Genesis,23,18,B>J,L >BRHM L MQNH L <JNJ BNJ XT B KWL B>J C<R <JRW,,L MQNH L <JNJ BNJ XT B KWL B>J C<R <JRW,L >BRHM,,0,0,0 00000 0 0000 0 0000 000 00 0 000 000 000 0000,qal,ptca,L,,,,,,
1890249,BW>[,1Q1,1Q1,f14,1,no_g_cons,,None,None,,,,0,1 0 0000 1,qal,wayq,,,,,,,
1890250,BW>[,1Q1,1Q1,f14,1,no_g_cons,,None,None,,,,0,1 0 0000 1,NA,NA,,,,,,,
1890251,BW>[,1Q1,1Q1,f14,2,no_g_cons,,None,None,,,,0,1 10 00 1,NA,NA,,,,,,,
1890299,<LH[,1Q2,Exodus,16,13,T<L,W JHJ B <RB W T<L H FLW W TKS >T H MXNH W B BQR HJTH CKBT H VL SBJB L MXNH,None,None,,,,0,0 000 0 000 0 000 0 000 0 000 00 0 0000 0 0 000 0000 0000 0 00 0000 0 0000,qal,wayq,,,,,,,
1890319,<LH[,1Q2,Exodus,16,14,T<L,W T<L CKBT H VL W HNH <L PNJ H MDBR DQ K XSPS DQ K KPR <L H >RY,None,None,,,,0,0 000 0000 0 00 0 000 00 000 0 0000 00 0 0000 00 0 000 00 0 000,qal,wayq,,,,,,,
