verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,motion_type,comments
391367,JY>[,MT,1_Chronicles,1,12,JY>W,W >T PTRSJM W >T KSLXJM >CR JY>W M CM PLCTJM W >T KPTRJM,>CR JY>W M CM PLCTJM,PLCTJM,M CM,MN CM,0,prep,,,det,,simple,,,qal,perf,MN,,,,,,,,,
396716,NWS[,MT,1_Chronicles,10,1,JNS,W PLCTJM NLXMW B JFR>L W JNS >JC JFR>L M PNJ PLCTJM W JPLW XLLJM B HR GLB<,W JNS >JC JFR>L M PNJ PLCTJM,>JC JFR>L,M PNJ PLCTJM,MN PNH/ PLCTJ/,0,prep,,,det,subs,complex,,,qal,wayq,MN,,,,,,,,,
396723,NPL[,MT,1_Chronicles,10,1,JPLW,W PLCTJM NLXMW B JFR>L W JNS >JC JFR>L M PNJ PLCTJM W JPLW XLLJM B HR GLB<,W JPLW XLLJM B HR GLB<,,no complement,no complement,,,,,,,,,,qal,wayq,,,,,,,,,,
396779,BW>[,MT,1_Chronicles,10,4,JB>W,W J>MR C>WL >L NF> KLJW CLP XRBK W DQRNJ BH PN JB>W H <RLJM H >LH W HT<LLW BJ W L> >BH NF> KLJW KJ JR> M>D W JQX C>WL >T H XRB W JPL <LJH,PN JB>W H <RLJM H >LH,H <RLJM H >LH,no complement,no complement,,,,,,,,,,qal,impf,,,,,,,,,,
396802,NPL[,MT,1_Chronicles,10,4,JPL,W J>MR C>WL >L NF> KLJW CLP XRBK W DQRNJ BH PN JB>W H <RLJM H >LH W HT<LLW BJ W L> >BH NF> KLJW KJ JR> M>D W JQX C>WL >T H XRB W JPL <LJH,W JPL <LJH,,<LJH,<L,0,prep,,,det,,simple,,,qal,wayq,<L,,,,,,,,,
396812,NPL[,MT,1_Chronicles,10,5,JPL,W JR> NF> KLJW KJ MT C>WL W JPL GM HW> <L H XRB W JMT,W JPL GM HW> <L H XRB,GM HW>,<L H XRB,<L H XRB/,0,prep,,,det,subs,simple,,,qal,wayq,<L,,,,,,,,,
396841,NWS[,MT,1_Chronicles,10,7,NSW,W JR>W KL >JC JFR>L >CR B <MQ KJ NSW W KJ MTW C>WL W BNJW W J<ZBW <RJHM W JNSW W JB>W PLCTJM W JCBW BHM,KJ NSW,,no complement,no complement,,,,,,,,,,qal,perf,,,,,,,,,,
396852,NWS[,MT,1_Chronicles,10,7,JNSW,W JR>W KL >JC JFR>L >CR B <MQ KJ NSW W KJ MTW C>WL W BNJW W J<ZBW <RJHM W JNSW W JB>W PLCTJM W JCBW BHM,W JNSW,,no complement,no complement,,,,,,,,,,qal,wayq,,,,,,,,,,
396854,BW>[,MT,1_Chronicles,10,7,JB>W,W JR>W KL >JC JFR>L >CR B <MQ KJ NSW W KJ MTW C>WL W BNJW W J<ZBW <RJHM W JNSW W JB>W PLCTJM W JCBW BHM,W JB>W PLCTJM,PLCTJM,no complement,no complement,,,,,,,,,,qal,wayq,,,,,,,,,,
396864,BW>[,MT,1_Chronicles,10,8,JB>W,W JHJ M MXRT W JB>W PLCTJM L PCV >T H XLLJM W JMY>W >T C>WL W >T BNJW NPLJM B HR GLB<,W JB>W PLCTJM,PLCTJM,no complement,no complement,,,,,,,,,,qal,wayq,,,,,,,,,,
