verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_lex,motion_type
141586,<LH[,MT,1_Samuel,1,3,<LH,W <LH H >JC H HW> M <JRW M JMJM JMJMH L HCTXWT W L ZBX L JHWH YB>WT B CLH W CM CNJ BNJ <LJ XPNJ W PNXS KHNJM L JHWH,W <LH H >JC H HW> M <JRW M JMJM JMJMH,H >JC H HW>,M <JRW,0,,,,,,,,qal,perf,M,,,,,,,,
141672,<LH[,MT,1_Samuel,1,7,<LTH,W KN J<FH CNH B CNH M DJ <LTH B BJT JHWH KN TK<SNH W TBKH W L> T>KL,M DJ <LTH B BJT JHWH,,B BJT JHWH,0,,,,,,,,qal,infc,B,,,,,,,,
141776,<LH[,MT,1_Samuel,1,11,J<LH,W TDR NDR W T>MR JHWH YB>WT >M R>H TR>H B <NJ >MTK W ZKRTNJ W L> TCKX >T >MTK W NTTH L >MTK ZR< >NCJM W NTTJW L JHWH KL JMJ XJJW W MWRH L> J<LH <L R>CW,W MWRH L> J<LH <L R>CW,MWRH,<L R>CW,0,,,,,,,,qal,impf,<L,,,,,,,,
1996829,<BR[,4Q51,1_Samuel,1,11,J<BWR,JHWH YB>WT >M R>H TR>H B <NJ >MTK W ZKRTNJ W LW> TCKX >T >MTK W NTTH L >MTK ZR< >NCJM W NTTJHW L PNJK NZJR <D JWM MWTW W JJN W CKR LW> JCTH W MWRH L> J<BWR <L R>CW,None,None,,,,,,,,0,0000 00000 00 000 0000 0 000 00000 0 0000000 0 000 0000 00 00000 0 0000 0 00000 000 00000 0 0000000 0 00000 0000 00 000 00000 0 000 0 000 000 0000 0 0000 00 00000 00 00000 00 00,qal,impf,,,,,,,,,
141818,SWR[,MT,1_Samuel,1,14,HSJRJ,W J>MR >LJH <LJ <D MTJ TCTKRJN HSJRJ >T JJNK M <LJK,HSJRJ >T JJNK M <LJK,,M <LJK,0,,,,,,,,hif,impv,M,<LJK,,,,,,,
141869,HLK[,MT,1_Samuel,1,17,LKJ,W J<N <LJ W J>MR LKJ L CLWM W >LHJ JFR>L JTN >T CLTK >CR C>LT M <MW,LKJ L CLWM,,L CLWM,0,,,,,,,,qal,impv,L,,,,,,,,
1996873,HLK[,4Q51,1_Samuel,1,17,LKJ,W J<N <LJ W J>MR LKJ L CLWM >LHJ JFR>L JTN LK >T C>LTK >CR C>LT M <MW,None,None,,,,,,,,0,01 0 000 000 0 0000 000 0 0000 0000 00000 000 000 00 000000 000 0000 0 0000 00,qal,impv,,,,,,,,,
141890,HLK[,MT,1_Samuel,1,18,TLK,W T>MR TMY> CPXTK XN B <JNJK W TLK H >CH L DRKH W T>KL W PNJH L> HJW LH <WD,W TLK H >CH L DRKH,H >CH,L DRKH,0,,,,,,,,qal,wayq,L,,,,,,,,
1996895,HLK[,4Q51,1_Samuel,1,18,TLK,W T>MR TMY> CPXTK XN B <JNJK W TLK H >CH L DRKH W TBW> H LCKTH W T>KL,None,None,,,,,,,,1,0 0000 0000 000000 00 0 000000 0 000 0 000 0 00000 0 0000 0 000000 0 0000 00,qal,wayy,,,,,,,,,
1996901,BW>[,4Q51,1_Samuel,1,18,TBW>,W T>MR TMY> CPXTK XN B <JNJK W TLK H >CH L DRKH W TBW> H LCKTH W T>KL,None,None,,,,,,,,1,0 0000 0000 000000 00 0 000000 0 000 0 000 0 00000 0 0000 0 000000 0 0000 00,qal,wayy,,,,,,,,,
