verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,cmpl_complex,motion_type,comments
406870,HLK[,MT,2_Chronicles,1,3,JLKW,W JLKW CLMH W KL H QHL <MW L BMH >CR B GB<WN KJ CM HJH >HL MW<D H >LHJM >CR <FH MCH <BD JHWH B MDBR,W JLKW CLMH W KL H QHL <MW L BMH,CLMH W KL H QHL <MW,L BMH,L H BMH/,0,prep,,,det,subs,,,qal,wayq,L,,,,,,,,,,
406902,<LH[,MT,2_Chronicles,1,4,H<LH,>BL >RWN H >LHJM H<LH DWJD M QRJT_J<RJM B HKJN LW DWJD KJ NVH LW >HL B JRWCLM,>BL >RWN H >LHJM H<LH DWJD M QRJT_J<RJM,DWJD,M QRJT_J<RJM,MN QRJT_J<RJM/,0,prep,topo,inanim,det,nmpr,,,hif,perf,M,,,,,,,,,,
406940,<LH[,MT,2_Chronicles,1,6,J<L,W J<L CLMH CM <L MZBX H NXCT L PNJ JHWH >CR L >HL MW<D W J<L <LJW <LWT >LP,W J<L CLMH CM <L MZBX H NXCT L PNJ JHWH,CLMH,<L MZBX H NXCT,<L MZBX/ H NXCT/,0,prep,,,det,subs subs,,,hif,wayq,<L,,,,,,,,,,
406955,<LH[,MT,2_Chronicles,1,6,J<L,W J<L CLMH CM <L MZBX H NXCT L PNJ JHWH >CR L >HL MW<D W J<L <LJW <LWT >LP,W J<L <LJW <LWT >LP,,<LJW,<L,0,prep,,,det,,,,hif,wayq,<LJW,,,,,,,,,,
407015,JY>[,MT,2_Chronicles,1,10,>Y>H,<TH XKMH W MD< TN LJ W >Y>H L PNJ H <M H ZH W >BW>H KJ MJ JCPV >T <MK H ZH H GDWL,W >Y>H L PNJ H <M H ZH,,L PNJ H <M H ZH,L PNH/ H <M/ H ZH,0,prep,,,det,subs subs,,,qal,impf,L,,,,,,,,,,
407023,BW>[,MT,2_Chronicles,1,10,>BW>H,<TH XKMH W MD< TN LJ W >Y>H L PNJ H <M H ZH W >BW>H KJ MJ JCPV >T <MK H ZH H GDWL,W >BW>H,,no complement,no complement,,,,,,,,,qal,impf,,,,,,,,,,,
407105,BW>[,MT,2_Chronicles,1,13,JB>,W JB> CLMH L BMH >CR B GB<WN JRWCLM M L PNJ >HL MW<D W JMLK <L JFR>L,W JB> CLMH L BMH JRWCLM,CLMH,JRWCLM,JRWCLM/,0,vc,topo,inanim,det,nmpr,,,qal,wayq,,,,,,,,,,,
407143,NWX[,MT,2_Chronicles,1,14,JNJXM,W J>SP CLMH RKB W PRCJM W JHJ LW >LP W >RB< M>WT RKB W CNJM <FR >LP PRCJM W JNJXM B <RJ H RKB W <M H MLK B JRWCLM,W JNJXM B <RJ H RKB W <M H MLK B JRWCLM,,B <RJ H RKB W <M H MLK B JRWCLM,B <JR/ H RKB/ W <M H MLK/ B JRWCLM/,0,prep + prep + prep,topo,inanim,det,subs subs subs nmpr,,,hif,wayq,B,<M,B,,,,,,,,
407205,<LH[,MT,2_Chronicles,1,17,J<LW,W J<LW W JWYJ>W M MYRJM MRKBH B CC M>WT KSP W SWS B XMCJM W M>H W KN L KL MLKJ H XTJM W MLKJ >RM B JDM JWYJ>W,W J<LW,,no complement,no complement,,,,,,,,,hif,wayq,,,,,,,,,,,
407207,JY>[,MT,2_Chronicles,1,17,JWYJ>W,W J<LW W JWYJ>W M MYRJM MRKBH B CC M>WT KSP W SWS B XMCJM W M>H W KN L KL MLKJ H XTJM W MLKJ >RM B JDM JWYJ>W,W JWYJ>W M MYRJM MRKBH B CC M>WT KSP,,M MYRJM,MN MYRJM/,0,prep,topo,inanim,det,nmpr,,,hif,wayq,M,,,,,,,,,,
