verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_lex,motion_type
194775,NPL[,MT,2_Kings,1,2,JPL,W JPL >XZJH B<D H FBKH B <LJTW >CR B CMRWN W JXL W JCLX ML>KJM W J>MR >LHM LKW DRCW B B<L ZBWB >LHJ <QRWN >M >XJH M XLJ ZH,W JPL >XZJH B<D H FBKH B <LJTW,>XZJH,B<D H FBKH B <LJTW,0,,,,,,,,qal,wayq,B,,,,,,,,
194793,HLK[,MT,2_Kings,1,2,LKW,W JPL >XZJH B<D H FBKH B <LJTW >CR B CMRWN W JXL W JCLX ML>KJM W J>MR >LHM LKW DRCW B B<L ZBWB >LHJ <QRWN >M >XJH M XLJ ZH,LKW,,no complement,,,,,,,,,qal,impv,,,,,,,,,
194814,<LH[,MT,2_Kings,1,3,<LH,W ML>K JHWH DBR >L >LJH H TCBJ QWM <LH L QR>T ML>KJ MLK CMRWN W DBR >LHM H M BLJ >JN >LHJM B JFR>L >TM HLKJM L DRC B B<L ZBWB >LHJ <QRWN,<LH,,no complement,,,,,,,,,qal,impv,,,,,,,,,
194831,HLK[,MT,2_Kings,1,3,HLKJM,W ML>K JHWH DBR >L >LJH H TCBJ QWM <LH L QR>T ML>KJ MLK CMRWN W DBR >LHM H M BLJ >JN >LHJM B JFR>L >TM HLKJM L DRC B B<L ZBWB >LHJ <QRWN,>TM HLKJM,>TM,no complement,,,,,,,,,qal,ptca,,,,,,,,,
194847,<LH[,MT,2_Kings,1,4,<LJT,W LKN KH >MR JHWH H MVH >CR <LJT CM L> TRD MMNH KJ MWT TMWT W JLK >LJH,>CR <LJT CM,,CM,0,,,,,,,,qal,perf,,,,,,,,,
194850,JRD[,MT,2_Kings,1,4,TRD,W LKN KH >MR JHWH H MVH >CR <LJT CM L> TRD MMNH KJ MWT TMWT W JLK >LJH,L> TRD MMNH,,MMNH,0,,,,,,,,qal,impf,MMNH,,,,,,,,
194856,HLK[,MT,2_Kings,1,4,JLK,W LKN KH >MR JHWH H MVH >CR <LJT CM L> TRD MMNH KJ MWT TMWT W JLK >LJH,W JLK >LJH,>LJH,no complement,,,,,,,,,qal,wayq,,,,,,,,,
194859,CWB[,MT,2_Kings,1,5,JCWBW,W JCWBW H ML>KJM >LJW W J>MR >LJHM MH ZH CBTM,W JCWBW H ML>KJM >LJW,H ML>KJM,>LJW,0,,,,,,,,qal,wayq,>LJW,,,,,,,,
194868,CWB[,MT,2_Kings,1,5,CBTM,W JCWBW H ML>KJM >LJW W J>MR >LJHM MH ZH CBTM,MH ZH CBTM,,no complement,,,,,,,,,qal,perf,,,,,,,,,
194873,<LH[,MT,2_Kings,1,6,<LH,W J>MRW >LJW >JC <LH L QR>TNW W J>MR >LJNW LKW CWBW >L H MLK >CR CLX >TKM W DBRTM >LJW KH >MR JHWH H M BLJ >JN >LHJM B JFR>L >TH CLX L DRC B B<L ZBWB >LHJ <QRWN LKN H MVH >CR <LJT CM L> TRD MMNH KJ MWT TMWT,>JC <LH,>JC,no complement,,,,,,,,,qal,perf,,,,,,,,,
194879,HLK[,MT,2_Kings,1,6,LKW,W J>MRW >LJW >JC <LH L QR>TNW W J>MR >LJNW LKW CWBW >L H MLK >CR CLX >TKM W DBRTM >LJW KH >MR JHWH H M BLJ >JN >LHJM B JFR>L >TH CLX L DRC B B<L ZBWB >LHJ <QRWN LKN H MVH >CR <LJT CM L> TRD MMNH KJ MWT TMWT,LKW,,no complement,,,,,,,,,qal,impv,,,,,,,,,
194880,CWB[,MT,2_Kings,1,6,CWBW,W J>MRW >LJW >JC <LH L QR>TNW W J>MR >LJNW LKW CWBW >L H MLK >CR CLX >TKM W DBRTM >LJW KH >MR JHWH H M BLJ >JN >LHJM B JFR>L >TH CLX L DRC B B<L ZBWB >LHJ <QRWN LKN H MVH >CR <LJT CM L> TRD MMNH KJ MWT TMWT,CWBW >L H MLK,,>L H MLK,0,,,,,,,,qal,impv,>L,,,,,,,,
194913,<LH[,MT,2_Kings,1,6,<LJT,W J>MRW >LJW >JC <LH L QR>TNW W J>MR >LJNW LKW CWBW >L H MLK >CR CLX >TKM W DBRTM >LJW KH >MR JHWH H M BLJ >JN >LHJM B JFR>L >TH CLX L DRC B B<L ZBWB >LHJ <QRWN LKN H MVH >CR <LJT CM L> TRD MMNH KJ MWT TMWT,>CR <LJT CM,,CM,0,,,,,,,,qal,perf,,,,,,,,,
194916,JRD[,MT,2_Kings,1,6,TRD,W J>MRW >LJW >JC <LH L QR>TNW W J>MR >LJNW LKW CWBW >L H MLK >CR CLX >TKM W DBRTM >LJW KH >MR JHWH H M BLJ >JN >LHJM B JFR>L >TH CLX L DRC B B<L ZBWB >LHJ <QRWN LKN H MVH >CR <LJT CM L> TRD MMNH KJ MWT TMWT,L> TRD MMNH,,MMNH,0,,,,,,,,qal,impf,MMNH,,,,,,,,
194929,<LH[,MT,2_Kings,1,7,<LH,W JDBR >LHM MH MCPV H >JC >CR <LH L QR>TKM W JDBR >LJKM >T H DBRJM H >LH,>CR <LH,,no complement,,,,,,,,,qal,perf,,,,,,,,,
194966,<LH[,MT,2_Kings,1,9,J<L,W JCLX >LJW FR XMCJM W XMCJW W J<L >LJW W HNH JCB <L R>C H HR W JDBR >LJW >JC H >LHJM H MLK DBR RDH,W J<L >LJW,,>LJW,0,,,,,,,,qal,wayq,>LJW,,,,,,,,
194984,JRD[,MT,2_Kings,1,9,RDH,W JCLX >LJW FR XMCJM W XMCJW W J<L >LJW W HNH JCB <L R>C H HR W JDBR >LJW >JC H >LHJM H MLK DBR RDH,RDH,,no complement,,,,,,,,,qal,impv,,,,,,,,,
194999,JRD[,MT,2_Kings,1,10,TRD,W J<NH >LJHW W JDBR >L FR H XMCJM W >M >JC >LHJM >NJ TRD >C MN H CMJM W T>KL >TK W >T XMCJK W TRD >C MN H CMJM W T>KL >TW W >T XMCJW,TRD >C MN H CMJM,>C,MN H CMJM,0,,,,,,,,qal,impf,MN,,,,,,,,
195011,JRD[,MT,2_Kings,1,10,TRD,W J<NH >LJHW W JDBR >L FR H XMCJM W >M >JC >LHJM >NJ TRD >C MN H CMJM W T>KL >TK W >T XMCJK W TRD >C MN H CMJM W T>KL >TW W >T XMCJW,W TRD >C MN H CMJM,>C,MN H CMJM,0,,,,,,,,qal,wayq,MN,,,,,,,,
195023,CWB[,MT,2_Kings,1,11,JCB,W JCB W JCLX >LJW FR XMCJM >XR W XMCJW W J<N W JDBR >LJW >JC H >LHJM KH >MR H MLK MHRH RDH,W JCB,,no complement,,,,,,,,,qal,wayq,,,,,,,,,
195045,JRD[,MT,2_Kings,1,11,RDH,W JCB W JCLX >LJW FR XMCJM >XR W XMCJW W J<N W JDBR >LJW >JC H >LHJM KH >MR H MLK MHRH RDH,MHRH RDH,,no complement,,,,,,,,,qal,impv,,,,,,,,,
195057,JRD[,MT,2_Kings,1,12,TRD,W J<N >LJH W JDBR >LJHM >M >JC H >LHJM >NJ TRD >C MN H CMJM W T>KL >TK W >T XMCJK W TRD >C >LHJM MN H CMJM W T>KL >TW W >T XMCJW,TRD >C MN H CMJM,>C,MN H CMJM,0,,,,,,,,qal,impf,MN,,,,,,,,
195069,JRD[,MT,2_Kings,1,12,TRD,W J<N >LJH W JDBR >LJHM >M >JC H >LHJM >NJ TRD >C MN H CMJM W T>KL >TK W >T XMCJK W TRD >C >LHJM MN H CMJM W T>KL >TW W >T XMCJW,W TRD >C >LHJM MN H CMJM,>C >LHJM,MN H CMJM,0,,,,,,,,qal,wayq,MN,,,,,,,,
195082,CWB[,MT,2_Kings,1,13,JCB,W JCB W JCLX FR XMCJM CLCJM W XMCJW W J<L W JB> FR H XMCJM H CLJCJ W JKR< <L BRKJW L NGD >LJHW W JTXNN >LJW W JDBR >LJW >JC H >LHJM TJQR N> NPCJ W NPC <BDJK >LH XMCJM B <JNJK,W JCB,,no complement,,,,,,,,,qal,wayq,,,,,,,,,
195091,<LH[,MT,2_Kings,1,13,J<L,W JCB W JCLX FR XMCJM CLCJM W XMCJW W J<L W JB> FR H XMCJM H CLJCJ W JKR< <L BRKJW L NGD >LJHW W JTXNN >LJW W JDBR >LJW >JC H >LHJM TJQR N> NPCJ W NPC <BDJK >LH XMCJM B <JNJK,W J<L,,no complement,,,,,,,,,qal,wayq,,,,,,,,,
195093,BW>[,MT,2_Kings,1,13,JB>,W JCB W JCLX FR XMCJM CLCJM W XMCJW W J<L W JB> FR H XMCJM H CLJCJ W JKR< <L BRKJW L NGD >LJHW W JTXNN >LJW W JDBR >LJW >JC H >LHJM TJQR N> NPCJ W NPC <BDJK >LH XMCJM B <JNJK,W JB> FR H XMCJM H CLJCJ,FR H XMCJM H CLJCJ,no complement,,,,,,,,,qal,wayq,,,,,,,,,
195126,JRD[,MT,2_Kings,1,14,JRDH,HNH JRDH >C MN H CMJM W T>KL >T CNJ FRJ H XMCJM H R>CNJM W >T XMCJHM W <TH TJQR NPCJ B <JNJK,HNH JRDH >C MN H CMJM,>C,MN H CMJM,0,,,,,,,,qal,perf,MN,,,,,,,,
195155,JRD[,MT,2_Kings,1,15,RD,W JDBR ML>K JHWH >L >LJHW RD >WTW >L TJR> M PNJW W JQM W JRD >WTW >L H MLK,RD >WTW,,no complement,,,,,,,,,qal,impv,,,,,,,,,
195164,JRD[,MT,2_Kings,1,15,JRD,W JDBR ML>K JHWH >L >LJHW RD >WTW >L TJR> M PNJW W JQM W JRD >WTW >L H MLK,W JRD >WTW >L H MLK,,>L H MLK,0,,,,,,,,qal,wayq,>L,,,,,,,,
195201,<LH[,MT,2_Kings,1,16,<LJT,W JDBR >LJW KH >MR JHWH J<N >CR CLXT ML>KJM L DRC B B<L ZBWB >LHJ <QRWN H M BLJ >JN >LHJM B JFR>L L DRC B DBRW LKN H MVH >CR <LJT CM L> TRD MMNH KJ MWT TMWT,>CR <LJT CM,,CM,0,,,,,,,,qal,perf,,,,,,,,,
195204,JRD[,MT,2_Kings,1,16,TRD,W JDBR >LJW KH >MR JHWH J<N >CR CLXT ML>KJM L DRC B B<L ZBWB >LHJ <QRWN H M BLJ >JN >LHJM B JFR>L L DRC B DBRW LKN H MVH >CR <LJT CM L> TRD MMNH KJ MWT TMWT,L> TRD MMNH,,MMNH,0,,,,,,,,qal,impf,MMNH,,,,,,,,
201148,BW>[,MT,2_Kings,10,2,B>,W <TH K B> H SPR H ZH >LJKM W >TKM BNJ >DNJKM W >TKM H RKB W H SWSJM W <JR MBYR W H NCQ,K B> H SPR H ZH >LJKM,H SPR H ZH,>LJKM,0,,,,,,,,qal,infc,>LJKM,,,,,,,,
201268,BW>[,MT,2_Kings,10,6,B>W,W JKTB >LJHM SPR CNJT L >MR >M LJ >TM W L QLJ >TM CM<JM QXW >T R>CJ >NCJ BNJ >DNJKM W B>W >LJ K <T MXR JZR<>LH W BNJ H MLK CB<JM >JC >T GDLJ H <JR MGDLJM >WTM,W B>W >LJ K <T MXR JZR<>LH,,>LJ,0,,,,,,,,qal,impv,>LJ,,,,,,,,
201268,BW>[,MT,2_Kings,10,6,B>W,W JKTB >LJHM SPR CNJT L >MR >M LJ >TM W L QLJ >TM CM<JM QXW >T R>CJ >NCJ BNJ >DNJKM W B>W >LJ K <T MXR JZR<>LH W BNJ H MLK CB<JM >JC >T GDLJ H <JR MGDLJM >WTM,W B>W >LJ K <T MXR JZR<>LH,,JZR<>LH,1,,,,,,,,qal,impv,,,,,,,,,
201290,BW>[,MT,2_Kings,10,7,B>,W JHJ K B> H SPR >LJHM W JQXW >T BNJ H MLK W JCXVW CB<JM >JC W JFJMW >T R>CJHM B DWDJM W JCLXW >LJW JZR<>LH,K B> H SPR >LJHM,H SPR,>LJHM,0,,,,,,,,qal,infc,>LJHM,,,,,,,,
201316,BW>[,MT,2_Kings,10,8,JB>,W JB> H ML>K W JGD LW L >MR HBJ>W R>CJ BNJ H MLK W J>MR FJMW >TM CNJ YBRJM PTX H C<R <D H BQR,W JB> H ML>K,H ML>K,no complement,,,,,,,,,qal,wayq,,,,,,,,,
201324,BW>[,MT,2_Kings,10,8,HBJ>W,W JB> H ML>K W JGD LW L >MR HBJ>W R>CJ BNJ H MLK W J>MR FJMW >TM CNJ YBRJM PTX H C<R <D H BQR,HBJ>W R>CJ BNJ H MLK,,no complement,,,,,,,,,hif,perf,,,,,,,,,
201347,JY>[,MT,2_Kings,10,9,JY>,W JHJ B BQR W JY> W J<MD W J>MR >L KL H <M YDQJM >TM HNH >NJ QCRTJ <L >DNJ W >HRGHW W MJ HKH >T KL >LH,W JY>,,no complement,,,,,,,,,qal,wayq,,,,,,,,,
201375,NPL[,MT,2_Kings,10,10,JPL,D<W >PW> KJ L> JPL M DBR JHWH >RYH >CR DBR JHWH <L BJT >X>B W JHWH <FH >T >CR DBR B JD <BDW >LJHW,KJ L> JPL M DBR JHWH >RYH,M DBR JHWH,>RYH,1,,,,,,,,qal,impf,,,,,,,,,
201423,BW>[,MT,2_Kings,10,12,JB>,W JQM W JB> W JLK CMRWN HW> BJT_<QD_HR<JM B DRK,W JB>,,no complement,,,,,,,,,qal,wayq,,,,,,,,,
201425,HLK[,MT,2_Kings,10,12,JLK,W JQM W JB> W JLK CMRWN HW> BJT_<QD_HR<JM B DRK,W JLK CMRWN,,CMRWN,0,,,,,,,,qal,wayq,,,,,,,,,
201450,JRD[,MT,2_Kings,10,13,NRD,W JHW> MY> >T >XJ >XZJHW MLK JHWDH W J>MR MJ >TM W J>MRW >XJ >XZJHW >NXNW W NRD L CLWM BNJ H MLK W BNJ H GBJRH,W NRD L CLWM BNJ H MLK W BNJ H GBJRH,,no complement,,,,,,,,,qal,wayq,,,,,,,,,
201482,HLK[,MT,2_Kings,10,15,JLK,W JLK M CM W JMY> >T JHWNDB BN RKB L QR>TW W JBRKHW W J>MR >LJW H JC >T LBBK JCR K >CR LBBJ <M LBBK W J>MR JHWNDB JC W JC TNH >T JDK W JTN JDW W J<LHW >LJW >L H MRKBH,W JLK M CM,,M CM,0,,,,,,,,qal,wayq,M,,,,,,,,
201521,<LH[,MT,2_Kings,10,15,J<LHW,W JLK M CM W JMY> >T JHWNDB BN RKB L QR>TW W JBRKHW W J>MR >LJW H JC >T LBBK JCR K >CR LBBJ <M LBBK W J>MR JHWNDB JC W JC TNH >T JDK W JTN JDW W J<LHW >LJW >L H MRKBH,W J<LHW >LJW >L H MRKBH,,>LJW,0,,,,,,,,hif,wayq,>LJW,,,,,,,,
201521,<LH[,MT,2_Kings,10,15,J<LHW,W JLK M CM W JMY> >T JHWNDB BN RKB L QR>TW W JBRKHW W J>MR >LJW H JC >T LBBK JCR K >CR LBBJ <M LBBK W J>MR JHWNDB JC W JC TNH >T JDK W JTN JDW W J<LHW >LJW >L H MRKBH,W J<LHW >LJW >L H MRKBH,,>L H MRKBH,0,,,,,,,,hif,wayq,>L,,,,,,,,
201528,HLK[,MT,2_Kings,10,16,LKH,W J>MR LKH >TJ W R>H B QN>TJ L JHWH W JRKBW >TW B RKBW,LKH >TJ,,no complement,,,,,,,,,qal,impv,,,,,,,,,
201542,BW>[,MT,2_Kings,10,17,JB>,W JB> CMRWN W JK >T KL H NC>RJM L >X>B B CMRWN <D HCMJDW K DBR JHWH >CR DBR >L >LJHW,W JB> CMRWN,,CMRWN,0,,,,,,,,qal,wayq,,,,,,,,,
201638,BW>[,MT,2_Kings,10,21,JB>W,W JCLX JHW> B KL JFR>L W JB>W KL <BDJ H B<L W L> NC>R >JC >CR L> B> W JB>W BJT H B<L W JML> BJT H B<L PH L PH,W JB>W KL <BDJ H B<L,KL <BDJ H B<L,no complement,,,,,,,,,qal,wayq,,,,,,,,,
201649,BW>[,MT,2_Kings,10,21,B>,W JCLX JHW> B KL JFR>L W JB>W KL <BDJ H B<L W L> NC>R >JC >CR L> B> W JB>W BJT H B<L W JML> BJT H B<L PH L PH,>CR L> B>,,no complement,,,,,,,,,qal,perf,,,,,,,,,
201651,BW>[,MT,2_Kings,10,21,JB>W,W JCLX JHW> B KL JFR>L W JB>W KL <BDJ H B<L W L> NC>R >JC >CR L> B> W JB>W BJT H B<L W JML> BJT H B<L PH L PH,W JB>W BJT H B<L,,BJT H B<L,0,,,,,,,,qal,wayq,,,,,,,,,
2074672,BW>[,6Q4,2_Kings,10,21,JB>W,W JCLX JHW> B KL JFR>L W JB>W KL <BDJ H B<L W L> NC>R >JC >CR L> B> W JB>W BJT H B<L W JML> BJT H B<L PH L PH,None,None,,,,,,,,0,0 0000 0000 0 00 00000 0 0000 00 0000 0 000 0 00 0000 000 000 00 00 0 0000 000 0 000 0 0000 000 0 000 00 0 00 01 00,qal,wayy,,,,,,,,,
2074683,BW>[,6Q4,2_Kings,10,21,B>,W JCLX JHW> B KL JFR>L W JB>W KL <BDJ H B<L W L> NC>R >JC >CR L> B> W JB>W BJT H B<L W JML> BJT H B<L PH L PH,None,None,,,,,,,,0,0 0000 0000 0 00 00000 0 0000 00 0000 0 000 0 00 0000 000 000 00 00 0 0000 000 0 000 0 0000 000 0 000 00 0 00 01 00,qal,perf,,,,,,,,,
2074685,BW>[,6Q4,2_Kings,10,21,JB>W,W JCLX JHW> B KL JFR>L W JB>W KL <BDJ H B<L W L> NC>R >JC >CR L> B> W JB>W BJT H B<L W JML> BJT H B<L PH L PH,None,None,,,,,,,,0,0 0000 0000 0 00 00000 0 0000 00 0000 0 000 0 00 0000 000 000 00 00 0 0000 000 0 000 0 0000 000 0 000 00 0 00 01 00,qal,wayy,,,,,,,,,
201670,JY>[,MT,2_Kings,10,22,HWY>,W J>MR L >CR <L H MLTXH HWY> LBWC L KL <BDJ H B<L W JY> LHM H MLBWC,HWY> LBWC L KL <BDJ H B<L,,L KL <BDJ H B<L,0,,,,,,,,hif,impv,L,,,,,,,,
201678,JY>[,MT,2_Kings,10,22,JY>,W J>MR L >CR <L H MLTXH HWY> LBWC L KL <BDJ H B<L W JY> LHM H MLBWC,W JY> LHM H MLBWC,,LHM,0,,,,,,,,hif,wayq,LHM,,,,,,,,
