verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,motion_type,comments
160476,CWB[,MT,2_Samuel,1,1,CB,W JHJ >XRJ MWT C>WL W DWD CB M HKWT >T H <MLQ W JCB DWD B YQLG JMJM CNJM,W DWD CB,DWD,no complement,no complement,,,,,,,,,,qal,perf,,,,,,,,,,
160499,BW>[,MT,2_Samuel,1,2,B>,W JHJ B JWM H CLJCJ W HNH >JC B> MN H MXNH M <M C>WL W BGDJW QR<JM W >DMH <L R>CW W JHJ B B>W >L DWD W JPL >RYH W JCTXW,W HNH >JC B> MN H MXNH M <M C>WL,>JC,MN H MXNH M <M C>WL,MN H MXNH/ MN <M C>WL=/,0,prep + prep + prep,pers,anim,det,subs,,,,qal,perf,MN,MN,<M,,,,,,,
160516,BW>[,MT,2_Samuel,1,2,B>W,W JHJ B JWM H CLJCJ W HNH >JC B> MN H MXNH M <M C>WL W BGDJW QR<JM W >DMH <L R>CW W JHJ B B>W >L DWD W JPL >RYH W JCTXW,B B>W >L DWD,,>L DWD,>L DWD==/,0,prep,pers,anim,det,nmpr,,,,qal,infc,>L,,,,,,,,,
160520,NPL[,MT,2_Samuel,1,2,JPL,W JHJ B JWM H CLJCJ W HNH >JC B> MN H MXNH M <M C>WL W BGDJW QR<JM W >DMH <L R>CW W JHJ B B>W >L DWD W JPL >RYH W JCTXW,W JPL >RYH,,>RYH,>RY/,1,dir-he,,,det,subs,,,,qal,wayq,,,,,,,,,,
160531,BW>[,MT,2_Samuel,1,3,TBW>,W J>MR LW DWD >J M ZH TBW> W J>MR >LJW M MXNH JFR>L NMLVTJ,>J M ZH TBW>,,>J M ZH,>J MN ZH,0,prep,,,det,,,,,qal,impf,MN,,,,,,,,,
160553,NWS[,MT,2_Samuel,1,4,NS,W J>MR >LJW DWD MH HJH H DBR HGD N> LJ W J>MR >CR NS H <M MN H MLXMH W GM HRBH NPL MN H <M W JMTW W GM C>WL W JHWNTN BNW MTW,>CR NS H <M MN H MLXMH,H <M,MN H MLXMH,MN H MLXMH/,0,prep,,,det,subs,,,,qal,perf,MN,,,,,,,,,
160562,NPL[,MT,2_Samuel,1,4,NPL,W J>MR >LJW DWD MH HJH H DBR HGD N> LJ W J>MR >CR NS H <M MN H MLXMH W GM HRBH NPL MN H <M W JMTW W GM C>WL W JHWNTN BNW MTW,W GM HRBH NPL MN H <M,HRBH,MN H <M,MN H <M/,0,prep,,,det,subs,,,,qal,perf,MN,,,,,,,,,
2002604,NWS[,4Q51,2_Samuel,1,4,NS,H DBR H ZH HGD N> LJ W J>MR >CR NS H <M MN H MLXMH W GM HRBH NPL MN H <M W JMTW W GM C>WL W JHWNTN BNW MTW,None,None,,,,,,,,,,0,0 000 0 00 000 00 00 0 0000 000 00 0 00 00 0 00000 0 00 0000 000 00 0 00 0 0000 0 00 0000 0 000000 000 000,qal,perf,,,,,,,,,,
2002613,NPL[,4Q51,2_Samuel,1,4,NPL,H DBR H ZH HGD N> LJ W J>MR >CR NS H <M MN H MLXMH W GM HRBH NPL MN H <M W JMTW W GM C>WL W JHWNTN BNW MTW,None,None,,,,,,,,,,0,0 000 0 00 000 00 00 0 0000 000 00 0 00 00 0 00000 0 00 0000 000 00 0 00 0 0000 0 00 0000 0 000000 000 000,qal,perf,,,,,,,,,,
160621,PNH[,MT,2_Samuel,1,7,JPN,W JPN >XRJW W JR>NJ W JQR> >LJ W >MR HNNJ,W JPN >XRJW,,>XRJW,>XR/,0,vc,,,det,subs,,,,qal,wayq,,,,,,,,,,
160669,NPL[,MT,2_Samuel,1,10,NPLW,W ><MD <LJW W >MTTHW KJ JD<TJ KJ L> JXJH >XRJ NPLW W >QX H NZR >CR <L R>CW W >Y<DH >CR <L ZR<W W >BJ>M >L >DNJ HNH,>XRJ NPLW,,no complement,no complement,,,,,,,,,,qal,infc,,,,,,,,,,
