verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,motion_type,comments
370087,BW>[,MT,Daniel,1,1,B>,B CNT CLWC L MLKWT JHWJQJM MLK JHWDH B> NBWKDN>YR MLK BBL JRWCLM W JYR <LJH,B CNT CLWC L MLKWT JHWJQJM MLK JHWDH B> NBWKDN>YR MLK BBL JRWCLM,NBWKDN>YR MLK BBL,JRWCLM,JRWCLM/,0,vc,topo,inanim,det,nmpr,,,,qal,perf,,,,,,,,,,
370112,BW>[,MT,Daniel,1,2,JBJ>M,W JTN >DNJ B JDW >T JHWJQJM MLK JHWDH W M QYT KLJ BJT H >LHJM W JBJ>M >RY CN<R BJT >LHJW W >T H KLJM HBJ> BJT >WYR >LHJW,W JBJ>M >RY CN<R BJT >LHJW,,>RY CN<R BJT >LHJW,>RY/ CN<R/ BJT/ >LHJM/,0,vc,topo,inanim,det,subs,,,,hif,wayq,,,,,,,,,,
370121,BW>[,MT,Daniel,1,2,HBJ>,W JTN >DNJ B JDW >T JHWJQJM MLK JHWDH W M QYT KLJ BJT H >LHJM W JBJ>M >RY CN<R BJT >LHJW W >T H KLJM HBJ> BJT >WYR >LHJW,W >T H KLJM HBJ> BJT >WYR >LHJW,,BJT >WYR >LHJW,BJT/ >WYR/ >LHJM/,0,vc,,,det,subs,,,,hif,perf,,,,,,,,,,
370134,BW>[,MT,Daniel,1,3,HBJ>,W J>MR H MLK L >CPNZ RB SRJSJW L HBJ> M BNJ JFR>L W M ZR< H MLWKH W MN H PRTMJM,L HBJ> M BNJ JFR>L W M ZR< H MLWKH W MN H PRTMJM,,M BNJ JFR>L W M ZR< H MLWKH W MN H PRTMJM,MN BN/ JFR>L/ W MN ZR</ H MLWKH/ W MN H PRTMJM/,0,prep + prep + prep,"pers,gens,topo",,det,subs,,,,hif,infc,MN,MN,MN,,,,,,,
370470,BW>[,MT,Daniel,1,18,HBJ>M,W L M QYT H JMJM >CR >MR H MLK L HBJ>M W JBJ>M FR H SRJSJM L PNJ NBKDNYR,L HBJ>M,,no complement,no complement,,,,,,,,,,hif,infc,,,,,,,,,,
370472,BW>[,MT,Daniel,1,18,JBJ>M,W L M QYT H JMJM >CR >MR H MLK L HBJ>M W JBJ>M FR H SRJSJM L PNJ NBKDNYR,W JBJ>M FR H SRJSJM L PNJ NBKDNYR,FR H SRJSJM,L PNJ NBKDNYR,L PNH/ NBWKDN>YR/,0,prep,pers,anim,det,subs,,,,hif,wayq,L,,,,,,,,,
2057864,BW>[,4Q112,Daniel,1,18,HBJ>M,W L M QYT H JMJM >CR >MR H MLK L HBJ>M W JBJ>M FR H SRJSJM L PNJ NBWKDNYR,None,None,,,,,,,,,,0,0 0 0 000 0 0000 000 000 0 000 0 00000 0 00000 00 0 000000 0 000 00000000,hif,infc,,,,,,,,,,
2057866,BW>[,4Q112,Daniel,1,18,JBJ>M,W L M QYT H JMJM >CR >MR H MLK L HBJ>M W JBJ>M FR H SRJSJM L PNJ NBWKDNYR,None,None,,,,,,,,,,0,0 0 0 000 0 0000 000 000 0 000 0 00000 0 00000 00 0 000000 0 000 00000000,hif,wayq,,,,,,,,,,
376449,GLH[,MT,Daniel,10,1,NGLH,B CNT CLWC L KWRC MLK PRS DBR NGLH L DNJ>L >CR NQR> CMW BLVC>YR W >MT H DBR W YB> GDWL W BJN >T H DBR W BJNH LW B MR>H,B CNT CLWC L KWRC MLK PRS DBR NGLH L DNJ>L,DBR,L DNJ>L,L DNJ>L/,0,prep,pers,anim,det,nmpr,,,,nif,perf,L,,,,,,,,,
376495,BW>[,MT,Daniel,10,3,B>,LXM XMDWT L> >KLTJ W BFR W JJN L> B> >L PJ W SWK L> SKTJ <D ML>T CLCT CB<JM JMJM,W BFR W JJN L> B> >L PJ,BFR W JJN,>L PJ,>L PH/,0,prep,,,det,subs,,,,qal,perf,>L,,,,,,,,,
