verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,motion_type,comments
92924,PNH[,MT,Deuteronomy,1,7,PNW,PNW W S<W LKM W B>W HR H >MRJ W >L KL CKNJW B <RBH B HR W B CPLH W B NGB W B XWP H JM >RY H KN<NJ W H LBNWN <D H NHR H GDL NHR PRT,PNW,,no complement,no complement,,,,,,,,,,qal,impv,,,,,,,,,,
92926,NS<[,MT,Deuteronomy,1,7,S<W,PNW W S<W LKM W B>W HR H >MRJ W >L KL CKNJW B <RBH B HR W B CPLH W B NGB W B XWP H JM >RY H KN<NJ W H LBNWN <D H NHR H GDL NHR PRT,W S<W LKM,,LKM,L,0,prep,,,det,,,,,qal,impv,L,,,,,,,,,
92929,BW>[,MT,Deuteronomy,1,7,B>W,PNW W S<W LKM W B>W HR H >MRJ W >L KL CKNJW B <RBH B HR W B CPLH W B NGB W B XWP H JM >RY H KN<NJ W H LBNWN <D H NHR H GDL NHR PRT,W B>W HR H >MRJ,,HR H >MRJ,HR/ H >MRJ/,0,vc,,,det,subs,,,,qal,impv,,,,,,,,,,
1985801,PNH[,4Q35,Deuteronomy,1,7,PNW,PNW W S<W LKM W B>W HR H >MRJ W >L KL CKNJW B <RBH B HR W B CPLH B NGB W B XWP H JM >RY H KN<NJ W H LBNWN <D H NHR H GDWL NHR PRT,None,None,,,,,,,,,,0,000 0 000 000 0 000 00 0 0000 0 00 00 00000 0 0000 0 00 0 0 0000 0 000 0 0 000 0 00 000 0 00000 0 0 00000 00 0 000 0 0000 000 000,qal,impv,,,,,,,,,,
1985803,NS<[,4Q35,Deuteronomy,1,7,S<W,PNW W S<W LKM W B>W HR H >MRJ W >L KL CKNJW B <RBH B HR W B CPLH B NGB W B XWP H JM >RY H KN<NJ W H LBNWN <D H NHR H GDWL NHR PRT,None,None,,,,,,,,,,0,000 0 000 000 0 000 00 0 0000 0 00 00 00000 0 0000 0 00 0 0 0000 0 000 0 0 000 0 00 000 0 00000 0 0 00000 00 0 000 0 0000 000 000,qal,impv,,,,,,,,,,
1985806,BW>[,4Q35,Deuteronomy,1,7,B>W,PNW W S<W LKM W B>W HR H >MRJ W >L KL CKNJW B <RBH B HR W B CPLH B NGB W B XWP H JM >RY H KN<NJ W H LBNWN <D H NHR H GDWL NHR PRT,None,None,,,,,,,,,,0,000 0 000 000 0 000 00 0 0000 0 00 00 00000 0 0000 0 00 0 0 0000 0 000 0 0 000 0 00 000 0 00000 0 0 00000 00 0 000 0 0000 000 000,qal,impv,,,,,,,,,,
92976,BW>[,MT,Deuteronomy,1,8,B>W,R>H NTTJ L PNJKM >T H >RY B>W W RCW >T H >RY >CR NCB< JHWH L >BTJKM L >BRHM L JYXQ W L J<QB L TT LHM W L ZR<M >XRJHM,B>W,,no complement,no complement,,,,,,,,,,qal,impv,,,,,,,,,,
1992973,BW>[,4Q45,Deuteronomy,1,8,B>W,R>H NTTJ L PNJKM >T H >RY B>W W RCW >T H >RY >CR NCB< JHWH L >BWTJKM L >BRHM L JYXQ W L J<QB L TT LHM W L ZR<M >XRJHM,None,None,,,,,,,,,,0,1 000 0000 0 00000 00 0 000 000 0 000 00 0 000 000 0000 0000 0 0000000 0 00000 0 0000 0 0 0000 0 00 000 0 0 0000 000000,qal,impv,,,,,,,,,,
1985849,BW>[,4Q35,Deuteronomy,1,8,B>W,R>H NTTJ L PNJKM >T H >RY B>W W RCW >T H >RY >CR NCB< JHWH L >BTJKM L >BRHM W L JYXQ W L J<QB L TT LHM W L ZR<M >XRJHM,None,None,,,,,,,,,,0,000 0000 0 00000 00 0 000 000 0 000 00 0 000 000 0000 0000 0 000000 0 00000 0 0 0000 0 0 0000 0 00 000 0 0 0000 000000,qal,impv,,,,,,,,,,
93165,QRB[,MT,Deuteronomy,1,17,TQRBWN,L> TKJRW PNJM B MCPV K QVN K GDL TCM<WN L> TGWRW M PNJ >JC KJ H MCPV L >LHJM HW> W H DBR >CR JQCH MKM TQRBWN >LJ W CM<TJW,W H DBR TQRBWN >LJ,,>LJ,>L,0,prep,,,det,,,,,hif,impf,>L,,,,,,,,,
