verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_lex,motion_type
359310,HLK[,MT,Ecclesiastes,1,4,HLK,DWR HLK W DWR B> W H >RY L <WLM <MDT,DWR HLK,DWR,no complement,,,,,,,,,qal,ptca,,,,,,,,,
359313,BW>[,MT,Ecclesiastes,1,4,B>,DWR HLK W DWR B> W H >RY L <WLM <MDT,W DWR B>,DWR,no complement,,,,,,,,,qal,ptca,,,,,,,,,
359325,BW>[,MT,Ecclesiastes,1,5,B>,W ZRX H CMC W B> H CMC W >L MQWMW CW>P ZWRX HW> CM,W B> H CMC,H CMC,no complement,,,,,,,,,qal,perf,,,,,,,,,
359335,HLK[,MT,Ecclesiastes,1,6,HWLK,HWLK >L DRWM W SWBB >L YPWN SWBB SBB HWLK H RWX W <L SBJBTJW CB H RWX,HWLK >L DRWM,,>L DRWM,0,,,,,,,,qal,ptca,>L,,,,,,,,
359339,SBB[,MT,Ecclesiastes,1,6,SWBB,HWLK >L DRWM W SWBB >L YPWN SWBB SBB HWLK H RWX W <L SBJBTJW CB H RWX,W SWBB >L YPWN,,>L YPWN,0,,,,,,,,qal,ptca,>L,,,,,,,,
359342,SBB[,MT,Ecclesiastes,1,6,SWBB,HWLK >L DRWM W SWBB >L YPWN SWBB SBB HWLK H RWX W <L SBJBTJW CB H RWX,SWBB,,no complement,,,,,,,,,qal,ptca,,,,,,,,,
359343,SBB[,MT,Ecclesiastes,1,6,SBB,HWLK >L DRWM W SWBB >L YPWN SWBB SBB HWLK H RWX W <L SBJBTJW CB H RWX,SBB,,no complement,,,,,,,,,qal,ptca,,,,,,,,,
359344,HLK[,MT,Ecclesiastes,1,6,HWLK,HWLK >L DRWM W SWBB >L YPWN SWBB SBB HWLK H RWX W <L SBJBTJW CB H RWX,HWLK H RWX,H RWX,no complement,,,,,,,,,qal,ptca,,,,,,,,,
359350,CWB[,MT,Ecclesiastes,1,6,CB,HWLK >L DRWM W SWBB >L YPWN SWBB SBB HWLK H RWX W <L SBJBTJW CB H RWX,W <L SBJBTJW CB H RWX,H RWX,<L SBJBTJW,0,,,,,,,,qal,ptca,<L,,,,,,,,
359356,HLK[,MT,Ecclesiastes,1,7,HLKJM,KL H NXLJM HLKJM >L H JM W H JM >JNNW ML> >L MQWM C H NXLJM HLKJM CM HM CBJM L LKT,KL H NXLJM HLKJM >L H JM,KL H NXLJM,>L H JM,0,,,,,,,,qal,ptca,>L,,,,,,,,
