verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,cmpl_complex,motion_type,comments
28771,BW>[,MT,Exodus,1,1,B>JM,W >LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QB >JC W BJTW B>W,H B>JM MYRJMH >T J<QB,,MYRJMH,MYRJM/,1,dir_he,topo,inanim,det,nmpr,,,qal,ptca,,,,,,,,,,,
28778,BW>[,MT,Exodus,1,1,B>W,W >LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QB >JC W BJTW B>W,>JC W BJTW B>W,>JC W BJTW,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
1945779,BW>[,4Q13,Exodus,1,1,B>JM,>LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QWB >BJHM >JC W BJTW B>W,None,None,,,,,,,,,1,1 1 1 1 1 000 0000 000 00000 0 0000 000000 00 00000 00000 000 0 0000 000,qal,ptca,,,,,,,,,,,
1945787,BW>[,4Q13,Exodus,1,1,B>W,>LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QWB >BJHM >JC W BJTW B>W,None,None,,,,,,,,,1,1 1 1 1 1 000 0000 000 00000 0 0000 000000 00 00000 00000 000 0 0000 000,qal,perf,,,,,,,,,,,
1941985,BW>[,4Q11,Exodus,1,1,B>JM,>LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QB >JC W BJTW B>W,None,None,,,,,,,,,1,000 0000 000 00000 0 0000 000000 00 0000 000 0 0000 000,qal,ptca,,,,,,,,,,,
1941992,BW>[,4Q11,Exodus,1,1,B>W,>LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QB >JC W BJTW B>W,None,None,,,,,,,,,1,000 0000 000 00000 0 0000 000000 00 0000 000 0 0000 000,qal,perf,,,,,,,,,,,
28798,JY>[,MT,Exodus,1,5,JY>J,W JHJ KL NPC JY>J JRK J<QB CB<JM NPC W JWSP HJH B MYRJM,W JHJ KL NPC JY>J JRK J<QB CB<JM NPC,KL NPC JY>J JRK J<QB,no complement,no complement,,,,,,,,,qal,ptca,,,,,,,,,,,
1935630,JY>[,4Q1,Exodus,1,5,JY>J,W JHJ KL NPC JY>J JRK J<QB CB<JM W XMC NPC W JWSP HJH B MYRJM,None,None,,,,,,,,,0,0 000 00 000 0000 000 0000 00000 0 000 000 0 0000 000 0 00000,qal,ptca,,,,,,,,,,,
28881,<LH[,MT,Exodus,1,10,<LH,HBH NTXKMH LW PN JRBH W HJH KJ TQR>NH MLXMH W NWSP GM HW> <L FN>JNW W NLXM BNW W <LH MN H >RY,W <LH MN H >RY,,MN H >RY,MN H >RY/,0,prep,,,det,subs,,,qal,perf,MN,,,,,,,,,,
1935721,<LH[,4Q1,Exodus,1,10,<LH,HBH NTXKMH LW PN JRBH W HJH KJ TQR>NH MLXMH W NWSP GM HW> <L FN>JNW W NLXM BNW W <LH MN H >RY,W <LH MN H >RY,,MN H >RY,,0,,,,,,0,000 000000 00 00 0000 0 000 00 000000 00000 0 0000 00 000 00 000000 0 0000 000 0 000 00 0 000,qal,perf,MN,,,,,,,,,,
29061,BW>[,MT,Exodus,1,19,TBW>,W T>MRN H MJLDT >L PR<H KJ L> K NCJM H MYRJT H <BRJT KJ XJWT HNH B VRM TBW> >LHN H MJLDT W JLDW,B VRM TBW> >LHN H MJLDT,H MJLDT,>LHN,>L,0,prep,,,det,,,,qal,impf,>LHN,,,,,,,,,,
1945925,BW>[,4Q13,Exodus,1,19,TBW>,W TW>MRNH H MJLDWT >L PR<H KJ L> K NCJM H MYRJWT H <BRJWT KJ B VRM TBW> >LJHNH H MJLDT W JLDW,None,None,,,,,,,,,0,0 0000000 0 000000 00 0000 00 00 0 0000 0 000000 0 000000 00 0 000 0000 000000 0 00000 0 0000,qal,impf,,,,,,,,,,,
33790,BW>[,MT,Exodus,10,1,B>,W J>MR JHWH >L MCH B> >L PR<H KJ >NJ HKBDTJ >T LBW W >T LB <BDJW LM<N CTJ >TTJ >LH B QRBW,B> >L PR<H,,>L PR<H,>L PR<H/,0,prep,,,det,subs,,,qal,impv,>L,,,,,,,,,,
1953800,BW>[,4Q22,Exodus,10,1,BW>,W J>WMR JHWH >L MCH BW> >L PR<H KJ >NJ HKBDTJ >T LBW W >T LB <BDJW LM<N CTJ >TTJ >LH B QRBW,BW> >L PR<H,,>L PR<H,,0,,,,,,0,0 00000 0000 00 000 000 00 0000 00 000 000000 00 000 0 00 00 00000 0000 000 0000 000 0 0000,qal,impv,>L,,,,,,,,,,
1942629,BW>[,4Q11,Exodus,10,1,B>,W J>MR JHWH >L MCH B> >L PR<H KJ >NJ HKBDTJ >T LBW W >T LB <BDJW LM<N CTJ >TTJ >LH B QRBW,B> >L PR<H,,>L PR<H,,0,,,,,,0,0 0000 0000 00 000 00 00 0000 00 000 000000 00 000 0 00 00 00000 0000 000 0000 000 0 0000,qal,impv,>L,,,,,,,,,,
33834,BW>[,MT,Exodus,10,3,JB>,W JB> MCH W >HRN >L PR<H W J>MRW >LJW KH >MR JHWH >LHJ H <BRJM <D MTJ M>NT L <NT M PNJ CLX <MJ W J<BDNJ,W JB> MCH W >HRN >L PR<H,MCH W >HRN,>L PR<H,>L PR<H/,0,prep,,,det,subs,,,qal,wayq,>L,,,,,,,,,,
1953899,BW>[,4Q22,Exodus,10,3,JB>,W JB> MCH W >HRN >L PR<H W J>MRW >LJW KH >MR JHWH >LHJ H <BRJM <D MTJ M>NT L <NT M PNJ CLX <MJ W J<BDNJ,W JB> MCH W >HRN >L PR<H,MCH W >HRN,>L PR<H,,0,,,,,,0,0 000 000 0 0000 00 0000 0 00000 0000 00 000 0000 0000 0 00000 00 000 0000 0 000 0 000 000 000 0 000000,qal,wayq,>L,,,,,,,,,,
1948460,BW>[,4Q14,Exodus,10,3,JB>,W JB> MCH W >HRN B MYR W J>MRW >LJW KH >MR JHWH >LHJ H <BRJM <D MTJ M>NT L <NT M PNJ CLX <MJ W J<BDNJ,None,None,,,,,,,,,0,0 000 000 0 0000 1 1 0 00011 0 00000 0000 00 000 0000 0000 0 00000 00 000 0000 0 000 0 000 000 000 0 000000,qal,wayq,,,,,,,,,,,
1942672,BW>[,4Q11,Exodus,10,3,JB>,W JB> MCH W >HRN >L PR<H W J>MRW >LJW KH >MR JHWH >LHJ H <BRJM <D MTJ M>NT L <NT M PNJ CLX >T <MJ W J<BDNJ,None,None,,,,,,,,,0,0 000 000 0 0000 00 0000 0 00000 0000 00 000 0000 0000 0 00000 00 000 0000 0 000 0 000 000 00 000 0 000000,qal,wayq,,,,,,,,,,,
33869,BW>[,MT,Exodus,10,4,MBJ>,KJ >M M>N >TH L CLX >T <MJ HNNJ MBJ> MXR >RBH B GBLK,KJ HNNJ MBJ> MXR >RBH B GBLK,,no complement,no complement,,,,,,,,,hif,ptca,,,,,,,,,,,
33942,PNH[,MT,Exodus,10,6,JPN,W ML>W BTJK W BTJ KL <BDJK W BTJ KL MYRJM >CR L> R>W >BTJK W >BWT >BTJK M JWM HJWTM <L H >DMH <D H JWM H ZH W JPN W JY> M <M PR<H,W JPN,,no complement,no complement,,,,,,,,,qal,wayq,,,,,,,,,,,
33944,JY>[,MT,Exodus,10,6,JY>,W ML>W BTJK W BTJ KL <BDJK W BTJ KL MYRJM >CR L> R>W >BTJK W >BWT >BTJK M JWM HJWTM <L H >DMH <D H JWM H ZH W JPN W JY> M <M PR<H,W JY> M <M PR<H,,M <M PR<H,MN <M PR<H/,0,prep + prep,,,det,subs,,,qal,wayq,M,<M,,,,,,,,,
1954019,JY>[,4Q22,Exodus,10,6,JY>,W ML>W BTJK W BTJ KL <BDJK W BTJ KL MYRJM >CR L> R>W >BTJK W >BWT >BTJK M JWM HJWTM <L H >DMH <D H JWM H ZH W JPN W JY> M <M PR<H,W JY> M <M PR<H,,M <M PR<H,,0,,,,,,0,0 0000 0000 0 000 00 00000 0 000 00 00000 000 00 000 00000 0 0000 00000 0 000 00000 00 0 0000 00 0 000 0 00 0 000 0 000 0 00 0000,qal,wayq,M,<M,,,,,,,,,
1948575,JY>[,4Q14,Exodus,10,6,JY>,W ML>W BTJK W BTJ KL <BDJK W BTJ KL MYRJM >CR L> R>W >BTJK W >BWT >BTJK M JWM HJWTM <L H >DMH <D H JWM H ZH W JPN W JY> M <M PR<H,W JY> M <M PR<H,,M <M PR<H,,0,,,,,,0,0 0000 0000 0 000 00 00000 0 000 00 00000 000 00 000 00000 0 0000 00000 0 000 00000 00 0 0000 00 0 000 0 00 0 000 0 000 0 00 0000,qal,wayq,M,<M,,,,,,,,,
33976,CWB[,MT,Exodus,10,8,JWCB,W JWCB >T MCH W >T >HRN >L PR<H W J>MR >LHM LKW <BDW >T JHWH >LHJKM MJ W MJ H HLKJM,W JWCB >T MCH W >T >HRN >L PR<H,>T MCH W >T >HRN,>L PR<H,>L PR<H/,0,prep,,,det,subs,,,hof,wayq,>L,,,,,,,,,,
33987,HLK[,MT,Exodus,10,8,LKW,W JWCB >T MCH W >T >HRN >L PR<H W J>MR >LHM LKW <BDW >T JHWH >LHJKM MJ W MJ H HLKJM,LKW,,no complement,no complement,,,,,,,,,qal,impv,,,,,,,,,,,
33996,HLK[,MT,Exodus,10,8,HLKJM,W JWCB >T MCH W >T >HRN >L PR<H W J>MR >LHM LKW <BDW >T JHWH >LHJKM MJ W MJ H HLKJM,H HLKJM,,no complement,no complement,,,,,,,,,qal,ptca,,,,,,,,,,,
1954053,CWB[,4Q22,Exodus,10,8,JWCB,W JWCB >T MCH W >T >HRWN >L PR<H W J>MR >LHM LKW <BDW >T JHWH >LHJKM MJ W MJ H HWLKJM,W JWCB >T MCH W >T >HRWN >L PR<H,>T MCH W >T >HRWN,>L PR<H,,0,,,,,,0,0 0000 00 000 0 00 00000 00 0000 0 0000 0000 000 0000 00 0000 000000 00 0 00 0 000000,hof,wayq,>L,,,,,,,,,,
1954064,HLK[,4Q22,Exodus,10,8,LKW,W JWCB >T MCH W >T >HRWN >L PR<H W J>MR >LHM LKW <BDW >T JHWH >LHJKM MJ W MJ H HWLKJM,None,None,,,,,,,,,0,0 0000 00 000 0 00 00000 00 0000 0 0000 0000 000 0000 00 0000 000000 00 0 00 0 000000,qal,impv,,,,,,,,,,,
1954073,HLK[,4Q22,Exodus,10,8,HWLKJM,W JWCB >T MCH W >T >HRWN >L PR<H W J>MR >LHM LKW <BDW >T JHWH >LHJKM MJ W MJ H HWLKJM,None,None,,,,,,,,,0,0 0000 00 000 0 00 00000 00 0000 0 0000 0000 000 0000 00 0000 000000 00 0 00 0 000000,qal,ptca,,,,,,,,,,,
1948609,CWB[,4Q14,Exodus,10,8,JWCB,W JWCB >T MCH W >T >HRN >L PR<H W J>MR >LHM LKW <BDW >T JHWH >LHJKM MJ W MJ H HWLKJM,W JWCB >T MCH W >T >HRN >L PR<H,>T MCH W >T >HRN,>L PR<H,,0,,,,,,0,0 0000 00 000 0 00 0000 00 0000 0 0000 0000 000 0000 00 0000 000000 00 0 00 0 000000,hof,wayq,>L,,,,,,,,,,
1948620,HLK[,4Q14,Exodus,10,8,LKW,W JWCB >T MCH W >T >HRN >L PR<H W J>MR >LHM LKW <BDW >T JHWH >LHJKM MJ W MJ H HWLKJM,None,None,,,,,,,,,0,0 0000 00 000 0 00 0000 00 0000 0 0000 0000 000 0000 00 0000 000000 00 0 00 0 000000,qal,impv,,,,,,,,,,,
1948629,HLK[,4Q14,Exodus,10,8,HWLKJM,W JWCB >T MCH W >T >HRN >L PR<H W J>MR >LHM LKW <BDW >T JHWH >LHJKM MJ W MJ H HWLKJM,None,None,,,,,,,,,0,0 0000 00 000 0 00 0000 00 0000 0 0000 0000 000 0000 00 0000 000000 00 0 00 0 000000,qal,ptca,,,,,,,,,,,
34005,HLK[,MT,Exodus,10,9,NLK,W J>MR MCH B N<RJNW W B ZQNJNW NLK B BNJNW W B BNWTNW B Y>NNW W B BQRNW NLK KJ XG JHWH LNW,B N<RJNW W B ZQNJNW NLK,,no complement,no complement,,,,,,,,,qal,impf,,,,,,,,,,,
34016,HLK[,MT,Exodus,10,9,NLK,W J>MR MCH B N<RJNW W B ZQNJNW NLK B BNJNW W B BNWTNW B Y>NNW W B BQRNW NLK KJ XG JHWH LNW,B BNJNW W B BNWTNW B Y>NNW W B BQRNW NLK,,no complement,no complement,,,,,,,,,qal,impf,,,,,,,,,,,
1954083,HLK[,4Q22,Exodus,10,9,NLK,W J>MR MCH B N<RJNW W B ZQNJNW NLK B BNJNW W B BNWTJNW B Y>NNW W B BQRNW NLK KJ XG JHWH LNW,None,None,,,,,,,,,0,0 0000 000 0 000000 0 0 000000 000 0 00000 0 0 0000000 0 00000 0 0 00000 000 00 00 0000 000,qal,impf,,,,,,,,,,,
1954094,HLK[,4Q22,Exodus,10,9,NLK,W J>MR MCH B N<RJNW W B ZQNJNW NLK B BNJNW W B BNWTJNW B Y>NNW W B BQRNW NLK KJ XG JHWH LNW,None,None,,,,,,,,,0,0 0000 000 0 000000 0 0 000000 000 0 00000 0 0 0000000 0 00000 0 0 00000 000 00 00 0000 000,qal,impf,,,,,,,,,,,
1948639,HLK[,4Q14,Exodus,10,9,NLK,W J>MR MCH B N<RJNW W B ZQNJNW NLK B BNJNW W B BNWTNW B Y>NNW W B BQRNW NLK KJ XG JHWH LNW,None,None,,,,,,,,,0,0 0000 000 0 000000 0 0 000000 000 0 00000 0 0 000000 0 00000 0 0 00000 000 00 00 0000 000,qal,impf,,,,,,,,,,,
