verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,motion_type,comments
264812,BW>[,MT,Ezekiel,1,4,B>H,W >R> W HNH RWX S<RH B>H MN H YPWN <NN GDWL W >C MTLQXT W NGH LW SBJB W M TWKH K <JN H XCML M TWK H >C,RWX S<RH B>H MN H YPWN,RWX S<RH,MN H YPWN,MN H YPWN/,0,prep,,,det,subs,simple,,,qal,ptca,MN,,,,,,,,,
264898,SBB[,MT,Ezekiel,1,9,JSBW,XBRT >CH >L >XWTH KNPJHM L> JSBW B LKTN >JC >L <BR PNJW JLKW,L> JSBW,,no complement,no complement,,,,,,,,,,nif,impf,,,,,,,,,,
264900,HLK[,MT,Ezekiel,1,9,LKTN,XBRT >CH >L >XWTH KNPJHM L> JSBW B LKTN >JC >L <BR PNJW JLKW,B LKTN,,no complement,no complement,,,,,,,,,,qal,infc,,,,,,,,,,
264905,HLK[,MT,Ezekiel,1,9,JLKW,XBRT >CH >L >XWTH KNPJHM L> JSBW B LKTN >JC >L <BR PNJW JLKW,JLKW,,no complement,no complement,,,,,,,,,,qal,impf,,,,,,,,,,
2081818,HLK[,11Q4,Ezekiel,1,9,LKTM,XBRT >CH >L >XWTH KNPJHM L> JSBW B LKTM >JC >L <BR PNJW JLKW,None,None,,,,,,,,,,0,0000 000 00 00000 000000 00 0000 0 0000 000 00 000 0000 0000,qal,infc,,,,,,,,,,
2081823,HLK[,11Q4,Ezekiel,1,9,JLKW,XBRT >CH >L >XWTH KNPJHM L> JSBW B LKTM >JC >L <BR PNJW JLKW,None,None,,,,,,,,,,0,0000 000 00 00000 000000 00 0000 0 0000 000 00 000 0000 0000,qal,impf,,,,,,,,,,
264955,HLK[,MT,Ezekiel,1,12,JLKW,W >JC >L <BR PNJW JLKW >L >CR JHJH CMH H RWX L LKT JLKW L> JSBW B LKTN,W JLKW,,no complement,no complement,,,,,,,,,,qal,impf,,,,,,,,,,
264963,HLK[,MT,Ezekiel,1,12,LKT,W >JC >L <BR PNJW JLKW >L >CR JHJH CMH H RWX L LKT JLKW L> JSBW B LKTN,L LKT,,no complement,no complement,,,,,,,,,,qal,infc,,,,,,,,,,
264964,HLK[,MT,Ezekiel,1,12,JLKW,W >JC >L <BR PNJW JLKW >L >CR JHJH CMH H RWX L LKT JLKW L> JSBW B LKTN,JLKW,,no complement,no complement,,,,,,,,,,qal,impf,,,,,,,,,,
264966,SBB[,MT,Ezekiel,1,12,JSBW,W >JC >L <BR PNJW JLKW >L >CR JHJH CMH H RWX L LKT JLKW L> JSBW B LKTN,L> JSBW,,no complement,no complement,,,,,,,,,,nif,impf,,,,,,,,,,
264968,HLK[,MT,Ezekiel,1,12,LKTN,W >JC >L <BR PNJW JLKW >L >CR JHJH CMH H RWX L LKT JLKW L> JSBW B LKTN,B LKTN,,no complement,no complement,,,,,,,,,,qal,infc,,,,,,,,,,
