verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_lex,motion_type
205,JY>[,MT,Genesis,1,12,TWY>,W TWY> H >RY DC> <FB MZRJ< ZR< L MJNHW W <Y <FH PRJ >CR ZR<W BW L MJNHW W JR> >LHJM KJ VWB,W TWY> H >RY DC> <FB W <Y,H >RY,no complement,,,,,,,,,hif,wayq,,,,,,,,,
371,<WP[,MT,Genesis,1,20,J<WPP,W J>MR >LHJM JCRYW H MJM CRY NPC XJH W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM,W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM,<WP,<L H >RY <L PNJ RQJ< H CMJM,0,,,,,,,,piel,impf,<L,<L,,,,,,,
1940615,<WP[,4Q7,Genesis,1,20,J<WPP,W J>MR >LHJM JCRYW H MJM CRY NPC XJH W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM,W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM,<WP,<L H >RY <L PNJ RQJ< H CMJM,0,,,,,,0,0 0000 00000 00000 0 000 000 000 000 0 000 00000 00 0 000 00 000 0000 0 0000 00,polel,impf,<L,<L,,,,,,,
1939027,<WP[,4Q4,Genesis,1,20,J<WPP,W J>MR >LHJM JCRYW H MJM CRY NPC XJH W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM,W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM,<WP,<L H >RY <L PNJ RQJ< H CMJM,0,,,,,,0,0 0000 00000 00000 0 000 000 000 000 0 000 00000 00 0 000 00 000 0000 0 0000 00,polel,impf,<L,<L,,,,,,,
1938117,<WP[,4Q2,Genesis,1,20,J<WPP,W J>MR >LHJM JCRYW H MJM CRY NPC XJH W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM,W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM,<WP,<L H >RY <L PNJ RQJ< H CMJM,0,,,,,,0,0 0000 00000 00000 0 000 000 000 000 0 000 00000 00 0 000 00 000 0000 0 0000 00,polel,impf,<L,<L,,,,,,,
1889904,<WP[,1Q1,Genesis,1,20,J<WPP,W J>MR >LHJM JCRWYW H MJM CRY NPC XJH W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM,W <WP J<WPP <L H >RY <L PNJ RQJ< H CMJM,<WP,<L H >RY <L PNJ RQJ< H CMJM,0,,,,,,0,0 0000 00000 000000 0 000 000 000 000 0 000 00000 00 0 000 00 000 0000 0 0000 00,polel,impf,<L,<L,,,,,,,
449,JY>[,MT,Genesis,1,24,TWY>,W J>MR >LHJM TWY> H >RY NPC XJH L MJNH BHMH W RMF W XJTW >RY L MJNH W JHJ KN,TWY> H >RY NPC XJH L MJNH,H >RY,no complement,,,,,,,,,hif,impf,,,,,,,,,
4679,JY>[,MT,Genesis,10,11,JY>,MN H >RY H HW> JY> >CWR W JBN >T NJNWH W >T RXBT_<JR W >T KLX,MN H >RY H HW> JY> >CWR,>CWR,MN H >RY H HW>,0,,,,,,,,qal,perf,MN,,,,,,,,
4725,JY>[,MT,Genesis,10,14,JY>W,W >T PTRSJM W >T KSLXJM >CR JY>W M CM PLCTJM W >T KPTRJM,>CR JY>W M CM PLCTJM,PLCTJM,M CM,0,,,,,,,,qal,perf,M,,,,,,,,
4790,BW>[,MT,Genesis,10,19,B>KH,W JHJ GBWL H KN<NJ M YJDN B>KH GRRH <D <ZH B>KH SDMH W <MRH W >DMH W YBJM <D LC<,B>KH GRRH,,GRRH,1,,,,,,,,qal,infc,,,,,,,,,
