verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,cmpl_complex,motion_type,comments
2097259,JY>[,Mur88,Habakkuk,1,4,JY>,<L KN TPWG TWRH W L> JY> L NYX MCPV KJ RC< MKTJR >T H YDJQ <L KN JY> MCPV M<QL,None,None,,,,,,,,,0,00 00 0000 0000 0 00 000 0 000 0000 00 000 00000 00 0 0000 00 00 000 0000 0000,qal,impf,,,,,,,,,,,
2097271,JY>[,Mur88,Habakkuk,1,4,JY>,<L KN TPWG TWRH W L> JY> L NYX MCPV KJ RC< MKTJR >T H YDJQ <L KN JY> MCPV M<QL,None,None,,,,,,,,,0,00 00 0000 0000 0 00 000 0 000 0000 00 000 00000 00 0 0000 00 00 000 0000 0000,qal,impf,,,,,,,,,,,
302228,JY>[,MT,Habakkuk,1,4,JY>,<L KN TPWG TWRH W L> JY> L NYX MCPV KJ RC< MKTJR >T H YDJQ <L KN JY> MCPV M<QL,W L> JY> L NYX MCPV,MCPV,no complement,no complement,,,,,,,,,qal,impf,,,,,,,,,,,
302240,JY>[,MT,Habakkuk,1,4,JY>,<L KN TPWG TWRH W L> JY> L NYX MCPV KJ RC< MKTJR >T H YDJQ <L KN JY> MCPV M<QL,<L KN JY> MCPV M<QL,MCPV,no complement,no complement,,,,,,,,,qal,impf,,,,,,,,,,,
2097305,MHR[,Mur88,Habakkuk,1,6,NMHR,KJ HNNJ MQJM >T H KFDJM H GWJ H MR W H NMHR H HWLK L MRXBJ >RY L RCT MCKNWT L> LW,None,None,,,,,,,,,0,00 0000 0000 00 0 00000 0 000 0 00 0 0 0000 0 0000 0 00000 000 0 000 000000 00 00,nif,ptca,,,,,,,,,,,
2097307,HLK[,Mur88,Habakkuk,1,6,HWLK,KJ HNNJ MQJM >T H KFDJM H GWJ H MR W H NMHR H HWLK L MRXBJ >RY L RCT MCKNWT L> LW,None,None,,,,,,,,,0,00 0000 0000 00 0 00000 0 000 0 00 0 0 0000 0 0000 0 00000 000 0 000 000000 00 00,qal,ptca,,,,,,,,,,,
302273,MHR[,MT,Habakkuk,1,6,NMHR,KJ HNNJ MQJM >T H KFDJM H GWJ H MR W H NMHR H HWLK L MRXBJ >RY L RCT MCKNWT L> LW,KJ HNNJ MQJM >T H KFDJM H GWJ H MR W H NMHR,,no complement,no complement,,,,,,,,,nif,ptca,,,,,,,,,,,
302275,HLK[,MT,Habakkuk,1,6,HWLK,KJ HNNJ MQJM >T H KFDJM H GWJ H MR W H NMHR H HWLK L MRXBJ >RY L RCT MCKNWT L> LW,H HWLK L MRXBJ >RY,,L MRXBJ >RY,L MRXB/ >RY/,0,prep,,,det,subs subs,,,qal,ptca,L,,,,,,,,,,
2097325,JY>[,Mur88,Habakkuk,1,7,JY>,>JM W NWR> HW> MMNW MCPVW W F>TW JY>,MMNW MCPVW W F>TW JY>,MCPVW W F>TW,MMNW,,0,,,,,,0,000 0 0000 000 0000 00000 0 0000 000,qal,impf,MMNW,,,,,,,,,,
302292,JY>[,MT,Habakkuk,1,7,JY>,>JM W NWR> HW> MMNW MCPVW W F>TW JY>,MMNW MCPVW W F>TW JY>,MCPVW W F>TW,MMNW,MN,0,prep,,,det,,,,qal,impf,MMNW,,,,,,,,,,
2097344,BW>[,Mur88,Habakkuk,1,8,JB>W,W QLW M NMRJM SWSJW W XDW M Z>BJ <RB W PCW PRCJW W PRCJW M RXWQ JB>W J<PW K NCR XC L >KWL,W PRCJW M RXWQ JB>W,PRCJW,M RXWQ,,0,,,,,,0,0 000 0 00000 00000 0 000 0 0000 000 0 000 00000 0 00000 0 0000 0000 0000 0 000 00 0 0000,qal,impf,M,,,,,,,,,,
302310,BW>[,MT,Habakkuk,1,8,JB>W,W QLW M NMRJM SWSJW W XDW M Z>BJ <RB W PCW PRCJW W PRCJW M RXWQ JB>W J<PW K NCR XC L >KWL,W PRCJW M RXWQ JB>W,PRCJW,M RXWQ,MN RXWQ/,0,prep,,,det,,,,qal,impf,M,,,,,,,,,,
302311,<WP[,MT,Habakkuk,1,8,J<PW,W QLW M NMRJM SWSJW W XDW M Z>BJ <RB W PCW PRCJW W PRCJW M RXWQ JB>W J<PW K NCR XC L >KWL,J<PW K NCR,,no complement,no complement,,,,,,,,,qal,impf,,,,,,,,,,,
