verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,motion_type,comments
290956,HLK[,MT,Hosea,1,2,LK,TXLT DBR JHWH B HWC< W J>MR JHWH >L HWC< LK QX LK >CT ZNWNJM W JLDJ ZNWNJM KJ ZNH TZNH H >RY M >XRJ JHWH,LK,,no complement,no complement,,,,,,,,,,qal,impv,,,,,,,,,,
290973,HLK[,MT,Hosea,1,3,JLK,W JLK W JQX >T GMR BT DBLJM W THR W TLD LW BN,W JLK,,no complement,no complement,,,,,,,,,,qal,wayq,,,,,,,,,,
293142,GLH[,MT,Hosea,10,5,GLH,L <GLWT BJT_>WN JGWRW CKN CMRWN KJ >BL <LJW <MW W KMRJW <LJW JGJLW <L KBWDW KJ GLH MMNW,KJ GLH MMNW,,MMNW,MN,0,prep,,,det,,,,,qal,perf,MN,,,,,,,,,
2042716,GLH[,4Q82,Hosea,10,5,GLH,L <GLWT BJT >WN JGWRW CKN CMRWN KJ >BL <LJW <MW W KMRJW <LJW JGJLW <L KBWDW KJ GLH MMNW,None,None,,,,,,,,,,0,0 00000 000 000 00000 000 00000 00 000 0000 000 0 00000 0000 00000 00 00000 00 000 0000,qal,perf,,,,,,,,,,
293178,<LH[,MT,Hosea,10,8,J<LH,W NCMDW BMWT >WN XV>T JFR>L QWY W DRDR J<LH <L MZBXWTM W >MRW L HRJM KSWNW W L GB<WT NPLW <LJNW,QWY W DRDR J<LH <L MZBXWTM,QWY W DRDR,<L MZBXWTM,<L MZBX/,0,prep,,,det,subs,,,,qal,impf,<L,,,,,,,,,
293191,NPL[,MT,Hosea,10,8,NPLW,W NCMDW BMWT >WN XV>T JFR>L QWY W DRDR J<LH <L MZBXWTM W >MRW L HRJM KSWNW W L GB<WT NPLW <LJNW,NPLW <LJNW,,<LJNW,<L,0,prep,,,det,,,,,qal,impv,<L,,,,,,,,,
2042755,<LH[,4Q82,Hosea,10,8,J<LH,W NCMDW BMWT >WN XV>T JFR>L QWY W DRDR J<LH <L MZBXWTM W >MRW L HRJM KSWNW W L GB<WT NPLW <LJNW,None,None,,,,,,,,,,0,0 00000 0000 000 0000 00000 000 0 0000 0000 00 0000000 0 0000 0 0000 00000 0 0 00000 0000 00000,qal,impf,,,,,,,,,,
2042766,NPL[,4Q82,Hosea,10,8,NPLW,W NCMDW BMWT >WN XV>T JFR>L QWY W DRDR J<LH <L MZBXWTM W >MRW L HRJM KSWNW W L GB<WT NPLW <LJNW,None,None,,,,,,,,,,0,0 00000 0000 000 0000 00000 000 0 0000 0000 00 0000000 0 0000 0 0000 00000 0 0 00000 0000 00000,qal,impv,,,,,,,,,,
293232,<BR[,MT,Hosea,10,11,<BRTJ,W >PRJM <GLH MLMDH >HBTJ L DWC W >NJ <BRTJ <L VWB YW>RH >RKJB >PRJM JXRWC JHWDH JFDD LW J<QB,W >NJ <BRTJ <L VWB YW>RH,>NJ,<L VWB YW>RH,<L VWB=/ YW>R/,0,prep,,,det,subs,,,,qal,perf,<L,,,,,,,,,
2042803,<BR[,4Q82,Hosea,10,11,<BRTJ,W >PRJM <GLH MLMDH >HBTJ L DWC W >NJ <BRTJ <L VWB YW>RH >RKJB >PRJM JXRWC JHWDH JFDD LW J<QB,W >NJ <BRTJ <L VWB YW>RH,>NJ,<L VWB YW>RH,,0,,,,,,,0,0 00000 0000 00000 00000 0 000 0 000 00000 00 000 00000 00000 00000 00000 00000 0000 00 0000,qal,perf,<L,,,,,,,,,
293261,BW>[,MT,Hosea,10,12,JBW>,ZR<W LKM L YDQH QYRW L PJ XSD NJRW LKM NJR W <T L DRWC >T JHWH <D JBW> W JRH YDQ LKM,<D JBW>,,no complement,no complement,,,,,,,,,,qal,impf,,,,,,,,,,
293329,HLK[,MT,Hosea,11,2,HLKW,QR>W LHM KN HLKW M PNJHM L B<LJM JZBXW W L PSLJM JQVRWN,KN HLKW M PNJHM,,M PNJHM,MN PNH/,0,prep,,,det,subs,,,,qal,perf,MN,,,,,,,,,
2042907,HLK[,4Q82,Hosea,11,2,HLKW,QR>W LHM KN HLKW M PNJHM L B<LJM JZBXW W L PSLJM JQVRWN,None,None,,,,,,,,,,0,0000 000 00 0000 0 00000 0 00000 00000 0 0 00000 000000,qal,perf,,,,,,,,,,
293374,CWB[,MT,Hosea,11,5,JCWB,L> JCWB >L >RY MYRJM W >CWR HW> MLKW KJ M>NW L CWB,L> JCWB >L >RY MYRJM,,>L >RY MYRJM,>L >RY/ MYRJM/,0,prep,topo,inanim,det,subs,,,,qal,impf,>L,,,,,,,,,
293385,CWB[,MT,Hosea,11,5,CWB,L> JCWB >L >RY MYRJM W >CWR HW> MLKW KJ M>NW L CWB,L CWB,,no complement,no complement,,,,,,,,,,qal,infc,,,,,,,,,,
2042953,CWB[,4Q82,Hosea,11,5,JCWB,L> JCWB >L >RY MYRJM W >CWR HW> MLKW KJ M>NW L CWB,None,None,,,,,,,,,,0,00 0000 00 000 00000 0 0000 000 0000 00 0000 0 000,qal,impf,,,,,,,,,,
2042964,CWB[,4Q82,Hosea,11,5,CWB,L> JCWB >L >RY MYRJM W >CWR HW> MLKW KJ M>NW L CWB,None,None,,,,,,,,,,0,00 0000 00 000 00000 0 0000 000 0000 00 0000 0 000,qal,infc,,,,,,,,,,
