verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_lex,motion_type
336045,SWR[,MT,Job,1,1,SR,>JC HJH B >RY <WY >JWB CMW W HJH H >JC H HW> TM W JCR W JR> >LHJM W SR M R<,W SR M R<,,M R<,0,,,,,,,,qal,ptca,M,,,,,,,,
336091,HLK[,MT,Job,1,4,HLKW,W HLKW BNJW W <FW MCTH BJT >JC JWMW W CLXW W QR>W L CLCT >XJTJHM L >KL W L CTWT <MHM,W HLKW BNJW,BNJW,no complement,,,,,,,,,qal,perf,,,,,,,,,
336130,<LH[,MT,Job,1,5,H<LH,W JHJ KJ HQJPW JMJ H MCTH W JCLX >JWB W JQDCM W HCKJM B BQR W H<LH <LWT MSPR KLM KJ >MR >JWB >WLJ XV>W BNJ W BRKW >LHJM B LBBM KKH J<FH >JWB KL H JMJM,W H<LH <LWT MSPR KLM,,no complement,,,,,,,,,hif,perf,,,,,,,,,
336156,BW>[,MT,Job,1,6,JB>W,W JHJ H JWM W JB>W BNJ H >LHJM L HTJYB <L JHWH W JBW> GM H FVN B TWKM,W JB>W BNJ H >LHJM,BNJ H >LHJM,no complement,,,,,,,,,qal,wayq,,,,,,,,,
336165,BW>[,MT,Job,1,6,JBW>,W JHJ H JWM W JB>W BNJ H >LHJM L HTJYB <L JHWH W JBW> GM H FVN B TWKM,W JBW> GM H FVN B TWKM,GM H FVN,no complement,,,,,,,,,qal,wayq,,,,,,,,,
336179,BW>[,MT,Job,1,7,TB>,W J>MR JHWH >L H FVN M >JN TB> W J<N H FVN >T JHWH W J>MR M CWV B >RY W M HTHLK BH,M >JN TB>,,M >JN,0,,,,,,,,qal,impf,M,,,,,,,,
336195,HLK[,MT,Job,1,7,HTHLK,W J>MR JHWH >L H FVN M >JN TB> W J<N H FVN >T JHWH W J>MR M CWV B >RY W M HTHLK BH,W M HTHLK BH,,BH,0,,,,,,,,hit,infc,BH,,,,,,,,
336222,SWR[,MT,Job,1,8,SR,W J>MR JHWH >L H FVN H FMT LBK <L <BDJ >JWB KJ >JN KMHW B >RY >JC TM W JCR JR> >LHJM W SR M R<,W SR M R<,,M R<,0,,,,,,,,qal,ptca,M,,,,,,,,
336296,JY>[,MT,Job,1,12,JY>,W J>MR JHWH >L H FVN HNH KL >CR LW B JDK RQ >LJW >L TCLX JDK W JY> H FVN M <M PNJ JHWH,W JY> H FVN M <M PNJ JHWH,H FVN,M <M PNJ JHWH,0,,,,,,,,qal,wayq,M,<M,,,,,,,
336322,BW>[,MT,Job,1,14,B>,W ML>K B> >L >JWB W J>MR H BQR HJW XRCWT W H >TNWT R<WT <L JDJHM,W ML>K B> >L >JWB,ML>K,>L >JWB,0,,,,,,,,qal,perf,>L,,,,,,,,
336338,NPL[,MT,Job,1,15,TPL,W TPL CB> W TQXM W >T H N<RJM HKW L PJ XRB W >MLVH RQ >NJ L BDJ L HGJD LK,W TPL CB>,CB>,no complement,,,,,,,,,qal,wayq,,,,,,,,,
336364,BW>[,MT,Job,1,16,B>,<WD ZH MDBR W ZH B> W J>MR >C >LHJM NPLH MN H CMJM W TB<R B Y>N W B N<RJM W T>KLM W >MLVH RQ >NJ L BDJ L HGJD LK,W ZH B>,ZH,no complement,,,,,,,,,qal,ptca,,,,,,,,,
336369,NPL[,MT,Job,1,16,NPLH,<WD ZH MDBR W ZH B> W J>MR >C >LHJM NPLH MN H CMJM W TB<R B Y>N W B N<RJM W T>KLM W >MLVH RQ >NJ L BDJ L HGJD LK,>C >LHJM NPLH MN H CMJM,>C >LHJM,MN H CMJM,0,,,,,,,,qal,perf,MN,,,,,,,,
336398,BW>[,MT,Job,1,17,B>,<WD ZH MDBR W ZH B> W J>MR KFDJM FMW CLCH R>CJM W JPCVW <L H GMLJM W JQXWM W >T H N<RJM HKW L PJ XRB W >MLVH RQ >NJ L BDJ L HGJD LK,W ZH B>,ZH,no complement,,,,,,,,,qal,ptca,,,,,,,,,
336434,BW>[,MT,Job,1,18,B>,<D ZH MDBR W ZH B> W J>MR BNJK W BNWTJK >KLJM W CTJM JJN B BJT >XJHM H BKWR,W ZH B>,ZH,no complement,,,,,,,,,qal,ptca,,,,,,,,,
336453,BW>[,MT,Job,1,19,B>H,W HNH RWX GDWLH B>H M <BR H MDBR W JG< B >RB< PNWT H BJT W JPL <L H N<RJM W JMWTW W >MLVH RQ >NJ L BDJ L HGJD LK,RWX GDWLH B>H M <BR H MDBR,RWX GDWLH,M <BR H MDBR,0,,,,,,,,qal,perf,M,,,,,,,,
336466,NPL[,MT,Job,1,19,JPL,W HNH RWX GDWLH B>H M <BR H MDBR W JG< B >RB< PNWT H BJT W JPL <L H N<RJM W JMWTW W >MLVH RQ >NJ L BDJ L HGJD LK,W JPL <L H N<RJM,,<L H N<RJM,0,,,,,,,,qal,wayq,<L,,,,,,,,
336493,NPL[,MT,Job,1,20,JPL,W JQM >JWB W JQR< >T M<LW W JGZ >T R>CW W JPL >RYH W JCTXW,W JPL >RYH,,>RYH,1,,,,,,,,qal,wayq,,,,,,,,,
336500,JY>[,MT,Job,1,21,JYTJ,W J>MR <RM JYTJ M BVN >MJ W <RM >CWB CMH JHWH NTN W JHWH LQX JHJ CM JHWH MBRK,<RM JYTJ M BVN >MJ,,M BVN >MJ,0,,,,,,,,qal,perf,M,,,,,,,,
