verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,motion_type,comments
294146,<LH[,MT,Joel,1,6,<LH,KJ GWJ <LH <L >RYJ <YWM W >JN MSPR CNJW CNJ >RJH W MTL<WT LBJ> LW,KJ GWJ <LH <L >RYJ,GWJ,<L >RYJ,<L >RY/,0,prep,,,det,subs,,,,qal,perf,<L,,,,,,,,,
294249,BW>[,MT,Joel,1,13,B>W,XGRW W SPDW H KHNJM HJLJLW MCRTJ MZBX B>W LJNW B FQJM MCRTJ >LHJ KJ NMN< M BJT >LHJKM MNXH W NSK,B>W,,no complement,no complement,,,,,,,,,,qal,impv,,,,,,,,,,
2043428,BW>[,4Q82,Joel,1,13,B>W,XGRW W SPDW H KHNJM HJLJLW MCRTJ MZBX B>W LJNW B FQJM MCRTJ >LHJ KJ NMN< M BJT >LWHJKM MNXH W NSK,None,None,,,,,,,,,,0,0000 0 0000 0 00000 000000 100000 0000 000 0000 0 0000 00000 0000 00 0000 0 000 0000000 0000 0 000,qal,impv,,,,,,,,,,
2038606,BW>[,4Q78,Joel,1,13,BW>W,XGRW W SPDW H KWHNJM HJLJLW MCRTJ MZBX BW>W LJNW B FQJM MCRTJ >LHJ KJ NMN< M BJT >LHJKM MNXH W NSK,None,None,,,,,,,,,,0,0000 0 0000 0 000000 000000 00000 0000 0000 0000 0 0000 00000 0000 00 0000 0 000 000000 0000 0 000,qal,impv,,,,,,,,,,
294294,BW>[,MT,Joel,1,15,JBW>,>HH L JWM KJ QRWB JWM JHWH W K CD M CDJ JBW>,W K CD M CDJ JBW>,,no complement,no complement,,,,,,,,,,qal,impf,,,,,,,,,,
2038652,BW>[,4Q78,Joel,1,15,JBW>,>HH L JWM KJ QRWB JWM JHWH W K CD M CDJ JBW>,None,None,,,,,,,,,,0,000 0 000 00 0000 000 0000 0 0 00 0 000 0000,qal,impf,,,,,,,,,,
294378,BW>[,MT,Joel,2,1,B>,TQ<W CWPR B YJWN W HRJ<W B HR QDCJ JRGZW KL JCBJ H >RY KJ B> JWM JHWH KJ QRWB,KJ B> JWM JHWH,JWM JHWH,no complement,no complement,,,,,,,,,,qal,ptca,,,,,,,,,,
294449,RWY[,MT,Joel,2,4,JRWYWN,K MR>H SWSJM MR>HW W K PRCJM KN JRWYWN,W K PRCJM KN JRWYWN,,no complement,no complement,,,,,,,,,,qal,impf,,,,,,,,,,
294479,RWY[,MT,Joel,2,7,JRYWN,K GBWRJM JRYWN K >NCJ MLXMH J<LW XWMH W >JC B DRKJW JLKWN W L> J<BVWN >RXWTM,K GBWRJM JRYWN,,no complement,no complement,,,,,,,,,,qal,impf,,,,,,,,,,
294483,<LH[,MT,Joel,2,7,J<LW,K GBWRJM JRYWN K >NCJ MLXMH J<LW XWMH W >JC B DRKJW JLKWN W L> J<BVWN >RXWTM,K >NCJ MLXMH J<LW XWMH,,XWMH,XWMH/,0,vc,,,det,subs,,,,qal,impf,,,,,,,,,,
294489,HLK[,MT,Joel,2,7,JLKWN,K GBWRJM JRYWN K >NCJ MLXMH J<LW XWMH W >JC B DRKJW JLKWN W L> J<BVWN >RXWTM,W JLKWN,,no complement,no complement,,,,,,,,,,qal,impf,,,,,,,,,,
2043558,<LH[,4Q82,Joel,2,7,J<LW,K GBWRJM JRWYWN K >NCJ MLXMH J<LW XWMH W >JC B DRKJW JLKWN W L> J<BVWN >RXWTM,K >NCJ MLXMH J<LW XWMH,,XWMH,,0,,,,,,,0,0 000000 000000 0 0000 00000 0000 0000 0 000 0 00000 00000 0 00 000000 000000,qal,impf,,,,,,,,,,
294502,HLK[,MT,Joel,2,8,JLKWN,W >JC >XJW L> JDXQWN GBR B MSLTW JLKWN W B<D H CLX JPLW L> JBY<W,GBR B MSLTW JLKWN,,no complement,no complement,,,,,,,,,,qal,impf,,,,,,,,,,
294507,NPL[,MT,Joel,2,8,JPLW,W >JC >XJW L> JDXQWN GBR B MSLTW JLKWN W B<D H CLX JPLW L> JBY<W,W B<D H CLX JPLW,,B<D H CLX,B<D/ H CLX/,0,vc,,,det,subs,,,,qal,impf,,,,,,,,,,
2043579,HLK[,4Q82,Joel,2,8,JLKWN,W >JC W >XJW L> JDXQWN GBR B MSLTW JLKWN W B<D H CLX JPLW,None,None,,,,,,,,,,0,0 000 0 0000 00 000000 000 0 00000 00000 0 000 0 000 0000 1,qal,impf,,,,,,,,,,
2043584,NPL[,4Q82,Joel,2,8,JPLW,W >JC W >XJW L> JDXQWN GBR B MSLTW JLKWN W B<D H CLX JPLW,None,None,,,,,,,,,,0,0 000 0 0000 00 000000 000 0 00000 00000 0 000 0 000 0000 1,qal,impf,,,,,,,,,,
2038767,HLK[,4Q78,Joel,2,8,JLKWN,W >JC >XJW L> JDXQWN GBR B MSLTW JLKWN B<D H CLX JPLW L> JBY<W,None,None,,,,,,,,,,0,0 000 0000 00 000000 000 0 00000 00000 1 000 0 000 0000 00 00000,qal,impf,,,,,,,,,,
2038772,NPL[,4Q78,Joel,2,8,JPLW,W >JC >XJW L> JDXQWN GBR B MSLTW JLKWN B<D H CLX JPLW L> JBY<W,None,None,,,,,,,,,,0,0 000 0000 00 000000 000 0 00000 00000 1 000 0 000 0000 00 00000,qal,impf,,,,,,,,,,
294513,CQQ[,MT,Joel,2,9,JCQW,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JB>W K GNB,B <JR JCQW,,B <JR,B H <JR/,0,prep,,,det,subs,,,,qal,impf,B,,,,,,,,,
294517,RWY[,MT,Joel,2,9,JRYWN,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JB>W K GNB,B XWMH JRYWN,,B XWMH,B H XWMH/,0,prep,,,det,subs,,,,qal,impf,B,,,,,,,,,
294521,<LH[,MT,Joel,2,9,J<LW,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JB>W K GNB,B BTJM J<LW,,B BTJM,B H BJT/,0,prep,,,det,subs,,,,qal,impf,B,,,,,,,,,
294525,BW>[,MT,Joel,2,9,JB>W,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JB>W K GNB,B<D H XLWNJM JB>W K GNB,,B<D H XLWNJM,B<D/ H XLWN/,0,vc,,,det,subs,,,,qal,impf,,,,,,,,,,
2043589,CQQ[,4Q82,Joel,2,9,JCQW,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JB>W K GNB,None,None,,,,,,,,,,0,0 000 0000 0 0000 00000 0 0000 0000 000 0 000000 0000 0 000,qal,impf,,,,,,,,,,
2043592,RWY[,4Q82,Joel,2,9,JRYWN,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JB>W K GNB,None,None,,,,,,,,,,0,0 000 0000 0 0000 00000 0 0000 0000 000 0 000000 0000 0 000,qal,impf,,,,,,,,,,
2043595,<LH[,4Q82,Joel,2,9,J<LW,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JB>W K GNB,None,None,,,,,,,,,,0,0 000 0000 0 0000 00000 0 0000 0000 000 0 000000 0000 0 000,qal,impf,,,,,,,,,,
2043599,BW>[,4Q82,Joel,2,9,JB>W,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JB>W K GNB,None,None,,,,,,,,,,0,0 000 0000 0 0000 00000 0 0000 0000 000 0 000000 0000 0 000,qal,impf,,,,,,,,,,
2038778,CQQ[,4Q78,Joel,2,9,JCQW,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JBW>W K GNB,None,None,,,,,,,,,,0,0 000 0000 0 0000 00000 0 0000 0000 000 0 000000 00000 0 000,qal,impf,,,,,,,,,,
2038781,RWY[,4Q78,Joel,2,9,JRYWN,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JBW>W K GNB,None,None,,,,,,,,,,0,0 000 0000 0 0000 00000 0 0000 0000 000 0 000000 00000 0 000,qal,impf,,,,,,,,,,
2038784,<LH[,4Q78,Joel,2,9,J<LW,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JBW>W K GNB,None,None,,,,,,,,,,0,0 000 0000 0 0000 00000 0 0000 0000 000 0 000000 00000 0 000,qal,impf,,,,,,,,,,
