verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_lex,motion_type
2093572,HLK[,Mur88,Jonah,1,2,LK,QWM LK >L NJNWH H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,LK >L NJNWH H <JR H GDWLH,,>L NJNWH H <JR H GDWLH,0,,,,,,0,000 00 00 00000 0 000 0 00000 0 000 00000 00 0000 00000 0 0000 00,qal,impv,>L,,,,,,,,
2093583,<LH[,Mur88,Jonah,1,2,<LTH,QWM LK >L NJNWH H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,KJ <LTH R<TM L PNJ,R<TM,L PNJ,0,,,,,,0,000 00 00 00000 0 000 0 00000 0 000 00000 00 0000 00000 0 0000 00,qal,perf,L,,,,,,,,
298569,HLK[,MT,Jonah,1,2,LK,QWM LK >L NJNWH H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,LK >L NJNWH H <JR H GDWLH,,>L NJNWH H <JR H GDWLH,0,,,,,,,,qal,impv,>L,,,,,,,,
298580,<LH[,MT,Jonah,1,2,<LTH,QWM LK >L NJNWH H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,KJ <LTH R<TM L PNJ,R<TM,L PNJ,0,,,,,,,,qal,perf,L,,,,,,,,
2045732,HLK[,4Q82,Jonah,1,2,LK,QWM LK >L NJNWH H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,LK >L NJNWH H <JR H GDWLH,,>L NJNWH H <JR H GDWLH,0,,,,,,0,000 00 00 00000 0 000 0 00000 0 000 00000 00 0000 00000 0 0000 00,qal,impv,>L,,,,,,,,
2045743,<LH[,4Q82,Jonah,1,2,<LTH,QWM LK >L NJNWH H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,KJ <LTH R<TM L PNJ,R<TM,L PNJ,0,,,,,,0,000 00 00 00000 0 000 0 00000 0 000 00000 00 0000 00000 0 0000 00,qal,perf,L,,,,,,,,
2037271,HLK[,4Q76,Jonah,1,2,LK,QWM LK >L NJNW> H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,LK >L NJNW> H <JR H GDWLH,,>L NJNW> H <JR H GDWLH,0,,,,,,0,000 00 00 00000 0 000 00 00000 0 000 00000 00 0000 00000 0 0000 00,qal,impv,>L,,,,,,,,
2037282,<LH[,4Q76,Jonah,1,2,<LTH,QWM LK >L NJNW> H <JR H GDWLH W QR> <LJH KJ <LTH R<TM L PNJ,KJ <LTH R<TM L PNJ,R<TM,L PNJ,0,,,,,,0,000 00 00 00000 0 000 00 00000 0 000 00000 00 0000 00000 0 0000 00,qal,perf,L,,,,,,,,
2093592,BRX[,Mur88,Jonah,1,3,BRX,W JQM JWNH L BRX TRCJCH M L PNJ JHWH W JRD JPW W JMY> >NJH B>H TRCJC W JTN FKRH W JRD BH L BW> <MHM TRCJCH M L PNJ JHWH,L BRX TRCJCH M L PNJ JHWH,,TRCJCH,1,,,,,,1,0 000 0000 0 000 0000000 0 0 000 0000 0 000 000 0 0000 0000 000 00000 0 000 00000 0 000 000 0 000 00000 0000000 0 0 000 0000 00,qal,infc,,,,,,,,,
2093599,JRD[,Mur88,Jonah,1,3,JRD,W JQM JWNH L BRX TRCJCH M L PNJ JHWH W JRD JPW W JMY> >NJH B>H TRCJC W JTN FKRH W JRD BH L BW> <MHM TRCJCH M L PNJ JHWH,None,None,,,,,,,,1,0 000 0000 0 000 0000000 0 0 000 0000 0 000 000 0 0000 0000 000 00000 0 000 00000 0 000 000 0 000 00000 0000000 0 0 000 0000 00,qal,wayy,,,,,,,,,
2093604,BW>[,Mur88,Jonah,1,3,B>H,W JQM JWNH L BRX TRCJCH M L PNJ JHWH W JRD JPW W JMY> >NJH B>H TRCJC W JTN FKRH W JRD BH L BW> <MHM TRCJCH M L PNJ JHWH,None,None,,,,,,,,1,0 000 0000 0 000 0000000 0 0 000 0000 0 000 000 0 0000 0000 000 00000 0 000 00000 0 000 000 0 000 00000 0000000 0 0 000 0000 00,qal,ptca,,,,,,,,,
2093610,JRD[,Mur88,Jonah,1,3,JRD,W JQM JWNH L BRX TRCJCH M L PNJ JHWH W JRD JPW W JMY> >NJH B>H TRCJC W JTN FKRH W JRD BH L BW> <MHM TRCJCH M L PNJ JHWH,None,None,,,,,,,,1,0 000 0000 0 000 0000000 0 0 000 0000 0 000 000 0 0000 0000 000 00000 0 000 00000 0 000 000 0 000 00000 0000000 0 0 000 0000 00,qal,wayy,,,,,,,,,
2093613,BW>[,Mur88,Jonah,1,3,BW>,W JQM JWNH L BRX TRCJCH M L PNJ JHWH W JRD JPW W JMY> >NJH B>H TRCJC W JTN FKRH W JRD BH L BW> <MHM TRCJCH M L PNJ JHWH,None,None,,,,,,,,1,0 000 0000 0 000 0000000 0 0 000 0000 0 000 000 0 0000 0000 000 00000 0 000 00000 0 000 000 0 000 00000 0000000 0 0 000 0000 00,qal,infc,,,,,,,,,
298588,BRX[,MT,Jonah,1,3,BRX,W JQM JWNH L BRX TRCJCH M L PNJ JHWH W JRD JPW W JMY> >NJH B>H TRCJC W JTN FKRH W JRD BH L BW> <MHM TRCJCH M L PNJ JHWH,L BRX TRCJCH M L PNJ JHWH,,TRCJCH,1,,,,,,,,qal,infc,,,,,,,,,
298595,JRD[,MT,Jonah,1,3,JRD,W JQM JWNH L BRX TRCJCH M L PNJ JHWH W JRD JPW W JMY> >NJH B>H TRCJC W JTN FKRH W JRD BH L BW> <MHM TRCJCH M L PNJ JHWH,W JRD JPW,,JPW,0,,,,,,,,qal,wayq,,,,,,,,,
298600,BW>[,MT,Jonah,1,3,B>H,W JQM JWNH L BRX TRCJCH M L PNJ JHWH W JRD JPW W JMY> >NJH B>H TRCJC W JTN FKRH W JRD BH L BW> <MHM TRCJCH M L PNJ JHWH,B>H TRCJC,,TRCJC,0,,,,,,,,qal,ptca,,,,,,,,,
