verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,motion_type,comments
112952,<BR[,MT,Joshua,1,2,<BR,MCH <BDJ MT W <TH QWM <BR >T H JRDN H ZH >TH W KL H <M H ZH >L H >RY >CR >NKJ NTN LHM L BNJ JFR>L,<BR >T H JRDN H ZH >TH W KL H <M H ZH >L H >RY,>TH W KL H <M H ZH,>L H >RY,>L H >RY/,0,prep,,,det,subs,,,,qal,impv,>L,,,,,,,,,
113079,SWR[,MT,Joshua,1,7,TSWR,RQ XZQ W >MY M>D L CMR L <FWT K KL H TWRH >CR YWK MCH <BDJ >L TSWR MMNW JMJN W FM>WL LM<N TFKJL B KL >CR TLK,>L TSWR MMNW JMJN W FM>WL,,MMNW,MN,0,prep,,,det,,,,,qal,impf,MN,,,,,,,,,
113089,HLK[,MT,Joshua,1,7,TLK,RQ XZQ W >MY M>D L CMR L <FWT K KL H TWRH >CR YWK MCH <BDJ >L TSWR MMNW JMJN W FM>WL LM<N TFKJL B KL >CR TLK,>CR TLK,,no complement,no complement,,,,,,,,,,qal,impf,,,,,,,,,,
113091,MWC[,MT,Joshua,1,8,JMWC,L> JMWC SPR H TWRH H ZH M PJK W HGJT BW JWMM W LJLH LM<N TCMR L <FWT K KL H KTWB BW KJ >Z TYLJX >T DRKK W >Z TFKJL,L> JMWC SPR H TWRH H ZH M PJK,SPR H TWRH H ZH,M PJK,MN PH/,0,prep,,,det,subs,,,,qal,impf,MN,,,,,,,,,
113140,HLK[,MT,Joshua,1,9,TLK,H LW> YWJTJK XZQ W >MY >L T<RY W >L TXT KJ <MK JHWH >LHJK B KL >CR TLK,>CR TLK,,no complement,no complement,,,,,,,,,,qal,impf,,,,,,,,,,
2107537,<BR[,Xjoshua,Joshua,1,11,<BRW,<BRW B QRB H MXNH W YWW >T H <M L >MR HKJNW LKM YJDH KJ B <WD CLCT JMJM >TM <BRJM >T H JRDN H ZH L BW> L RCT >T H >RY >CR JHWH >LHJKM NTN LKM L RCTH,None,None,,,,,,,,,,0,0000 0 000 0 0000 0 000 00 0 00 0 000 00000 000 0000 00 0 000 0000 0000 000 00000 00 0 0000 0 00 0 000 0 000 00 0 000 000 0000 000000 000 000 0 0000,qal,impv,,,,,,,,,,
2107558,<BR[,Xjoshua,Joshua,1,11,<BRJM,<BRW B QRB H MXNH W YWW >T H <M L >MR HKJNW LKM YJDH KJ B <WD CLCT JMJM >TM <BRJM >T H JRDN H ZH L BW> L RCT >T H >RY >CR JHWH >LHJKM NTN LKM L RCTH,None,None,,,,,,,,,,0,0000 0 000 0 0000 0 000 00 0 00 0 000 00000 000 0000 00 0 000 0000 0000 000 00000 00 0 0000 0 00 0 000 0 000 00 0 000 000 0000 000000 000 000 0 0000,qal,ptca,,,,,,,,,,
113150,<BR[,MT,Joshua,1,11,<BRW,<BRW B QRB H MXNH W YWW >T H <M L >MR HKJNW LKM YJDH KJ B <WD CLCT JMJM >TM <BRJM >T H JRDN H ZH L BW> L RCT >T H >RY >CR JHWH >LHJKM NTN LKM L RCTH,<BRW B QRB H MXNH,,B QRB H MXNH,B QRB/ H MXNH/,0,prep,,,det,subs,,,,qal,impv,B,,,,,,,,,
113171,<BR[,MT,Joshua,1,11,<BRJM,<BRW B QRB H MXNH W YWW >T H <M L >MR HKJNW LKM YJDH KJ B <WD CLCT JMJM >TM <BRJM >T H JRDN H ZH L BW> L RCT >T H >RY >CR JHWH >LHJKM NTN LKM L RCTH,KJ B <WD CLCT JMJM >TM <BRJM >T H JRDN H ZH,>TM,no complement,no complement,,,,,,,,,,qal,ptca,,,,,,,,,,
113178,BW>[,MT,Joshua,1,11,BW>,<BRW B QRB H MXNH W YWW >T H <M L >MR HKJNW LKM YJDH KJ B <WD CLCT JMJM >TM <BRJM >T H JRDN H ZH L BW> L RCT >T H >RY >CR JHWH >LHJKM NTN LKM L RCTH,L BW>,,no complement,no complement,,,,,,,,,,qal,infc,,,,,,,,,,
113223,NWX[,MT,Joshua,1,13,MNJX,ZKWR >T H DBR >CR YWH >TKM MCH <BD JHWH L >MR JHWH >LHJKM MNJX LKM W NTN LKM >T H >RY H Z>T,JHWH >LHJKM MNJX LKM,JHWH >LHJKM,LKM,L,0,prep,,,det,,,,,hif,ptca,L,,,,,,,,,
113251,<BR[,MT,Joshua,1,14,T<BRW,NCJKM VPKM W MQNJKM JCBW B >RY >CR NTN LKM MCH B <BR H JRDN W >TM T<BRW XMCJM L PNJ >XJKM KL GBWRJ H XJL W <ZRTM >WTM,W >TM T<BRW XMCJM L PNJ >XJKM KL GBWRJ H XJL,>TM,L PNJ >XJKM KL GBWRJ H XJL,L PNH/ >X/ KL/ GBWR/ H XJL/,0,prep,,,det,subs,,,,qal,impf,L,,,,,,,,,
113265,NWX[,MT,Joshua,1,15,JNJX,<D >CR JNJX JHWH L >XJKM KKM W JRCW GM HMH >T H >RY >CR JHWH >LHJKM NTN LHM W CBTM L >RY JRCTKM W JRCTM >WTH >CR NTN LKM MCH <BD JHWH B <BR H JRDN MZRX H CMC,<D >CR JNJX JHWH L >XJKM KKM,JHWH,L >XJKM,L >X/,0,prep,,,det,subs,,,,hif,impf,L,,,,,,,,,
113283,CWB[,MT,Joshua,1,15,CBTM,<D >CR JNJX JHWH L >XJKM KKM W JRCW GM HMH >T H >RY >CR JHWH >LHJKM NTN LHM W CBTM L >RY JRCTKM W JRCTM >WTH >CR NTN LKM MCH <BD JHWH B <BR H JRDN MZRX H CMC,W CBTM L >RY JRCTKM,,L >RY JRCTKM,L >RY/ JRCH/,0,prep,,,det,subs,,,,qal,perf,L,,,,,,,,,
113318,HLK[,MT,Joshua,1,16,NLK,W J<NW >T JHWC< L >MR KL >CR YWJTNW N<FH W >L KL >CR TCLXNW NLK,W >L KL NLK,,>L KL,>L KL/,0,prep,,,det,subs,,,,qal,impf,>L,,,,,,,,,
118442,<LH[,MT,Joshua,10,4,<LW,<LW >LJ W <ZRNJ W NKH >T GB<WN KJ HCLJMH >T JHWC< W >T BNJ JFR>L,<LW >LJ,,>LJ,>L,0,prep,,,det,,,,,qal,impv,>L,,,,,,,,,
1995611,<LH[,4Q47,Joshua,10,4,<LW,<LW >LJ W <ZRNJ W NKH >T GB<WN KJ HCLJMH >T JHWCW< W >T JFR>L,None,None,,,,,,,,,,0,000 000 0 00000 0 000 00 00000 00 000000 00 000000 0 00 00000,qal,impv,,,,,,,,,,
118461,<LH[,MT,Joshua,10,5,J<LW,W J>SPW W J<LW XMCT MLKJ H >MRJ MLK JRWCLM MLK XBRWN MLK JRMWT MLK LKJC MLK <GLWN HM W KL MXNJHM W JXNW <L GB<WN W JLXMW <LJH,W J<LW XMCT MLKJ H >MRJ MLK JRWCLM MLK XBRWN MLK JRMWT MLK LKJC MLK <GLWN HM W KL MXNJHM,XMCT MLKJ H >MRJ MLK JRWCLM MLK XBRWN MLK JRMWT MLK LKJC MLK <GLWN HM W KL MXNJHM,no complement,no complement,,,,,,,,,,qal,wayq,,,,,,,,,,
1995630,<LH[,4Q47,Joshua,10,5,J<LW,W J>SPW W J<LW XMCT MLKJ H >MRJ MLK JRWCLM MLK XBRWN MLK JRMWT MLK LKJC MLK <GLWN HM W KL MXNJHM,None,None,,,,,,,,,,0,0 00000 0 0000 0000 0000 0 0000 000 000000 000 00000 000 00000 000 0000 000 00000 00 0 00 000000,qal,wayq,,,,,,,,,,
118505,<LH[,MT,Joshua,10,6,<LH,W JCLXW >NCJ GB<WN >L JHWC< >L H MXNH H GLGLH L >MR >L TRP JDJK M <BDJK <LH >LJNW MHRH W HWCJ<H LNW W <ZRNW KJ NQBYW >LJNW KL MLKJ H >MRJ JCBJ H HR,<LH >LJNW MHRH,,>LJNW,>L,0,prep,,,det,,,,,qal,impv,>L,,,,,,,,,
118524,<LH[,MT,Joshua,10,7,J<L,W J<L JHWC< MN H GLGL HW> W KL <M H MLXMH <MW W KL GBWRJ H XJL,W J<L JHWC< MN H GLGL HW> W KL <M H MLXMH <MW W KL GBWRJ H XJL,JHWC< HW> W KL <M H MLXMH <MW W KL GBWRJ H XJL,MN H GLGL,MN H GLGL===/,0,prep,topo,inanim,det,nmpr,,,,qal,wayq,MN,,,,,,,,,
118560,BW>[,MT,Joshua,10,9,JB>,W JB> >LJHM JHWC< PT>M KL H LJLH <LH MN H GLGL,W JB> >LJHM JHWC< PT>M,JHWC<,>LJHM,>L,0,prep,,,det,,,,,qal,wayq,>L,,,,,,,,,
118567,<LH[,MT,Joshua,10,9,<LH,W JB> >LJHM JHWC< PT>M KL H LJLH <LH MN H GLGL,KL H LJLH <LH MN H GLGL,,MN H GLGL,MN H GLGL===/,0,prep,topo,inanim,det,nmpr,,,,qal,perf,MN,,,,,,,,,
1995672,BW>[,4Q47,Joshua,10,9,JBW>,W JBW> >LJHM JHWC< PT>M KL H LJLH HLK MN H GLGL,None,None,,,,,,,,,,0,0 0000 00000 00000 0000 00 0 0000 000 00 0 0000,qal,wayq,,,,,,,,,,
1995679,HLK[,4Q47,Joshua,10,9,HLK,W JBW> >LJHM JHWC< PT>M KL H LJLH HLK MN H GLGL,None,None,,,,,,,,,,0,0 0000 00000 00000 0000 00 0 0000 000 00 0 0000,qal,perf,,,,,,,,,,
